iri	iri label	disease	disease label	gene	gene label
http://purl.obolibrary.org/obo/MONDO_0010341	autism, susceptibility to, X-linked 2	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/14287	NLGN4X
http://purl.obolibrary.org/obo/MONDO_0010342	autism, susceptibility to, X-linked 3	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/6990	MECP2
http://purl.obolibrary.org/obo/MONDO_0010449	autism, susceptibility to, X-linked 5	http://purl.obolibrary.org/obo/MONDO_0005260	autism (disease)	http://identifiers.org/hgnc/10298	RPL10
http://purl.obolibrary.org/obo/MONDO_0011919	autoimmune disease, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0007179	autoimmune disease	http://identifiers.org/hgnc/3804	FOXD3
http://purl.obolibrary.org/obo/MONDO_0013303	autoimmune disease, susceptibility to, 6	http://purl.obolibrary.org/obo/MONDO_0007179	autoimmune disease	http://identifiers.org/hgnc/18187	SIAE
http://purl.obolibrary.org/obo/MONDO_0013876	basal cell carcinoma, susceptibility to, 7	http://purl.obolibrary.org/obo/MONDO_0005341	skin basal cell carcinoma	http://identifiers.org/hgnc/11998	TP53
http://purl.obolibrary.org/obo/MONDO_0012461	bulimia nervosa, susceptibility to, 2	http://purl.obolibrary.org/obo/MONDO_0005452	bulimia nervosa	http://identifiers.org/hgnc/1033	BDNF
http://purl.obolibrary.org/obo/MONDO_0012341	celiac disease, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0005130	celiac disease	http://identifiers.org/hgnc/2505	CTLA4
http://purl.obolibrary.org/obo/MONDO_0012339	celiac disease, susceptibility to, 4	http://purl.obolibrary.org/obo/MONDO_0005130	celiac disease	http://identifiers.org/hgnc/7609	MYO9B
http://purl.obolibrary.org/obo/MONDO_0012132	colorectal cancer, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0005575	colorectal cancer	http://identifiers.org/hgnc/19877	GALNT12
http://purl.obolibrary.org/obo/MONDO_0012953	colorectal cancer, susceptibility to, 10	http://purl.obolibrary.org/obo/MONDO_0005575	colorectal cancer	http://identifiers.org/hgnc/9175	POLD1
http://purl.obolibrary.org/obo/MONDO_0014038	colorectal cancer, susceptibility to, 12	http://purl.obolibrary.org/obo/MONDO_0005575	colorectal cancer	http://identifiers.org/hgnc/9177	POLE
http://purl.obolibrary.org/obo/MONDO_0012820	colorectal cancer, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0005575	colorectal cancer	http://identifiers.org/hgnc/6773	SMAD7
http://purl.obolibrary.org/obo/MONDO_0012147	coronary heart disease, susceptibility to, 5	http://purl.obolibrary.org/obo/MONDO_0005010	coronary artery disease	http://identifiers.org/hgnc/4814	KALRN
http://purl.obolibrary.org/obo/MONDO_0013765	coronary heart disease, susceptibility to, 6	http://purl.obolibrary.org/obo/MONDO_0005010	coronary artery disease	http://identifiers.org/hgnc/7173	MMP3
http://purl.obolibrary.org/obo/MONDO_0012585	coronary heart disease, susceptibility to, 7	http://purl.obolibrary.org/obo/MONDO_0005010	coronary artery disease	http://identifiers.org/hgnc/1663	CD36
http://purl.obolibrary.org/obo/MONDO_0014232	craniosynostosis 5, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0015469	craniosynostosis	http://identifiers.org/hgnc/450	ALX4
http://purl.obolibrary.org/obo/MONDO_0012843	epilepsy, childhood absence, susceptibility to, 5	http://purl.obolibrary.org/obo/MONDO_0010826	childhood absence epilepsy	http://identifiers.org/hgnc/4083	GABRB3
http://purl.obolibrary.org/obo/MONDO_0012763	epilepsy, childhood absence, susceptibility to, 6	http://purl.obolibrary.org/obo/MONDO_0010826	childhood absence epilepsy	http://identifiers.org/hgnc/1395	CACNA1H
http://purl.obolibrary.org/obo/MONDO_0013103	epilepsy, idiopathic generalized, susceptibility to, 10	http://purl.obolibrary.org/obo/MONDO_0005579	generalised epilepsy	http://identifiers.org/hgnc/4084	GABRD
http://purl.obolibrary.org/obo/MONDO_0011875	epilepsy, idiopathic generalized, susceptibility to, 11	http://purl.obolibrary.org/obo/MONDO_0005579	generalised epilepsy	http://identifiers.org/hgnc/2020	CLCN2
http://purl.obolibrary.org/obo/MONDO_0012627	epilepsy, idiopathic generalized, susceptibility to, 13	http://purl.obolibrary.org/obo/MONDO_0009696	juvenile myoclonic epilepsy	http://identifiers.org/hgnc/4075	GABRA1
http://purl.obolibrary.org/obo/MONDO_0013032	epilepsy, idiopathic generalized, susceptibility to, 8	http://purl.obolibrary.org/obo/MONDO_0005579	generalised epilepsy	http://identifiers.org/hgnc/1514	CASR
http://purl.obolibrary.org/obo/MONDO_0011892	epilepsy, idiopathic generalized, susceptibility to, 9	http://purl.obolibrary.org/obo/MONDO_0005579	generalised epilepsy	http://identifiers.org/hgnc/1404	CACNB4
http://purl.obolibrary.org/obo/MONDO_0011891	febrile seizures, familial, 8	http://purl.obolibrary.org/obo/MONDO_0010826	childhood absence epilepsy	http://identifiers.org/hgnc/4087	GABRG2
http://purl.obolibrary.org/obo/MONDO_0011917	focal segmental glomerulosclerosis 3, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005363	focal segmental glomerulosclerosis	http://identifiers.org/hgnc/14258	CD2AP
http://purl.obolibrary.org/obo/MONDO_0012931	focal segmental glomerulosclerosis 4, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005363	focal segmental glomerulosclerosis	http://identifiers.org/hgnc/618	APOL1
http://purl.obolibrary.org/obo/MONDO_0013092	glioma susceptibility 2	http://purl.obolibrary.org/obo/MONDO_0015917	malignant glioma	http://identifiers.org/hgnc/9588	PTEN
http://purl.obolibrary.org/obo/MONDO_0013093	glioma susceptibility 3	http://purl.obolibrary.org/obo/MONDO_0015917	malignant glioma	http://identifiers.org/hgnc/1101	BRCA2
http://purl.obolibrary.org/obo/MONDO_0014695	glioma susceptibility 9	http://purl.obolibrary.org/obo/MONDO_0015917	malignant glioma	http://identifiers.org/hgnc/17284	POT1
http://purl.obolibrary.org/obo/MONDO_0009518	leprosy, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0005124	leprosy	http://identifiers.org/hgnc/11848	TLR2
http://purl.obolibrary.org/obo/MONDO_0012595	leprosy, susceptibility to, 4	http://purl.obolibrary.org/obo/MONDO_0005124	leprosy	http://identifiers.org/hgnc/6709	LTA
http://purl.obolibrary.org/obo/MONDO_0013185	leprosy, susceptibility to, 5	http://purl.obolibrary.org/obo/MONDO_0005124	leprosy	http://identifiers.org/hgnc/11847	TLR1
http://purl.obolibrary.org/obo/MONDO_0013510	melanoma, cutaneous malignant, susceptibility to, 6	http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma (disease)	http://identifiers.org/hgnc/12830	XRCC3
http://purl.obolibrary.org/obo/MONDO_0014056	melanoma, cutaneous malignant, susceptibility to, 9	http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma (disease)	http://identifiers.org/hgnc/11730	TERT
http://purl.obolibrary.org/obo/MONDO_0013344	migraine, with or without aura, susceptibility to, 13	http://purl.obolibrary.org/obo/MONDO_0005277	migraine disorder	http://identifiers.org/hgnc/19439	KCNK18
http://purl.obolibrary.org/obo/MONDO_0014902	nasopharyngeal carcinoma, susceptibility to, 3	http://purl.obolibrary.org/obo/MONDO_0015459	nasopharyngeal carcinoma	http://identifiers.org/hgnc/7381	MST1R
http://purl.obolibrary.org/obo/MONDO_0020722	nephrolithiasis susceptibility caused by SLC26A1	http://purl.obolibrary.org/obo/MONDO_0008171	nephrolithiasis	http://identifiers.org/hgnc/10993	SLC26A1
http://purl.obolibrary.org/obo/MONDO_0012141	orofacial cleft 6, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0000358	orofacial cleft	http://identifiers.org/hgnc/6121	IRF6
http://purl.obolibrary.org/obo/MONDO_0008143	osteoarthritis susceptibility 1	http://purl.obolibrary.org/obo/MONDO_0005178	osteoarthritis	http://identifiers.org/hgnc/3959	FRZB
http://purl.obolibrary.org/obo/MONDO_0007704	osteoarthritis susceptibility 2	http://purl.obolibrary.org/obo/MONDO_0005178	osteoarthritis	http://identifiers.org/hgnc/6909	MATN3
http://purl.obolibrary.org/obo/MONDO_0011923	osteoarthritis susceptibility 3	http://purl.obolibrary.org/obo/MONDO_0005178	osteoarthritis	http://identifiers.org/hgnc/14872	ASPN
http://purl.obolibrary.org/obo/MONDO_0012893	osteoarthritis susceptibility 5	http://purl.obolibrary.org/obo/MONDO_0005178	osteoarthritis	http://identifiers.org/hgnc/4220	GDF5
http://purl.obolibrary.org/obo/MONDO_0011739	pancreatic cancer, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0009831	malignant pancreatic neoplasm	http://identifiers.org/hgnc/17068	PALLD
http://purl.obolibrary.org/obo/MONDO_0013685	pancreatic cancer, susceptibility to, 4	http://purl.obolibrary.org/obo/MONDO_0009831	malignant pancreatic neoplasm	http://identifiers.org/hgnc/1100	BRCA1
http://purl.obolibrary.org/obo/MONDO_0008334	psoriasis 1, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005083	psoriasis	http://identifiers.org/hgnc/4933	HLA-C
http://purl.obolibrary.org/obo/MONDO_0013554	psoriasis 13, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005083	psoriasis	http://identifiers.org/hgnc/1343	TRAF3IP2
http://purl.obolibrary.org/obo/MONDO_0014494	psoriasis 15, pustular, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0005083	psoriasis	http://identifiers.org/hgnc/18971	AP1S3
http://purl.obolibrary.org/obo/MONDO_0008399	sarcoidosis, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0019338	sarcoidosis	http://identifiers.org/hgnc/4948	HLA-DRB1
http://purl.obolibrary.org/obo/MONDO_0012888	sarcoidosis, susceptibility to, 2	http://purl.obolibrary.org/obo/MONDO_0019338	sarcoidosis	http://identifiers.org/hgnc/1142	BTNL2
http://purl.obolibrary.org/obo/MONDO_0013568	sick sinus syndrome 3, susceptibility to	http://purl.obolibrary.org/obo/MONDO_0001823	sick sinus syndrome	http://identifiers.org/hgnc/7576	MYH6
http://purl.obolibrary.org/obo/MONDO_0011138	systemic lupus erythematosus, susceptibility to, 1	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus (disease)	http://identifiers.org/hgnc/11851	TLR5
http://purl.obolibrary.org/obo/MONDO_0012834	systemic lupus erythematosus, susceptibility to, 10	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus (disease)	http://identifiers.org/hgnc/6120	IRF5
http://purl.obolibrary.org/obo/MONDO_0012835	systemic lupus erythematosus, susceptibility to, 11	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus (disease)	http://identifiers.org/hgnc/11365	STAT4
http://purl.obolibrary.org/obo/MONDO_0012369	systemic lupus erythematosus, susceptibility to, 6	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus (disease)	http://identifiers.org/hgnc/6149	ITGAM
http://purl.obolibrary.org/obo/MONDO_0012584	systemic lupus erythematosus, susceptibility to, 9	http://purl.obolibrary.org/obo/MONDO_0007915	systemic lupus erythematosus (disease)	http://identifiers.org/hgnc/2336	CR2
