defined_class,defined_class_label,location,location label
TBD:0000060,choroid disease,UBERON:0001776,optic choroid
TBD:0000061,ciliary body disease,UBERON:0001775,ciliary body
TBD:0000062,common bile duct disease,UBERON:0001174,common bile duct
TBD:0000063,connective tissue disease,UBERON:0002384,connective tissue
TBD:0000064,coronary artery disease,UBERON:0001621,coronary artery
TBD:0000065,cutaneous leishmaniasis,UBERON:0001003,skin epidermis
TBD:0000066,dental pulp disease,UBERON:0001754,dental pulp
TBD:0000067,diaphragm disease,UBERON:0001103,diaphragm
TBD:0000068,endocardium disease,UBERON:0002165,endocardium
TBD:0000069,endocrine pancreas disease,UBERON:0000016,endocrine pancreas
TBD:0000070,epidural abscess,UBERON:0003691,epidural space
TBD:0000071,esophageal disease,UBERON:0001043,esophagus
TBD:0000072,external ear disease,UBERON:0001691,external ear
TBD:0000073,eye disease,UBERON:0000970,eye
TBD:0000074,eyelid disease,UBERON:0001711,eyelid
TBD:0000075,facial nerve disease,UBERON:0001647,facial nerve
TBD:0000076,fallopian tube disease,UBERON:0003889,fallopian tube
TBD:0000077,gallbladder disease,UBERON:0002110,gall bladder
TBD:0000078,glossopharyngeal nerve disease,UBERON:0001649,glossopharyngeal nerve
TBD:0000079,hair disease,UBERON:0001037,strand of hair
TBD:0000080,heart disease,UBERON:0000948,heart
TBD:0000081,heart valve disease,UBERON:0000946,cardial valve
TBD:0000082,hypoglossal nerve disease,UBERON:0001650,hypoglossal nerve
TBD:0000083,inner ear disease,UBERON:0001846,internal ear
TBD:0000084,iris disease,UBERON:0001769,iris
TBD:0000085,kidney disease,UBERON:0002113,kidney
TBD:0000086,lacrimal apparatus disease,UBERON:0001750,lacrimal apparatus
TBD:0000087,lens disease,UBERON:0000965,lens of camera-type eye
TBD:0000088,lesion of sciatic nerve,UBERON:0001322,sciatic nerve
TBD:0000089,leukocyte disease,CL:0000738,leukocyte
TBD:0000090,lip disease,UBERON:0001833,lip
TBD:0000091,liver disease,UBERON:0002107,liver
TBD:0000092,lower respiratory tract disease,UBERON:0001558,lower respiratory tract
TBD:0000093,lung disease,UBERON:0002048,lung
TBD:0000094,lymph node disease,UBERON:0000029,lymph node
TBD:0000095,middle ear disease,UBERON:0001756,middle ear
TBD:0000096,mitral valve disease,UBERON:0002135,mitral valve
TBD:0000097,motor neuron disease,CL:0000100,motor neuron
TBD:0000098,mouth disease,UBERON:0000165,mouth
TBD:0000099,muscle tissue disease,UBERON:0002385,muscle tissue
TBD:0000100,nail disease,UBERON:0001705,nail
TBD:0000101,nasal cavity disease,UBERON:0001707,nasal cavity
TBD:0000102,neuromuscular junction disease,UBERON:0001029,obsolete neuromuscular junction
TBD:0000103,nose disease,UBERON:0000004,nose
TBD:0000104,olfactory nerve disease,UBERON:0001579,olfactory nerve
TBD:0000105,pancreas disease,UBERON:0001264,pancreas
TBD:0000106,paranasal sinus disease,UBERON:0001825,paranasal sinus
TBD:0000107,parathyroid gland disease,UBERON:0001132,parathyroid gland
TBD:0000108,parotid disease,UBERON:0001831,parotid gland
TBD:0000109,pericardium disease,UBERON:0002407,pericardium
TBD:0000110,pituitary gland disease,UBERON:0000007,pituitary gland
TBD:0000111,placenta disease,UBERON:0001987,placenta
TBD:0000112,prostate disease,UBERON:0002367,prostate gland
TBD:0000113,pulmonary valve disease,UBERON:0002146,pulmonary valve
TBD:0000114,pupil disease,UBERON:0001771,pupil
TBD:0000115,retinal disease,UBERON:0000966,retina
TBD:0000116,salivary gland disease,UBERON:0001044,saliva-secreting gland
TBD:0000117,sebaceous gland disease,UBERON:0001821,sebaceous gland
TBD:0000118,sinoatrial node disease,UBERON:0002351,sinoatrial node
TBD:0000119,spinal cord disease,UBERON:0002240,spinal cord
TBD:0000120,spinal disease,UBERON:0001130,vertebral column
TBD:0000121,splenic disease,UBERON:0002106,spleen
TBD:0000122,stomach disease,UBERON:0000945,stomach
TBD:0000123,submandibular gland disease,UBERON:0001736,submandibular gland
TBD:0000124,sweat gland disease,UBERON:0001820,sweat gland
TBD:0000125,third cranial nerve disease,UBERON:0001643,oculomotor nerve
TBD:0000126,thymus gland disease,UBERON:0002370,thymus
TBD:0000127,thyroid gland disease,UBERON:0002046,thyroid gland
TBD:0000128,tibial nerve palsy,UBERON:0001323,tibial nerve
TBD:0000129,tongue disease,UBERON:0001723,tongue
TBD:0000130,tooth disease,UBERON:0001091,calcareous tooth
TBD:0000131,tricuspid valve disease,UBERON:0002134,tricuspid valve
TBD:0000132,trigeminal nerve disease,UBERON:0001645,trigeminal nerve
TBD:0000133,trochlear nerve disease,UBERON:0001644,trochlear nerve
TBD:0000134,tympanic membrane disease,UBERON:0002364,tympanic membrane
TBD:0000135,upper respiratory tract disease,UBERON:0001557,upper respiratory tract
TBD:0000136,urethral disease,UBERON:0000057,urethra
TBD:0000137,vein disease,UBERON:0001638,vein
TBD:0000138,vestibulocochlear nerve disease,UBERON:0001648,vestibulocochlear nerve
TBD:0000139,visual cortex disease,UBERON:0000411,visual cortex
TBD:0000140,vitreous disease,UBERON:0001797,vitreous humor
,collagen disease,GO:0005581,collagen trimer
