		Mondo_ID	Label	parent class	xref	source	comment						Definition								
C173233	Molecular Analysis Table	MONDO:0100386	AML, t(v;11q23.3)	MONDO:0018874	NCIT:C36517	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3465		t(v;11q23.3)	C36517	11q23.3 Translocation || t(11;v)(q23.3;v) || t(11;v)(q23;v) || t(V;11)(v;q23) || t(V;11)(v;q23.3)	MLL Other Partner	Any acute myeloid leukemia that has the chromosomal anomaly t(v;11q23.3). (A chromosomal abnormality consisting of the translocation of genetic material from any one of several chromosomes to the 11q23.3 region, resulting in an MLL gene rearrangement.).	A chromosomal abnormality consisting of the translocation of genetic material from any one of several chromosomes to the 11q23.3 region, resulting in an MLL gene rearrangement.							12420
C173233	Molecular Analysis Table	MONDO:0100387	AML, Monosomy 7	MONDO:0018874	NCIT:C36411	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3466		Monosomy 7	C36411		Monosomy 7	Any acute myeloid leukemia that has the chromosomal anomaly Monosomy 7. (A chromosomal abnormality consisting of the absence of one of the copies of chromosome 7 in somatic cells.).	A chromosomal abnormality consisting of the absence of one of the copies of chromosome 7 in somatic cells.							12423
C173233	Molecular Analysis Table	MONDO:0100388	AML, Monosomy 5	MONDO:0018874	NCIT:C36523	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3467		Monosomy 5	C36523		Monosomy 5	Any acute myeloid leukemia that has the chromosomal anomaly Monosomy 5. (A cytogenetic aneuploidy abnormality that refers to the presence of one chromosome 5 only. It is associated with the development of refractory anemia with excess blasts, refractory anemia with multilineage dysplasia, and refractory anemia with multilineage dysplasia and ringed sideroblasts.).	A cytogenetic aneuploidy abnormality that refers to the presence of one chromosome 5 only. It is associated with the development of refractory anemia with excess blasts, refractory anemia with multilineage dysplasia, and refractory anemia with multilineage dysplasia and ringed sideroblasts.							12424
C173233	Molecular Analysis Table	MONDO:0100389	AML, Trisomy 8	MONDO:0018874	NCIT:C36396	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3468		Trisomy 8	C36396	tri8	Trisomy 8	Any acute myeloid leukemia that has the chromosomal anomaly Trisomy 8. (A chromosomal abnormality consisting of the presence of a third copy of chromosome 8 in somatic cells.).	A chromosomal abnormality consisting of the presence of a third copy of chromosome 8 in somatic cells.							12425
C173233	Molecular Analysis Table	MONDO:0100390	AML, der12p	MONDO:0018874	NCIT:C173542	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3469		der12p	C173542	der(12p)	der.12p	Any acute myeloid leukemia that has the chromosomal anomaly der12p. (A cytogenetic abnormality involving the rearrangement of two or more other chromosomes with the short arm of chromosome 12 (12p).).	A cytogenetic abnormality involving the rearrangement of two or more other chromosomes with the short arm of chromosome 12 (12p).							12426
C173233	Molecular Analysis Table	MONDO:0100391	AML, t(2;12)	MONDO:0018874	NCIT:C173543	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3470		t(2;12)	C173543		t(2;12)	Any acute myeloid leukemia that has the chromosomal anomaly t(2;12). (A cytogenetic abnormality that involves a translocation between chromosomes 2 and 12.).	A cytogenetic abnormality that involves a translocation between chromosomes 2 and 12.							12427
C173233	Molecular Analysis Table	MONDO:0100392	AML, t(11;17)	MONDO:0018874	NCIT:C175582	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3471		t(11;17)	C175582		t(11;17)	Any acute myeloid leukemia that has the chromosomal anomaly t(11;17). (A cytogenetic abnormality that involves a translocation between chromosomes 11 and 17.).	A cytogenetic abnormality that involves a translocation between chromosomes 11 and 17.							12427.1
C173233	Molecular Analysis Table	MONDO:0100393	AML, t(8;16)	MONDO:0018874	NCIT:C175583	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3472		t(8;16)	C175583		t(8;16)	Any acute myeloid leukemia that has the chromosomal anomaly t(8;16). (A cytogenetic abnormality that involves a translocation between chromosomes 8 and 16.).	A cytogenetic abnormality that involves a translocation between chromosomes 8 and 16.							12427.2
C173233	Molecular Analysis Table	MONDO:0100394	AML, t(1;22)	MONDO:0018874	NCIT:C175584	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3473		t(1;22)	C175584		t(1;22)	Any acute myeloid leukemia that has the chromosomal anomaly t(1;22). (A cytogenetic abnormality that involves a translocation between chromosomes 1 and 22.).	A cytogenetic abnormality that involves a translocation between chromosomes 1 and 22.							12427.3
C173233	Molecular Analysis Table	MONDO:0100395	AML, t(5;11)(q35;p15)	MONDO:0018874	NCIT:C131503	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3474		t(5;11)(q35;p15)	C131503		t(5;11)(q35;p15)	Any acute myeloid leukemia that has the chromosomal anomaly t(5;11)(q35;p15). (A cytogenetic abnormality that refers to the translocation of chromosome 11p15 with chromosome 5q35. It results in the formation of NUP98/NSD1 fusion gene. It is associated with the development of acute myeloid leukemia with t(5;11)(q35;p15); NUP98-NSD1.).	A cytogenetic abnormality that refers to the translocation of chromosome 11p15 with chromosome 5q35. It results in the formation of NUP98/NSD1 fusion gene. It is associated with the development of acute myeloid leukemia with t(5;11)(q35;p15); NUP98-NSD1.							12428
C173233	Molecular Analysis Table	MONDO:0100396	AML, t(7;12)(q36;p13)	MONDO:0018874	NCIT:C122689	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3475		t(7;12)(q36;p13)	C122689		t(7;12)(q36;p13)	Any acute myeloid leukemia that has the chromosomal anomaly t(7;12)(q36;p13). (A chromosomal translocation involving the ETV6 gene on chromosome 12p13 and HLXB9 gene on chromosome 7q36.).	A chromosomal translocation involving the ETV6 gene on chromosome 12p13 and HLXB9 gene on chromosome 7q36.							12429
C173233	Molecular Analysis Table	MONDO:0100397	AML, t(9;22)(q34.1;q11.2)	MONDO:0018874	NCIT:C13271	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3476		t(9;22)(q34.1;q11.2)	C13271	t(9;22)(q34;q11)	t(9;22)(q34;q11.2)	Any acute myeloid leukemia that has the chromosomal anomaly t(9;22)(q34.1;q11.2). (A translocation between chromosomes 9 and 22 that is associated with the Philadelphia chromosome.).	A translocation between chromosomes 9 and 22 that is associated with the Philadelphia chromosome.							12430
C173233	Molecular Analysis Table	MONDO:0100398	AML, inv(3)(q21.3;q26.2)	MONDO:0018874	NCIT:C36407	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3477		inv(3)(q21.3;q26.2)	C36407	inv(3)(q21.3q26.2) || inv(3)(q21q26.2)	inv(3)(q21;q26.2)	Any acute myeloid leukemia that has the chromosomal anomaly inv(3)(q21.3;q26.2). (A cytogenetic abnormality that refers to a paracentric inversion involving breakpoints on the long (q23.1 and q26.2) of chromosome 3. It is associated with acute myeloid leukemia.).	A cytogenetic abnormality that refers to a paracentric inversion involving breakpoints on the long (q23.1 and q26.2) of chromosome 3. It is associated with acute myeloid leukemia.							12431
C173233	Molecular Analysis Table	MONDO:0100399	AML, t(3;3)(q21.3;q26.2)	MONDO:0018874	NCIT:C36406	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3478		t(3;3)(q21.3;q26.2)	C36406	t(3;3)(q21.3q26.2) || t(3;3)(q21;q26.2) || t(3;3)(q26;q21)	t(3;3)(q21;q26.2)	Any acute myeloid leukemia that has the chromosomal anomaly t(3;3)(q21.3;q26.2). (A cytogenetic abnormality that refers to the translocation where both breakpoints are on the long arm (q23.1 and q26.2) of chromosome 3. It is associated with acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation where both breakpoints are on the long arm (q23.1 and q26.2) of chromosome 3. It is associated with acute myeloid leukemia.							12432
C173233	Molecular Analysis Table	MONDO:0100400	AML, t(3;12)(q23;p12.3)	MONDO:0018874	NCIT:C168766	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3479		t(3;12)(q23;p12.3)	C168766		t(3;12)(q23;p12.3)	Any acute myeloid leukemia that has the chromosomal anomaly t(3;12)(q23;p12.3). (A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 3 and the short arm (p12.3) of chromosome 12. It is associated with ETV6/MECOM (EVI1) fusions, myeloproliferative disorders, myelodysplastic syndromes and acute myelogenous leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q23) of chromosome 3 and the short arm (p12.3) of chromosome 12. It is associated with ETV6/MECOM (EVI1) fusions, myeloproliferative disorders, myelodysplastic syndromes and acute myelogenous leukemia.							12434
C173233	Molecular Analysis Table	MONDO:0100401	AML, del(5q31-q32)	MONDO:0018874	NCIT:C168769	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3480		del(5q31-q32)	C168769	5q31-32 Deletion || del(5)(q31-q32) || del(5)(q31q32) || del(5q31q32)	del(5q)(5q31-q32)	Any acute myeloid leukemia that has the chromosomal anomaly del(5q31-q32). (A cytogenetic abnormality that refers to deletion of chromosome bands 31-32 on the long arm of chromosome 5.).	A cytogenetic abnormality that refers to deletion of chromosome bands 31-32 on the long arm of chromosome 5.							12435
C173233	Molecular Analysis Table	MONDO:0100402	AML, del(13q14-q21)	MONDO:0018874	NCIT:C168770	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3481		del(13q14-q21)	C168770	13q14-q21 Deletion || del(13)(q14-q21) || del(13)(q14q21) || del(13q14q21)	del(13q)(13q14-21)	Any acute myeloid leukemia that has the chromosomal anomaly del(13q14-q21). (A cytogenetic abnormality that refers to deletion of chromosome bands 14-21 on the long arm of chromosome 13.).	A cytogenetic abnormality that refers to deletion of chromosome bands 14-21 on the long arm of chromosome 13.							12437
C173233	Molecular Analysis Table	MONDO:0100403	AML, Loss of Chromosome 17p	MONDO:0018874	NCIT:C36499	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3482		Loss of Chromosome 17p	C36499	del(17p)	del(17p)	Any acute myeloid leukemia that has the chromosomal anomaly Loss of Chromosome 17p. (A cytogenetic abnormality that refers to the loss of all or part of the short arm of chromosome 17 (17p).).	A cytogenetic abnormality that refers to the loss of all or part of the short arm of chromosome 17 (17p).							12438
C173233	Molecular Analysis Table	MONDO:0100404	AML, MLL Gene Rearrangement	MONDO:0018874	NCIT:C122623	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3483		MLL Gene Rearrangement	C122623	KMT2A Gene Rearrangement || KMT2A Rearrangement || Lysine (K)-Specific Methyltransferase 2A Gene Rearrangement || Lysine Methyltransferase 2A Gene Rearrangement || MLL Rearrangement || Mixed Lineage Leukemia Gene Rearrangement || Myeloid/Lymphoid Leukemia Gene Rearrangement || Myeloid/Lymphoid or Mixed Lineage Leukemia Gene Rearrangement || Myeloid/Lymphoid or Mixed-Lineage Leukemia (Trithorax Homolog, Drosophila) Gene Rearrangement	MLL Rearrangement	Any acute myeloid leukemia that has the chromosomal anomaly MLL Gene Rearrangement. (A molecular abnormality indicating rearrangement of the MLL (KMT2A) gene.).	A molecular abnormality indicating rearrangement of the MLL (KMT2A) gene.							12439
C173233	Molecular Analysis Table	MONDO:0100405	AML, Non-KMT2A MLLT10 Rearrangement Positive	MONDO:0018874	NCIT:C168771	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3484		Non-KMT2A MLLT10 Rearrangement Positive	C168771	Non-KMT2A MLLT10 Rearrangement || Non-MLL MLLT10 Rearrangement || Non-MLL MLLT10 Rearrangement Positive	Non-KMT2A MLLT10	Any acute myeloid leukemia that has the chromosomal anomaly Non-KMT2A MLLT10 Rearrangement Positive. (An indication that a cytogenetic rearrangement involving MLLT10 but not involving KMT2A was detected in a sample.).	An indication that a cytogenetic rearrangement involving MLLT10 but not involving KMT2A was detected in a sample.							12440
C173233	Molecular Analysis Table	MONDO:0100406	AML, inv(16)(p13.3;q24.3)	MONDO:0018874	NCIT:C167195	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3485		inv(16)(p13.3;q24.3)	C167195	inv(16)(p13.3q24.3) || inv(16)(p13;q24) || inv(16)(p13q24)	inv(16)(p13.3q24.3)	Any acute myeloid leukemia that has the chromosomal anomaly inv(16)(p13.3;q24.3). (A pericentric chromosomal inversion that involves chromosome 16. It is associated with CBFA2T3/GLIS2 fusions and pediatric acute megakaryoblastic leukemia.).	A pericentric chromosomal inversion that involves chromosome 16. It is associated with CBFA2T3/GLIS2 fusions and pediatric acute megakaryoblastic leukemia.							12441
C173233	Molecular Analysis Table	MONDO:0100407	AML, t(11;15)(p15;q35)	MONDO:0018874	NCIT:C131505	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3486		t(11;15)(p15;q35)	C131505		t(11;15)(p15;q35)	Any acute myeloid leukemia that has the chromosomal anomaly t(11;15)(p15;q35). (A cytogenetic abnormality that refers to the translocation of chromosome 11p15 with chromosome 15q35. It results in the formation of NUP98/JARID1A fusion gene. It is associated with the development of acute myeloid leukemia with t(11;15)(p15;q35); NUP98-JARID1A.).	A cytogenetic abnormality that refers to the translocation of chromosome 11p15 with chromosome 15q35. It results in the formation of NUP98/JARID1A fusion gene. It is associated with the development of acute myeloid leukemia with t(11;15)(p15;q35); NUP98-JARID1A.							12442
C173233	Molecular Analysis Table	MONDO:0100408	AML, t(16;21)(q24;q22)	MONDO:0018874	NCIT:C168773	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3487		t(16;21)(q24;q22)	C168773		t(16;21)(q24;q22)	Any acute myeloid leukemia that has the chromosomal anomaly t(16;21)(q24;q22). (A cytogenetic abnormality that refers to the translocation of the long arm (q24) of chromosome 16 and the long arm (q22) of chromosome 22. It is associated with RUNX1/CBFA2T3 fusions, myelodysplastic syndromes and acute myeloid leukemia.).	A cytogenetic abnormality that refers to the translocation of the long arm (q24) of chromosome 16 and the long arm (q22) of chromosome 22. It is associated with RUNX1/CBFA2T3 fusions, myelodysplastic syndromes and acute myeloid leukemia.							12443
C173233	Molecular Analysis Table	MONDO:0100409	AML, t(3;5)(q25;q34)	MONDO:0018874	NCIT:C36415	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3488		t(3;5)(q25;q34)	C36415		t(3;5)(q25;q34)	Any acute myeloid leukemia that has the chromosomal anomaly t(3;5)(q25;q34). (A cytogenetic abnormality that refers to the translocation of the long arm (q25) of chromosome 3 and the long arm (q34) of chromosome 5. It is associated with the development of acute myeloid leukemia arising from myelodysplastic syndrome, acute myeloid leukemia with multilineage dysplasia, and acute myeloid leukemia with myelodysplasia-related changes.).	A cytogenetic abnormality that refers to the translocation of the long arm (q25) of chromosome 3 and the long arm (q34) of chromosome 5. It is associated with the development of acute myeloid leukemia arising from myelodysplastic syndrome, acute myeloid leukemia with multilineage dysplasia, and acute myeloid leukemia with myelodysplasia-related changes.							12444
C173233	Molecular Analysis Table	MONDO:0100410	AML, t(16;21)(p11;q22)	MONDO:0018874	NCIT:C36616	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3489		t(16;21)(p11;q22)	C36616	t(16;21)(p11.2;q22.2)	t(16;21)(p11;q22)	Any acute myeloid leukemia that has the chromosomal anomaly t(16;21)(p11;q22). (A chromosomal translocation involving the FUS gene on chromosome 16p11 and the ERG gene on chromosome 21q22.).	A chromosomal translocation involving the FUS gene on chromosome 16p11 and the ERG gene on chromosome 21q22.							12445
C173233	Molecular Analysis Table	MONDO:0100411	AML, NPM1 Gene Mutation	MONDO:0018874	NCIT:C82429	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3490		NPM1 Gene Mutation	C82429	Mutation of the Nucleophosmin Gene || NPM1 Mutation || Nucleophosmin Gene Mutation	NPM1 Mutation	Any acute myeloid leukemia that has the chromosomal anomaly NPM1 Gene Mutation. (Mutation of the nucleophosmin gene. It is seen in acute myeloid leukemias usually associated with a normal karyotype.).	Mutation of the nucleophosmin gene. It is seen in acute myeloid leukemias usually associated with a normal karyotype.							12446
C173233	Molecular Analysis Table	MONDO:0100412	AML, Monoallelic CEBPA Gene Mutation	MONDO:0018874	NCIT:C168774	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3491		Monoallelic CEBPA Gene Mutation	C168774	C/EBP-Alpha Monoallelic Gene Mutation || C/EBPalpha Monoallelic Gene Mutation || CCAAT Enhancer Binding Protein Alpha Monoallelic Gene Mutation || CCAAT/Enhancer Binding Protein Alpha Monoallelic Gene Mutation || CCAAT/Enhancer Binding Protein, Alpha Monoallelic Gene Mutation || CEBP Monoallelic Gene Mutation || CEBPA Monoallelic Gene Mutation || CEBPA Monoallelic Mutation || moCEBPA	Monoallelic CEBPA Gene Mutation	Any acute myeloid leukemia that has the chromosomal anomaly Monoallelic CEBPA Gene Mutation. (The presence of mutations in only one allele of the CEBPA gene.).	The presence of mutations in only one allele of the CEBPA gene.							12447
C173233	Molecular Analysis Table	MONDO:0100413	AML, Biallelic CEBPA Gene Mutation	MONDO:0018874	NCIT:C157569	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3492		Biallelic CEBPA Gene Mutation	C157569	C/EBP-Alpha Biallelic Gene Mutation || C/EBPalpha Biallelic Gene Mutation || CCAAT Enhancer Binding Protein Alpha Biallelic Gene Mutation || CCAAT/Enhancer Binding Protein Alpha Biallelic Gene Mutation || CCAAT/Enhancer Binding Protein, Alpha Biallelic Gene Mutation || CEBP Biallelic Gene Mutation || CEBPA Biallelic Gene Mutation || CEBPA Biallelic Mutation || biCEBPA	Biallelic CEBPA Gene Mutation	Any acute myeloid leukemia that has the chromosomal anomaly Biallelic CEBPA Gene Mutation. (The presence of mutations in both alleles of the CEBPA gene.).	The presence of mutations in both alleles of the CEBPA gene.							12448
