NORD ID	subject_label	MONDO ID	mondo_id	xref	synonym	synonym_source	subset	subset_source
758	Alternating Hemiplegia of Childhood	0016241	MONDO:0016241	NORD:758	alternating hemiplegia of childhood	NORD:758	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:758
759	Alveolar Capillary Dysplasia with Misalignment of Pulmonary Veins	0009934	MONDO:0009934	NORD:759	alveolar capillary dysplasia with misalignment of pulmonary veins	NORD:759	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:759
760	Alveolar Soft Part Sarcoma	0011655	MONDO:0011655	NORD:760	alveolar soft part sarcoma	NORD:760	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:760
761	Extrinsic Allergic Alveolitis	0017853	MONDO:0017853	NORD:761	hypersensitivity pneumonitis	NORD:761	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:761
763	Ameloblastic Carcinoma	0006079	MONDO:0006079	NORD:763	ameloblastic carcinoma	NORD:763	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:763
764	Ameloblastoma	0017795	MONDO:0017795	NORD:764	ameloblastoma	NORD:764	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:764
765	Amelogenesis Imperfecta	0019507	MONDO:0019507	NORD:765	amelogenesis imperfecta	NORD:765	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:765
766	Amniotic Band Syndrome	0015167	MONDO:0015167	NORD:766	amniotic band syndrome	NORD:766	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:766
768	Amyotrophic Lateral Sclerosis	0004976	MONDO:0004976	NORD:768	amyotrophic lateral sclerosis	NORD:768	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:768
769	Anaplastic Astrocytoma	0016684	MONDO:0016684	NORD:769	anaplastic astrocytoma	NORD:769	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:769
770	Andersen Disease (GSD IV)	0009292	MONDO:0009292	NORD:770	glycogen storage disease due to glycogen branching enzyme deficiency	NORD:770	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:770
771	Partial Androgen Insensitivity Syndrome	0010720	MONDO:0010720	NORD:771	partial androgen insensitivity syndrome	NORD:771	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:771
773	Diamond Blackfan Anemia	0015253	MONDO:0015253	NORD:773	Diamond-Blackfan anemia	NORD:773	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:773
774	Anemia, Hemolytic, Acquired Autoimmune	0020108	MONDO:0020108	NORD:774	autoimmune hemolytic anemia	NORD:774	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:774
775	Cold Agglutinin Disease	0018922	MONDO:0018922	NORD:775	cold agglutinin disease	NORD:775	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:775
777	Hereditary Spherocytosis	0019350	MONDO:0019350	NORD:777	hereditary spherocytosis	NORD:777	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:777
782	Angelman Syndrome	0007113	MONDO:0007113	NORD:782	Angelman syndrome	NORD:782	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:782
784	Angioimmunoblastic T-Cell Lymphoma	0004977	MONDO:0004977	NORD:784	angioimmunoblastic T-cell lymphoma	NORD:784	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:784
785	Aniridia	0019172	MONDO:0019172	NORD:785	aniridia	NORD:785	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:785
786	Aniridia Cerebellar Ataxia Mental Deficiency	0008795	MONDO:0008795	NORD:786	aniridia-cerebellar ataxia-intellectual disability syndrome	NORD:786	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:786
790	Antiphospholipid Syndrome	0017278	MONDO:0017278	NORD:790	autoimmune polyendocrinopathy	NORD:790	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:790
791	Antithrombin Deficiency	0013144	MONDO:0013144	NORD:791	hereditary antithrombin deficiency	NORD:791	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:791
792	Antley-Bixler Syndrome	0008803	MONDO:0008803	NORD:792	Antley-Bixler syndrome	NORD:792	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:792
793	Apert Syndrome	0007041	MONDO:0007041	NORD:793	apert syndrome	NORD:793	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:793
794	Aplasia Cutis Congenita	0007145	MONDO:0007145	NORD:794	aplasia cutis congenita	NORD:794	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:794
798	Autoimmune Polyglandular Syndrome Type 1	0009411	MONDO:0009411	NORD:798	autoimmune polyendocrine syndrome type 1	NORD:798	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:798
800	Arachnoiditis	0015304	MONDO:0015304	NORD:800	arachnoiditis	NORD:800	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:800
802	Argininosuccinic Aciduria	0008815	MONDO:0008815	NORD:802	argininosuccinic aciduria	NORD:802	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:802
803	Arterial Tortuosity Syndrome	0008818	MONDO:0008818	NORD:803	arterial tortuosity syndrome	NORD:803	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:803
805	Giant Cell Arteritis	0008538	MONDO:0008538	NORD:805	temporal arteritis	NORD:805	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:805
806	Arteritis, Takayasu	0017991	MONDO:0017991	NORD:806	Takayasu arteritis	NORD:806	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:806
808	Arthritis, Juvenile Rheumatoid	0011429	MONDO:0011429	NORD:808	juvenile idiopathic arthritis	NORD:808	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:808
810	Arthrogryposis Multiplex Congenita	0015168	MONDO:0015168	NORD:810	arthrogryposis multiplex congenita	NORD:810	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:810
811	Asherman's Syndrome	0015299	MONDO:0015299	NORD:811	Asherman syndrome	NORD:811	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:811
813	Aspartylglycosaminuria	0008830	MONDO:0008830	NORD:813	aspartylglucosaminuria	NORD:813	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:813
814	Aspergillosis	0005657	MONDO:0005657	NORD:814	aspergillosis	NORD:814	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:814
816	Ataxia Telangiectasia	0008840	MONDO:0008840	NORD:816	ataxia telangiectasia	NORD:816	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:816
817	Ataxia with Vitamin E Deficiency	0010188	MONDO:0010188	NORD:817	familial isolated deficiency of vitamin E	NORD:817	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:817
818	Friedreich's Ataxia	0100339	MONDO:0100339	NORD:818	Friedreich ataxia	NORD:818	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:818
819	Atransferrinemia	0008846	MONDO:0008846	NORD:819	atransferrinemia	NORD:819	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:819
820	Atrial Septal Defects	0006664	MONDO:0006664	NORD:820	atrial septal defect	NORD:820	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:820
821	Atrioventricular Septal Defect	0020290	MONDO:0020290	NORD:821	familial atrioventricular septal defect	NORD:821	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:821
822	Atypical Hemolytic Uremic Syndrome	0016244	MONDO:0016244	NORD:822	atypical hemolytic-uremic syndrome	NORD:822	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:822
824	Autoimmune Polyendocrine Syndrome Type II	0010012	MONDO:0010012	NORD:824	autoimmune polyendocrinopathy type 2	NORD:824	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:824
825	Autosomal Dominant Hereditary Ataxia	0020380	MONDO:0020380	NORD:825	autosomal dominant cerebellar ataxia	NORD:825	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:825
826	Autosomal Dominant Hyper IgE Syndrome	0007818	MONDO:0007818	NORD:826	hyper-IgE recurrent infection syndrome 1, autosomal dominant	NORD:826	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:826
827	Autosomal Dominant Tubulo-Interstitial Kidney Disease	0008073	MONDO:0008073	NORD:827	familial juvenile hyperuricemic nephropathy type 1	NORD:827	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:827
828	Autosomal Dominant Polycystic Kidney Disease	0004691	MONDO:0004691	NORD:828	autosomal dominant polycystic kidney disease	NORD:828	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:828
831	Autosomal Recessive Polycystic Kidney Disease	0009889	MONDO:0009889	NORD:831	autosomal recessive polycystic kidney disease	NORD:831	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:831
832	Babesiosis	0005661	MONDO:0005661	NORD:832	babesiosis	NORD:832	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:832
833	Balantidiasis	0005662	MONDO:0005662	NORD:833	balantidiasis	NORD:833	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:833
834	Baller-Gerold Syndrome	0009039	MONDO:0009039	NORD:834	Baller-Gerold syndrome	NORD:834	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:834
835	Balo Disease	0016430	MONDO:0016430	NORD:835	Balo concentric sclerosis	NORD:835	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:835
836	Banti's Syndrome	0006795	MONDO:0006795	NORD:836	hypersplenism	NORD:836	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:836
837	Barakat Syndrome	0007797	MONDO:0007797	NORD:837	hypoparathyroidism-deafness-renal disease syndrome	NORD:837	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:837
838	Bardet-Biedl Syndrome	0015229	MONDO:0015229	NORD:838	Bardet-Biedl syndrome	NORD:838	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:838
840	Barth Syndrome	0010543	MONDO:0010543	NORD:840	Barth syndrome	NORD:840	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:840
842	Bartter Syndrome	0015231	MONDO:0015231	NORD:842	Bartter syndrome	NORD:842	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:842
843	Juvenile CLN3 Disease	0008767	MONDO:0008767	NORD:843	neuronal ceroid lipofuscinosis 3	NORD:843	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:843
844	Congenital Contractural Arachnodactyly	0007363	MONDO:0007363	NORD:844	congenital contractural arachnodactyly	NORD:844	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:844
845	Beckwith-Wiedemann Syndrome	0007534	MONDO:0007534	NORD:845	Beckwith-Wiedemann syndrome	NORD:845	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:845
847	Bejel	0001714	MONDO:0001714	NORD:847	bejel	NORD:847	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:847
848	Bell's Palsy	0005665	MONDO:0005665	NORD:848	Bell's palsy	NORD:848	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:848
850	Benign Paroxysmal Positional Vertigo	8000018	MONDO:8000018	NORD:850	benign paroxysmal positional vertigo	NORD:850	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:850
851	Bernard-Soulier Syndrome	0009276	MONDO:0009276	NORD:851	Bernard-Soulier syndrome	NORD:851	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:851
853	Best Vitelliform Macular Dystrophy	0007931	MONDO:0007931	NORD:853	vitelliform macular dystrophy 2	NORD:853	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:853
857	Biotinidase Deficiency	0009665	MONDO:0009665	NORD:857	biotinidase deficiency	NORD:857	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:857
858	Birt-Hogg-Dube syndrome	0007607	MONDO:0007607	NORD:858	Birt-Hogg-Dube syndrome	NORD:858	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:858
859	Bjornstad syndrome	0009872	MONDO:0009872	NORD:859	Bjornstad syndrome	NORD:859	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:859
860	Bladder Exstrophy-Epispadias-Cloacal Exstrophy Complex	0010805	MONDO:0010805	NORD:860	bladder exstrophy	NORD:860	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:860
862	Blepharophimosis, Ptosis, Epicanthus Inversus Syndrome	0007201	MONDO:0007201	NORD:862	blepharophimosis, ptosis, and epicanthus inversus syndrome	NORD:862	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:862
863	Bloom Syndrome	0008876	MONDO:0008876	NORD:863	Bloom syndrome	NORD:863	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:863
864	Blue Diaper Syndrome	0008877	MONDO:0008877	NORD:864	blue diaper syndrome	NORD:864	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:864
865	Blue Rubber Bleb Nevus syndrome	0007203	MONDO:0007203	NORD:865	blue rubber bleb nevus	NORD:865	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:865
866	Borjeson-Forssman-Lehmann syndrome	0010537	MONDO:0010537	NORD:866	Borjeson-Forssman-Lehmann syndrome	NORD:866	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:866
867	Botulism	0005498	MONDO:0005498	NORD:867	botulism	NORD:867	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:867
868	Bowen Disease	0020761	MONDO:0020761	NORD:868	Bowen disease of the skin	NORD:868	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:868
869	Bowen Hutterite Syndrome	0008879	MONDO:0008879	NORD:869	Bowen-Conradi syndrome	NORD:869	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:869
870	Bowenoid Papulosis	0022022	MONDO:0022022	NORD:870	bowenoid papulosis	NORD:870	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:870
871	Branchio Oculo Facial Syndrome	0007235	MONDO:0007235	NORD:871	branchiooculofacial syndrome	NORD:871	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:871
873	Organizing Pneumonia	0015264	MONDO:0015264	NORD:873	cryptogenic organizing pneumonia	NORD:873	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:873
874	Bronchopulmonary Dysplasia	0019091	MONDO:0019091	NORD:874	bronchopulmonary dysplasia	NORD:874	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:874
875	Brown-Sequard syndrome 	0008853	MONDO:0008853	NORD:875	Barber-Say syndrome	NORD:875	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:875
877	Brucellosis	0005683	MONDO:0005683	NORD:877	brucellosis	NORD:877	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:877
878	Brugada Syndrome	0015263	MONDO:0015263	NORD:878	Brugada syndrome	NORD:878	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:878
879	Budd Chiari Syndrome	0019514	MONDO:0019514	NORD:879	hepatic veno-occlusive disease	NORD:879	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:879
880	Buerger's Disease	0008889	MONDO:0008889	NORD:880	thromboangiitis obliterans	NORD:880	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:880
882	C Syndrome	0008893	MONDO:0008893	NORD:882	C syndrome	NORD:882	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:882
883	CADASIL	0000914	MONDO:0000914	NORD:883	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	NORD:883	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:883
884	Campomelic Syndrome	0007251	MONDO:0007251	NORD:884	campomelic dysplasia	NORD:884	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:884
885	Camurati-Engelmann Disease	0007542	MONDO:0007542	NORD:885	Camurati-Engelmann disease	NORD:885	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:885
886	Canavan Disease	0010079	MONDO:0010079	NORD:886	Canavan disease	NORD:886	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:886
888	CARASIL	0010829	MONDO:0010829	NORD:888	CARASIL syndrome	NORD:888	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:888
890	Carcinoid Syndrome	0100347	MONDO:0100347	NORD:890	carcinoid syndrome	NORD:890	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:890
891	Cardiofaciocutaneous Syndrome	0015280	MONDO:0015280	NORD:891	cardiofaciocutaneous syndrome	NORD:891	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:891
894	Carnitine Palmitoyltransferase 1A Deficiency	0009705	MONDO:0009705	NORD:894	carnitine palmitoyl transferase 1A deficiency	NORD:894	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:894
896	Caroli Disease	0010913	MONDO:0010913	NORD:896	Caroli disease	NORD:896	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:896
897	Carpenter Syndrome	0019012	MONDO:0019012	NORD:897	Carpenter syndrome	NORD:897	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:897
898	Castleman Disease	0015564	MONDO:0015564	NORD:898	Castleman disease	NORD:898	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:898
899	Cat Eye Syndrome	0007276	MONDO:0007276	NORD:899	cat-eye syndrome	NORD:899	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:899
901	Catel Manzke Syndrome	0014507	MONDO:0014507	NORD:901	Catel-Manzke syndrome	NORD:901	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:901
902	Caudal Regression Syndrome	0017607	MONDO:0017607	NORD:902	caudal regression sequence	NORD:902	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:902
904	CDKL5 Deficiency Disorder	0100039	MONDO:0100039	NORD:904	CDKL5 disorder	NORD:904	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:904
909	Centronuclear Myopathy	0018947	MONDO:0018947	NORD:909	centronuclear myopathy	NORD:909	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:909
910	Cerebellar Agenesis	0008939	MONDO:0008939	NORD:910	isolated cerebellar hypoplasia/agenesis	NORD:910	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:910
913	Cerebro Oculo Facio Skeletal Syndrome	0008926	MONDO:0008926	NORD:913	COFS syndrome	NORD:913	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:913
914	Cerebrocostomandibular Syndrome	0007301	MONDO:0007301	NORD:914	cerebrocostomandibular syndrome	NORD:914	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:914
915	Cerebrotendinous Xanthomatosis	0008948	MONDO:0008948	NORD:915	cerebrotendinous xanthomatosis	NORD:915	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:915
918	Chandler's Syndrome	0020369	MONDO:0020369	NORD:918	Chandler syndrome	NORD:918	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:918
919	Charcot-Marie-Tooth Disease	0015626	MONDO:0015626	NORD:919	Charcot-Marie-Tooth disease	NORD:919	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:919
920	CHARGE Syndrome	0008965	MONDO:0008965	NORD:920	CHARGE syndrome	NORD:920	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:920
921	Chediak Higashi Syndrome	0008963	MONDO:0008963	NORD:921	Chediak-Higashi syndrome	NORD:921	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:921
924	Chikungunya	0017941	MONDO:0017941	NORD:924	chikungunya	NORD:924	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:924
926	Cholangiocarcinoma	0019087	MONDO:0019087	NORD:926	cholangiocarcinoma	NORD:926	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:926
928	Cholera	0015766	MONDO:0015766	NORD:928	cholera	NORD:928	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:928
929	Cholesteryl Ester Storage Disease	0019149	MONDO:0019149	NORD:929	cholesteryl ester storage disease	NORD:929	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:929
930	Chondrocalcinosis 2	0007319	MONDO:0007319	NORD:930	chondrocalcinosis 2	NORD:930	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:930
931	Chordoma	0008978	MONDO:0008978	NORD:931	chordoma	NORD:931	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:931
932	Choroideremia	0010557	MONDO:0010557	NORD:932	choroideremia	NORD:932	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:932
933	Choroiditis, Serpiginous	0018152	MONDO:0018152	NORD:933	serpiginous choroiditis	NORD:933	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:933
934	Chromosome 10, Distal Trisomy 10q	0019884	MONDO:0019884	NORD:934	distal trisomy 10q	NORD:934	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:934
