cls	clsLabel
MONDO:0019110	obsolete rare central nervous system or retinal vascular disease
MONDO:0036491	obsolete rare childhood malignant neoplasm
MONDO:0017645	obsolete rare choreic movement disorder
MONDO:0020015	obsolete rare circulatory system disease
MONDO:0020198	obsolete rare conjunctival disease
MONDO:0015972	obsolete rare constitutional anemia
MONDO:0015910	obsolete rare constitutional hemolytic anemia
MONDO:0018887	obsolete rare cutaneous lupus erythematosus
MONDO:0019047	obsolete rare deafness
MONDO:0016623	obsolete rare deficiency anemia
MONDO:0019515	obsolete rare dementia
MONDO:0015122	obsolete rare diabetes mellitus
MONDO:0015886	obsolete rare diabetes mellitus type 1
MONDO:0020033	obsolete rare digestive tumor
MONDO:0021200	obsolete rare disease
MONDO:0015184	obsolete rare disease involving intestinal motility
MONDO:0015582	"obsolete rare disorder related with pregnancy, childbirth and puerperium"
MONDO:0015906	obsolete rare disorder with hypergonadotropic hypogonadism
MONDO:0019049	obsolete rare dystonia
MONDO:0020005	obsolete rare endocrine disease
MONDO:0015305	obsolete rare endometriosis
MONDO:0015139	obsolete rare epilepsy
MONDO:0018512	obsolete rare epithelial tumor of colon
MONDO:0018514	obsolete rare epithelial tumor of rectum
MONDO:0020004	obsolete rare eye disease
MONDO:0015121	obsolete rare eye tumor
MONDO:0020026	obsolete rare female infertility
MONDO:0019997	obsolete rare gastroenterologic disease
MONDO:0015971	obsolete rare genetic adrenal disease
MONDO:0018557	obsolete rare genetic autonomic nervous system disorder
MONDO:0015958	obsolete rare genetic bone disease
MONDO:0018728	obsolete rare genetic capillary malformation
MONDO:0020029	obsolete rare genetic cardiac disease
MONDO:0019291	obsolete rare genetic dermis disorder
MONDO:0015960	obsolete rare genetic developmental defect during embryogenesis
MONDO:0021198	obsolete rare genetic disease
MONDO:0015513	obsolete rare genetic endocrine disease
MONDO:0015946	obsolete rare genetic epidermal disorder
MONDO:0015955	obsolete rare genetic epilepsy
MONDO:0015107	obsolete rare genetic eye disease
MONDO:0018410	obsolete rare genetic female infertility
MONDO:0015615	obsolete rare genetic gastroenterological disease
MONDO:0015980	obsolete rare genetic gynecological and obstetrical diseases
MONDO:0015954	obsolete rare genetic headache disorder
MONDO:0015549	obsolete rare genetic hematologic disease
MONDO:0015507	obsolete rare genetic hepatic disease
MONDO:0015984	obsolete rare genetic immune disease
MONDO:0019041	obsolete rare genetic inherited tumor
MONDO:0015982	obsolete rare genetic intellectual disability
MONDO:0015616	obsolete rare genetic intestinal disease
MONDO:0018404	obsolete rare genetic male infertility
MONDO:0015115	obsolete rare genetic metabolic liver disease
MONDO:0015957	obsolete rare genetic movement disorder
MONDO:0017660	obsolete rare genetic parkinsonian disorder
MONDO:0015138	obsolete rare genetic primary immunodeficiency
MONDO:0020030	obsolete rare genetic renal disease
MONDO:0015510	obsolete rare genetic respiratory disease
MONDO:0019043	obsolete rare genetic skin disease
MONDO:0015948	obsolete rare genetic skin vascular disorder
MONDO:0015949	obsolete rare genetic subcutaneous tissue disorder
MONDO:0015983	obsolete rare genetic syndromic intellectual disability
MONDO:0015969	obsolete rare genetic thyroid disease
MONDO:0015511	obsolete rare genetic urogenital disease
MONDO:0016517	obsolete rare genetic vascular disease
MONDO:0018080	obsolete rare germ cell tumor
MONDO:0020037	obsolete rare gynecological tumor
MONDO:0017371	obsolete rare head and neck tumor
MONDO:0020011	obsolete rare headache disorder
MONDO:0020100	obsolete rare hemolytic anemia
MONDO:0016627	obsolete rare hemorrhagic disorder
MONDO:0015117	obsolete rare hepatic and biliary tract tumor
MONDO:0018928	obsolete rare hepatic disease
MONDO:0016363	obsolete rare hereditary hemochromatosis
MONDO:0018799	obsolete rare hypercholesterolemia
MONDO:0015897	obsolete rare hyperparathyroidism
MONDO:0015894	obsolete rare hyperthyroidism
MONDO:0015904	obsolete rare hypolipidemia
MONDO:0015896	obsolete rare hypoparathyroidism
MONDO:0015893	obsolete rare hypothyroidism
MONDO:0020008	obsolete rare immune disease
MONDO:0019062	obsolete rare infectious disease
MONDO:0020024	obsolete rare infertility
MONDO:0015187	obsolete rare inflammatory bowel disease
MONDO:0015123	obsolete rare inherited dyslipidemia
MONDO:0015901	obsolete rare inherited hyperlipidemia
MONDO:0019491	obsolete rare intellectual disability
MONDO:0015245	obsolete rare intestinal disease
MONDO:0015224	obsolete rare intoxication
MONDO:0020207	obsolete rare isolated myopia
MONDO:0020192	obsolete rare lacrimal system disease
MONDO:0016766	obsolete rare lichen planus
MONDO:0020025	obsolete rare male infertility
MONDO:0015870	obsolete rare malignant breast tumor
MONDO:0015143	obsolete rare movement disorder
MONDO:0015578	obsolete rare mycosis
MONDO:0017650	obsolete rare myoclonus
MONDO:0016645	obsolete rare neoplastic disease
MONDO:0020036	obsolete rare nervous system tumor
MONDO:0015918	obsolete rare neurodegenerative disease
MONDO:0020009	obsolete rare neurologic disease
MONDO:0017414	obsolete rare nevus
MONDO:0015108	obsolete rare non-syndromic intellectual disability
MONDO:0017797	obsolete rare odontologic tumor
MONDO:0020017	obsolete rare otorhinolaryngologic disease
MONDO:0020151	obsolete rare palpebral disease
MONDO:0015112	obsolete rare pancreatic disease
MONDO:0015577	obsolete rare parasitic disease
MONDO:0015076	obsolete rare parathyroid tumor
MONDO:0015114	obsolete rare parenchymal liver disease
MONDO:0019059	obsolete rare parkinsonian disorder
MONDO:0020126	obsolete rare peripheral neuropathy
MONDO:0015680	obsolete rare pervasive developmental disorder
MONDO:0015899	obsolete rare primary hyperaldosteronism
MONDO:0019096	obsolete rare pulmonary hypertension
MONDO:0019750	obsolete rare renal disease
MONDO:0019749	obsolete rare renal tumor
MONDO:0020000	obsolete rare respiratory disease
MONDO:0020034	obsolete rare respiratory tract neoplasm
MONDO:0015940	obsolete rare rheumatologic disease
MONDO:0019519	obsolete rare skin disease
MONDO:0019045	obsolete rare sleep disorder
MONDO:0019099	obsolete rare soft tissue tumor
MONDO:0020003	obsolete rare surgical cardiac disease
MONDO:0020002	obsolete rare surgical thoracic disease
MONDO:0015162	obsolete rare syndromic intellectual disability
MONDO:0015125	obsolete rare thyroid disease
MONDO:0017644	obsolete rare tremor disorder
MONDO:0020031	obsolete rare tumor
MONDO:0015936	obsolete rare tumor of endocrine glands
MONDO:0015186	obsolete rare tumor of intestine
MONDO:0017632	obsolete rare tumor of liver and intrahepatic biliary tract
MONDO:0016679	obsolete rare tumor of neuroepithelial tissue
MONDO:0015882	obsolete rare tumor of pancreas
MONDO:0018505	obsolete rare tumor of small intestine
MONDO:0020032	obsolete rare urinary tract tumor
MONDO:0015106	obsolete rare urogenital disease
MONDO:0015931	obsolete rare urogenital tumor
MONDO:0019298	obsolete rare urticaria
MONDO:0016252	obsolete rare uterine cancer
MONDO:0019048	obsolete rare vascular disease
MONDO:0015113	obsolete rare vascular liver disease
MONDO:0016228	obsolete rare vascular tumor
MONDO:0015576	obsolete rare viral disease
MONDO:0019546	other acquired skin disease
MONDO:0019274	other epidermal disorder
MONDO:0018798	other genetic dermis disorder
MONDO:0019275	other genetic epidermal disease
MONDO:0018041	other immunodeficiency syndrome with predominantly antibody defects
MONDO:0018033	other immunodeficiency syndromes due to defects in innate immunity
MONDO:0019602	other inborn metabolic disease
MONDO:0016406	other metabolic disease with epilepsy
MONDO:0019252	other metabolic disease with skin involvement
MONDO:0015888	other rare diabetes mellitus
MONDO:0017120	other syndrome with a central nervous system malformation as major feature
MONDO:0015147	other syndrome with lissencephaly as a major feature
MONDO:0017655	progressive epilepsy and/or ataxia with myoclonus as a major feature
MONDO:0015777	rare adult hypothyroidism
MONDO:0018238	rare bone disease related to a common gene or pathway defect
MONDO:0015851	rare breast malformation
MONDO:0015119	rare bronchopulmonary tumor
MONDO:0018719	rare capillary malformation with associated anomalies
MONDO:0019748	rare cause of hypertension
MONDO:0018721	rare combined vascular malformation
MONDO:0020104	rare constitutional hemolytic anemia due to an enzyme disorder
MONDO:0016767	rare cutaneous lichen planus
MONDO:0015332	rare developmental defect with connective tissue involvement
MONDO:0015887	rare diabetes mellitus type 2
MONDO:0015878	rare disease with autism
MONDO:0015669	rare disease with dentinogenesis imperfecta
MONDO:0020222	rare disease with glaucoma as a major feature
MONDO:0018753	rare disease with malignant hyperthermia
MONDO:0017652	rare disease with myoclonus as a major feature
MONDO:0020014	rare disease with odontological manifestation
MONDO:0015319	rare disease with Pierre Robin syndrome
MONDO:0015890	rare disorder with congenital hypogonadotropic hypogonadism
MONDO:0018265	rare disorder with dystonia and other neurologic or systemic manifestation
MONDO:0018399	rare disorder with female infertility due to a congenital hypogonadotropic hypogonadism
MONDO:0020169	rare disorder with ptosis
MONDO:0019590	rare endocrine growth disease
MONDO:0019268	rare epidermal disease
MONDO:0018530	rare epithelial tumor of liver and intrahepatic biliary tract
MONDO:0018520	rare epithelial tumor of pancreas
MONDO:0018539	rare epithelial tumor of small intestine
MONDO:0018972	rare epithelial tumor of stomach
MONDO:0020149	rare eye disease due to a differentiation anomaly
MONDO:0020184	rare eyebrow/eyelashes anomaly
MONDO:0020152	rare eyelid malformation
MONDO:0020484	rare familial disorder with hypertrophic cardiomyopathy
MONDO:0018412	rare female infertility due to adrenal disorder of genetic origin
MONDO:0018400	rare female infertility due to an adrenal disorder
MONDO:0018411	rare female infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin
MONDO:0019331	rare form of salmonellosis
MONDO:0015881	rare gastroesophageal tumor
MONDO:0018457	rare genetic bone development disorder
MONDO:0017665	rare genetic disease with myoclonus as a major feature
MONDO:0018409	rare genetic disorder with obstructive azoospermia
MONDO:0015968	rare genetic hypothalamic or pituitary disease
MONDO:0018488	rare genetic odontal or periodontal disorder
MONDO:0015964	"rare genetic palpebral, lacrimal system and conjunctival disease"
MONDO:0015970	rare genetic parathyroid disease and phosphocalcic metabolism disorder
MONDO:0015965	rare genetic refraction anomaly
MONDO:0018729	rare genetic vascular tumor
MONDO:0018730	rare genetic venous malformation
MONDO:0019937	rare gynecologic or obstetric disease
MONDO:0015475	rare head and neck malformation
MONDO:0020006	rare hematologic disease
MONDO:0019039	rare hemorrhagic disorder due to a constitutional coagulation factors defect
MONDO:0018377	rare hereditary disease with avascular necrosis
MONDO:0016132	rare hereditary disease with peripheral neuropathy
MONDO:0016133	rare hereditary metabolic disease with peripheral neuropathy
MONDO:0016135	rare hereditary neurologic disease with peripheral neuropathy
MONDO:0016134	rare hereditary systemic disease with peripheral neuropathy
MONDO:0016320	rare hereditary thrombophilia
MONDO:0044636	rare hyperkinetic movement disorder
MONDO:0020209	rare hyperopia and astigmatism
MONDO:0015889	rare hypothalamic or pituitary disease
MONDO:0018833	rare idiopathic macular telangiectasia
MONDO:0020092	rare idiopathic male infertility
MONDO:0015937	rare inflammatory eye disease
MONDO:0015885	rare insulin-resistance syndrome
MONDO:0017633	rare intoxication due to medical products
MONDO:0016233	rare lymphatic system malformation
MONDO:0018396	rare male fertility disorder with obstructive azoospermia
MONDO:0018387	rare male infertility due to adrenal disorder
MONDO:0018406	rare male infertility due to adrenal disorder of genetic origin
MONDO:0018386	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder
MONDO:0018405	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin
MONDO:0018388	rare male infertility due to testicular endocrine disorder
MONDO:0019038	rare maxillo-facial surgical disease
MONDO:0016768	rare mucosal lichen planus
MONDO:0015916	rare neuroinflammatory or neuroimmunological disease
MONDO:0020016	rare neurologic disease with psychiatric involvement
MONDO:0016508	rare non surgically correctable form of primary aldosteronism
MONDO:0015858	rare non-malformative breast disease
MONDO:0015857	rare non-malformative gynecologic or obstetric disease
MONDO:0015875	rare non-malformative uterine adnexal disease
MONDO:0015859	rare non-malformative uterovaginal or vulvovaginal disease
MONDO:0015603	rare odontal or periodontal disorder
MONDO:0020013	rare odontologic disease
MONDO:0021135	rare or common
MONDO:0020035	rare otorhinolaryngologic tumor
MONDO:0019936	rare otorhinolaryngological malformation
MONDO:0020150	"rare palpebral, lacrimal system and conjunctival disease"
MONDO:0019061	rare parathyroid disease and phosphocalcic metabolism anomaly
MONDO:0017661	rare parkinsonian syndrome due to genetic neurodegenerative disease
MONDO:0017637	rare parkinsonian syndrome due to intoxication
MONDO:0017657	rare paroxysmal movement disorder
MONDO:0019304	rare photodermatosis
MONDO:0015118	rare pulmonary disease
MONDO:0020206	rare refraction anomaly
MONDO:0019744	rare renal tubular disease
MONDO:0020251	rare strabismus and restriction syndrome
MONDO:0016507	rare surgically correctable form of primary aldosteronism
MONDO:0015506	rare syndrome with cardiac malformations
MONDO:0018880	rare teratologic disease
MONDO:0015913	rare thrombotic disease of hematologic origin
MONDO:0017631	rare tumor of gallbladder and extrahepatic biliary tract
MONDO:0017166	rare tumor of salivary glands
MONDO:0015861	rare uterine adnexal tumor
MONDO:0015847	rare vaginal malformation
MONDO:0016254	rare variants of adenocarcinoma of the corpus uteri
MONDO:0018723	rare vascular malformation of major vessels
MONDO:0016232	rare venous malformation
MONDO:0015876	rare vulvovaginal tumor
MONDO:0016055	syndrome with corpus callosum agenesis /dysgenesis as a major feature
MONDO:0015226	syndrome with limb malformations as a major feature
MONDO:0017159	syndrome with pulmonary hypertension as a major feature
MONDO:0016632	thrombotic disorder due to a coagulation factors defect
MONDO:0016633	thrombotic disorder due to a constitutional coagulation factors defect
MONDO:0016636	thrombotic disorder due to a constitutional platelet anomaly
MONDO:0016635	thrombotic disorder due to a platelet anomaly
MONDO:0016634	thrombotic disorder due to an acquired coagulation factors defect
MONDO:0016637	thrombotic disorder due to an acquired platelet anomaly
MONDO:0018285	X-linked congenital disorder of glycosylation with intellectual disability as a major feature
