cls	cls_label	textdef_count	xref_count	named_superclass_count	anon_superclass_count	named_equiv_count	anon_equiv_count
MONDO:0019676	"brachydactyly type B"	1	3	1	0	1	0
MONDO:0005355	"coronary restenosis"	1	4	1	0	1	0
MONDO:0004422	"cerebral falx meningioma"	1	3	1	0	1	1
MONDO:0010759	"Wildervanck syndrome"	1	8	3	0	3	0
MONDO:0016156	"qualitative or quantitative defects of FKRP"	0	1	1	0	1	0
MONDO:0016492	"beta-thalassemia with other manifestations"	1	2	1	0	1	0
MONDO:0017482	"humeral agenesis/hypoplasia, unilateral"	0	2	1	0	1	0
MONDO:0004956	"metastatic prostate carcinoma"	1	4	3	0	3	1
MONDO:0005409	"obsolete variant Creutzfeld Jacob disease"	0	0	0	0	0	0
MONDO:0016141	"qualitative or quantitative defects of alpha-sarcoglycan"	0	1	1	0	1	1
MONDO:0015683	"primary malignant peritoneal tumor"	0	5	1	0	1	0
MONDO:0006870	"obsolete noma"	0	0	0	0	0	0
MONDO:0005056	"keratinizing squamous cell carcinoma"	1	5	2	0	2	0
MONDO:0012919	"type 1 diabetes mellitus 20"	1	5	1	0	1	1
MONDO:0020336	"autosomal dominant Emery-Dreifuss muscular dystrophy"	1	3	1	0	1	1
MONDO:0003649	"esophageal neuroendocrine tumor"	1	5	2	0	2	1
MONDO:0020815	"dentigerous cyst"	1	3	1	0	1	0
MONDO:0008803	"Antley-Bixler syndrome"	1	5	2	0	2	0
MONDO:0017245	"intralobar congenital pulmonary sequestration"	0	2	1	0	1	0
MONDO:0007013	"vasculogenic impotence"	1	4	1	0	1	0
MONDO:0002066	"breast adenomyoepithelioma"	1	5	2	0	2	0
MONDO:0018480	"carcinoma of esophagus, salivary gland type"	0	9	1	0	1	0
MONDO:0015837	"Unicervical bicornuate uterus"	0	2	1	0	1	0
MONDO:0002811	"main bronchus cancer"	1	6	1	0	1	1
MONDO:0021145	"disease of genitourinary system"	1	3	1	0	1	1
MONDO:0004988	"breast adenocarcinoma"	1	3	2	0	2	1
MONDO:0018741	"paracetamol poisoning"	0	3	2	0	2	1
MONDO:0014275	"Fanconi renotubular syndrome 3"	1	2	1	0	1	1
MONDO:0011532	"hereditary spastic paraplegia 13"	1	7	2	0	2	1
MONDO:0024546	"hypertrophic osteoarthropathy, primary, autosomal recessive, 1"	1	1	1	0	1	1
MONDO:0018587	"non-recovering obstetric brachial plexus lesion"	0	3	1	0	1	0
MONDO:0021631	"brain astrocytoma"	1	3	2	0	2	1
MONDO:0036491	"obsolete rare childhood malignant neoplasm"	1	2	0	0	0	0
MONDO:0006881	"orbital cellulitis"	1	10	3	0	3	0
MONDO:0017864	"congenital pulmonary veins atresia or stenosis"	1	5	2	0	2	0
MONDO:0002090	"eccrine sweat gland neoplasm"	1	3	1	0	1	1
MONDO:0010826	"childhood absence epilepsy"	1	6	3	0	3	0
MONDO:0040700	"orbital dermoid cyst"	1	3	2	0	2	1
MONDO:0019423	"X-linked intellectual disability, Stoll type"	1	4	2	0	2	0
MONDO:0009074	"facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome"	1	5	2	0	2	0
MONDO:0006215	"gallbladder adenocarcinoma"	1	4	2	0	2	1
MONDO:0000005	"alopecia, isolated"	0	2	1	0	1	0
MONDO:0001575	"chronic gonococcal salpingitis"	1	5	1	0	1	1
MONDO:0016406	"other metabolic disease with epilepsy"	0	2	1	0	1	0
MONDO:0003733	"central nervous system mature teratoma"	1	4	2	0	2	1
MONDO:0002821	"trabecular follicular adenocarcinoma"	0	2	0	0	0	0
MONDO:0017945	"ABetaL34V amyloidosis"	1	3	1	0	1	0
MONDO:0010470	"Baratela-Scott syndrome"	0	2	1	0	1	0
MONDO:0000909	"Bartter disease type 4B"	1	4	1	0	1	0
MONDO:0003076	"unilateral retinoblastoma"	1	3	1	0	1	0
MONDO:0010966	"achondrogenesis type IB"	1	5	2	0	2	0
MONDO:0032800	"robinow syndrome, autosomal recessive 2"	0	1	1	0	1	0
MONDO:0009270	"genito-palato-cardiac syndrome"	1	6	2	0	2	0
MONDO:0017500	"congenital absence of both lower leg and foot, unilateral"	0	2	1	0	1	0
MONDO:0010583	"Dyggve-Melchior-Clausen syndrome, X-linked"	1	2	1	0	1	1
MONDO:0020540	"ovarian gynandroblastoma"	1	10	4	0	4	0
MONDO:0008849	"atrophoderma vermiculata"	0	6	3	0	3	0
MONDO:0032811	"night blindness, congenital stationary, type1i"	0	1	1	0	1	0
MONDO:0002486	"lobular neoplasia"	1	3	1	0	1	0
MONDO:0004465	"periampullary adenocarcinoma"	1	3	1	0	1	1
MONDO:0000078	"acrocephalopolysyndactyly"	1	3	1	0	1	0
MONDO:0012507	"retinal cone dystrophy 4"	1	4	1	0	1	1
MONDO:0000003	"obsolete 17-hydroxysteroid dehydrogenase deficiency"	0	1	0	0	0	0
MONDO:0000275	"obsolete monogenic disease"	1	1	0	0	0	0
MONDO:0003002	"dysgerminoma (disease)"	1	6	1	0	1	0
MONDO:0006162	"colorectal neuroendocrine tumor G1"	1	3	2	0	2	1
MONDO:0010475	"X-linked central congenital hypothyroidism with late-onset testicular enlargement"	1	6	3	0	3	0
MONDO:0011193	"cone dystrophy 3"	1	3	1	0	1	1
MONDO:0007532	"Electroencephalographic peculiarity: occipital slow beta waves"	0	1	1	0	1	0
MONDO:0009695	"myeloproliferative disease, autosomal recessive"	0	3	1	0	1	0
MONDO:0015495	"otomandibular dysplasia associated with monogenic syndromes"	0	2	1	0	1	0
MONDO:0000178	"obsolete breasts and/or nipples, aplasia or hypoplasia of"	0	1	0	0	0	0
MONDO:0009361	"autosomal recessive hydrocephalus due to congenital stenosis of aqueduct of Sylvius"	0	2	1	0	1	0
MONDO:0000416	"obsolete variable age at onset electroclinical syndrome"	0	0	0	0	0	0
MONDO:0018842	"primary effusion lymphoma"	1	12	5	0	5	0
MONDO:0009827	"pachyonychia congenita, autosomal recessive"	0	3	1	0	1	0
MONDO:0018774	"erythrokeratodermia-cardiomyopathy syndrome"	1	2	1	0	1	0
MONDO:0019977	"parkinsonism with dementia of Guadeloupe"	1	5	2	0	2	0
MONDO:0006715	"coronary stenosis"	1	6	2	0	2	0
MONDO:0018032	"constitutional neutropenia with extra-hematopoietic manifestations"	0	1	1	0	1	0
MONDO:0012129	"leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema"	0	4	1	0	1	0
MONDO:0007860	"focal palmoplantar and gingival keratoderma"	1	7	3	0	3	0
MONDO:0001297	"cardiac tamponade"	1	9	3	0	3	0
MONDO:0013554	"psoriasis 13, susceptibility to"	1	1	1	0	1	1
MONDO:0020701	"brachydactyly type A1A"	0	1	1	0	1	1
MONDO:0005720	"cowpox"	1	7	2	0	2	1
MONDO:0042983	"neurocutaneous syndrome"	1	4	2	0	2	0
MONDO:0000844	"obsolete spondyloepimetaphyseal dysplasia"	0	0	0	0	0	0
MONDO:0009456	"Immunoerythromyeloid hypoplasia"	0	2	1	0	1	0
MONDO:0008078	"neurofibromatosis, familial spinal"	0	3	1	0	1	0
MONDO:0032609	"mitochondrial complex 1 deficiency, nuclear type 4"	0	1	1	0	1	0
MONDO:0003122	"striatonigral degeneration"	1	8	3	0	3	0
MONDO:0008990	"cleft larynx, posterior"	0	3	1	0	1	0
MONDO:0032608	"mitochondrial complex 1 deficiency, nuclear type 3"	0	1	1	0	1	0
MONDO:0300000	"SSR3-CDG"	1	1	0	0	0	0
MONDO:0016669	"sickle cell-hemoglobin c disease syndrome"	0	5	1	0	1	0
MONDO:0004638	"lymphosarcoma"	1	11	2	0	2	0
MONDO:0015303	"macular amyloidosis"	1	4	1	0	1	0
MONDO:0007399	"craniosynostosis 1"	0	3	2	0	2	0
MONDO:0013401	"hereditary spastic paraplegia 51"	1	4	1	0	1	1
MONDO:0011650	"atrioventricular septal defect, susceptibility to, 2"	1	2	1	0	1	1
MONDO:0008792	"familial angiolipomatosis"	1	5	2	0	2	0
MONDO:0006484	"usual ductal breast hyperplasia"	1	5	3	0	3	0
MONDO:0002607	"obsolete lymphangioleiomyomatosis"	0	0	0	0	0	0
MONDO:0004693	"squamous carcinoma in situ"	1	4	1	0	1	1
MONDO:0060562	"encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities"	0	2	1	0	1	0
MONDO:0004825	"obsolete encephalitis"	0	0	0	0	0	0
MONDO:0015592	"limbic encephalitis with LGI1 antibodies"	1	4	2	0	2	0
MONDO:0009320	"Hall-Riggs syndrome"	1	7	3	0	3	0
MONDO:0014781	"combined oxidative phosphorylation deficiency 29"	1	2	1	0	1	1
MONDO:0008673	"acrofacial dysostosis, Weyers type"	1	8	3	0	3	0
MONDO:0060707	"Ververi-Brady syndrome"	0	2	1	0	1	0
MONDO:0002262	"capillary lymphangioma"	1	2	1	0	1	1
MONDO:0019626	"isolated ankyloblepharon filiforme adnatum"	1	2	1	0	1	0
MONDO:0001108	"broad ligament malignant neoplasm"	1	6	1	0	1	1
MONDO:0033044	"Meckel syndrome 13"	0	3	1	0	1	0
MONDO:0006700	"choroid cancer"	1	8	3	0	3	1
MONDO:0017691	"erythrocyte galactose epimerase deficiency"	0	4	2	0	2	0
MONDO:0012174	"peripheral cone dystrophy"	0	3	1	0	1	0
MONDO:0017752	"defect in V-ATPase"	0	2	1	0	1	0
MONDO:0006230	"gastric squamous cell carcinoma"	1	14	4	0	4	1
MONDO:0017571	"Proteus-like syndrome"	1	5	2	0	2	0
MONDO:0008420	"seborrheic keratosis"	1	11	3	0	3	0
MONDO:0018381	"osteochondrosis"	1	12	4	0	4	0
MONDO:0015892	"growth hormone insensitivity syndrome"	1	7	2	0	2	0
MONDO:0009566	"marfanoid habitus-autosomal recessive intellectual disability syndrome"	1	6	2	0	2	0
MONDO:0013846	"peripartum cardiomyopathy, susceptibility to"	0	1	1	0	1	0
MONDO:0011915	"MMVP2"	0	3	1	0	1	0
MONDO:0006370	"obsolete pineoblastoma"	0	0	0	0	0	0
MONDO:0004648	"vascular dementia"	1	9	3	0	3	0
MONDO:0014246	"episodic pain syndrome, familial, 2"	1	2	1	0	1	1
MONDO:0032910	"mitochondrial complex 1 deficiency, nuclear type 34"	0	1	1	0	1	0
MONDO:0043726	"multiple organ dysfunction syndrome"	1	2	1	0	1	0
MONDO:0015863	"polyembryoma"	1	4	2	0	2	0
MONDO:0018750	"class I glucose-6-phosphate dehydrogenase deficiency"	0	1	1	0	1	0
MONDO:0005974	"strongyloidiasis"	1	17	4	0	4	0
MONDO:0001839	"obsolete interstitial cystitis"	0	0	0	0	0	0
MONDO:0012052	"ALG1-CDG"	1	7	3	0	3	0
MONDO:0015045	"alpha-heavy chain disease"	1	9	3	0	3	0
MONDO:0000290	"primary amebic meningoencephalitis"	1	6	1	0	1	1
MONDO:0009330	"hemangiopericytoma, malignant"	1	6	2	0	2	0
MONDO:0013885	"Malan overgrowth syndrome"	1	5	3	0	3	0
MONDO:0023571	"Kozlowski Rafinski Klicharska syndrome"	0	3	0	0	0	0
MONDO:0016395	"foveal hypoplasia-presenile cataract syndrome"	0	4	1	0	1	0
MONDO:0004114	"urinary bladder small cell neuroendocrine carcinoma"	1	18	4	0	4	1
MONDO:0009970	"renal tubular dysgenesis of genetic origin"	1	3	2	0	2	1
MONDO:0011397	"autosomal dominant cerebellar ataxia, deafness and narcolepsy"	1	5	2	0	2	0
MONDO:0008378	"retinitis pigmentosa 9"	1	6	1	0	1	1
MONDO:0020586	"factor V deficiency"	1	2	2	0	2	0
MONDO:0017777	"obsolete rat-bite fever"	0	0	0	0	0	0
MONDO:0009057	"cyanosis and hepatic disease"	0	3	1	0	1	0
MONDO:0006123	"cardiac rhabdomyoma (disease)"	1	4	2	0	2	1
MONDO:0010123	"absent thumb-short stature-immunodeficiency syndrome"	1	5	2	0	2	0
MONDO:0000141	"mosaic variegated aneuploidy syndrome"	1	10	4	0	4	0
MONDO:0044634	"retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome"	0	3	2	0	2	0
MONDO:0023521	"Judge Misch wright syndrome"	0	3	0	0	0	0
MONDO:0024475	"squamous cell intraepithelial neoplasia"	0	1	1	0	1	1
MONDO:0019667	"spondyloepiphyseal dysplasia tarda"	1	4	2	0	2	0
MONDO:0008298	"postaxial tetramelic oligodactyly"	1	6	2	0	2	0
MONDO:0011024	"dermatitis herpetiformis, familial"	1	4	1	0	1	1
MONDO:0001789	"neurofibroma of spinal cord"	1	3	1	0	1	1
MONDO:0010892	"obsolete mitochondrial myopathy and sideroblastic anemia"	0	0	0	0	0	0
MONDO:0009138	"dysosteosclerosis"	1	8	3	0	3	0
MONDO:0011535	"split hand-foot malformation 4"	1	4	1	0	1	1
MONDO:0008539	"obsolete distal arthrogryposis type 10"	0	0	0	0	0	0
MONDO:0002206	"sweat gland cancer"	1	4	1	0	1	1
MONDO:0005403	"obsolete neonatal systemic lupus erthematosus"	0	0	0	0	0	0
MONDO:0060564	"helix syndrome"	0	2	1	0	1	0
MONDO:0015273	"complete atrioventricular canal"	1	6	2	0	2	0
MONDO:0015366	"autosomal recessive hereditary sensory and autonomic neuropathy"	1	3	1	0	1	1
MONDO:0016415	"obsolete immunodeficiency-centromeric instability-facial anomalies syndrome"	0	0	0	0	0	0
MONDO:0005661	"babesiosis"	1	12	4	0	4	1
MONDO:0018583	"human infection by orthopoxvirus"	0	3	1	0	1	0
MONDO:0007983	"Schmid metaphyseal chondrodysplasia"	1	7	3	0	3	0
MONDO:0011428	"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3"	1	4	1	0	1	1
MONDO:0003322	"epithelial predominant Wilms' tumor"	1	3	1	0	1	0
MONDO:0015300	"cataract - microcornea syndrome"	1	4	1	0	1	0
MONDO:0011604	"spondylo-ocular syndrome"	1	4	3	0	3	0
MONDO:0006702	"chronic inflammatory demyelinating polyradiculoneuropathy"	1	8	2	0	2	0
MONDO:0042490	"neutropenia, severe congenital, 1, autosomal dominant"	0	2	1	0	1	1
MONDO:0002944	"external ear carcinoma"	1	3	1	0	1	1
MONDO:0013103	"epilepsy, idiopathic generalized, susceptibility to, 10"	1	1	1	0	1	1
MONDO:0019276	"inherited epidermolysis bullosa"	1	8	2	0	2	1
MONDO:0003473	"spinal cord ependymoma"	1	4	2	0	2	1
MONDO:0008523	"Blau syndrome"	1	11	4	0	4	0
MONDO:0009169	"endocardial fibroelastosis"	1	13	5	0	5	0
MONDO:0020441	"right superior vena cava connecting to left-sided atrium"	1	2	1	0	1	0
MONDO:0008472	"spondyloepiphyseal dysplasia, MacDermot type"	1	5	2	0	2	0
MONDO:0019520	"syndromic lymphedema"	1	2	1	0	1	1
MONDO:0019233	"peroxisomal beta-oxidation disorder"	0	4	1	0	1	0
MONDO:0007152	"arrhythmogenic right ventricular dysplasia 1"	1	5	1	0	1	1
MONDO:0024744	"childhood choroid plexus neoplasm"	1	1	1	0	1	1
MONDO:0019282	"syndromic hair shaft abnormality"	0	2	1	0	1	0
MONDO:0013871	"Seckel syndrome 6"	1	3	1	0	1	1
MONDO:0018115	"epidermal nevus syndrome"	1	4	2	0	2	0
MONDO:0011034	"odontomicronychial dysplasia"	1	5	2	0	2	0
MONDO:0011841	"biotin-responsive basal ganglia disease"	0	9	3	0	3	1
MONDO:0002443	"bruxism (disease)"	1	5	0	0	0	0
MONDO:0008446	"sperm protamine P4"	0	1	1	0	1	0
MONDO:0015319	"rare disease with Pierre Robin syndrome"	0	2	1	0	1	0
MONDO:0000989	"mumps infectious disease"	1	11	3	0	3	1
MONDO:0020081	"macrophage or histiocytic tumor"	0	2	1	0	1	0
MONDO:0020595	"disease of retroperitoneum"	1	2	2	0	2	1
MONDO:0016154	"qualitative or quantitative defects of myotubularin"	0	1	1	0	1	1
MONDO:0020118	"dense granule disease"	0	3	1	0	1	0
MONDO:0018579	"disorder of ketone body transport"	0	2	1	0	1	0
MONDO:0018779	"hypercontractile muscle stiffness syndrome"	0	2	1	0	1	0
MONDO:0003215	"apocrine sweat gland cancer"	1	3	1	0	1	1
MONDO:0020734	"erythrocyte AMP deaminase deficiency"	0	2	1	0	1	1
MONDO:0015791	"peripheral precocious puberty"	1	3	2	0	2	0
MONDO:0013038	"CLOVES syndrome"	1	10	3	0	3	0
MONDO:0017575	"mitochondrial neurogastrointestinal encephalomyopathy"	1	6	3	0	3	0
MONDO:0018292	"congenital disorder of glycosylation-related bone disorder"	0	2	1	0	1	1
MONDO:0013191	"focal segmental glomerulosclerosis 5"	1	5	1	0	1	1
MONDO:0005510	"hydronephrosis"	1	9	3	0	3	0
MONDO:0000050	"isolated congenital growth hormone deficiency"	0	8	3	0	3	0
MONDO:0017559	"congenital elbow dislocation, bilateral"	0	2	1	0	1	0
MONDO:0004463	"cellular phase chronic idiopathic myelofibrosis"	1	4	2	0	2	0
MONDO:0019777	"Carpenter-Waziri syndrome"	1	2	1	0	1	0
MONDO:0009146	"ectodermal dysplasia-sensorineural deafness syndrome"	1	6	2	0	2	0
MONDO:0020610	"obsolete blood group, diego system"	0	1	0	0	0	0
MONDO:0020030	"obsolete rare genetic renal disease"	0	2	0	0	0	0
MONDO:0021545	"myomatous neoplasm"	1	3	1	0	1	1
MONDO:0017564	"macrodactyly of fingers, unilateral"	0	2	1	0	1	0
MONDO:0003299	"colorectal leiomyoma"	1	3	1	0	1	1
MONDO:0004994	"cardiomyopathy"	1	16	4	0	4	0
MONDO:0007491	"dystelephalangy"	0	4	1	0	1	0
MONDO:0009468	"pseudotumor cerebri"	1	13	5	0	5	0
MONDO:0008397	"aplasia of lacrimal and salivary glands"	1	5	3	0	3	0
MONDO:0013278	"lymphedema, hereditary, 1C"	1	3	1	0	1	1
MONDO:0015913	"rare thrombotic disease of hematologic origin"	0	2	1	0	1	0
MONDO:0014342	"female infertility due to zona pellucida defect"	1	4	2	0	2	0
MONDO:0001915	"orbital cyst"	0	7	1	0	1	0
MONDO:0018046	"thrombocytopenia-robin sequence syndrome"	0	4	1	0	1	0
MONDO:0005509	"histiocytoma"	1	11	2	0	2	0
MONDO:0004000	"childhood pilocytic astrocytoma"	1	3	1	0	1	1
MONDO:0018768	"familial cold autoinflammatory syndrome"	1	10	3	0	3	0
MONDO:0003935	"oncocytic breast carcinoma"	1	3	1	0	1	0
MONDO:0011406	"cholesteatoma, congenital"	0	3	2	0	2	0
MONDO:0000569	"autoimmune disease of endocrine system"	1	4	1	0	1	1
MONDO:0012192	"permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome"	1	4	2	0	2	0
MONDO:0007989	"congenital microcoria"	1	5	3	0	3	0
MONDO:0010523	"X-linked reticulate pigmentary disorder"	1	6	3	0	3	0
MONDO:0014014	"epidermolysis bullosa simplex due to exophilin 5 deficiency"	0	4	2	0	2	0
MONDO:0011531	"Noonan syndrome 2"	0	5	1	0	1	0
MONDO:0011980	"autoimmune thyroid disease, susceptibility to, 1"	0	2	1	0	1	0
MONDO:0019402	"beta thalassemia"	1	11	3	0	3	0
MONDO:0019160	"primary progressive freezing gait"	1	4	2	0	2	0
MONDO:0008381	"dominant pericentral pigmentary retinopathy"	1	5	1	0	1	0
MONDO:0024552	"linear skin defects with multiple congenital anomalies 1"	1	1	1	0	1	1
MONDO:0010535	"Bazex-Dupre-Christol syndrome"	1	5	3	0	3	0
MONDO:0005354	"chronic hepatitis C virus infection"	1	4	1	0	1	1
MONDO:0024614	"neurotic depression"	1	1	1	0	1	0
MONDO:0000719	"obsolete Baraitser-winter syndrome"	0	0	0	0	0	0
MONDO:0014327	"autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering"	0	4	2	0	2	0
MONDO:0006861	"myeloid sarcoma"	1	13	4	0	4	0
MONDO:0012097	"spondylocostal dysostosis 2, autosomal recessive"	0	3	1	0	1	1
MONDO:0016140	"sarcoglycanopathy"	1	2	1	0	1	1
MONDO:0006044	"nephrosclerosis"	1	9	2	0	2	0
MONDO:0018885	"orbital leiomyoma"	1	5	2	0	2	0
MONDO:0014999	"tooth agenesis, selective, 9"	1	1	1	0	1	1
MONDO:0002404	"liver hemangioma"	1	4	2	0	2	1
MONDO:0012504	"camptodactyly-tall stature-scoliosis-hearing loss syndrome"	1	7	2	0	2	0
MONDO:0004505	"central breast papilloma"	1	3	1	0	1	0
MONDO:0054860	"deafness, autosomal recessive 110"	0	1	1	0	1	0
MONDO:0013767	"autoimmune lymphoproliferative syndrome type 4"	1	6	3	0	3	1
MONDO:0004601	"ulcer of lower limbs"	1	4	2	0	2	0
MONDO:0000952	"cancer of long bone of lower limb"	1	5	1	0	1	1
MONDO:0002585	"breast fibrocystic change, proliferative type"	1	3	1	0	1	0
MONDO:0005505	"dysembryoplastic neuroepithelial tumor"	1	9	5	0	5	0
MONDO:0018502	"hereditary gastric cancer"	1	1	1	0	1	1
MONDO:0005034	"thyroid gland follicular carcinoma"	1	9	4	0	4	1
MONDO:0018020	"mercury poisoning"	1	7	3	0	3	1
MONDO:0007961	"megalencephaly, autosomal dominant"	0	2	1	0	1	0
MONDO:0020519	"hand-Schuller-Christian disease"	1	7	3	0	3	0
MONDO:0044747	"human anaplasmosis"	1	3	2	0	2	0
MONDO:0024746	"immature teratoma"	1	2	1	0	1	0
MONDO:0016338	"non-familial dilated cardiomyopathy"	0	2	1	0	1	0
MONDO:0001937	"obsolete LEOPARD syndrome"	0	0	0	0	0	0
MONDO:0000796	"cow milk allergy (disease)"	1	2	0	0	0	1
MONDO:0032568	"intellectual developmental disorder with macrocephaly, seizures, and speech delay"	0	1	1	0	1	0
MONDO:0004952	"Hodgkins lymphoma"	1	16	4	0	4	0
MONDO:0020520	"adult pulmonary Langerhans cell histiocytosis"	1	7	3	0	3	0
MONDO:0007705	"Heinz body anemia"	0	8	2	0	2	0
MONDO:0010649	"isolated congenital megalocornea"	1	5	3	0	3	0
MONDO:0006375	"placental hemangioma"	1	6	3	0	3	1
MONDO:0007089	"Alzheimer disease 2"	1	6	1	0	1	0
MONDO:0006381	"plexiform ameloblastoma"	1	3	2	0	2	0
MONDO:0003784	"nasal cavity carcinoma in situ"	1	6	2	0	2	1
MONDO:0005606	"tubular adenocarcinoma"	1	5	2	0	2	0
MONDO:0009773	"odonto-onycho-dermal dysplasia"	1	7	3	0	3	0
MONDO:0002965	"parovarian cyst"	1	6	1	0	1	0
MONDO:0019999	"intestinal malformation"	0	1	1	0	1	0
