cls	clsLabel	numSuperCls
CHR:9606-chr1q41-q42	"1q41-q42 (Human)"	1
CHEBI:33461	"phosphorus oxoanion"	3
GO:0046005	"positive regulation of circadian sleep/wake cycle, REM sleep"	2
MONDO:0030885	"amyotrophic lateral sclerosis 26 with or without frontotemporal dementia"	1
UBERON:0005219	"hindbrain subarachnoid space"	1
MONDO:0020764	"Brown-Pearce carcinoma"	1
MONDO:1010443	"cardiomyopathy, cattle"	1
MONDO:0014656	"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2"	2
MONDO:0022760	"chromosome 22q deletion"	1
GO:2000829	"negative regulation of parathyroid hormone secretion"	3
HP:0100411	"Complete duplication of the middle phalanx of the 4th toe"	1
NCBITaxon:6682	"Eucarida"	1
MONDO:0020694	"salivary gland epithelial myoepithelial carcinoma"	2
MONDO:0016567	"locked-in syndrome"	1
MONDO:1010661	"thrombocytopenia, horse"	1
UBERON:0013136	"vein of lip"	1
MONDO:0011951	"amyotrophic lateral sclerosis type 6"	2
GO:0099124	"axonal dopamine secretion"	2
MONDO:0020756	"migraine, familial hemiplegic, 1"	2
MONDO:0014549	"lethal congenital contracture syndrome 6"	1
NCBITaxon:2702	"Gardnerella vaginalis"	1
ENVO:06105205	"compacted soil"@en	1
MONDO:0007103	"amyotrophic lateral sclerosis type 1"	1
NCBITaxon:71274	"asterids"	1
MONDO:0023005	"double uterus-hemivagina-renal agenesis"	1
MONDO:0019801	"acute adrenal insufficiency"	2
HP:0011917	"Short 5th toe"	1
UBERON:0014613	"cervical spinal cord gray matter"	1
CL:0000948	"IgE memory B cell"	1
UBERON:0010854	"skin of front of neck"	2
MONDO:0005763	"Flaviviridae infectious disease"	1
CL:1000223	"lung neuroendocrine cell"	6
NCBITaxon:72273	"Thiotrichales"	1
MONDO:0002708	"retinitis"	2
GO:1901403	"positive regulation of tetrapyrrole metabolic process"	2
MONDO:0018394	"male infertility with teratozoospermia due to single gene mutation"	1
MONDO:1011899	"olivopontocerebellar degeneration, non-human animal"	1
MONDO:0007667	"subependymoma"	1
ENVO:01001681	"weather front"@en	2
MONDO:0009701	"myopathy, granulovacuolar lobular, with electrical myotonia"	1
MONDO:0009803	"congenital osteogenesis imperfecta-microcephaly-cataracts syndrome"	1
MONDO:0011952	"amyotrophic lateral sclerosis type 7"	1
MONDO:0012844	"primary ciliary dyskinesia 8"	1
MONDO:0018249	"finger hyperphalangy - toe anomalies - severe pectus excavatum syndrome"	1
UBERON:0013758	"cervical os"	2
HP:0100087	"Triangular epiphyses of the 5th toe"	2
UBERON:0001365	"sacro-iliac joint"	2
MONDO:0012020	"chromosome 22q11.2 microduplication syndrome"	1
FOODON:00004348	"raw"@en	1
MONDO:0013321	"forsythe-wakeling syndrome"	1
http://identifiers.org/ncbigene/707478	"BBS7"	1
NCBITaxon:11909	"Human T-lymphotropic virus 2"	1
MONDO:0002702	"ovarian cystadenocarcinoma"	2
http://identifiers.org/hgnc/1358	"C9"	1
MONDO:0006851	"meconium aspiration syndrome"	1
MONDO:0011564	"cone-rod dystrophy 8"	1
UBERON:0000220	"atlanto-occipital joint"	2
MONDO:0020364	"posterior polymorphous corneal dystrophy"	3
NCBITaxon:34630	"Rhipicephalus <genus>"	1
MONDO:0006986	"substernal goiter"	1
CHEBI:29340	"hydridonitrate(2-)"	2
MONDO:0700066	"myopathy caused by variation in FKRP"	3
MONDO:0002598	"germinoma"	1
MONDO:1011349	"post-viral disorder, non-human animal"	1
HP:0008166	"Decreased beta-galactosidase activity"	1
GO:0005592	"collagen type XI trimer"	1
UBERON:8410021	"inguinal region skin"	1
UBERON:0001132	"parathyroid gland"	1
CL:0000097	"mast cell"	2
MONDO:0100188	"combined ApoA-I and ApoC-III deficiency"	2
UBERON:0005396	"carotid artery segment"	1
MONDO:0859184	"ventriculomegaly and arthrogryposis"	1
UBERON:0007689	"thyroid diverticulum"	1
MONDO:0100070	"neuroendocrine disorder"	2
UBERON:0004755	"skeletal tissue"	1
UBERON:0007475	"matrix-based tissue"	1
UBERON:0001472	"vaginal venous plexus"	2
CHR:9606-chr12q15-q21.1	"12q15-q21.1 (Human)"	1
ENVO:01001620	"mass of ice and snow"@en	2
GO:0007423	"sensory organ development"	1
MONDO:0016574	"hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome"	1
MONDO:1010031	"triploidy, non-human animal"	1
MONDO:1010240	"Horner syndrome, non-human animal"	1
UBERON:0004409	"distal epiphysis of phalanx of manus"	2
http://identifiers.org/hgnc/10933	"SLC17A5"	1
MONDO:0002495	"colon signet ring cell adenocarcinoma"	2
MONDO:0032742	"encephalopathy, acute, infection-induced, susceptibility to, 9"	1
UBERON:0002073	"hair follicle"	1
MONDO:0009893	"polydactyly, postaxial, type A5"	1
http://identifiers.org/hgnc/3006	"DPM2"	1
http://identifiers.org/hgnc/3007	"DPM3"	1
MONDO:0007383	"Stern-Lubinsky-Durrie syndrome"	2
MONDO:0009109	"lysinuric protein intolerance"	1
CHEBI:35293	"fused compound"	1
MONDO:0012256	"hereditary spastic paraplegia 28"	1
MONDO:0044789	"digital papillary eccrine carcinoma"	1
http://identifiers.org/hgnc/6015	"IL4R"	1
http://identifiers.org/hgnc/6769	"SMAD3"	1
UBERON:0003608	"hindlimb long bone"	2
NCIT:C16150	"Estrogen Receptor Status"	1
CHEBI:33286	"agrochemical"	1
HP:0012825	"Mild"	1
ENVO:01000755	"aeroform"@en	1
MONDO:0850471	"N1 diffuse large B-cell lymphoma"	1
MONDO:0011509	"low density lipoprotein cholesterol, mild elevation of"	1
CHEBI:33888	"cobalt molecular entity"	1
MONDO:0004090	"vulvar basaloid squamous cell carcinoma"	2
HP:0000588	"Optic disc coloboma"	2
MONDO:0002628	"peripheral osteosarcoma"	1
HP:0000864	"Abnormality of the hypothalamus-pituitary axis"	1
HP:0001274	"Agenesis of corpus callosum"	1
MONDO:0007951	"masticatory muscles, hypertrophy of"	1
MONDO:0003715	"bladder urachal carcinoma"	1
MONDO:0014576	"lipoyl transferase 1 deficiency"	1
MONDO:1012547	"vitreous degeneration, dog"	1
HP:0000080	"Abnormality of reproductive system physiology"	1
ENVO:00000447	"marine biome"	2
UBERON:0005003	"mucosa of left hepatic duct"	1
MONDO:0003135	"focal embolic glomerulonephritis"	1
MONDO:0032895	"developmental and epileptic encephalopathy, 83"	1
MONDO:0100091	"inherited pseudoxanthoma elasticum"	2
UBERON:0010568	"manual digit 4 metacarpus pre-cartilage condensation"	2
MONDO:0013594	"spinocerebellar ataxia type 36"	1
MONDO:0023180	"fragile X syndrome type 3"	1
MONDO:0011929	"chromosome 1p36 deletion syndrome"	1
MONDO:0016661	"infantile onset panniculitis with uveitis and systemic granulomatosis"	1
