?mondo_class	?label	?mondo_subclass	?subClassOf_source	?xref
MONDO:0003759	childhood ovarian yolk sac tumor	MONDO:0003400	NCIT:C6551	NCIT:C6551
MONDO:0003759	childhood ovarian yolk sac tumor	MONDO:0006344	NCIT:C6551	NCIT:C6551
MONDO:0006980	struma ovarii	MONDO:0002372	NCIT:C7468	NCIT:C7468
MONDO:0003487	pseudoglandular squamous cell carcinoma	MONDO:0005096	NCIT:C4106	NCIT:C4200
MONDO:0003487	pseudoglandular squamous cell carcinoma	MONDO:0005096	NCIT:C4106	NCIT:C4106
MONDO:0004020	mediastinal gray zone lymphoma	MONDO:0003658	NCIT:C37870	NCIT:C37870
MONDO:0006863	myxosarcoma	MONDO:0018078	NCIT:C3255	NCIT:C3255
MONDO:0021496	benign neoplasm of lip	MONDO:0021249	NCIT:C3591	NCIT:C3591
MONDO:0003196	appendix carcinoma	MONDO:0001235	NCIT:C9330	NCIT:C9330
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0021510	NCIT:C5532	NCIT:C5532
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0021510	NCIT:C5532	NCIT:C7574
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0021102	NCIT:C5532	NCIT:C5532
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0021102	NCIT:C5532	NCIT:C7574
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0037002	NCIT:C5532	NCIT:C5532
MONDO:0002451	benign prostate phyllodes tumor	MONDO:0037002	NCIT:C5532	NCIT:C7574
MONDO:0005170	myeloid neoplasm	MONDO:0044881	NCIT:C9290	NCIT:C12434
MONDO:0005170	myeloid neoplasm	MONDO:0044881	NCIT:C9290	NCIT:C9290
MONDO:0004306	childhood intracortical osteosarcoma	MONDO:0002631	NCIT:C6590	NCIT:C6590
MONDO:0005517	pharynx cancer	MONDO:0021246	NCIT:C7545	NCIT:C3325
MONDO:0005517	pharynx cancer	MONDO:0021246	NCIT:C7545	NCIT:C7545
MONDO:0005517	pharynx cancer	MONDO:0021310	NCIT:C7545	NCIT:C3325
MONDO:0005517	pharynx cancer	MONDO:0021310	NCIT:C7545	NCIT:C7545
MONDO:0003820	mature ovarian teratoma	MONDO:0003821	NCIT:C8112	NCIT:C8112
MONDO:0003820	mature ovarian teratoma	MONDO:0003517	NCIT:C8112	NCIT:C8112
MONDO:0020325	anaplastic large cell lymphoma	MONDO:0000430	NCIT:C3720	NCIT:C3720
MONDO:0004684	plantar fibromatosis	MONDO:0016037	NCIT:C4680	NCIT:C4680
MONDO:0019134	central neurocytoma	MONDO:0002682	NCIT:C3791	NCIT:C3791
MONDO:0019134	central neurocytoma	MONDO:0016729	NCIT:C3791	NCIT:C3791
MONDO:0021357	tumor of salivary gland	MONDO:0001142	NCIT:C3361	NCIT:C3361
MONDO:0021357	tumor of salivary gland	MONDO:0005586	NCIT:C3361	NCIT:C3361
MONDO:0003057	pediatric meningioma	MONDO:0016642	NCIT:C8264	NCIT:C8264
MONDO:0002944	external ear carcinoma	MONDO:0003574	NCIT:C6081	NCIT:C6081
MONDO:0003926	neurilemmoma of the pleura	MONDO:0004820	NCIT:C5418	NCIT:C5418
MONDO:0004393	mixed astrocytoma-ependymoma	MONDO:0003268	NCIT:C8271	NCIT:C8271
MONDO:0004558	thyroid gland macrofollicular adenoma	MONDO:0005032	NCIT:C4161	NCIT:C4161
MONDO:0002653	Paget disease of the penis	MONDO:0008177	NCIT:C27817	NCIT:C27817
MONDO:0002653	Paget disease of the penis	MONDO:0006360	NCIT:C27817	NCIT:C27817
MONDO:0003705	adult brainstem mixed glioma	MONDO:0003153	NCIT:C9371	NCIT:C9371
MONDO:0021522	benign neoplasm of lower jaw bone	MONDO:0000631	NCIT:C34417	NCIT:C34417
MONDO:0006622	vulvar seborrheic keratosis	MONDO:0008420	NCIT:C6375	NCIT:C6375
MONDO:0006622	vulvar seborrheic keratosis	MONDO:0002195	NCIT:C6375	NCIT:C6375
MONDO:0003643	giant hemangioma	MONDO:0003155	NCIT:C27777	NCIT:C27777
MONDO:0006035	gastric tubular adenocarcinoma	MONDO:0005606	NCIT:C5473	NCIT:C5473
MONDO:0017602	ALK-positive anaplastic large cell lymphoma	MONDO:0020325	NCIT:C37193	NCIT:C37193
MONDO:0013074	encephalocraniocutaneous lipomatosis	MONDO:0006574	NCIT:C4701	NCIT:C4701
MONDO:0002514	hepatobiliary neoplasm	MONDO:0021223	NCIT:C8614	NCIT:C8614
MONDO:0002514	hepatobiliary neoplasm	MONDO:0002515	NCIT:C8614	NCIT:C8614
MONDO:0021054	bone sarcoma	MONDO:0005089	NCIT:C9312	NCIT:C9312
MONDO:0021054	bone sarcoma	MONDO:0002129	NCIT:C9312	NCIT:C9312
MONDO:0003246	sclerosing hepatic carcinoma	MONDO:0007256	NCIT:C27388	NCIT:C27388
MONDO:0004489	fallopian tube gestational choriocarcinoma	MONDO:0020550	NCIT:C6278	NCIT:C6278
MONDO:0004489	fallopian tube gestational choriocarcinoma	MONDO:0006206	NCIT:C6278	NCIT:C6278
MONDO:0003001	seminoma	MONDO:0020580	NCIT:C9309	NCIT:C9309
MONDO:0003001	seminoma	MONDO:0020580	NCIT:C9309	NCIT:C7328
MONDO:0003001	seminoma	MONDO:0006290	NCIT:C9309	NCIT:C9309
MONDO:0003001	seminoma	MONDO:0006290	NCIT:C9309	NCIT:C7328
MONDO:0002684	atypical choroid plexus papilloma	MONDO:0016717	NCIT:C53686	NCIT:C53686
MONDO:0003392	fallopian tube germ cell tumor	MONDO:0005040	NCIT:C40130	NCIT:C40130
MONDO:0003392	fallopian tube germ cell tumor	MONDO:0021092	NCIT:C40130	NCIT:C40130
MONDO:0002116	malignant exocrine pancreas neoplasm	MONDO:0009831	NCIT:C7430	NCIT:C7430
MONDO:0002116	malignant exocrine pancreas neoplasm	MONDO:0021076	NCIT:C7430	NCIT:C7430
MONDO:0021329	carcinoma of soft palate	MONDO:0044926	NCIT:C8395	NCIT:C8395
MONDO:0021329	carcinoma of soft palate	MONDO:0004611	NCIT:C8395	NCIT:C8395
MONDO:0004021	mediastinal malignant lymphoma	MONDO:0005843	NCIT:C6633	NCIT:C6633
MONDO:0044710	lip and oral cavity squamous cell carcinoma	MONDO:0010150	NCIT:C42690	NCIT:C42690
MONDO:0044710	lip and oral cavity squamous cell carcinoma	MONDO:0023644	NCIT:C42690	NCIT:C42690
MONDO:0024666	benign epithelial skin neoplasm	MONDO:0036976	NCIT:C7341	NCIT:C7341
MONDO:0024666	benign epithelial skin neoplasm	MONDO:0021634	NCIT:C7341	NCIT:C7341
MONDO:0024666	benign epithelial skin neoplasm	MONDO:0021440	NCIT:C7341	NCIT:C7341
MONDO:0004528	lymph node palisaded myofibroblastoma	MONDO:0040675	NCIT:C6584	NCIT:C6584
MONDO:0002452	prostate leiomyoma	MONDO:0001572	NCIT:C5544	NCIT:C5544
MONDO:0002452	prostate leiomyoma	MONDO:0021510	NCIT:C5544	NCIT:C5544
MONDO:0036501	refractory malignant neoplasm	MONDO:0004992	NCIT:C120186	NCIT:C120186
MONDO:0003197	granular cell carcinoma	MONDO:0004970	NCIT:C3681	NCIT:C3681
MONDO:0021085	gastric neoplasm	MONDO:0021223	NCIT:C3387	NCIT:C3387
MONDO:0021085	gastric neoplasm	MONDO:0004298	NCIT:C3387	NCIT:C3387
MONDO:0003442	bladder papillary urothelial neoplasm	MONDO:0003443	NCIT:C39857	NCIT:C39857
MONDO:0003442	bladder papillary urothelial neoplasm	MONDO:0004987	NCIT:C39857	NCIT:C39857
MONDO:0021358	neoplasm of hypopharynx	MONDO:0021246	NCIT:C3127	NCIT:C3127
MONDO:0003821	ovarian biphasic or triphasic teratoma	MONDO:0005602	NCIT:C39992	NCIT:C39992
MONDO:0003704	uterine corpus diffuse leiomyomatosis	MONDO:0003295	NCIT:C40170	NCIT:C40170
MONDO:0003704	uterine corpus diffuse leiomyomatosis	MONDO:0007886	NCIT:C40170	NCIT:C40170
MONDO:0004394	maxillary sinus squamous cell carcinoma	MONDO:0044705	NCIT:C6064	NCIT:C6064
MONDO:0004394	maxillary sinus squamous cell carcinoma	MONDO:0001748	NCIT:C6064	NCIT:C6064
MONDO:0006738	eccrine acrospiroma	MONDO:0021489	NCIT:C27273	NCIT:C27273
MONDO:0006738	eccrine acrospiroma	MONDO:0021489	NCIT:C27273	NCIT:C7568
MONDO:0021640	grade III glioma	MONDO:0100342	NCIT:C127816	NCIT:C127816
MONDO:0021523	benign neoplasm of pharynx	MONDO:0021246	NCIT:C3597	NCIT:C3597
MONDO:0003706	adult brainstem astrocytoma	MONDO:0003153	NCIT:C6954	NCIT:C6954
MONDO:0003706	adult brainstem astrocytoma	MONDO:0003173	NCIT:C6954	NCIT:C6954
MONDO:0003706	adult brainstem astrocytoma	MONDO:0002503	NCIT:C6954	NCIT:C6954
MONDO:0001748	maxillary sinus carcinoma	MONDO:0006850	NCIT:C3540	NCIT:C3540
MONDO:0001748	maxillary sinus carcinoma	MONDO:0006850	NCIT:C3540	NCIT:C9332
MONDO:0001748	maxillary sinus carcinoma	MONDO:0000380	NCIT:C9332	NCIT:C3540
MONDO:0001748	maxillary sinus carcinoma	MONDO:0000380	NCIT:C9332	NCIT:C9332
MONDO:0003644	cavernous hemangioma of colon	MONDO:0003155	NCIT:C5395	NCIT:C5395
MONDO:0003644	cavernous hemangioma of colon	MONDO:0002278	NCIT:C5395	NCIT:C5395
MONDO:0006213	floor of mouth mucoepidermoid carcinoma	MONDO:0044964	NCIT:C8178	NCIT:C8178
MONDO:0006213	floor of mouth mucoepidermoid carcinoma	MONDO:0021343	NCIT:C8178	NCIT:C8178
MONDO:0017603	ALK-negative anaplastic large cell lymphoma	MONDO:0020325	NCIT:C37194	NCIT:C37194
MONDO:0004255	Wolffian adnexal tumor	MONDO:0005626	NCIT:C40141	NCIT:C40141
MONDO:0004559	malignant glandular tumor of peripheral nerve sheath	MONDO:0017827	NCIT:C6560	NCIT:C6560
MONDO:0001569	acoustic neuroma	MONDO:0002546	NCIT:C3276	NCIT:C3276
MONDO:0003698	penis verrucous carcinoma	MONDO:0004433	NCIT:C6982	NCIT:C6982
MONDO:0003698	penis verrucous carcinoma	MONDO:0006006	NCIT:C6982	NCIT:C6982
MONDO:0021525	benign neoplasm of corpus uteri	MONDO:0000632	NCIT:C3608	NCIT:C3608
MONDO:0021525	benign neoplasm of corpus uteri	MONDO:0021254	NCIT:C3608	NCIT:C3608
MONDO:0013296	myeloid neoplasm associated with FGFR1 rearrangement	MONDO:0015688	NCIT:C84277	NCIT:C84277
MONDO:0004444	bladder tubulo-cystic clear cell adenocarcinoma	MONDO:0003386	NCIT:C39847	NCIT:C39847
MONDO:0024675	adult kidney Wilms tumor	MONDO:0019004	NCIT:C6180	NCIT:C6180
MONDO:0018513	squamous cell carcinoma of colon	MONDO:0002032	NCIT:C5490	NCIT:C5490
MONDO:0018513	squamous cell carcinoma of colon	MONDO:0006165	NCIT:C5490	NCIT:C5490
MONDO:0004724	submandibular gland cancer	MONDO:0006284	NCIT:C8396	NCIT:C3526
MONDO:0004724	submandibular gland cancer	MONDO:0006284	NCIT:C8396	NCIT:C8396
MONDO:0004078	mucinous intrahepatic cholangiocarcinoma	MONDO:0003210	NCIT:C41618	NCIT:C41618
MONDO:0021242	sublingual gland neoplasm	MONDO:0021368	NCIT:C3392	NCIT:C3392
MONDO:0002381	sweat gland neoplasm	MONDO:0002297	NCIT:C3398	NCIT:C3398
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0016718	NCIT:C124292	NCIT:C124292
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0016718	NCIT:C124292	NCIT:C42080
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0024744	NCIT:C124292	NCIT:C124292
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0024744	NCIT:C124292	NCIT:C42080
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0002071	NCIT:C124292	NCIT:C124292
MONDO:0002685	childhood choroid plexus carcinoma	MONDO:0002071	NCIT:C124292	NCIT:C42080
MONDO:0003412	retroperitoneal hemangiopericytoma	MONDO:0005094	NCIT:C5386	NCIT:C5386
MONDO:0004022	parasagittal meningioma	MONDO:0003772	NCIT:C4960	NCIT:C4960
MONDO:0005580	esophageal squamous cell carcinoma	MONDO:0005096	NCIT:C4024	NCIT:C4024
MONDO:0005580	esophageal squamous cell carcinoma	MONDO:0019086	NCIT:C4024	NCIT:C4024
MONDO:0004529	non-ossifying fibromyxoid tumor	MONDO:0037745	NCIT:C6583	NCIT:C6583
MONDO:0006574	lipomatosis	MONDO:0044983	NCIT:C3193	NCIT:C3193
MONDO:0017292	well-differentiated fetal adenocarcinoma of the lung	MONDO:0005606	NCIT:C45509	NCIT:C45509
MONDO:0017292	well-differentiated fetal adenocarcinoma of the lung	MONDO:0005061	NCIT:C45509	NCIT:C45509
MONDO:0017207	primary organ-specific lymphoma	MONDO:0005062	NCIT:C7185	NCIT:C7185
MONDO:0002850	central nervous system rhabdomyosarcoma	MONDO:0005212	NCIT:C5464	NCIT:C5464
MONDO:0002850	central nervous system rhabdomyosarcoma	MONDO:0002217	NCIT:C5464	NCIT:C5464
MONDO:0021086	gingival neoplasm	MONDO:0002021	NCIT:C3057	NCIT:C3057
MONDO:0000892	colon medullary carcinoma	MONDO:0020794	NCIT:C60641	NCIT:C60641
MONDO:0000892	colon medullary carcinoma	MONDO:0002271	NCIT:C60641	NCIT:C60641
MONDO:0005519	renal pelvis carcinoma	MONDO:0005206	NCIT:C6142	NCIT:C6142
MONDO:0005519	renal pelvis carcinoma	MONDO:0005206	NCIT:C6142	NCIT:C7525
MONDO:0005519	renal pelvis carcinoma	MONDO:0044919	NCIT:C6142	NCIT:C6142
MONDO:0005519	renal pelvis carcinoma	MONDO:0044919	NCIT:C6142	NCIT:C7525
MONDO:0003443	papillary urothelial neoplasm	MONDO:0021096	NCIT:C27883	NCIT:C27883
MONDO:0003443	papillary urothelial neoplasm	MONDO:0021096	NCIT:C27883	NCIT:C6192
MONDO:0003443	papillary urothelial neoplasm	MONDO:0024337	NCIT:C27883	NCIT:C27883
MONDO:0003443	papillary urothelial neoplasm	MONDO:0024337	NCIT:C27883	NCIT:C6192
MONDO:0006006	verrucous carcinoma	MONDO:0002979	NCIT:C3781	NCIT:C3781
MONDO:0003928	uterine corpus myxoid leiomyosarcoma	MONDO:0003359	NCIT:C40175	NCIT:C40175
MONDO:0003928	uterine corpus myxoid leiomyosarcoma	MONDO:0016262	NCIT:C40175	NCIT:C40175
MONDO:0004048	immature gastric teratoma	MONDO:0003513	NCIT:C5256	NCIT:C5256
MONDO:0003198	small intestine adenocarcinoma	MONDO:0005522	NCIT:C7888	NCIT:C7888
MONDO:0003198	small intestine adenocarcinoma	MONDO:0004970	NCIT:C7888	NCIT:C7888
MONDO:0006435	submandibular gland adenocarcinoma	MONDO:0004724	NCIT:C5940	NCIT:C5940
MONDO:0021251	endometrium neoplasm	MONDO:0000931	NCIT:C3012	NCIT:C3012
MONDO:0016586	systemic mastocytosis	MONDO:0007950	NCIT:C9235	NCIT:C9235
MONDO:0019962	thyroid lymphoma	MONDO:0002108	NCIT:C5265	NCIT:C5265
MONDO:0003707	distal biliary tract carcinoma	MONDO:0003090	NCIT:C7109	NCIT:C7109
MONDO:0002876	cervical adenosarcoma	MONDO:0005636	NCIT:C40229	NCIT:C40229
MONDO:0003822	non-invasive bladder papillary urothelial neoplasm	MONDO:0003442	NCIT:C39831	NCIT:C27884
MONDO:0003822	non-invasive bladder papillary urothelial neoplasm	MONDO:0003442	NCIT:C39831	NCIT:C39831
MONDO:0021524	benign neoplasm of buccal mucosa	MONDO:0021241	NCIT:C4406	NCIT:C4406
MONDO:0004256	lumbar spinal canal and spinal cord meningioma	MONDO:0001279	NCIT:C5298	NCIT:C5298
MONDO:0003645	cavernous hemangioma of face	MONDO:0003155	NCIT:C7053	NCIT:C7053
MONDO:0016680	high grade astrocytic tumor	MONDO:0100342	NCIT:C102897	NCIT:C102897
MONDO:0016680	high grade astrocytic tumor	MONDO:0021636	NCIT:C102897	NCIT:C102897
MONDO:0017604	marginal zone lymphoma	MONDO:0017594	NCIT:C4341	NCIT:C4341
MONDO:0002516	digestive system cancer	MONDO:0021223	NCIT:C4890	NCIT:C4890
MONDO:0002516	digestive system cancer	MONDO:0021223	NCIT:C4890	NCIT:C3052
MONDO:0002516	digestive system cancer	MONDO:0004992	NCIT:C4890	NCIT:C4890
MONDO:0002516	digestive system cancer	MONDO:0004992	NCIT:C4890	NCIT:C3052
MONDO:0005164	fibrosarcoma	MONDO:0006209	NCIT:C3043	NCIT:C3043
MONDO:0005164	fibrosarcoma	MONDO:0006209	NCIT:C3043	NCIT:C7075
MONDO:0005164	fibrosarcoma	MONDO:0006209	NCIT:C3043	NCIT:C6605
MONDO:0003120	mixed testicular germ cell cancer	MONDO:0015864	NCIT:C6347	NCIT:C6347
MONDO:0003120	mixed testicular germ cell cancer	MONDO:0003510	NCIT:C6347	NCIT:C6347
MONDO:0003248	adult pineal parenchymal tumor	MONDO:0024890	NCIT:C8273	NCIT:C8273
MONDO:0024676	childhood kidney Wilms tumor	MONDO:0036511	NCIT:C27730	NCIT:C27730
MONDO:0024676	childhood kidney Wilms tumor	MONDO:0019004	NCIT:C27730	NCIT:C27730
MONDO:0003003	cervical alveolar soft part sarcoma	MONDO:0011655	NCIT:C40225	NCIT:C40225
MONDO:0002518	gallbladder papillary neoplasm	MONDO:0021096	NCIT:C7130	NCIT:C7130
MONDO:0002518	gallbladder papillary neoplasm	MONDO:0021253	NCIT:C7130	NCIT:C7130
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0001014	NCIT:C3163	NCIT:C3163
MONDO:0002382	benign mesenchymoma	MONDO:0006854	NCIT:C4267	NCIT:C4267
MONDO:0003413	hair follicle neoplasm	MONDO:0002917	NCIT:C7367	NCIT:C7367
MONDO:0003413	hair follicle neoplasm	MONDO:0002297	NCIT:C7367	NCIT:C7367
MONDO:0021243	parotid gland neoplasm	MONDO:0021368	NCIT:C3314	NCIT:C3314
MONDO:0004445	bladder papillary clear cell adenocarcinoma	MONDO:0003386	NCIT:C39848	NCIT:C39848
MONDO:0003760	pediatric ovarian germ cell tumor	MONDO:0011366	NCIT:C8588	NCIT:C8588
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0015867	NCIT:C180915	NCIT:C7736
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0015867	NCIT:C180915	NCIT:C180915
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0005096	NCIT:C180915	NCIT:C7736
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0005096	NCIT:C180915	NCIT:C180915
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0001806	NCIT:C180915	NCIT:C7736
MONDO:0006490	vaginal squamous cell carcinoma	MONDO:0001806	NCIT:C180915	NCIT:C180915
MONDO:0002851	mediastinum rhabdomyosarcoma	MONDO:0005212	NCIT:C6617	NCIT:C6617
MONDO:0002851	mediastinum rhabdomyosarcoma	MONDO:0002852	NCIT:C6617	NCIT:C6617
MONDO:0006340	ovarian serous adenofibroma	MONDO:0024886	NCIT:C40031	NCIT:C40031
MONDO:0024340	retinal neuroblastoma	MONDO:0005072	NCIT:C6956	NCIT:C6956
MONDO:0000893	mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma	MONDO:0004991	NCIT:C7270	NCIT:C7270
MONDO:0002571	primary central nervous system lymphoma	MONDO:0003641	NCIT:C9301	NCIT:C9301
MONDO:0002571	primary central nervous system lymphoma	MONDO:0002714	NCIT:C9301	NCIT:C9301
MONDO:0002571	primary central nervous system lymphoma	MONDO:0017207	NCIT:C9301	NCIT:C9301
MONDO:0004396	cervical spinal canal and spinal cord meningioma	MONDO:0001279	NCIT:C5296	NCIT:C5296
MONDO:0003199	anal carcinoma	MONDO:0001879	NCIT:C9291	NCIT:C9291
MONDO:0004641	skin carcinoma in situ	MONDO:0002656	NCIT:C3640	NCIT:C3640
MONDO:0004641	skin carcinoma in situ	MONDO:0004647	NCIT:C3640	NCIT:C3640
MONDO:0003444	intrahepatic bile duct adenoma	MONDO:0006108	NCIT:C7126	NCIT:C7126
MONDO:0002877	cervical carcinosarcoma	MONDO:0006485	NCIT:C36097	NCIT:C40226
MONDO:0002877	cervical carcinosarcoma	MONDO:0006485	NCIT:C36097	NCIT:C36097
MONDO:0002877	cervical carcinosarcoma	MONDO:0006485	NCIT:C36097	NCIT:C40228
MONDO:0003929	vestibular micropapillomatosis	MONDO:0002194	NCIT:C40290	NCIT:C40290
MONDO:0004257	childhood central nervous system mixed germ cell tumor	MONDO:0016742	NCIT:C27403	NCIT:C27403
MONDO:0004257	childhood central nervous system mixed germ cell tumor	MONDO:0003750	NCIT:C27403	NCIT:C27403
MONDO:0036976	benign epithelial neoplasm	MONDO:0005626	NCIT:C4092	NCIT:C4092
MONDO:0036976	benign epithelial neoplasm	MONDO:0005165	NCIT:C4092	NCIT:C4092
MONDO:0006436	submandibular gland adenoid cystic carcinoma	MONDO:0045063	NCIT:C5935	NCIT:C5935
MONDO:0006436	submandibular gland adenoid cystic carcinoma	MONDO:0004724	NCIT:C5935	NCIT:C5935
MONDO:0005635	adenomyoma	MONDO:0000624	NCIT:C3726	NCIT:C3726
MONDO:0018881	myelodysplastic syndrome	MONDO:0021058	NCIT:C3247	NCIT:C3247
