subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['oio:hasDbXref-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	['rdf:ID']	['skos:relatedMatch-INVERSE']	['mondo:0000503']	Duplicate row: Lung adenocarcinoma in situ is a different type of carcinoma and not equivalent to Stage 0 Lung Adenosquamous Carcinoma.
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	not	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semap						
MONDO:0015686	primary peritoneal carcinoma	skos:exactMatch	not	NCIT:C4182	Serous Surface Papillary Carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	serous surface papillary carcinoma	The term 'primary peritoneal carcinoma' is broader than 'Serous Surface Papillary Carcinoma' and not specific enough to consider an exact match.
MONDO:0002368	papillary serous cystadenocarcinoma	skos:exactMatch		NCIT:C4182	Serous Surface Papillary Carcinoma	semapv:MappingChaining		0.475				Generated by matching the object of a Mondo mapping to the object of a source mapping.
MONDO:0006055	sex cord-stromal tumor	skos:closeMatch	not	NCIT:C39948	Malignant Testicular Sex Cord-Stromal Tumor	semapv:LexicalMatching	oaklib	0.5	['oio:hasNarrowSynonym']	['rdfs:label']	malignant testicular sex cord-stromal tumor	The subject 'sex cord-stromal tumor' is a broader term and does not specifically refer to 'malignant testicular sex cord-stromal tumor'.
MONDO:0003125	testicular sex cord-stromal neoplasm	skos:exactMatch		NCIT:C39948	Malignant Testicular Sex Cord-Stromal Tumor	semapv:MappingChaining		0.475				Generated by matching the object of a Mondo mapping to the object of a source mapping.
MONDO:0016642	meningioma	skos:closeMatch	not	NCIT:C7048	Supratentorial Meningioma	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	supratentorial meningioma	The subject label 'meningioma' is too broad compared to the specific term 'Supratentorial Meningioma'. Hence, this is not a close match.
MONDO:0850303	supratentorial meningioma	skos:exactMatch		NCIT:C7048	Supratentorial Meningioma	semapv:LexicalMatching	oaklib	0.849779	rdfs:label	rdfs:label	supratentorial meningioma	
MONDO:0011655	alveolar soft part sarcoma	skos:closeMatch		NCIT:C8092	Childhood Alveolar Soft Part Sarcoma	semapv:LexicalMatching	oaklib	0.5	['oio:hasNarrowSynonym']	['rdfs:label']	['childhood alveolar soft part sarcoma']	
MONDO:0011655	alveolar soft part sarcoma	skos:exactMatch	not	NCIT:C8092	Childhood Alveolar Soft Part Sarcoma	semapv:MappingChaining		0.475				Generated by matching the object of a Mondo mapping to the object of a source mapping. Alveolar soft part sarcoma is a broader term and not an exact match for Childhood Alveolar Soft Part Sarcoma.
