Mondo ID	Disease label	Synonym	ClinGen Preferred subset tag
MONDO:0008863	sitosterolemia	sitosterolemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0020747	sitosterolemia 1	sitosterolemia 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008863	sitosterolemia	sitosterolemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0020747	sitosterolemia 1	sitosterolemia 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012984	PHARC syndrome	PHARC syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012648	isobutyryl-CoA dehydrogenase deficiency	isobutyryl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012624	acyl-CoA dehydrogenase 9 deficiency	acyl-CoA dehydrogenase 9 deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0020531	long chain acyl-CoA dehydrogenase deficiency	long chain acyl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008721	medium chain acyl-CoA dehydrogenase deficiency	medium chain acyl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008722	short chain acyl-CoA dehydrogenase deficiency	short chain acyl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	2-methylbutyryl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008723	very long chain acyl-CoA dehydrogenase deficiency	very long chain acyl-CoA dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008760	beta-ketothiolase deficiency	beta-ketothiolase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013548	acetyl-CoA acetyltransferase-2 deficiency	acetyl-CoA acetyltransferase-2 deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100112	acyl-CoA binding domain containing protein 5 deficiency	acyl-CoA binding domain containing protein 5 deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009919	peroxisomal acyl-CoA oxidase deficiency	peroxisomal acyl-CoA oxidase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	Spondyloenchondrodysplasia with immune dysregulation	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013661	combined malonic and methylmalonic acidemia	combined malonic and methylmalonic acidemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019181	non-syndromic X-linked intellectual disability	non-syndromic X-linked intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010313	intellectual disability, X-linked 63	intellectual disability, X-linked 63	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100084	alpha-actinopathy	alpha-actinopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005045	hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	familial thoracic aortic aneurysm and aortic dissection	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy	arrhythmogenic right ventricular cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005021	dilated cardiomyopathy	dilated cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005045	hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0024573	familial hypertrophic cardiomyopathy	familial hypertrophic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012799	hypertrophic cardiomyopathy 11	hypertrophic cardiomyopathy 11	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019497	nonsyndromic genetic deafness	nonsyndromic genetic deafness	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013812	Baraitser-winter syndrome 2	Baraitser-winter syndrome 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014078	platelet-type bleeding disorder 15	platelet-type bleeding disorder 15	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0000591	intrinsic cardiomyopathy	intrinsic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010880	telangiectasia, hereditary hemorrhagic, type 2	telangiectasia, hereditary hemorrhagic, type 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019180	hereditary hemorrhagic telangiectasia	hereditary hemorrhagic telangiectasia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012368	aminoacylase 1 deficiency	aminoacylase 1 deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007064	adenosine deaminase deficiency	adenosine deaminase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013002	cone-rod dystrophy 9	cone-rod dystrophy 9	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010122	congenital thrombotic thrombocytopenic purpura	congenital thrombotic thrombocytopenic purpura	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013176	ichthyosis-short stature-brachydactyly-microspherophakia syndrome	ichthyosis-short stature-brachydactyly-microspherophakia syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014195	microcornea-myopic chorioretinal atrophy	microcornea-myopic chorioretinal atrophy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009161	Ehlers-Danlos syndrome, dermatosparaxis type	Ehlers-Danlos syndrome, dermatosparaxis type	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009269	geleophysic dysplasia 1	geleophysic dysplasia 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009723	Leigh syndrome	Leigh syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019588	deafness, autosomal recessive	deafness, autosomal recessive	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011738	bilateral frontoparietal polymicrogyria	bilateral frontoparietal polymicrogyria	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019497	nonsyndromic genetic deafness	nonsyndromic genetic deafness	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0016484	Usher syndrome type 2	Usher syndrome type 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100255	adenosine kinase deficiency	adenosine kinase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007068	adenylosuccinate lyase deficiency	adenylosuccinate lyase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010659	FRAXE intellectual disability	FRAXE intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008830	aspartylglucosaminuria	aspartylglucosaminuria	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008922	Sengers syndrome	Sengers syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012071	congenital generalized lipodystrophy type 1	congenital generalized lipodystrophy type 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015776	rhizomelic chondrodysplasia punctata	rhizomelic chondrodysplasia punctata	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014052	congenital myasthenic syndrome 8	congenital myasthenic syndrome 8	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009970	renal tubular dysgenesis of genetic origin	renal tubular dysgenesis of genetic origin	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100148	X-linked complex neurodevelopmental disorder	X-linked complex neurodevelopmental disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010454	intellectual disability, XMEN-linked 88	intellectual disability, XMEN-linked 88	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009823	primary hyperoxaluria type 1	primary hyperoxaluria type 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013404	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014358	AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome	AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012078	Joubert syndrome 3	Joubert syndrome 3	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011528	hyper-IgM syndrome type 2	hyper-IgM syndrome type 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010378	X-linked hereditary sensory and autonomic neuropathy with deafness	X-linked hereditary sensory and autonomic neuropathy with deafness	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009723	Leigh syndrome	Leigh syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009843	hypomyelinating leukodystrophy 3	hypomyelinating leukodystrophy 3	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009973	reticular dysgenesis	reticular dysgenesis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0002442	long QT syndrome	long QT syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100283	overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes	overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013000	porphyria due to ALA dehydratase deficiency	porphyria due to ALA dehydratase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100126	P5CS deficiency	P5CS deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014050	isolated microphthalmia 8	isolated microphthalmia 8	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010031	Sjogren-Larsson syndrome	Sjogren-Larsson syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009401	hyperprolinemia type 2	hyperprolinemia type 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010083	succinic semialdehyde dehydrogenase deficiency	succinic semialdehyde dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013579	methylmalonate semialdehyde dehydrogenase deficiency	methylmalonate semialdehyde dehydrogenase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009945	pyridoxine-dependent epilepsy	pyridoxine-dependent epilepsy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0020741	pyridoxine-dependent epilepsy caused by ALDH7A1 mutant	pyridoxine-dependent epilepsy caused by ALDH7A1 mutant	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012747	glycogen storage disease due to aldolase A deficiency	glycogen storage disease due to aldolase A deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009249	hereditary fructose intolerance	hereditary fructose intolerance	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012052	ALG1-CDG	ALG1-CDG	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011783	ALG12-CDG	ALG12-CDG	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100062	developmental and epileptic encephalopathy	developmental and epileptic encephalopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014543	congenital myasthenic syndrome 14	congenital myasthenic syndrome 14	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011291	congenital disorder of glycosylation type 1C	congenital disorder of glycosylation type 1C	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0054743	polycystic liver disease 3 with or without kidney cysts	polycystic liver disease 3 with or without kidney cysts	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0700000	ALG9-associated autosomal dominant polycystic kidney disease	ALG9-associated autosomal dominant polycystic kidney disease	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013083	neuroblastoma, susceptibility to, 3	neuroblastoma, susceptibility to, 3	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008763	Alstrom syndrome	Alstrom syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005045	hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009427	obsolete infantile hypophosphatasia	obsolete infantile hypophosphatasia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009428	obsolete childhood hypophosphatasia	obsolete childhood hypophosphatasia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007798	obsolete adult hypophosphatasia	obsolete adult hypophosphatasia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008763	Alstrom syndrome	Alstrom syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012309	parietal foramina 2	parietal foramina 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013681	alpha-methylacyl-CoA racemase deficiency	alpha-methylacyl-CoA racemase deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009857	persistent Mullerian duct syndrome	persistent Mullerian duct syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100156	Imerslund-Grasbeck syndrome type 1	Imerslund-Grasbeck syndrome type 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011612	glycine encephalopathy	glycine encephalopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011505	familial hypobetalipoproteinemia 2	familial hypobetalipoproteinemia 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019350	hereditary spherocytosis	hereditary spherocytosis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015263	Brugada syndrome	Brugada syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100038	complex neurodevelopmental disorder	complex neurodevelopmental disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0017990	catecholaminergic polymorphic ventricular tachycardia	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0001071	intellectual disability	intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005045	hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005021	dilated cardiomyopathy	dilated cardiomyopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007846	KBG syndrome	KBG syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008555	thrombocytopenia 2	thrombocytopenia 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014158	nephronophthisis 16	nephronophthisis 16	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015152	autosomal recessive limb-girdle muscular dystrophy	autosomal recessive limb-girdle muscular dystrophy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009885	Scott syndrome	Scott syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010635	hypogonadotropic hypogonadism 1 with or without anosmia	hypogonadotropic hypogonadism 1 with or without anosmia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009229	hyaline fibromatosis syndrome	hyaline fibromatosis syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0020119	X-linked syndromic intellectual disability	X-linked syndromic intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011997	Hermansky-Pudlak syndrome 2	Hermansky-Pudlak syndrome 2	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014885	Hermansky-Pudlak syndrome 10	Hermansky-Pudlak syndrome 10	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100176	AP-4 deficiency syndrome	AP-4 deficiency syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013551	hereditary spastic paraplegia 47	hereditary spastic paraplegia 47	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100176	AP-4 deficiency syndrome	AP-4 deficiency syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100176	AP-4 deficiency syndrome	AP-4 deficiency syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013552	hereditary spastic paraplegia 52	hereditary spastic paraplegia 52	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0016613	APC-related attenuated familial adenomatous polyposis	APC-related attenuated familial adenomatous polyposis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0021057	classic or attenuated familial adenomatous polyposis	classic or attenuated familial adenomatous polyposis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0021055	classic familial adenomatous polyposis	classic familial adenomatous polyposis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0016362	attenuated familial adenomatous polyposis	attenuated familial adenomatous polyposis	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	hypercholesterolemia, autosomal dominant, type B	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014252	familial hypobetalipoproteinemia 1	familial hypobetalipoproteinemia 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0018328	homozygous familial hypercholesterolemia	homozygous familial hypercholesterolemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008810	familial apolipoprotein C-II deficiency	familial apolipoprotein C-II deficiency	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015924	pulmonary arterial hypertension	pulmonary arterial hypertension	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010849	palmoplantar keratoderma, Bothnian type	palmoplantar keratoderma, Bothnian type	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014948	short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay	short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011966	periventricular heterotopia with microcephaly, autosomal recessive	periventricular heterotopia with microcephaly, autosomal recessive	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008814	hyperargininemia	hyperargininemia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0032763	immunodeficiency 62	immunodeficiency 62	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011998	autosomal dominant slowed nerve conduction velocity	autosomal dominant slowed nerve conduction velocity	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0019181	non-syndromic X-linked intellectual disability	non-syndromic X-linked intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100038	complex neurodevelopmental disorder	complex neurodevelopmental disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015452	Coffin-Siris syndrome	Coffin-Siris syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0013819	intellectual disability, autosomal dominant 14	intellectual disability, autosomal dominant 14	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0015452	Coffin-Siris syndrome	Coffin-Siris syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0007617	Coffin-Siris syndrome 1	Coffin-Siris syndrome 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0033492	Coffin-Siris syndrome 6	Coffin-Siris syndrome 6	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0018772	Joubert syndrome	Joubert syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014186	retinitis pigmentosa with or without situs inversus	retinitis pigmentosa with or without situs inversus	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010832	Bardet-Biedl syndrome 3	Bardet-Biedl syndrome 3	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014304	hereditary spastic paraplegia 61	hereditary spastic paraplegia 61	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0060583	platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0009591	metachromatic leukodystrophy, juvenile form	metachromatic leukodystrophy, juvenile form	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010555	X-linked chondrodysplasia punctata 1	X-linked chondrodysplasia punctata 1	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100062	developmental and epileptic encephalopathy	developmental and epileptic encephalopathy	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100038	complex neurodevelopmental disorder	complex neurodevelopmental disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010268	X-linked lissencephaly with abnormal genitalia	X-linked lissencephaly with abnormal genitalia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0005503	developmental disorder of mental health	developmental disorder of mental health	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008815	argininosuccinic aciduria	argininosuccinic aciduria	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014258	congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome	congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0010079	Canavan disease	Canavan disease	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011106	facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome	facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0012106	microcephaly 5, primary, autosomal recessive	microcephaly 5, primary, autosomal recessive	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0008988	citrullinemia type I	citrullinemia type I	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0100038	complex neurodevelopmental disorder	complex neurodevelopmental disorder	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011510	Bohring-Opitz syndrome	Bohring-Opitz syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0000508	syndromic intellectual disability	syndromic intellectual disability	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014205	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0011025	Cayman type cerebellar ataxia	Cayman type cerebellar ataxia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0018852	achromatopsia	achromatopsia	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
MONDO:0014677	achromatopsia 7	achromatopsia 7	http://purl.obolibrary.org/obo/mondo#CLINGEN_PREFERRED
