?cls	?label	subclass	source	comment
MONDO:0007880	congenital laryngeal web	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017508	congenital absence/hypoplasia of fingers excluding thumb, bilateral	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0008060	nonsyndromic congenital nail disorder 1	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011485	autosomal recessive congenital ichthyosis 5	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0024552	linear skin defects with multiple congenital anomalies 1	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013116	congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015519	congenital or early infantile CACH syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017561	congenital genu flexum	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011026	autosomal recessive congenital ichthyosis 4A	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0008967	congenital bile acid synthesis defect 4	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016558	familial congenital mirror movements	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018883	Berardinelli-Seip congenital lipodystrophy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009212	congenital factor X deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007071	adrenocortical hypofunction, chronic primary congenital	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0006506	congenital nonspherocytic hemolytic anemia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009762	nystagmus, congenital, autosomal recessive	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014543	congenital myasthenic syndrome 14	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019306	congenital non-bullous ichthyosiform erythroderma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016121	congenital myotonia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014614	congenital stationary night blindness 1G	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017558	congenital elbow dislocation, unilateral	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0008852	congenital central hypoventilation syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012436	neonatal diabetes mellitus with congenital hypothyroidism	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018293	congenital disorder of glycosylation with skin involvement	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015569	congenital nasal pyriform aperture stenosis with holoprosencephaly	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017443	congenital absence of both forearm and hand	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0044299	myasthenic syndrome, congenital, 22	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018599	congenital oculomotor nerve palsy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017116	congenital communicating hydrocephalus	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010610	holoprosencephaly-hypokinesia-congenital contractures syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011406	cholesteatoma, congenital	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017783	congenital pancreatic cyst	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011486	congenital muscular dystrophy 1B	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013355	congenital dyserythropoietic anemia type 4	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013620	congenital myasthenic syndrome 16	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017562	congenital patella dislocation, unilateral	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015403	non-involuting congenital hemangioma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017972	classic congenital lipoid adrenal hyperplasia due to STAR deficency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010952	hereditary hyperferritinemia with congenital cataracts	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010262	hypotonia, congenital nystagmus, ataxia, and abnormal auditory brainstem responses	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007130	congenital total pulmonary venous return anomaly	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014456	autosomal recessive severe congenital neutropenia due to JAGN1 deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009487	keratoconus and congenital hip dysplasia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018398	female infertility due to a congenital hypogonadotropic hypogonadism	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020718	congenital short bowel syndrome 1	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017559	congenital elbow dislocation, bilateral	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015765	congenital myopathy with cores	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0054559	congenital disorder of glycosylation, type IIq	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012847	autosomal recessive congenital ichthyosis 6	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016503	congenital erosive and vesicular dermatosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019859	congenital thyroid malformation without hypothyroidism	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017444	congenital absence of both lower leg and foot	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011407	facial paresis, hereditary congenital, 2	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019830	congenital anomaly of the inferior vena cava	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014670	lethal congenital contracture syndrome 9	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012490	cone-rod synaptic disorder, congenital nonprogressive	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018801	congenital bilateral absence of vas deferens	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020398	congenital mitral stenosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017117	congenital non-communicating hydrocephalus	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017563	congenital patella dislocation, bilateral	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010802	pancreatic hypoplasia-diabetes-congenital heart disease syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017973	non-classic congenital lipoid adrenal hyperplasia due to STAR deficency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015404	rapidly involuting congenital hemangioma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012897	congenital factor XI deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020342	congenital myopathy with excess of thin filaments	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013453	Leber congenital amaurosis 8	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011105	alacrima, congenital, autosomal recessive	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015181	congenital intestinal disease due to an enzymatic defect	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014581	congenital myasthenic syndrome 2A	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009077	deafness, congenital, and familial myoclonic epilepsy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019831	congenital anomaly of the coronary sinus	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016540	congenital secondary polycythemia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015178	congenital intestinal transport defect	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019054	congenital limb malformation	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0008730	congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020399	congenital hypoplasia of the mitral valve annulus	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009436	congenital hypothalamic hamartoma syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015316	congenital laryngeal palsy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011415	Leber congenital amaurosis 3	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0024264	hypothyroidism, congenital, nongoitrous, 2	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015286	congenital disorder of glycosylation	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015012	mucopolysaccharidosis-like syndrome with congenital heart defects and hematopoietic disorders	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009081	deafness, congenital, with total albinism	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0023601	non-classic congenital adrenal hyperplasia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015182	congenital enteropathy involving intestinal mucosa development	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0032925	respiratory papillomatosis, juvenile recurrent, congenital	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018296	congenital disorder of glycosylation with developmental anomaly	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0023595	congenital myotonic dystrophy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017427	congenital deformities of limbs	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014582	congenital myasthenic syndrome 2C	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013454	Leber congenital amaurosis 11	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018682	congenital insensitivity to pain with severe intellectual disability	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016417	congenital ichthyosis-microcephalus-tetraplegia syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011887	cataract, congenital, with mental impairment and dentate gyrus atrophy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0034204	syndromic congenital sodium diarrhea	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014584	congenital myasthenic syndrome 3B	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017698	glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0100077	congenital alveolar dysplasia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009888	polycystic kidney, cataract, and congenital blindness	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0044792	large congenital melanocytic nevus	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017361	congenital rubella syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009029	cranial nerves, congenital paresis of	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011107	congenital hypotrichosis with juvenile macular dystrophy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0012046	congenital corneal opacities, cornea guttata, and corectopia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020344	postsynaptic congenital myasthenic syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017428	congenital deformities of fingers	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018771	congenital anomaly of ventricular septum	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019646	unilateral congenital megacalycosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014583	congenital myasthenic syndrome 3A	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0016986	congenital smooth muscle hamartoma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009711	congenital fiber-type disproportion myopathy	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017447	congenital absence/hypoplasia of thumb	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0013757	congenital nongoitrous hypothryoidism 6	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014585	congenital myasthenic syndrome 3C	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0004557	congenital fibrosarcoma	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0020161	congenital ectropion	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007443	congenital unilateral hypoplasia of depressor anguli oris	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010178	congenital bilateral aplasia of vas deferens from CFTR mutation	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018029	congenital factor XIII deficiency	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0054794	hydrocephalus, congenital, 3, with brain anomalies	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015409	isolated congenital syngnathia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0018888	congenital cornea plana	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007557	epidermolysis bullosa with congenital localized absence of skin and deformity of nails	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0004527	congenital granular cell tumor	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0010122	congenital thrombotic thrombocytopenic purpura	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009712	congenital multicore myopathy with external ophthalmoplegia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017985	congenital radioulnar synostosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014118	congenital neutropenia-myelofibrosis-nephromegaly syndrome	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0022349	congenital absence of septum pellucidum	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0017448	congenital absence/hypoplasia of fingers excluding thumb	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007109	congenital dyserythropoietic anemia type 3	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014586	congenital myasthenic syndrome 4B	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019647	congenital bilateral megacalycosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0044629	congenital amyoplasia	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019836	congenital anomaly of hepatic vein	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0004840	non-congenital cyst of kidney	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0019639	congenital megacalycosis	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0014010	autosomal recessive congenital ichthyosis 9	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0009439	autosomal recessive congenital ichthyosis 2	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0015015	congenital bile acid synthesis defect 6	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0007135	nonsyndromic congenital nail disorder 6	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0011680	autosomal recessive congenital ichthyosis 3	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0060589	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
MONDO:0022819	congenital arteriovenous shunt	MONDO:0021140	https://orcid.org/0000-0002-4142-7153	https://github.com/monarch-initiative/mondo/issues/4069
