?mondo_id	?label	?definition	?parents	?branches	?ancestors	?obsoletion_candidates	?parent_labels	?ancestor_labels	?obsoletion_candidate_labels
<http://purl.obolibrary.org/obo/MONDO_0017840>	"classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form"	"The simple virilizing form of classical congenital adrenal hyperplasia due to 21-hydroxylase deficiency (classical 21 OHD CAH) is characterized by genital ambiguity and virilization of the external genitalia in females, hypocortisolism and precocious pseudopuberty without salt-wasting."	"http://purl.obolibrary.org/obo/MONDO_0008728"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0008728|http://purl.obolibrary.org/obo/MONDO_0019593|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0020039|http://purl.obolibrary.org/obo/MONDO_0017576|http://purl.obolibrary.org/obo/MONDO_0002145|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0018479|http://purl.obolibrary.org/obo/MONDO_0015129|http://purl.obolibrary.org/obo/MONDO_0015128|http://purl.obolibrary.org/obo/MONDO_0005495|http://purl.obolibrary.org/obo/MONDO_0000004|http://purl.obolibrary.org/obo/MONDO_0002816|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0005523|http://purl.obolibrary.org/obo/MONDO_0002525|http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0005066|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0015898|http://purl.obolibrary.org/obo/MONDO_0045012|http://purl.obolibrary.org/obo/MONDO_0015327|http://purl.obolibrary.org/obo/MONDO_0957024"		"classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency"	"classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency|46,XX disorder of sex development induced by fetal androgens excess|female reproductive system disorder|reproductive system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|46,XX disorder of sex development induced by androgens excess|46,XX disorder of sex development|disorder of sexual differentiation|endocrine system disorder|gonadal disorder|developmental defect during embryogenesis|disorder of development or morphogenesis|congenital adrenal hyperplasia|chronic primary adrenal insufficiency|primary adrenal insufficiency|adrenal gland disorder|adrenocortical insufficiency|adrenal cortex disorder|hereditary endocrine growth disease|steroid inherited metabolic disorder|inherited lipid metabolism disorder|inborn errors of metabolism|metabolic disease|hereditary disease|adrenogenital syndrome|steroid metabolism disease|developmental anomaly of metabolic origin|hereditary 46,XX disorder of sex development"	"46,XX disorder of sex development induced by fetal androgens excess|46,XX disorder of sex development induced by androgens excess|hereditary 46,XX disorder of sex development"
<http://purl.obolibrary.org/obo/MONDO_0012911>	"pseudohypoparathyroidism type 1C"	"A rare type of pseudohypoparathyroidism (PHP) characterized by resistance to parathyroid hormone (PTH) and other hormones, which manifests with hypocalcemia, hyperphosphatemia and elevated PTH levels, a constellation of clinical features collectively termed Albright's hereditary osteodystrophy (AHO), but normal activity of the stimulatory protein G (Gs alpha)."	"http://purl.obolibrary.org/obo/MONDO_0019992|http://purl.obolibrary.org/obo/MONDO_0019695|http://purl.obolibrary.org/obo/MONDO_0016565|http://purl.obolibrary.org/obo/MONDO_0018384|http://purl.obolibrary.org/obo/MONDO_0018379"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0019992|http://purl.obolibrary.org/obo/MONDO_0016165|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0001220|http://purl.obolibrary.org/obo/MONDO_0001223|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0015962|http://purl.obolibrary.org/obo/MONDO_0021568|http://purl.obolibrary.org/obo/MONDO_0005240|http://purl.obolibrary.org/obo/MONDO_0002118|http://purl.obolibrary.org/obo/MONDO_0100191|http://purl.obolibrary.org/obo/MONDO_0004689|http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0005066|http://purl.obolibrary.org/obo/MONDO_0015327|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0019695|http://purl.obolibrary.org/obo/MONDO_0018230|http://purl.obolibrary.org/obo/MONDO_0005381|http://purl.obolibrary.org/obo/MONDO_0005172|http://purl.obolibrary.org/obo/MONDO_0002081|http://purl.obolibrary.org/obo/MONDO_0016565|http://purl.obolibrary.org/obo/MONDO_0019182|http://purl.obolibrary.org/obo/MONDO_0011122|http://purl.obolibrary.org/obo/MONDO_0003916|http://purl.obolibrary.org/obo/MONDO_0005137|http://purl.obolibrary.org/obo/MONDO_0015330|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0018384|http://purl.obolibrary.org/obo/MONDO_0018373|http://purl.obolibrary.org/obo/MONDO_0005380|http://purl.obolibrary.org/obo/MONDO_0018383|http://purl.obolibrary.org/obo/MONDO_0018379"		"pseudohypoparathyroidism|acromelic dysplasia|syndromic genetic obesity|avascular necrosis of genetic origin|primary avascular necrosis"	"pseudohypoparathyroidism|hereditary hypoparathyroidism|endocrine system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|hypoparathyroidism|parathyroid gland disorder|hereditary disease|inherited renal tubular disease|renal tubule disorder|kidney disorder|urinary system disorder|inherited kidney disorder|inborn metal metabolism disorder|inborn errors of metabolism|metabolic disease|developmental anomaly of metabolic origin|developmental defect during embryogenesis|disorder of development or morphogenesis|acromelic dysplasia|skeletal dysplasia|bone disorder|skeletal system disorder|musculoskeletal system disorder|syndromic genetic obesity|inherited obesity|obesity disorder|overnutrition|nutritional disorder|overgrowth/obesity syndrome|syndromic disease|avascular necrosis of genetic origin|avascular necrosis|osteonecrosis|osteonecrosis of genetic origin|primary avascular necrosis"	"overgrowth/obesity syndrome|avascular necrosis of genetic origin|syndromic genetic obesity"
<http://purl.obolibrary.org/obo/MONDO_0030800>	"cholestasis, progressive familial intrahepatic, 9"		"http://purl.obolibrary.org/obo/MONDO_0015762"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0015762|http://purl.obolibrary.org/obo/MONDO_0017755|http://purl.obolibrary.org/obo/MONDO_0017754|http://purl.obolibrary.org/obo/MONDO_0037821|http://purl.obolibrary.org/obo/MONDO_0005066|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0024431|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0017290|http://purl.obolibrary.org/obo/MONDO_0019072|http://purl.obolibrary.org/obo/MONDO_0001751|http://purl.obolibrary.org/obo/MONDO_0002887|http://purl.obolibrary.org/obo/MONDO_0004868|http://purl.obolibrary.org/obo/MONDO_0002515|http://purl.obolibrary.org/obo/MONDO_0004335|http://purl.obolibrary.org/obo/MONDO_0015509|http://purl.obolibrary.org/obo/MONDO_0005154|http://purl.obolibrary.org/obo/MONDO_0005151"		"progressive familial intrahepatic cholestasis"	"progressive familial intrahepatic cholestasis|inborn disorder of bilirubin metabolism|inborn disorder of porphyrin metabolism|porphyrin metabolism disease|metabolic disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|inborn errors of metabolism|hereditary disease|bilirubin metabolism disease|syndromic disease|familial intrahepatic cholestasis|intrahepatic cholestasis|cholestasis|bile duct disorder|biliary tract disorder|hepatobiliary disorder|digestive system disorder|hereditary biliary tract disease|liver disorder|endocrine system disorder"	"hereditary biliary tract disease"
<http://purl.obolibrary.org/obo/MONDO_0015749>	"6q16 deletion syndrome"	"Deletion 6q16 syndrome is a Prader-Willi like syndrome characterized by obesity, hyperphagia, hypotonia, small hands and feet, eye/vision anomalies, and global developmental delay."	"http://purl.obolibrary.org/obo/MONDO_0018354|http://purl.obolibrary.org/obo/MONDO_0016905"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0018354|http://purl.obolibrary.org/obo/MONDO_0015770|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0016072|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0018555|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0002146|http://purl.obolibrary.org/obo/MONDO_0015160|http://purl.obolibrary.org/obo/MONDO_0019042|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0002320|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0016565|http://purl.obolibrary.org/obo/MONDO_0019182|http://purl.obolibrary.org/obo/MONDO_0011122|http://purl.obolibrary.org/obo/MONDO_0003916|http://purl.obolibrary.org/obo/MONDO_0005137|http://purl.obolibrary.org/obo/MONDO_0015330|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0016905|http://purl.obolibrary.org/obo/MONDO_0016871|http://purl.obolibrary.org/obo/MONDO_0700013|http://purl.obolibrary.org/obo/MONDO_0020049|http://purl.obolibrary.org/obo/MONDO_0019040|http://purl.obolibrary.org/obo/MONDO_0000761"		"Prader-Willi-like syndrome|partial deletion of the long arm of chromosome 6"	"Prader-Willi-like syndrome|congenital hypogonadotropic hypogonadism|anomaly of puberty or/and menstrual cycle|female reproductive system disorder|reproductive system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|non-acquired pituitary hormone deficiency|pituitary deficiency|endocrine system disorder|hereditary endocrine growth disease|anomaly of puberty or/and menstrual cycle of genetic origin|hereditary disease|hypogonadotropic hypogonadism|gonadal disorder|hypogonadism|multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome|multiple congenital anomalies/dysmorphic syndrome|developmental defect during embryogenesis|disorder of development or morphogenesis|congenital nervous system disorder|nervous system disorder|syndromic genetic obesity|inherited obesity|obesity disorder|overnutrition|nutritional disorder|overgrowth/obesity syndrome|syndromic disease|partial deletion of the long arm of chromosome 6|partial deletion of chromosome 6|chromosome 6 disorder|autosomal anomaly|chromosomal disorder|syndrome caused by partial chromosomal deletion"	"overgrowth/obesity syndrome|anomaly of puberty or/and menstrual cycle|anomaly of puberty or/and menstrual cycle of genetic origin|syndromic genetic obesity"
<http://purl.obolibrary.org/obo/MONDO_0007734>	"holoprosencephaly 4"	"A rare disorder caused by mutations in the TGIF gene mapped to chromosome 18p11.3. It is characterized by semilobar holoprosencephaly, hypotelorism, and ptosis."	"http://purl.obolibrary.org/obo/MONDO_0016296"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0016296|http://purl.obolibrary.org/obo/MONDO_0018762|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0017090|http://purl.obolibrary.org/obo/MONDO_0021147|http://purl.obolibrary.org/obo/MONDO_0016054|http://purl.obolibrary.org/obo/MONDO_0020022|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0019755|http://purl.obolibrary.org/obo/MONDO_0002320|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0957008|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0015159|http://purl.obolibrary.org/obo/MONDO_0019042"		"holoprosencephaly"	"holoprosencephaly|non-acquired combined pituitary hormone deficiency|non-acquired pituitary hormone deficiency|pituitary deficiency|endocrine system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|hereditary endocrine growth disease|midline cerebral malformation|disorder of development or morphogenesis|cerebral malformation|central nervous system malformation|nervous system disorder|developmental defect during embryogenesis|congenital nervous system disorder|syndromic disease|hereditary cerebral malformation|hereditary disease|multiple congenital anomalies/dysmorphic syndrome-intellectual disability|multiple congenital anomalies/dysmorphic syndrome"	"midline cerebral malformation|cerebral malformation"
<http://purl.obolibrary.org/obo/MONDO_0009338>	"hepatic veno-occlusive disease-immunodeficiency syndrome"	"Hepatic veno-occlusive disease-immunodeficiency syndrome is characterized by the association of severe hypogammaglobulinemia, combined T and B cell immunodeficiency, absent lymph node germinal centers, absent tissue plasma cells and hepatic veno-occlusive disease."	"http://purl.obolibrary.org/obo/MONDO_0019514|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0015823|http://purl.obolibrary.org/obo/MONDO_0005154"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0019514|http://purl.obolibrary.org/obo/MONDO_0002405|http://purl.obolibrary.org/obo/MONDO_0005385|http://purl.obolibrary.org/obo/MONDO_0004995|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0005154|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0002515|http://purl.obolibrary.org/obo/MONDO_0004335|http://purl.obolibrary.org/obo/MONDO_0015823|http://purl.obolibrary.org/obo/MONDO_0003778|http://purl.obolibrary.org/obo/MONDO_0009453|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0005046"		"hepatic veno-occlusive disease|disease|primary immunodeficiency due to a defect in adaptive immunity|liver disorder"	"hepatic veno-occlusive disease|hepatic vascular disorder|vascular disorder|cardiovascular disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|liver disorder|endocrine system disorder|hepatobiliary disorder|digestive system disorder|primary immunodeficiency due to a defect in adaptive immunity|inborn error of immunity|immune deficiency disease|hereditary disease|immune system disorder"	"primary immunodeficiency due to a defect in adaptive immunity"
<http://purl.obolibrary.org/obo/MONDO_0018066>	"trisomy X"	"Trisomy X is a sex chromosome anomaly with a variable phenotype caused by the presence of an extra X chromosome in females (47,XXX instead of 46,XX)."	"http://purl.obolibrary.org/obo/MONDO_0700027|http://purl.obolibrary.org/obo/MONDO_0019852|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0700065"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0700027|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0020058|http://purl.obolibrary.org/obo/MONDO_0019040|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0019852|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/MONDO_0016072|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0005387|http://purl.obolibrary.org/obo/MONDO_0005558|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0002254|http://purl.obolibrary.org/obo/MONDO_0700065|http://purl.obolibrary.org/obo/MONDO_0700064"		"chromosome X disorder|inherited primary ovarian failure|syndromic disease|trisomy"	"chromosome X disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|gonosome anomaly|chromosomal disorder|human disease|inherited primary ovarian failure|endocrine system disorder|hereditary endocrine growth disease|anomaly of puberty or/and menstrual cycle|female reproductive system disorder|reproductive system disorder|anomaly of puberty or/and menstrual cycle of genetic origin|hereditary disease|primary ovarian failure|ovarian disorder|gonadal disorder|syndromic disease|trisomy|aneuploidy"	"anomaly of puberty or/and menstrual cycle|anomaly of puberty or/and menstrual cycle of genetic origin"
<http://purl.obolibrary.org/obo/MONDO_0032567>	"isolated growth hormone deficiency, type 4"		"http://purl.obolibrary.org/obo/MONDO_0000050|http://purl.obolibrary.org/obo/MONDO_0000001"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0000050|http://purl.obolibrary.org/obo/MONDO_0005152|http://purl.obolibrary.org/obo/MONDO_0003381|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0005560|http://purl.obolibrary.org/obo/MONDO_0002602|http://purl.obolibrary.org/obo/MONDO_0005071|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0013099|http://purl.obolibrary.org/obo/MONDO_0015770|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/MONDO_0016072|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0018555|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0002146|http://purl.obolibrary.org/obo/MONDO_0002320"		"isolated congenital growth hormone deficiency|disease"	"isolated congenital growth hormone deficiency|hypopituitarism|pituitary gland disorder|endocrine system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|brain disorder|central nervous system disorder|nervous system disorder|non-acquired pituitary hormone deficiency|pituitary deficiency|hereditary endocrine growth disease|combined pituitary hormone deficiencies, genetic form|congenital hypogonadotropic hypogonadism|anomaly of puberty or/and menstrual cycle|female reproductive system disorder|reproductive system disorder|anomaly of puberty or/and menstrual cycle of genetic origin|hereditary disease|hypogonadotropic hypogonadism|gonadal disorder|hypogonadism|congenital nervous system disorder"	"anomaly of puberty or/and menstrual cycle|anomaly of puberty or/and menstrual cycle of genetic origin"
<http://purl.obolibrary.org/obo/MONDO_0018891>	"familial tumoral calcinosis"	"Tumoral calcinosis is a phosphocalcic metabolism anomaly, particularly among younger age groups and characterized by the presence of calcified masses in the juxta-articular regions (hip, elbow, ankle and scapula) without joint involvement. Histologically, lesions dysplay collagen necrobiosis, followed by cyst formation and a foreign-body response with calcification Two forms of tumoral calcinosis have been described: normocalcemic tumoral calcinosis and familial tumoral calcinosis."	"http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0002123|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0002082|http://purl.obolibrary.org/obo/MONDO_0015950"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0019052|http://purl.obolibrary.org/obo/MONDO_0005066|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0002123|http://purl.obolibrary.org/obo/MONDO_0005557|http://purl.obolibrary.org/obo/MONDO_0000226|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0002082|http://purl.obolibrary.org/obo/MONDO_0005070|http://purl.obolibrary.org/obo/MONDO_0023370|http://purl.obolibrary.org/obo/MONDO_0045024|http://purl.obolibrary.org/obo/MONDO_0015950|http://purl.obolibrary.org/obo/MONDO_0002531|http://purl.obolibrary.org/obo/MONDO_0005093|http://purl.obolibrary.org/obo/MONDO_0002051|http://purl.obolibrary.org/obo/MONDO_0100118"		"inborn errors of metabolism|calcinosis|endocrine system disorder|endocrine gland neoplasm|inherited skin tumor"	"inborn errors of metabolism|metabolic disease|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|hereditary disease|calcinosis|calcium metabolic disease|mineral metabolism disease|endocrine system disorder|endocrine gland neoplasm|neoplasm|neoplastic disease or syndrome|cancer or benign tumor|inherited skin tumor|skin neoplasm|skin disorder|integumentary system disorder|hereditary skin disorder"	"inherited skin tumor"
<http://purl.obolibrary.org/obo/MONDO_0014666>	"hypomyelinating leukodystrophy 11"	"Any leukodystrophy in which the cause of the disease is a mutation in the POLR1C gene."	"http://purl.obolibrary.org/obo/MONDO_0019505|http://purl.obolibrary.org/obo/MONDO_0019046"	"http://purl.obolibrary.org/obo/MONDO_0005151"	"http://purl.obolibrary.org/obo/MONDO_0019505|http://purl.obolibrary.org/obo/MONDO_0015770|http://purl.obolibrary.org/obo/MONDO_0015860|http://purl.obolibrary.org/obo/MONDO_0002263|http://purl.obolibrary.org/obo/MONDO_0005039|http://purl.obolibrary.org/obo/OGMS_0000031|http://purl.obolibrary.org/obo/BFO_0000016|http://purl.obolibrary.org/obo/BFO_0000017|http://purl.obolibrary.org/obo/BFO_0000020|http://purl.obolibrary.org/obo/BFO_0000002|http://purl.obolibrary.org/obo/BFO_0000001|http://purl.obolibrary.org/obo/MONDO_0700096|http://purl.obolibrary.org/obo/MONDO_0000001|http://purl.obolibrary.org/obo/MONDO_0019824|http://purl.obolibrary.org/obo/MONDO_0015127|http://purl.obolibrary.org/obo/MONDO_0005151|http://purl.obolibrary.org/obo/MONDO_0015514|http://purl.obolibrary.org/obo/MONDO_0016072|http://purl.obolibrary.org/obo/MONDO_0003847|http://purl.obolibrary.org/obo/MONDO_0018555|http://purl.obolibrary.org/obo/MONDO_0002259|http://purl.obolibrary.org/obo/MONDO_0002146|http://purl.obolibrary.org/obo/MONDO_0019046|http://purl.obolibrary.org/obo/MONDO_0024237|http://purl.obolibrary.org/obo/MONDO_0005559|http://purl.obolibrary.org/obo/MONDO_0002602|http://purl.obolibrary.org/obo/MONDO_0005071"		"hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome|leukodystrophy"	"hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome|congenital hypogonadotropic hypogonadism|anomaly of puberty or/and menstrual cycle|female reproductive system disorder|reproductive system disorder|disease|disposition|realizable entity|specifically dependent continuant|continuant|entity|human disease|non-acquired pituitary hormone deficiency|pituitary deficiency|endocrine system disorder|hereditary endocrine growth disease|anomaly of puberty or/and menstrual cycle of genetic origin|hereditary disease|hypogonadotropic hypogonadism|gonadal disorder|hypogonadism|leukodystrophy|inherited neurodegenerative disorder|neurodegenerative disease|central nervous system disorder|nervous system disorder"	"anomaly of puberty or/and menstrual cycle|anomaly of puberty or/and menstrual cycle of genetic origin|hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome"
