ID	LABEL	SYNONYMS
MONDO:0000118	reticulate pigment disorder	reticulate pigment disorders
MONDO:0000127	geleophysic dysplasia	geleophysic dwarfism|geleophysic dwarfism syndrome
MONDO:0000128	giant axonal neuropathy	
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	CIID|ICF syndrome|immunodeficiency-centromeric instability-facial anomalies|immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000136	keratosis follicularis spinulosa decalvans	keratosis pilaris decalvans
MONDO:0000138	metaphyseal chondrodysplasia	metaphyseal chondrodysplasia|metaphyseal chondrodysplasia (disease)
MONDO:0000141	mosaic variegated aneuploidy syndrome	MVA1|Mosaic variegated aneuploidy syndrome 1|Warburton-Anyane-Yeboa syndrome
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	
MONDO:0000152	thiamine-responsive dysfunction syndrome	thiamine-responsive dysfunction syndrome
MONDO:0000153	transposition of the great arteries	TGA|TGV|complete transposition|great vessels transposition|transposition of great vessels|transposition of the great vessels
MONDO:0000155	triglyceride storage disease	inborn error of sequestering of triglyceride|inborn sequestering of triglyceride disorder|rare inborn error of sequestering of triglyceride
MONDO:0000156	trigonocephaly	trigonocephalia|trigonocephalus|trigonocephaly|trigonocephaly, isolated
MONDO:0000159	bone marrow failure syndrome	
MONDO:0000160	epilepsy, familial adult myoclonic	
MONDO:0000167	Huntington disease and related disorders	
MONDO:0000170	microphthalmia, isolated, with coloboma	MAC|MCOPCB1|colobomatous microphthalmia|microphthalmia associated with colobomatous cyst|microphthalmia with colobomatous cyst|microphthalmia-anophthalmia-coloboma syndrome|microphthalmos bilateral, colobomatous orbital cyst
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	Chemke syndrome|Pagon syndrome|WWS|Walker-Warburg muscular dystrophy|Walker-Warburg syndrome|Warburg syndrome|cerebroocular dysgenesis|cerebroocular dysplasia muscular dystrophy syndrome|cerebroocular dysplasia-muscular dystrophy syndrome|hard +/- E syndrome|hard syndrome|hydrocephalus, agyria and retinal dysplasia|hydrocephalus-agyria-retinal dysplasia syndrome
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	
MONDO:0000179	Neu-Laxova syndrome	NLS|Neu Laxova syndrome|nuclear localization signal
MONDO:0000181	microcephaly and chorioretinopathy	
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	CMS-TA|myasthenic syndrome, congenital, with tubular aggregates
MONDO:0000188	GLUT1 deficiency syndrome	GLUT1 deficiency syndrome|GLUT1DS
MONDO:0000192	polyglucosan body myopathy	
MONDO:0000193	cortisone reductase deficiency	11-alpha beta-hydroxysteroid dehydrogenase type I deficiency of|11-beta-hydroxysteroid dehydrogenase deficiency type 1|CORTRD|HSD 11B1 deficiency|deficiency of (R)-20-hydroxysteroid dehydrogenase|deficiency of cortisone reductase|hyperandrogenism due to cortisone reductase deficiency
MONDO:0000200	Zimmermann-Laband syndrome	Laband syndrome|Laband-Zimmermann syndrome|ZLS|ZLS1|Zimmerman Laband syndrome|Zimmermann-Laband syndrome 1|Zimmermann-Laband syndrome type 1|fibromatosis gingival, hepatosplenomegaly other anomalies|gingival fibromatosis, abnormal fingers, fingernails, nose and ears, and splenomegaly|gingival fibromatosis-hepatosplenomegaly-other anomalies syndrome
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	MSSGM|MSSGM1|microcephaly, short stature, and impaired glucose metabolism|microcephaly, short stature, and impaired glucose metabolism 1
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	SMABF|spinal muscular atrophy with congenital bone fractures
MONDO:0000210	thiopurine metabolic disease	
MONDO:0000211	striatal degeneration, autosomal dominant	ADSD|autosomal dominant striatal neurodegeneration
MONDO:0000212	hypercalcemia, infantile	autosomal recessive hypercalcemia, infantile|autosomal recessive infantile hypercalcemia|familial infantile hypercalcemia with suppressed intact parathyroid hormone|hypercalcemia disease of infancy|hypercalcemia, idiopathic, of infancy|hypercalcemia, infantile|hypercalcemia, infantile, autosomal recessive|idiopathic infantile hypercalcemia|infantile hypercalcemia|infantile hypercalcemia disease|infantile onset hypercalcemia disease
MONDO:0000214	hypermanganesemia with dystonia	
MONDO:0000222	seminal vesicle acute gonorrhea	acute gonococcal seminal vesiculitis|gonococcal seminal vesiculitis, acute
MONDO:0000225	human monocytic ehrlichiosis	HME|Human ehrlichial infection, human monocytic type|ehrlichiosis chafeensis|human ehrlichiosis caused by Ehrlichia chaffeensis|human ehrlichiosis due to Ehrlichia chaffeensis
MONDO:0000227	African tick-bite fever	Rickettsia africae spotted fever|South African tick-bite fever
MONDO:0000229	Indian tick typhus	
MONDO:0000230	Israeli tick typhus	Israeli spotted fever
MONDO:0000231	Far eastern spotted fever	Rickettsia heilongjiangensis spotted fever
MONDO:0000232	Flinders island spotted fever	FISF|Thai tick typhus
MONDO:0000233	Japanese spotted fever	Japanese spotted fever|Japanese spotted fevers|Rickettsia japonica spotted fever|fever, Japanese spotted|fevers, Japanese spotted|oriental spotted fever|spotted fever, Japanese
MONDO:0000234	Rickettsia parkeri spotted fever	maculatum infection
MONDO:0000240	invasive aspergillosis	
MONDO:0000241	Keshan disease	congestive cardiomyopathy due to selenium deficiency|enlarged heart and poor heart function
MONDO:0000248	dengue shock syndrome	DSS
MONDO:0000259	asymptomatic dengue	
MONDO:0000266	pulmonary aspergilloma	lung aspergillosis
MONDO:0000271	tuberculous salpingitis	fallopian tube tuberculosis
MONDO:0000273	Kunjin virus infectous disease	Kunjin encephalitis
MONDO:0000276	Powassan encephalitis	Powassan virus caused disease or disorder|Powassan virus disease or disorder|Powassan virus infectious disease|encephalitis, powassan|powassan encephalitis virus infection
MONDO:0000290	primary amebic meningoencephalitis	Naegleria fowleri infection|infections, Naegleria fowleri
MONDO:0000291	granulomatous amebic encephalitis	Acanthamoeba encephalitis|Acanthamoeba granulomatous encephalitis|granulomatous amebic encephalitis due to Acanthamoeba|granulomatous amoebic encephalitis
MONDO:0000301	ophthalmomyiasis	Oestrus ovis caused myiasis|Oestrus ovis myiasis|ophthalmic myiasis|ophthalmomyiasis
MONDO:0000302	basidiobolomycosis	Basidiobolus caused disease or disorder|Basidiobolus disease or disorder|Basidiobolus infectious disease|basidiobolomycosis|infection by Basidiobolus|infection caused by Basidiobolus
MONDO:0000310	Alkhurma hemorrhagic fever	Alkhumra hemorrhagic fever virus caused disease or disorder|Alkhumra hemorrhagic fever virus disease or disorder|Alkhumra hemorrhagic fever virus infectious disease
MONDO:0000320	glandular tularemia	lymph node tularemia
MONDO:0000321	typhoidal tularemia	
MONDO:0000330	endemic typhus	Rickettsia felis spotted fever|cat flea rickettsiosis|endemic flea-borne typhus|endemic typhus fever|fleaborne typhus|murine typhus|rat-flea typhus|shop typhus|toulon typhus|urban typhus|urban typhus of Malaya
MONDO:0000331	Rickettsia helvetica spotted fever	Rickettsia helvetica aneruptive fever|Rickettsia helvetica caused disease or disorder|Rickettsia helvetica disease or disorder|Rickettsia helvetica infectious disease|aneruptive fever
MONDO:0000332	sennetsu fever	Human Ehrlichial infection, sennetsu type|Neorickettsia sennetsu caused disease or disorder|Neorickettsia sennetsu disease or disorder|Neorickettsia sennetsu infectious disease|sennetsu ehrlichiosis|sennetsu fever
MONDO:0000333	early congenital syphilis	Early congenital syphilis (less than 2 years)
MONDO:0000335	parenchymatous neurosyphilis	
MONDO:0000336	meningovascular neurosyphilis	
MONDO:0000338	variola major infectious disease	variola major
MONDO:0000339	spinal polio	
MONDO:0000340	bulbospinal polio	
MONDO:0000341	paralytic poliomyelitis	
MONDO:0000351	disorder of methionine catabolism	hypermethioninemia|inborn error of methionine catabolic process|inborn methionine catabolic process disorder|rare inborn error of methionine catabolic process
MONDO:0000355	Ullrich congenital muscular dystrophy	UCMD|Ullrich disease|Ullrich scleroatonic muscular dystrophy|congenital muscular dystrophy, Ullrich type|late onset scleroatonic familial myopathy (subtype)|scleroatonic Ullrich disease|scleroatonic muscular dystrophy
MONDO:0000359	spondylocostal dysostosis	Jarcho-Levin syndrome|SCD|SCDO|costovertebral dysplasia|spondylocostal dysostosis|spondylocostal dysplasia
MONDO:0000363	gummatous syphilis	
MONDO:0000365	primary congenital glaucoma	primary congenital glaucoma|primary congenital glaucoma (disease)
MONDO:0000368	extrapulmonary tuberculosis	
MONDO:0000369	abdominal tuberculosis	tuberculosis of abdomen
MONDO:0000371	oral cavity carcinoma in situ	carcinoma in situ of mouth|carcinoma in situ of oral cavity|carcinoma in situ of the mouth|carcinoma in situ of the oral cavity|mouth carcinoma in situ|oral cavity in situ carcinoma|stage 0 carcinoma of mouth|stage 0 carcinoma of oral cavity|stage 0 carcinoma of the mouth|stage 0 carcinoma of the oral cavity|stage 0 mouth carcinoma|stage 0 oral cavity cancer|stage 0 oral cavity cancer aJCC v6|stage 0 oral cavity cancer aJCC v6 and v7|stage 0 oral cavity cancer aJCC v7|stage 0 oral cavity carcinoma
MONDO:0000374	bile duct carcinoma in situ	bile duct in situ carcinoma|carcinoma in situ of bile duct|stage 0 bile duct carcinoma
MONDO:0000379	malignant Sertoli-Leydig cell tumor	Sertoli-Leydig cell tumor, malignant
MONDO:0000380	paranasal sinus carcinoma	accessory sinus cancer|accessory sinus carcinoma|adenoid cystic carcinoma of accessory sinus|adenoid cystic carcinoma of paranasal sinus|cancer of paranasal sinus|carcinoma of accessory sinus|carcinoma of paranasal sinus|carcinoma of the accessory sinus|carcinoma of the paranasal sinus|epidermoid carcinoma of the paranasal sinus|malignant neoplasm of paranasal sinus|malignant paranasal sinus neoplasm|mucoepidermoid carcinoma of accessory sinus|paranasal sinus adenocarcinoma|paranasal sinus adenoid cystic carcinoma|paranasal sinus cancer|paranasal sinus carcinoma|paranasal sinus mucoepidermoid carcinoma|paranasal sinus squamous cell carcinoma|squamous cell carcinoma of paranasal sinus
MONDO:0000381	infiltrating renal pelvis transitional cell carcinoma	
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	GINET|alimentary part of gastrointestinal system neuroendocrine tumor|digestive system NET|digestive system neuroendocrine tumor|digestive system well differentiated neuroendocrine tumor|gastroenteropancreatic NET|gastroenteropancreatic neuroendocrine tumor|gastrointestinal NET|gastrointestinal neuroendocrine tumor|gastrointestinal neuroendocrine tumors|gastrointestinal system neuroendocrine tumor|malignant gastrointestinal neuroendocrine tumor
MONDO:0000387	hypochromic microcytic anemia	hypochromic microcytic anemia|hypochromic microcytic anemia (disease)
MONDO:0000390	vitelliform macular dystrophy	macular dystrophy, vitelliform|vitelliform macular dystrophy
MONDO:0000393	partial fetal alcohol syndrome	
MONDO:0000395	alcohol-related birth defect	ARBD|alcohol related birth defect
MONDO:0000402	small cell carcinoma	intermediate cell small cell carcinoma|oat cell cancer|oat cell carcinoma|small cell NEC|small cell cancer|small cell car. (extrapulmonary)|small cell carcinoma|small cell carcinoma (extrapulmonary)|small cell carcinoma - intermediate cell|small cell carcinoma, intermediate cell|small cell carcinoma, intermediate cell (morphologic abnormality)|small cell neuroendocrine carcinoma
MONDO:0000407	malignant pleural solitary fibrous tumor	pleural solitary fibrous tumor, malignant
MONDO:0000408	fetal alcohol spectrum disorder	FAE (fetal alcohol effects)|FAEs (fetal alcohol effects)|FASD|FASDs|alcohol related birth defects|alcohol related neurodevelopmental disorder|alcohol-related birth defects|alcohol-related birth defects (ARBD) - type|alcohol-related neurodevelopmental disorder (ARND) - type|birth defects, alcohol-related|fetal alcohol spectrum disorders|fetal alcohol syndrome|fetal alcohol syndrome (FAS) - type|growth retardation, facial abnormalities, and central nervous system dysfunction|partial fetal alcohol syndrome|syndrome, fetal alcohol
MONDO:0000421	inborn serine deficiency	inborn L-serine biosynthetic process disorder|inborn error of L-serine biosynthetic process|rare inborn error of L-serine biosynthetic process
MONDO:0000424	inborn vitamin B12 deficiency	cobalamin deficiency|hypocobalaminemia|inborn cobalamin metabolic process disorder|inborn error of cobalamin metabolic process|inborn vitamin B12 deficiency (disease)|rare inborn error of cobalamin metabolic process
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	NK-T cell lymphoma|PTCL|mature T-and NK-cell lymphoma|mature T-cell and NK-cell lymphoma|mature T-cell and NK-cell non-Hodgkin lymphoma|mature T-cell and NK-cell non-Hodgkin's lymphoma|mature T-cell and natural killer cell lymphoma|mature T-cell lymphoma|mature T-cell non-Hodgkin's lymphoma|peripheral T-cell lymphoma
MONDO:0000432	lymphoplasmacytic lymphoma	Immunocytoma, lymphoplasmacytic type|lymphoma, lymphoplasmacytic, malignant|lymphoma, plasmacytic|lymphoplasmacytic lymphoma|lymphoplasmacytic lymphoma (Waldenstrom macroglobulinemia)|lymphoplasmacytoid lymphoma
MONDO:0000437	cerebellar ataxia	ataxia|ataxia syndrome|ataxia, cerebellar|ataxias, cerebellar|cerebellar Ataxias|cerebellar Dysmetrias|cerebellar dysmetria|rare ataxia|spinocerebellar Degeneration|spinocerebellar ataxia
MONDO:0000447	autosomal dominant polycystic liver disease	AD polycystic liver disease|ADPLD|PCLD|congenital cystic liver disease|congenital hepatic cyst|fibrocystic liver disease|isolated congenital polycystic liver disease|isolated polycystic liver disease|polycystic liver disease
MONDO:0000448	paraganglioma	Paraganglionic neoplasm|Paraganglionic tumor|chemodectoma|neoplasm of paraganglion|neoplasm of the paraganglion|paraganglioma|paragangliomas|paraganglion neoplasm|paraganglion tumor|tumor of paraganglion|tumor of the paraganglion
MONDO:0000450	secondary progressive multiple sclerosis	SPMS|secondary-progressive MS
MONDO:0000451	primary progressive multiple sclerosis	PPMS|primary-progressive MS
MONDO:0000452	progressive relapsing multiple sclerosis	PRMS|progressive-relapsing MS
MONDO:0000453	short QT syndrome	familial short QT syndrome|short QT syndrome|ventricular arrhythmia associated with short QT syndrome
MONDO:0000455	cone dystrophy	cone dystrophy|progressive cone dystrophy|retinal cone dystrophy|stationary cone dystrophy
MONDO:0000456	cerebral creatine deficiency syndrome	CCDS|CDS|cerebral creatine deficiency syndrome|creatine deficiency syndrome
MONDO:0000457	classical glioblastoma	classical glioblastoma|glioblastoma classical subtype
MONDO:0000458	proneural glioblastoma	glioblastoma proneural subtype|proneural glioblastoma
MONDO:0000459	mesenchymal glioblastoma	glioblastoma mesenchymal subtype|mesenchymal glioblastoma
MONDO:0000460	neural glioblastoma	glioblastoma neural subtype|neural glioblastoma
MONDO:0000463	Ochoa syndrome	Ochoa syndrome|UFS|hydronephrosis with peculiar facial expression|hydronephrosis-inverted smile syndrome|inverted smile and occult neuropathic bladder|inverted smile-neurogenic bladder syndrome|partial facial palsy with urinary abnormalities|urofacial Ochoa's syndrome|urofacial syndrome
MONDO:0000466	first-degree atrioventricular block	AV block first degree|atrioventricular block first degree|atrioventricular block, first degree|first degree AV block|first degree atrioventricular block
MONDO:0000467	second-degree atrioventricular block	AV block second degree|atrioventricular block second degree|atrioventricular block, second degree|second degree AV block|second degree atrioventricular block|second-degree heart block
MONDO:0000468	third-degree atrioventricular block	AV block third degree|atrioventricular block complete|atrioventricular block, third degree|complete AV block|complete atrioventricular block|complete heart block|non-congenital complete atrioventricular block|third degree AV block|third degree atrioventricular block
MONDO:0000476	generalized dystonia	Idiopathic torsion dystonia|Idiopathic torsion dystonias|Oppenheim Ziehen disease|Oppenheim-Ziehen disease|Progressive torsion spasm|childhood torsion disease|dystonia 12|dystonia deformans musculorum|dystonia deformans progressiva|dystonia musculorum deformans|dystonia, Idiopathic torsion|dystonias, Idiopathic torsion|dystonias, torsion|familial dystonia|fragments of torsion dystonia|generalized isolated dystonia|idiopathic familial dystonia|idiopathic non-familial dystonia|idiopathic torsion dystonia|spasm, Progressive torsion|symptomatic torsion dystonia|torsion disease of childhood|torsion disease, childhood|torsion dystonia|torsion dystonia, Idiopathic|torsion spasm, Progressive
MONDO:0000480	anismus	anal region skeletal muscle focal dystonia|dyskinetic puborectalis|dyssynergic defecation|focal dystonia of anal region skeletal muscle|puborectalis syndrome|rectosphincteric dyssynergia|spastic pelvic floor syndrome|sphincteric disobedience syndrome
MONDO:0000481	cervical dystonia	spasmodic torticollis
MONDO:0000485	spasmodic dystonia	abductor spasmodic dysphonia|adductor spasmodic dysphonia|laryngeal dyskinesia|laryngeal dystonia|mixed spasmodic dysphonia (type)|spasmodic dysphonia|spastic dysphonia
MONDO:0000486	craniofacial dystonia	cranio-facial dystonia
MONDO:0000490	glomerulosclerosis	glomerular sclerosis
MONDO:0000494	renal fibrosis	
MONDO:0000498	arteritic anterior ischemic optic neuropathy	arteritic aion
MONDO:0000499	non-arteritic anterior ischemic optic neuropathy	NAION|non-arteritic aion|nonarteritic anterior ischemic optic neuropathy
MONDO:0000500	tongue squamous cell carcinoma	scc of the tongue|scc of tongue|squamous cell carcinoma of the tongue|squamous cell carcinoma of tongue|tongue scc|tongue squamous cell carcinoma
MONDO:0000503	lung adenocarcinoma in situ	adenosquamous cell carcinoma in situ of lung|adenosquamous cell carcinoma in situ of the lung|bronchioalveolar carcinoma|bronchioloalveolar carcinoma|in situ pulmonary adenocarcinoma|lung adenocarcinoma In situ|lung adenosquamous cell carcinoma in situ|stage 0 adenosquamous cell carcinoma of lung|stage 0 adenosquamous cell carcinoma of the lung|stage 0 adenosquamous cell lung carcinoma|stage 0 adenosquamous lung cancer|stage 0 adenosquamous lung carcinoma aJCC v6|stage 0 adenosquamous lung carcinoma aJCC v6 and v7|stage 0 adenosquamous lung carcinoma aJCC v7
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	IBMPFD|inclusion body myopathy with Paget's disease of bone and frontotemporal dementia|inclusion body myopathy with early-onset Paget disease and frontotemporal dementia|inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia|inclusion body myopathy/Paget disease/frontotemporal dementia|limb-girdle muscular dystrophy with Paget disease of bone|pagetoid amyotrophic lateral sclerosis|pagetoid neuroskeletal syndrome
MONDO:0000508	syndromic intellectual disability	syndrome associated with intellectual disability|syndromic intellectual disability
MONDO:0000509	non-syndromic intellectual disability	isolated intellectual disability|nonsyndromic intellectual disability
MONDO:0000513	bone ameloblastoma	ameloblastoma of bone tissue|bone tissue ameloblastoma
MONDO:0000514	bone squamous cell carcinoma	bone tissue squamous cell carcinoma
MONDO:0000515	bone chondrosarcoma	bone tissue chondrosarcoma (disease)|chondrosarcoma (disease) of bone tissue
MONDO:0000516	phalanx chondroma	phalanx chondroma
MONDO:0000517	brain stem medulloblastoma	brainstem medulloblastoma|medulloblastoma of brainstem
MONDO:0000518	sacrum chordoma	chordoma (disease) of fused sacrum|fused sacrum chordoma (disease)
MONDO:0000519	corpus callosum oligodendroglioma	corpus callosum oligodendroglioma|oligodendroglioma of corpus callosum
MONDO:0000520	parietal lobe ependymal tumor	ependymal tumor of parietal lobe|parietal lobe ependymal tumor|parietal lobe ependymoma
MONDO:0000521	salivary gland carcinoma	carcinoma of saliva-secreting gland|carcinoma of salivary gland|carcinoma of the salivary gland|saliva-secreting gland carcinoma|salivary carcinoma|salivary gland cancer|salivary gland carcinoma
MONDO:0000524	mixed extragonadal germ cell cancer	
MONDO:0000531	bronchus mucoepidermoid carcinoma	bronchus mucoepidermoid carcinoma
MONDO:0000532	lung combined type small cell adenocarcinoma	
MONDO:0000534	trachea mucoepidermoid carcinoma	trachea mucoepidermoid carcinoma
MONDO:0000535	tonsil squamous cell carcinoma	tonsil squamous cell carcinoma
MONDO:0000536	pharyngeal squamous cell carcinoma	pharyngeal (including hypopharyngeal and oropharyngeal) squamous cell carcinoma|pharyngeal squam. cell carcinoma|pharyngeal squamous cell carcinoma|pharyngeal throat squamous cell cancer|pharynx squamous cell carcinoma
MONDO:0000539	striated muscle rhabdoid tumor	striated muscle tissue rhabdoid tumor
MONDO:0000540	small intestinal neuroendocrine tumor G1	carcinoid tumor of small bowel|carcinoid tumor of small intestine|carcinoid tumor of the small bowel|carcinoid tumor of the small intestine|grade 1 neuroendocrine neoplasm of small intestine|small bowel carcinoid tumor|small intestinal NET G1|small intestinal carcinoid tumor|small intestinal neuroendocrine tumor G1|small intestine NET G1|small intestine carcinoid neuroendocrine tumor|small intestine carcinoid tumor|small intestine carcinoid tumor (disease)|small intestine neuroendocrine neoplasm G1|small intestine neuroendocrine tumor, well differentiated, low grade
MONDO:0000541	jejunal adenocarcinoma	jejunal adenocarcinoma|jejunal adenocarcinoma (disease)|jejunum adenocarcinoma
MONDO:0000543	ovarian melanoma	melanoma (disease) of ovary|metastatic melanoma of ovary|ovary melanoma (disease)|ovary metastatic melanoma
MONDO:0000544	mucosal melanoma	mucosal melanoma
MONDO:0000545	sublingual gland adenoid cystic carcinoma	sublingual gland adenoid cystic carcinoma
MONDO:0000548	ovarian clear cell cancer	clear-cell ovarian carcinoma|malignant ovarian clear cell neoplasm|malignant ovarian clear cell tumor|ovarian clear cell carcinoma
MONDO:0000549	cervical neuroblastoma	neck neuroblastoma|neuroblastoma of neck
MONDO:0000550	extra-adrenal sympathetic paraganglioma	extra-adrenal Chromaffinoma|extra-adrenal chromaffin neoplasm|extra-adrenal pheochromocytoma|extra-adrenal sympathetic Paraganglionic neoplasm|extra-adrenal sympathetic paraganglioma|extraadrenal pheochromocytoma
MONDO:0000551	retroperitoneal neuroblastoma	neuroblastoma of retroperitoneal space|retroperitoneal space neuroblastoma
MONDO:0000554	endocervical adenocarcinoma	endocervical adenocarcinoma, usual type|endocervix adenocarcinoma
MONDO:0000563	GRID2-related autosomal dominant spinocerebellar ataxia	GRID2-related spinocerebellar ataxia
MONDO:0000565	infective endocarditis	endocarditis infective|endocarditis, infective
MONDO:0000572	recombinase activating gene 1 deficiency	recombinase activating gene 1 deficiency
MONDO:0000573	recombinase activating gene 2 deficiency	recombinase activating gene 2 deficiency
MONDO:0000577	congenital anemia	congenital anemia|congenital anemia (disease)
MONDO:0000583	immunoglobulin beta deficiency	IgB deficiency
MONDO:0000584	B cell linker protein deficiency	B-cell linker protein deficiency|BLNK deficiency
MONDO:0000591	intrinsic cardiomyopathy	intrinsic cardiomyopathy|primary cardiomyopathy
MONDO:0000597	Munchausen by proxy	Munchausen by proxy syndrome|Munchausen syndrome by proxy
MONDO:0000598	aphasia	
MONDO:0000602	autoimmune disorder of blood	blood autoimmune disease|blood hypersensitivity reaction type II disease
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma	CTCL|PCTCL|T-cell non-Hodgkin's lymphoma of skin|T-cell non-Hodgkin's lymphoma of the skin|cutaneous T cell lymphoma|cutaneous T-cell lymphoma|cutaneous T-cell non-Hodgkin lymphoma|cutaneous T-cell non-Hodgkin's lymphoma|primary cutaneous T-cell non-Hodgkin lymphoma|primary cutaneous T-cell non-Hodgkin's lymphoma|skin T-cell non-Hodgkin's lymphoma
MONDO:0000610	marantic endocarditis	non-bacterial thrombotic endocarditis|nonbacterial thrombotic endocarditis
MONDO:0000631	bone benign neoplasm	benign bone neoplasm|benign bone tumor|benign neoplasm of bone|benign neoplasm of the bone|benign osseous neoplasm|benign osseous tumor|benign tumor of bone|benign tumor of the bone|bone tissue benign neoplasm
MONDO:0000638	benign glioma	glioma, benign
MONDO:0000640	central nervous system primitive neuroectodermal neoplasm	CNS PNET|CNS primitive neuroectodermal neoplasm|CNS primitive neuroectodermal tumor|central nervous system PNET|central nervous system neuroectodermal tumor|central nervous system primitive neuroectodermal neoplasm|central nervous system primitive neuroectodermal tumor|central nervous system primitive neuroectodermal tumor (WHO grade IV)|central primitive neuroectodermal neoplasm|central primitive neuroectodermal tumor|primitive neuroectodermal tumor of central nervous system
MONDO:0000642	brain meningioma	brain meningioma (disease)|meningioma (disease) of brain
MONDO:0000645	fallopian tube benign neoplasm	benign fallopian tube neoplasm|benign fallopian tube tumor|benign neoplasm of fallopian tube|benign neoplasm of the fallopian tube|benign tumor of fallopian tube|benign tumor of fallopian tubes|benign tumor of the fallopian tube|fallopian tube benign neoplasm|fallopian tube neoplasm, benign|fallopian tube tumor, benign
MONDO:0000659	delta-heavy chain disease	IgD heavy chain disease|delta chain disease|delta heavy chain disease
MONDO:0000660	akinetopsia	
MONDO:0000661	alexithymia	
MONDO:0000662	amusia	receptive amusia
MONDO:0000663	anosognosia	
MONDO:0000664	apperceptive agnosia	
MONDO:0000666	associative visual agnosia	associative agnosia
MONDO:0000667	auditory agnosia	
MONDO:0000668	autotopagnosia	
MONDO:0000669	color agnosia	
MONDO:0000670	cortical deafness	
MONDO:0000671	finger agnosia	finger agnosia|finger agnosia (disease)|manual digit agnosia
MONDO:0000672	form agnosia	
MONDO:0000673	integrative agnosia	
MONDO:0000674	mirror agnosia	
MONDO:0000675	pain agnosia	analgesia
MONDO:0000676	phonagnosia	
MONDO:0000677	semantic agnosia	
MONDO:0000678	simultanagnosia	
MONDO:0000679	social emotional agnosia	expressive agnosia
MONDO:0000680	astereognosia	astereognosia|astereognosia (disease)|somatosensory agnosia
MONDO:0000681	tactile agnosia	
MONDO:0000682	time agnosia	
MONDO:0000683	topographical agnosia	
MONDO:0000684	verbal auditory agnosia	
MONDO:0000685	visual agnosia	visual agnosia|visual agnosia (disease)|visuoperceptual agnosia
MONDO:0000686	alexia without agraphia	Agnosias, visual verbal|Agraphias, alexia without|Blindnesses, Pure Word|Pure Word Blindnesses|Pure Word blindness|Pure alexia|Pure alexia without agraphia|Pure alexias|Word Blindnesses, Pure|Word blindness, Pure|agnosia, visual verbal|agraphia, alexia without|alexia syndrome without agraphia|alexia without Agraphias|alexia without agraphia|alexias, Pure|blindness, Pure Word|verbal Agnosias, visual|verbal agnosia, visual|visual verbal Agnosias|visual verbal agnosia|without Agraphias, alexia|without agraphia, alexia
MONDO:0000687	diffuse alopecia areata	Cazenave's vitiligo|Celsus' vitiligo|Jonston's alopecia|alopecia celsi|marginal alopecia|patchy alopecia
