?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0016584>	"mandibuloacral dysplasia"	"Mandibuloacral dysplasia (MAD) is a rare genetic bone disorder characterized by growth delay, postnatal development of craniofacial anomalies including mandibular hypoplasia, progressive acral osteolysis, mottled or patchy pigmentation, skin atrophy, and partial or generalized lipodystrophy."	""	
<http://purl.obolibrary.org/obo/MONDO_0000057>	"obsolete medullary cystic kidney disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000058>	"obsolete melanoma, cutaneous malignant"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0024462>	"susceptibility to familial cutaneous melanoma"	"A susceptibility or predisposition to cutaneous melanoma (disease) that is caused by an inherited modification of the individual's genome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000059>	"obsolete methylmalonic aciduria and homocystinuria"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016826>	"methylmalonic aciduria and homocystinuria"	"An inborn error of vitamin B12 (cobalamin) metabolism characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures. There are four complementation classes of cobalamin defects (cblC, cblD, cblF and cblJ) that are responsible for methylmalonic acidemia - homocystinuria (methylmalonic acidemia - homocystinuria cblC, cblD cblF and cblJ)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000060>	"microcephalic osteodysplastic primordial dwarfism"		""	
<http://purl.obolibrary.org/obo/MONDO_0001149>	"microcephaly"	"A congenital or acquired developmental disorder in which the circumference of the head is smaller than normal for the person's age and sex."	""	
<http://purl.obolibrary.org/obo/MONDO_0000061>	"obsolete microcephaly, primary, autosomal recessive"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016660>	"autosomal recessive primary microcephaly"	"Autosomal recessive primary microcephaly (MCPH) is a rare genetically heterogeneous disorder of neurogenic brain development characterized by reduced head circumference at birth with no gross anomalies of brain architecture and variable degrees of intellectual impairment."	""	
<http://purl.obolibrary.org/obo/MONDO_0000062>	"isolated microphthalmia"	"A microphthalmia that is not part of a larger syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0021129>	"microphthalmia"	"Congenital or developmental anomaly in which the eyeballs are abnormally small."	""	
<http://purl.obolibrary.org/obo/MONDO_0021128>	"has an isolated presentation"	"An characteristic of a disease in which the disease is manifested as an isolated feature."	""	
<http://purl.obolibrary.org/obo/MONDO_0000063>	"obsolete molybdenum cofactor deficiency"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0020480>	"sulfite oxidase deficiency due to molybdenum cofactor deficiency"		""	
<http://purl.obolibrary.org/obo/MONDO_0000064>	"obsolete syndromic microphthalmia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016073>	"syndromic microphthalmia"	"A microphthalmia that is part of a larger syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000065>	"microvascular complications of diabetes, susceptibility"		""	
<http://purl.obolibrary.org/obo/MONDO_0020573>	"inherited disease susceptibility"	"A latent susceptibility to disease at the genetic level, which may be activated under certain conditions."	""	
<http://purl.obolibrary.org/obo/MONDO_0005266>	"diabetic retinopathy"	"A chronic, pathological complication associated with diabetes mellitus, where retinal damages are incurred due to microaneurysms in the vasculature of the retina, progressively leading to abnormal blood vessel growth, and swelling and leaking of fluid from blood vessels, resulting in vision loss or blindness."	""	
<http://purl.obolibrary.org/obo/MONDO_0000066>	"mitochondrial respiratory chain complex deficiency"	"A mitochondrial energy metabolism disorder where respiratory complex (I–V) is dysfunctional, typically due to mutations in genes encoding that specific complex’s proteins or assembly factors."	""	
<http://purl.obolibrary.org/obo/MONDO_0016387>	"mitochondrial oxidative phosphorylation disorder"	"A multisystem disorder with variable manifestations resulting from a defect in the mitochondrial oxidative phosphorylation (OXPHOS) system."	""	
<http://purl.obolibrary.org/obo/MONDO_0000067>	"obsolete mitochondrial DNA depletion syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018158>	"mitochondrial DNA depletion syndrome"	"The mitochondrial DNA (mtDNA) depletion syndrome (MDS) is a clinically heterogeneous group of mitochondrial disorders characterized by a reduction of the mtDNA copy number in affected tissues without mutations or rearrangements in the mtDNA. MDS is phenotypically heterogeneous, and can affect a specific organ or a combination of organs, with the main presentations described being either hepatocerebral (i.e. hepatic dysfunction, psychomotor delay), myopathic (i.e. hypotonia, muscle weakness, bulbar weakness), encephalomyopathic (i.e. hypotonia, muscle weakness, psychomotor delay) or neurogastrointestinal (i.e gastrointestinal dysmotility, peripheral neuropathy). Additional phenotypes include fatal infantile lactic acidosis with methylmalonic aciduria, spastic ataxia (early-onset spastic ataxia-neuropathy syndrome), and Alpers syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000068>	"obsolete mucolipidosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019248>	"mucolipidosis"	"A group of inherited lysosomal storage diseases characterized by accumulation of lipids and carbohydrates in the tissues, resulting in mental disabilities and skeletal malformations."	""	
<http://purl.obolibrary.org/obo/MONDO_0000069>	"obsolete multiple endocrine neoplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0017169>	"multiple endocrine neoplasia"	"Multiple endocrine neoplasia (MEN) is a group of rare inherited cancer syndromes characterized by the development of two or more endocrine gland tumors, sometimes with tumor development in other tissues or organs."	""	
<http://purl.obolibrary.org/obo/MONDO_0000070>	"Mycobacterium tuberculosis, susceptibility"		""	
<http://purl.obolibrary.org/obo/MONDO_0018076>	"tuberculosis"	"A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."	""	
<http://purl.obolibrary.org/obo/MONDO_0000071>	"obsolete myopathy, myofibrillar"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018943>	"myofibrillar myopathy"	"Myofibrillar myopathy (MFM) describes a group of skeletal and cardiac muscle disorders, defined by the disintegration of myofibrils and aggregation of degradation products into intracellular inclusions, and is typically clinically characterized by slowly-progressive muscle weakness, which initially involves the distal muscles, but is highly variable and that can affect the proximal muscles as well as the cardiac and respiratory muscles in some patients."	""	
<http://purl.obolibrary.org/obo/MONDO_0000072>	"obsolete myopathy, reducing body, X-linked"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000073>	"obsolete nail disorder, nonsyndromic congenital"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019284>	"inherited isolated nail anomaly"	"A nail anomaly that is not part of a larger syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000074>	"obsolete neurodegeneration with brain iron accumulation"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018307>	"neurodegeneration with brain iron accumulation"	"Neurodegeneration with brain iron accumulation (NBIA, formerly Hallervorden-Spatz syndrome) encompasses a group of rare neurodegenerative disorders characterized by progressive extrapyramidal dysfunction (dystonia, rigidity, choreoathetosis), iron accumulation in the brain and the presence of axonal spheroids, usually limited to the central nervous system."	""	
<http://purl.obolibrary.org/obo/MONDO_0000075>	"obsolete neuronopathy, distal hereditary motor"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018894>	"distal hereditary motor neuropathy"		""	
<http://purl.obolibrary.org/obo/MONDO_0000076>	"obsolete neuropathy, hereditary sensory and autonomic"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015364>	"hereditary sensory and autonomic neuropathy"	"An instance of sensory peripheral neuropathy that is caused by an inherited modification of the individual's genome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000077>	"obsolete nystagmus"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0005712>	"congenital nystagmus"	"Nystagmus present at birth or caused by lesions sustained in utero or at the time of birth. It is usually pendular, and is associated with albinism and conditions characterized by early loss of central vision. Inheritance patterns may be X-linked, autosomal dominant, or recessive. (Adams et al., Principles of Neurology, 6th ed, p275)"	""	
<http://purl.obolibrary.org/obo/MONDO_0000078>	"acrocephalopolysyndactyly"	"A common presentation of craniosynostosis and polysyndactyly."	""	
<http://purl.obolibrary.org/obo/MONDO_0019796>	"acrocephalosyndactyly"	"Acrocephalosyndactyly (ACS) syndromes represent a group of inherited congenital malformation disorders characterized by craniosynostosis and fusion or webbing of the fingers or toes, often with other associated manifestations."	""	
<http://purl.obolibrary.org/obo/MONDO_0000079>	"nephrolithiasis/osteoporosis, hypophosphatemic"		""	
<http://purl.obolibrary.org/obo/MONDO_0005298>	"osteoporosis"	"A condition of reduced bone mass, with decreased cortical thickness and a decrease in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence. Osteoporosis is classified as primary (Type 1, postmenopausal osteoporosis; Type 2, age-associated osteoporosis; and idiopathic, which can affect juveniles, premenopausal women, and middle-aged men) and secondary osteoporosis (which results from an identifiable cause of bone mass loss)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000080>	"obsolete Oto-palato-digital syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0010704>	"otopalatodigital syndrome type 1"	"The mildest form of otopalatodigital syndrome spectrum disorder that is characterized by a generalized skeletal dysplasia, mild intellectual disability, conductive hearing loss, and typical facial anomalies."	""	
<http://purl.obolibrary.org/obo/MONDO_0000081>	"obsolete ovarian dysgenesis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000082>	"pelvic organ prolapse"	"Abnormal descent of a pelvic organ resulting in the protrusion of the organ beyond its normal anatomical confines. Symptoms often include vaginal discomfort, dyspareunia; urinary stress incontinence; and fecal incontinence."	""	
<http://purl.obolibrary.org/obo/MONDO_0005039>	"reproductive system disorder"	"A disease involving the reproductive system."	""	
<http://purl.obolibrary.org/obo/MONDO_0000083>	"obsolete Griscelli syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018306>	"Griscelli syndrome"	"Griscelli syndrome (GS) is characterized by silvery gray sheen of the hair and hypopigmentation of the skin which can be associated to neurological impairment (type 1), immunodeficiency (type 2) or be isolated (type 3)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000084>	"obsolete pigmented nodular adrenocortical disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015999>	"primary pigmented nodular adrenocortical disease"	"A form of bilateral adrenocortical hyperplasia that is often associated with adrenocorticotrophin hormone (ACTH) independent Cushing syndrome and is characterized by small to normal sized adrenal glands containing multiple small cortical pigmented nodules (less than 1 cm in diameter)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000085>	"obsolete pituitary hormone deficiency, combined"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000086>	"obsolete polydactyly, preaxial"		""	"true"
