?exact	?term	?term_label	?term2	?term_label2	?xrefs
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:310300|OMIM:614302|OMIM:genemap2|OMIM:614302|OMIM:310300"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:606408|OMIM:310300|OMIM:genemap2|OMIM:310300|OMIM:606408"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:606408|OMIM:609029|OMIM:genemap2|OMIM:609029|OMIM:606408"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:606408|OMIM:614302|OMIM:genemap2|OMIM:614302|OMIM:606408"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:609029|OMIM:310300|OMIM:genemap2|OMIM:310300|OMIM:609029"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:609029|OMIM:606408|OMIM:genemap2|OMIM:606408|OMIM:609029"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:609029|OMIM:614302|OMIM:genemap2|OMIM:614302|OMIM:609029"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0010680>	"X-linked Emery-Dreifuss muscular dystrophy"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:614302|OMIM:310300|OMIM:genemap2|OMIM:310300|OMIM:614302"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0011670>	"Ehlers-Danlos syndrome due to tenascin-X deficiency"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:614302|OMIM:606408|OMIM:genemap2|OMIM:606408|OMIM:614302"
"Ehlers-Danlos syndrome, classic-like, 1"	<http://purl.obolibrary.org/obo/MONDO_0012176>	"Emanuel syndrome"	<http://purl.obolibrary.org/obo/MONDO_0013677>	"Emery-Dreifuss muscular dystrophy 7, autosomal dominant"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:614302|OMIM:609029|OMIM:genemap2|OMIM:609029|OMIM:614302"
"FPD/AML syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	"Orphanet:71290|https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290"
"FPD/AML syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	"https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290|Orphanet:71290"
"FPS/AML syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	"Orphanet:71290|https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290"
"FPS/AML syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	"https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290|Orphanet:71290"
"Finnish congenital nephrosis"	<http://purl.obolibrary.org/obo/MONDO_0005377>	"nephrotic syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009732>	"congenital nephrotic syndrome, Finnish type"	"DOID:1184|Orphanet:839|DOID:1184|OMIM:256300"
"Finnish congenital nephrosis"	<http://purl.obolibrary.org/obo/MONDO_0009732>	"congenital nephrotic syndrome, Finnish type"	<http://purl.obolibrary.org/obo/MONDO_0005377>	"nephrotic syndrome"	"Orphanet:839|DOID:1184|OMIM:256300|DOID:1184"
"Friedreich ataxia"	<http://purl.obolibrary.org/obo/MONDO_0100339>	"Friedreich ataxia"	<http://purl.obolibrary.org/obo/MONDO_0100340>	"Friedreich ataxia 1"	"MONDO:0009245|OMIM:genemap2|MONDO:0009245|OMIM:229300"
"Friedreich ataxia"	<http://purl.obolibrary.org/obo/MONDO_0100340>	"Friedreich ataxia 1"	<http://purl.obolibrary.org/obo/MONDO_0100339>	"Friedreich ataxia"	"OMIM:genemap2|MONDO:0009245|OMIM:229300|MONDO:0009245"
"G6PD deficiency"	<http://purl.obolibrary.org/obo/MONDO_0005775>	"G6PD deficiency"	<http://purl.obolibrary.org/obo/MONDO_0040671>	"class V glucose-6-phosphate dehydrogenase deficiency"	"NCIT:C98933|Orphanet:362"
"G6PD deficiency"	<http://purl.obolibrary.org/obo/MONDO_0040671>	"class V glucose-6-phosphate dehydrogenase deficiency"	<http://purl.obolibrary.org/obo/MONDO_0005775>	"G6PD deficiency"	"Orphanet:362|NCIT:C98933"
"GEMSS syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	"DOID:0050475|Orphanet:2084"
"GEMSS syndrome"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	"Orphanet:2084|DOID:0050475"
"Gordon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007252>	"Gordon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019162>	"pseudohypoaldosteronism type 2"	"OMIM:114300|NCIT:C123252"
"Greig's syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007030>	"autosomal dominant Aarskog syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008287>	"Greig cephalopolysyndactyly syndrome"	"DOID:6683|NCIT:C35255"
"Greig's syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008287>	"Greig cephalopolysyndactyly syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007030>	"autosomal dominant Aarskog syndrome"	"NCIT:C35255|DOID:6683"
"Greither disease"	<http://purl.obolibrary.org/obo/MONDO_0017851>	"erythrokeratodermia variabilis"	<http://purl.obolibrary.org/obo/MONDO_0018853>	"transgrediens et progrediens palmoplantar keratoderma"	"DOID:0050467|Orphanet:495"
"Greither disease"	<http://purl.obolibrary.org/obo/MONDO_0018853>	"transgrediens et progrediens palmoplantar keratoderma"	<http://purl.obolibrary.org/obo/MONDO_0017851>	"erythrokeratodermia variabilis"	"Orphanet:495|DOID:0050467"
"Hamman-rich disease"	<http://purl.obolibrary.org/obo/MONDO_0019203>	"acute interstitial pneumonia"	<http://purl.obolibrary.org/obo/MONDO_0800029>	"interstitial lung disease 2"	"DOID:2800|OMIM:178500"
"Hamman-rich disease"	<http://purl.obolibrary.org/obo/MONDO_0800029>	"interstitial lung disease 2"	<http://purl.obolibrary.org/obo/MONDO_0019203>	"acute interstitial pneumonia"	"OMIM:178500|DOID:2800"
"Harel-Yoon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0014958>	"Harel-Yoon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0044652>	"optic atrophy-peripheral neuropathy-developmental delay syndrome"	"OMIM:617183|Orphanet:496790"
"Harel-Yoon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0044652>	"optic atrophy-peripheral neuropathy-developmental delay syndrome"	<http://purl.obolibrary.org/obo/MONDO_0014958>	"Harel-Yoon syndrome"	"Orphanet:496790|OMIM:617183"
"Hoffman syndrome"	<http://purl.obolibrary.org/obo/MONDO_0016521>	"muscular pseudohypertrophy-hypothyroidism syndrome"	<http://purl.obolibrary.org/obo/MONDO_0035454>	"B-cell immunodeficiency-limb anomaly-urogenital malformation syndrome"	"Orphanet:2349|Orphanet:567502"
"Hoffman syndrome"	<http://purl.obolibrary.org/obo/MONDO_0035454>	"B-cell immunodeficiency-limb anomaly-urogenital malformation syndrome"	<http://purl.obolibrary.org/obo/MONDO_0016521>	"muscular pseudohypertrophy-hypothyroidism syndrome"	"Orphanet:567502|Orphanet:2349"
"Hughes syndrome"	<http://purl.obolibrary.org/obo/MONDO_8000014>	"familial antiphospholipid syndrome"	<http://purl.obolibrary.org/obo/MONDO_8000010>	"antiphospholipid syndrome"	"GARD:0005824|Orphanet:80"
"Hughes syndrome"	<http://purl.obolibrary.org/obo/MONDO_8000010>	"antiphospholipid syndrome"	<http://purl.obolibrary.org/obo/MONDO_8000014>	"familial antiphospholipid syndrome"	"Orphanet:80|GARD:0005824"
"Hurler-Scheie syndrome"	<http://purl.obolibrary.org/obo/MONDO_0001586>	"mucopolysaccharidosis type 1"	<http://purl.obolibrary.org/obo/MONDO_0011759>	"Hurler-Scheie syndrome"	"DOID:12802|OMIM:607015"
"Hurler-Scheie syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011759>	"Hurler-Scheie syndrome"	<http://purl.obolibrary.org/obo/MONDO_0001586>	"mucopolysaccharidosis type 1"	"OMIM:607015|DOID:12802"
"Imerslund-Grasbeck syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009853>	"Imerslund-Grasbeck syndrome"	<http://purl.obolibrary.org/obo/MONDO_0001700>	"megaloblastic anemia"	"OMIM:261100|DOID:13382"
"JEN-nH"	<http://purl.obolibrary.org/obo/MONDO_0019307>	"generalized junctional epidermolysis bullosa non-Herlitz type"	<http://purl.obolibrary.org/obo/MONDO_0009180>	"junctional epidermolysis bullosa, non-Herlitz type"	"DOID:0060738|Orphanet:89840"
"JEN-nH"	<http://purl.obolibrary.org/obo/MONDO_0009180>	"junctional epidermolysis bullosa, non-Herlitz type"	<http://purl.obolibrary.org/obo/MONDO_0019307>	"generalized junctional epidermolysis bullosa non-Herlitz type"	"Orphanet:89840|DOID:0060738"
"Laurence-Moon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0015229>	"Bardet-Biedl syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009514>	"Laurence-Moon syndrome"	"NCIT:C118632|OMIM:245800|NCIT:C118632|MONDO:Lexical"
"Laurence-Moon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009514>	"Laurence-Moon syndrome"	<http://purl.obolibrary.org/obo/MONDO_0015229>	"Bardet-Biedl syndrome"	"OMIM:245800|NCIT:C118632|MONDO:Lexical|NCIT:C118632"
"Lawrence-Seip syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0019193>	"acquired generalized lipodystrophy"	"NCIT:C84594|Orphanet:79086"
"Lawrence-Seip syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019193>	"acquired generalized lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	"Orphanet:79086|NCIT:C84594"
"Liberfarb syndrome"	<http://purl.obolibrary.org/obo/MONDO_0030045>	"Liberfarb syndrome"	<http://purl.obolibrary.org/obo/MONDO_0035635>	"short stature-skeletal dysplasia-retinal degeneration-intellectual disability-sensorineural hearing loss syndrome"	"OMIM:618889|Orphanet:589442"
"Liberfarb syndrome"	<http://purl.obolibrary.org/obo/MONDO_0035635>	"short stature-skeletal dysplasia-retinal degeneration-intellectual disability-sensorineural hearing loss syndrome"	<http://purl.obolibrary.org/obo/MONDO_0030045>	"Liberfarb syndrome"	"Orphanet:589442|OMIM:618889"
"Madelung disease"	<http://purl.obolibrary.org/obo/MONDO_0006574>	"lipomatosis"	<http://purl.obolibrary.org/obo/MONDO_0007908>	"multiple symmetric lipomatosis"	"NCIT:C3193|Orphanet:2398"
"Madelung disease"	<http://purl.obolibrary.org/obo/MONDO_0007908>	"multiple symmetric lipomatosis"	<http://purl.obolibrary.org/obo/MONDO_0006574>	"lipomatosis"	"Orphanet:2398|NCIT:C3193"
"Madura foot"	<http://purl.obolibrary.org/obo/MONDO_0005757>	"eumycotic mycetoma"	<http://purl.obolibrary.org/obo/MONDO_0016823>	"mycetoma"	"ICD9CM:039.4|Orphanet:2583|DOID:13078|Orphanet:2583"
"Madura foot"	<http://purl.obolibrary.org/obo/MONDO_0016823>	"mycetoma"	<http://purl.obolibrary.org/obo/MONDO_0005757>	"eumycotic mycetoma"	"Orphanet:2583|ICD9CM:039.4|Orphanet:2583|DOID:13078"
"Marshall syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018540>	"PFAPA syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007949>	"Marshall syndrome"	"NCIT:C116917|OMIM:154780|NCIT:C116917|MONDO:Lexical"
"Marshall syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007949>	"Marshall syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018540>	"PFAPA syndrome"	"OMIM:154780|NCIT:C116917|MONDO:Lexical|NCIT:C116917"
"Peutz Jeghers polyp"	<http://purl.obolibrary.org/obo/MONDO_0008280>	"Peutz-Jeghers syndrome"	<http://purl.obolibrary.org/obo/MONDO_0006365>	"Peutz-Jeghers polyp"	"DOID:3852|NCIT:C4733"
"Quincke edema"	<http://purl.obolibrary.org/obo/MONDO_0007361>	"C1 inhibitor deficiency"	<http://purl.obolibrary.org/obo/MONDO_0010481>	"angioedema"	"DOID:0060002|MESH:D000799"
"Refetoff syndrome"	<http://purl.obolibrary.org/obo/MONDO_0001328>	"thyroid hormone resistance syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009043>	"generalized resistance to thyroid hormone"	"DOID:11633|Orphanet:3221"
"Refetoff syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009043>	"generalized resistance to thyroid hormone"	<http://purl.obolibrary.org/obo/MONDO_0001328>	"thyroid hormone resistance syndrome"	"Orphanet:3221|DOID:11633"
"Romano-Ward syndrome"	<http://purl.obolibrary.org/obo/MONDO_0002442>	"long QT syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019171>	"familial long QT syndrome"	"DOID:2843|OMIM:192500"
"Romano-Ward syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019171>	"familial long QT syndrome"	<http://purl.obolibrary.org/obo/MONDO_0002442>	"long QT syndrome"	"OMIM:192500|DOID:2843"
"Schilder disease"	<http://purl.obolibrary.org/obo/MONDO_0018544>	"adrenoleukodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0010085>	"Schilder disease"	"DOID:10588|OMIM:272100"
"Schilder's disease"	<http://purl.obolibrary.org/obo/MONDO_0018544>	"adrenoleukodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0010085>	"Schilder disease"	"DOID:10588|Orphanet:59298"
"Schistosoma japonicum infection"	<http://purl.obolibrary.org/obo/MONDO_0008412>	"intestinal schistosomiasis"	<http://purl.obolibrary.org/obo/MONDO_0044344>	"Schistosoma japonicum infectious disease"	"DOID:0050597|NCIT:C35001"
"Schistosoma japonicum infection"	<http://purl.obolibrary.org/obo/MONDO_0044344>	"Schistosoma japonicum infectious disease"	<http://purl.obolibrary.org/obo/MONDO_0008412>	"intestinal schistosomiasis"	"NCIT:C35001|DOID:0050597"
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008564>	"DiGeorge syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018923>	"22q11.2 deletion syndrome"	"NCIT:C2989|Orphanet:567"
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008564>	"DiGeorge syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008644>	"velocardiofacial syndrome"	"NCIT:C2989|PMID:18636631|NCIT:C2989|ICD9CM:758.32|NCIT:C2989|DOID:12583"
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018923>	"22q11.2 deletion syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008564>	"DiGeorge syndrome"	"Orphanet:567|NCIT:C2989"
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018923>	"22q11.2 deletion syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008644>	"velocardiofacial syndrome"	"Orphanet:567|PMID:18636631|Orphanet:567|ICD9CM:758.32|Orphanet:567|DOID:12583"
