?term	?term_label	?related	?xref2
<http://purl.obolibrary.org/obo/MONDO_0008172>	"PHOAD"	"hypertrophic osteoarthropathy, primary, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012777>	"CELIAC8"	"celiac disease, susceptibility to, 8"	"OMIM:612006"
<http://purl.obolibrary.org/obo/MONDO_0012777>	"CELIAC8"	"celiac disease, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012671>	"ETM3"	"tremor, hereditary essential, 3"	"OMIM:611456"
<http://purl.obolibrary.org/obo/MONDO_0012671>	"ETM3"	"tremor, hereditary essential, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011880>	"CANDF3"	"candidiasis, familial, 3"	"OMIM:607644"
<http://purl.obolibrary.org/obo/MONDO_0011880>	"CANDF3"	"candidiasis, familial, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013697>	"MRT29"	"intellectual disability, autosomal recessive 29"	"OMIM:614333"
<http://purl.obolibrary.org/obo/MONDO_0013697>	"MRT29"	"intellectual disability, autosomal recessive 29"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013707>	"MRT24"	"intellectual disability, autosomal recessive 24"	"OMIM:614345"
<http://purl.obolibrary.org/obo/MONDO_0013707>	"MRT24"	"intellectual disability, autosomal recessive 24"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013097>	"GLM8"	"glioma susceptibility 8"	"OMIM:613033"
<http://purl.obolibrary.org/obo/MONDO_0013097>	"GLM8"	"glioma susceptibility 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012158>	"KTCN2"	"keratoconus 2"	"OMIM:608932"
<http://purl.obolibrary.org/obo/MONDO_0012158>	"KTCN2"	"keratoconus 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012760>	"EIG5"	"epilepsy, idiopathic generalized, susceptibility to, 5"	"OMIM:611934"
<http://purl.obolibrary.org/obo/MONDO_0012760>	"EIG5"	"epilepsy, idiopathic generalized, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013833>	"KTCN7"	"keratoconus 7"	"OMIM:614629"
<http://purl.obolibrary.org/obo/MONDO_0013833>	"KTCN7"	"keratoconus 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012952>	"CRCS9"	"colorectal cancer, susceptibility to, 9"	"OMIM:612590"
<http://purl.obolibrary.org/obo/MONDO_0012952>	"CRCS9"	"colorectal cancer, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012821>	"CRCS5"	"colorectal cancer, susceptibility to, 5"	"OMIM:612230"
<http://purl.obolibrary.org/obo/MONDO_0012821>	"CRCS5"	"colorectal cancer, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012768>	"HPC11"	"prostate cancer, hereditary, 11"	"OMIM:611955"
<http://purl.obolibrary.org/obo/MONDO_0012768>	"HPC11"	"prostate cancer, hereditary, 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010413>	"MRX95"	"intellectual disability, X-linked 95"	"OMIM:300716"
<http://purl.obolibrary.org/obo/MONDO_0010413>	"MRX95"	"intellectual disability, X-linked 95"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010697>	"OPEM"	"ophthalmoplegia, external, and myopia"	"OMIM:311000"
<http://purl.obolibrary.org/obo/MONDO_0010697>	"OPEM"	"ophthalmoplegia, external, and myopia"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012425>	"FECD2"	"corneal dystrophy, Fuchs endothelial, 2"	"OMIM:610158"
<http://purl.obolibrary.org/obo/MONDO_0012425>	"FECD2"	"corneal dystrophy, Fuchs endothelial, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007192>	"AABT"	"BETA-amino acids, renal TRANSPORT OF"	"OMIM:109660"
<http://purl.obolibrary.org/obo/MONDO_0007192>	"AABT"	"BETA-amino acids, renal TRANSPORT OF"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012159>	"LNCR1"	"lung cancer susceptibility 1"	"OMIM:608935"
<http://purl.obolibrary.org/obo/MONDO_0012159>	"LNCR1"	"lung cancer susceptibility 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012224>	"FEB6"	"febrile seizures, familial, 6"	"OMIM:609253"
<http://purl.obolibrary.org/obo/MONDO_0012224>	"FEB6"	"febrile seizures, familial, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013603>	"MYP20"	"myopia 20, autosomal dominant"	"OMIM:614166"
<http://purl.obolibrary.org/obo/MONDO_0013603>	"MYP20"	"myopia 20, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007184>	"AGA1"	"alopecia, androgenetic, 1"	"OMIM:109200"
<http://purl.obolibrary.org/obo/MONDO_0007184>	"AGA1"	"alopecia, androgenetic, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012343>	"AAA2"	"aortic aneurysm, familial abdominal, 2"	"OMIM:609782"
<http://purl.obolibrary.org/obo/MONDO_0012343>	"AAA2"	"aortic aneurysm, familial abdominal, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012265>	"PEE3"	"PREECLAMPSIA/eclampsia 3"	"OMIM:609403"
<http://purl.obolibrary.org/obo/MONDO_0012265>	"PEE3"	"PREECLAMPSIA/eclampsia 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012515>	"GLC1M"	"glaucoma 1, open angle, M"	"OMIM:610535"
<http://purl.obolibrary.org/obo/MONDO_0012515>	"GLC1M"	"glaucoma 1, open angle, M"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013694>	"MRT31"	"intellectual disability, autosomal recessive 31"	"OMIM:614329"
<http://purl.obolibrary.org/obo/MONDO_0013694>	"MRT31"	"intellectual disability, autosomal recessive 31"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012346>	"GEFSP4"	"generalized epilepsy with febrile seizures plus, type 4"	"OMIM:609800"
<http://purl.obolibrary.org/obo/MONDO_0012346>	"GEFSP4"	"generalized epilepsy with febrile seizures plus, type 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012894>	"OS6"	"osteoarthritis susceptibility 6"	"OMIM:612401"
<http://purl.obolibrary.org/obo/MONDO_0012894>	"OS6"	"osteoarthritis susceptibility 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010301>	"THCYTX"	"thrombocythemia, X-linked"	"OMIM:300331"
<http://purl.obolibrary.org/obo/MONDO_0010301>	"THCYTX"	"thrombocythemia, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010231>	"MRX20"	"intellectual disability, X-linked 20"	"OMIM:300047"
<http://purl.obolibrary.org/obo/MONDO_0010231>	"MRX20"	"intellectual disability, X-linked 20"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012389>	"MYP12"	"myopia 12, autosomal dominant"	"OMIM:609995"
<http://purl.obolibrary.org/obo/MONDO_0012389>	"MYP12"	"myopia 12, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013257>	"LPRS6"	"leprosy, susceptibility to, 6"	"OMIM:613407"
<http://purl.obolibrary.org/obo/MONDO_0013257>	"LPRS6"	"leprosy, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012566>	"AUTS11"	"autism, susceptibility to, 11"	"OMIM:610836"
<http://purl.obolibrary.org/obo/MONDO_0012566>	"AUTS11"	"autism, susceptibility to, 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013167>	"PARK16"	"Parkinson disease 16"	"OMIM:613164"
<http://purl.obolibrary.org/obo/MONDO_0013167>	"PARK16"	"Parkinson disease 16"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011704>	"GLC1B"	"glaucoma 1, open angle, B"	"OMIM:606689"
<http://purl.obolibrary.org/obo/MONDO_0011704>	"GLC1B"	"glaucoma 1, open angle, B"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012779>	"CELIAC10"	"celiac disease, susceptibility to, 10"	"OMIM:612008"
<http://purl.obolibrary.org/obo/MONDO_0012779>	"CELIAC10"	"celiac disease, susceptibility to, 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011563>	"GINGF2"	"fibromatosis, gingival, 2"	"OMIM:605544"
<http://purl.obolibrary.org/obo/MONDO_0011563>	"GINGF2"	"fibromatosis, gingival, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010347>	"MRX84"	"intellectual disability, X-linked 84"	"OMIM:300505"
<http://purl.obolibrary.org/obo/MONDO_0010347>	"MRX84"	"intellectual disability, X-linked 84"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011265>	"STHAG2"	"tooth agenesis, selective, 2"	"OMIM:602639"
<http://purl.obolibrary.org/obo/MONDO_0011265>	"STHAG2"	"tooth agenesis, selective, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011084>	"PSORS3"	"psoriasis 3, susceptibility to"	"OMIM:601454"
<http://purl.obolibrary.org/obo/MONDO_0011084>	"PSORS3"	"psoriasis 3, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012776>	"CELIAC7"	"celiac disease, susceptibility to, 7"	"OMIM:612005"
<http://purl.obolibrary.org/obo/MONDO_0012776>	"CELIAC7"	"celiac disease, susceptibility to, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011741>	"HSCR6"	"Hirschsprung disease, susceptibility to, 6"	"OMIM:606874"
<http://purl.obolibrary.org/obo/MONDO_0011741>	"HSCR6"	"Hirschsprung disease, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011298>	"SCZD8"	"schizophrenia 8"	"OMIM:603206"
<http://purl.obolibrary.org/obo/MONDO_0011298>	"SCZD8"	"schizophrenia 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012752>	"ANIB6"	"aneurysm, intracranial BERRY, 6"	"OMIM:611892"
<http://purl.obolibrary.org/obo/MONDO_0012752>	"ANIB6"	"aneurysm, intracranial BERRY, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011999>	"OTSC3"	"otosclerosis 3"	"OMIM:608244"
<http://purl.obolibrary.org/obo/MONDO_0011999>	"OTSC3"	"otosclerosis 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007995>	"MCOPCT1"	"microphthalmia, isolated, with cataract 1"	"OMIM:156850"
<http://purl.obolibrary.org/obo/MONDO_0007995>	"MCOPCT1"	"microphthalmia, isolated, with cataract 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012236>	"KTCN4"	"keratoconus 4"	"OMIM:609271"
<http://purl.obolibrary.org/obo/MONDO_0012236>	"KTCN4"	"keratoconus 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013708>	"MRT25"	"intellectual disability, autosomal recessive 25"	"OMIM:614346"
<http://purl.obolibrary.org/obo/MONDO_0013708>	"MRT25"	"intellectual disability, autosomal recessive 25"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0009713>	"MYP18"	"myopia 18, autosomal recessive"	"OMIM:255500"
<http://purl.obolibrary.org/obo/MONDO_0009713>	"MYP18"	"myopia 18, autosomal recessive"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012942>	"LNCR3"	"lung cancer susceptibility 3"	"OMIM:612571"
<http://purl.obolibrary.org/obo/MONDO_0012942>	"LNCR3"	"lung cancer susceptibility 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008164>	"OTSC1"	"otosclerosis 1"	"OMIM:166800"
<http://purl.obolibrary.org/obo/MONDO_0008164>	"OTSC1"	"otosclerosis 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012618>	"MRT10"	"intellectual disability, autosomal recessive 10"	"OMIM:611096"
<http://purl.obolibrary.org/obo/MONDO_0012618>	"MRT10"	"intellectual disability, autosomal recessive 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012778>	"CELIAC9"	"celiac disease, susceptibility to, 9"	"OMIM:612007"
<http://purl.obolibrary.org/obo/MONDO_0012778>	"CELIAC9"	"celiac disease, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012751>	"AAA3"	"aortic aneurysm, familial abdominal, 3"	"OMIM:611891"
<http://purl.obolibrary.org/obo/MONDO_0012751>	"AAA3"	"aortic aneurysm, familial abdominal, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008053>	"MYP2"	"myopia 2, autosomal dominant"	"OMIM:160700"
<http://purl.obolibrary.org/obo/MONDO_0008053>	"MYP2"	"myopia 2, autosomal dominant"	"MONDO:Lexical"
