mondo_id	label	definition	obsolete	obsoletion_candidate
MONDO:0975708	dialysis disequilibrium syndrome	A syndrome that occurs during or after hemodialysis, or rarely continuous renal replacement therapy, characterized by variable, primarily neurological symptoms including headache, nausea, blurred vision, restlessness, confusion, dizziness, muscle cramps, intraocular pressure and, in severe cases, seizures, somnolence, stupor, or coma.		
MONDO:0976294	ragopathy	A syndrome caused by a variation in heterodimeric Ras-related small GTP-binding proteins (Rag-GTPases), which bind mTORC1 in an amino acid-dependent manner and serve as crucial regulators of its kinase activity towards various substrates.		
MONDO:0976301	cardiovascular-kidney-metabolic syndrome	A syndrome characterized by multiorgan dysfunction and a high rate of adverse cardiovascular outcomes arising from the interconnection between cardiovascular disease, chronic kidney disease, and metabolic risk factors associated with diabetes and obesity.		
MONDO:0979885	acute calcific periarthritis	A periarthritis that is characterized by the juxta-articular deposition of calcium hydroxyapatite crystals and local inflammation.		
MONDO:0979905	ptosis, hereditary congenital, 1			
MONDO:0980735	left ventricular failure	A congestive heart failure that is characterized by dysfunction of the left ventricle, resulting insufficient delivery of blood to vital organs.		
MONDO:0980737	arterionephrosclerosis	A chronic kidney disease that is characterized by arteriosclerosis, global glomerulosclerosis, and cortical fibrosis with tubular atrophy and loss.		
MONDO:0980739	muscle dysmorphic disorder	A body dysmorphic disorder characterized by a persistent belief that one’s physique is insufficiently muscular or lean, even when having a normal-to-very muscular build.		
MONDO:0980767	lipofibromatosis	A connective tissue benign neoplasm that is characterized by mature adipose tissue and bundles of cuboidal to spindled fibroblast-like cells. It occurs mainly in children, more often in males, preferentially involves the hands and feet, and may recur locally.		
MONDO:0980986	scoliosis, isolated, susceptibility to, 6			
MONDO:0980987	xeroderma pigmentosum, complementation group J			
MONDO:0980988	epilepsy, idiopathic generalized 20			
MONDO:0980989	dystonia 38, susceptibility to			
MONDO:0980990	neurodevelopmental disorder with parkinsonism or other movement abnormalities			
MONDO:0980991	microcephaly 31, primary, autosomal recessive			
MONDO:0980992	Meier-Gorlin syndrome 9			
MONDO:0980997	fibromuscular dysplasia of the cervical and intracranial arteries			
MONDO:0980998	fibromuscular dysplasia of the renal arteries			
MONDO:0980999	fibromuscular dysplasia of the coronary arteries			
MONDO:0981000	fibromuscular dysplasia of the visceral arteries			
MONDO:0981001	fibromuscular dysplasia of the arteries of the extremities			
MONDO:0981004	sickle cell S-Lepore disease			
MONDO:0981005	sickle cell S-O Arab disease			
MONDO:0981007	early-onset idiopathic chronic pancreatitis			
MONDO:0981008	late-onset idiopathic chronic pancreatitis			
MONDO:0981022	cardiomyopathy, dilated, 3C			
MONDO:0981023	spondylocostal dysostosis 7, autosomal recessive			
MONDO:0981024	neurodegenerative disorder with cerebellar and caudate atrophy			
MONDO:1010193	TNNT2-related cardiomyopathy	A genetically heterogeneous cardiac disorder caused by pathogenic variants in the TNNT2 gene and inherited in an autosomal dominant manner. Affected individuals present with a spectrum of cardiomyopathy phenotypes, including dilated cardiomyopathy (DCM), hypertrophic cardiomyopathy (HCM), restrictive cardiomyopathy (RCM), and left ventricular noncompaction (LVNC). Clinical features may include heart failure, ventricular arrhythmias, and sudden cardiac death. Overlapping or mixed cardiomyopathy phenotypes, as well as variable expressivity within families, have also been reported.		
MONDO:1010194	KY-related neuromyopathy	Any neuromyopathy in which the cause of the disease is mutation in the KY gene.		
MONDO:1010200	oocyte/zygote/embryo maturation arrest 16	Any inherited oocyte maturation defect marked by early embryonic arrest and female infertility due to a varition in the PADI6 gene.		
MONDO:1010204	GPR161-related medulloblastoma predisposition	A predisposition to medulloblastoma, a tumor that originates in the cerebellum and dorsal brainstem, has a peak incidence in childhood, and makes up a large proportion of embryonal brain tumors due to a variation in the GPR161 gene.		
MONDO:1060211	NR5A1-related sex development disorder	A reproductive system disorder caused by a variation in the NR5A1 gene, and characterized by varying phenotypes, including partial or complete gonadal dysgenesis, ambiguous genitalia, and spermatogenic failure in the male, and premature ovarian failure and ovarian dysgenesis in the female.		
MONDO:1060212	CRYAB-related myofibrillar myopathy-cataract-cardiomyopathy spectrum disorder	A syndromic disease caused by a variation in the CRYAB gene, and characterized by a spectrum of phenotypes including cardiomyopathy, cataract, and/or myopathy.		
MONDO:1060213	reticular pseudodrusen	A retinal drusen characterized by subretinal deposits located internal to the retinal pigment epithelium, composed of material aggregations in the subretinal space between photoreceptors and the retinal pigment epithelium. These deposits have a bluish-white appearance by biomicroscopy and appear as hyperreflective lesions above the retinal pigment epithelium on optical coherence tomography.		
MONDO:1060214	SYCE1-related gametogenic failure	An infertility disorder caused by variation in the SYCE1 gene. Affected males may present with non-obstructive azoospermia due to maturation arrest or meiotic failure, while affected females may present with primary ovarian insufficiency.		
MONDO:1060215	preneoplastic lesion	A precancerous condition characterized by accumulation of some molecular alterations necessary for malignant transformation in a clonal proliferation of cells, representing an intermediate stage in carcinogenesis with increased risk of progression to invasive neoplasia.		
MONDO:7770006	disease by body system or component	A grouping class for human diseases classified by the body system or anatomical component primarily affected.		
MONDO:7770007	disease by developmental or physiological process	A grouping class for human diseases classified by the molecular, biochemical, cellular, anatomic, developmental or physiological process that is disrupted.		
MONDO:7770008	disease by etiologic mechanism	A grouping class for human diseases classified by their etiologic mechanism, encompassing primarily intrinsic (genetic, genomic), primarily extrinsic (e.g., infections, toxins, radiation), and complex multifactorial (e.g. nutritional) causes.		
MONDO:7770009	disease of genetic or genomic mechanism	A grouping class for human diseases caused by genetic or genomic alterations, including chromosomal abnormalities and heritable mutations.		
MONDO:7770010	disease of primarily extrinsic mechanism	A grouping class for human diseases caused primarily by extrinsic factors, including infections, toxins, nutritional deficiencies, iatrogenic causes, and environmental exposures.		
MONDO:7770011	disease by molecular mechanism	A grouping class for human diseases classified by their underlying molecular or pathophysiological mechanism, such as protein aggregation, ion channel dysfunction, or signal transduction disruption.		
