defined_class	defined_class_label	disease	disease_label	exposure	exposure_label
http://purl.obolibrary.org/obo/MONDO_0000775	drug allergy	http://purl.obolibrary.org/obo/MONDO_0005271	allergic disease	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0024357	drug induced central sleep apnea	http://purl.obolibrary.org/obo/MONDO_0004731	central sleep apnea syndrome	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0044982	drug pseudoallergy	http://purl.obolibrary.org/obo/MONDO_0044981	pseudoallergy	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0006730	drug psychosis	http://purl.obolibrary.org/obo/MONDO_0005485	psychotic disorder	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0019535	drug-induced autoimmune hemolytic anemia	http://purl.obolibrary.org/obo/MONDO_0020108	autoimmune hemolytic anemia	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0002184	drug-induced hepatitis	http://purl.obolibrary.org/obo/MONDO_0002251	hepatitis	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0005359	drug-induced liver injury	http://purl.obolibrary.org/obo/MONDO_0005154	liver disease	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0019553	drug-induced localized lipodystrophy	http://purl.obolibrary.org/obo/MONDO_0019194	localized lipodystrophy	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0016474	drug-induced lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0004670	lupus erythematosus	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0016664	drug-induced vasculitis	http://purl.obolibrary.org/obo/MONDO_0018640	secondary vasculitis	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0019985	drug-related renal tubular dysgenesis	http://purl.obolibrary.org/obo/MONDO_0017609	renal tubular dysgenesis	http://purl.obolibrary.org/obo/ECTO_0000509	exposure to drug
http://purl.obolibrary.org/obo/MONDO_0022742	occupational asthma	http://purl.obolibrary.org/obo/MONDO_0004979	asthma	http://purl.obolibrary.org/obo/ECTO_0001591	exposure to occupation
http://purl.obolibrary.org/obo/MONDO_0022736	occupational lung disease	http://purl.obolibrary.org/obo/MONDO_0005275	lung disease	http://purl.obolibrary.org/obo/ECTO_0001591	exposure to occupation
http://purl.obolibrary.org/obo/MONDO_0043735	osteoradionecrosis	http://purl.obolibrary.org/obo/MONDO_0005380	osteonecrosis	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0001760	photokeratitis	http://purl.obolibrary.org/obo/MONDO_0003085	keratitis	http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation
http://purl.obolibrary.org/obo/MONDO_0015643	photosensitive epilepsy	http://purl.obolibrary.org/obo/MONDO_0017768	reflex epilepsy	http://purl.obolibrary.org/obo/ECTO_0000007	exposure to visible light radiation
http://purl.obolibrary.org/obo/MONDO_0006598	phototoxic dermatitis	http://purl.obolibrary.org/obo/MONDO_0006564	irritant dermatitis	http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation
http://purl.obolibrary.org/obo/MONDO_0043458	radiation injury	http://purl.obolibrary.org/obo/MONDO_0021178	injury	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0043919	radiation pneumonitis	http://purl.obolibrary.org/obo/MONDO_0043905	pneumonitis	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0019084	radiation proctitis	http://purl.obolibrary.org/obo/MONDO_0005538	proctitis	http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation
http://purl.obolibrary.org/obo/MONDO_0043459	radiation-induced disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0033838	radiation-induced plexopathy	http://purl.obolibrary.org/obo/MONDO_0024432	nerve plexus disease	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0043771	radiodermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis	http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation
http://purl.obolibrary.org/obo/MONDO_0008632	urticaria, aquagenic	http://purl.obolibrary.org/obo/MONDO_0005492	urticaria (disease)	http://purl.obolibrary.org/obo/ECTO_9000156	exposure to water
http://purl.obolibrary.org/obo/MONDO_0006654	anthracosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000005	exposure to coal dust
http://purl.obolibrary.org/obo/MONDO_0016466	asbestosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000025	exposure to asbestos dust
http://purl.obolibrary.org/obo/MONDO_0001001	baritosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000031	exposure to barium dust
http://purl.obolibrary.org/obo/MONDO_0006688	byssinosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000148	exposure to cotton dust
http://purl.obolibrary.org/obo/MONDO_0017639	carbon monoxide-induced parkinsonism	http://purl.obolibrary.org/obo/MONDO_0021095	parkinsonian disorder	http://purl.obolibrary.org/obo/ECTO_0000207	exposure to carbon monoxide
http://purl.obolibrary.org/obo/MONDO_0015274	chronic beryllium disease	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_9000941	exposure to beryllium
http://purl.obolibrary.org/obo/MONDO_0005481	contact dermatitis due to nickel	http://purl.obolibrary.org/obo/MONDO_0005480	contact dermatitis	http://purl.obolibrary.org/obo/ECTO_9000063	exposure to nickel
http://purl.obolibrary.org/obo/MONDO_0017640	cyanide-induced parkinsonism	http://purl.obolibrary.org/obo/MONDO_0021095	parkinsonian disorder	http://purl.obolibrary.org/obo/ECTO_9000449	exposure to cyanide
http://purl.obolibrary.org/obo/MONDO_0025556	isocyanate induced asthma	http://purl.obolibrary.org/obo/MONDO_0004979	asthma	http://purl.obolibrary.org/obo/ECTO_9002153	exposure to isocyanates
http://purl.obolibrary.org/obo/MONDO_0001005	kaolin pneumoconiosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000029	exposure to kaolin dust
http://purl.obolibrary.org/obo/MONDO_0019483	methotrexate-associated lymphoproliferative disorders	http://purl.obolibrary.org/obo/MONDO_0020083	immunodeficiency-associated lymphoproliferative disease	http://purl.obolibrary.org/obo/ECTO_0000172	exposure to methotrexate
http://purl.obolibrary.org/obo/MONDO_0001000	mixed mineral dust pneumoconiosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000023	exposure to mineral dust
http://purl.obolibrary.org/obo/MONDO_0001003	pneumoconiosis due to talc	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000028	exposure to talc dust
http://purl.obolibrary.org/obo/MONDO_0005425	podoconiosis	http://purl.obolibrary.org/obo/MONDO_0005424	elephantiasis	http://purl.obolibrary.org/obo/ECTO_7000012	exposure to soil
http://purl.obolibrary.org/obo/MONDO_0043283	silicosiderosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_9002154	exposure to hematite
http://purl.obolibrary.org/obo/MONDO_0005960	silicosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000030	exposure to silica dust
http://purl.obolibrary.org/obo/MONDO_0001004	slate pneumoconiosis	http://purl.obolibrary.org/obo/MONDO_0015926	pneumoconiosis	http://purl.obolibrary.org/obo/ECTO_7000027	exposure to slate dust
http://purl.obolibrary.org/obo/MONDO_0001540	bagassosis	http://purl.obolibrary.org/obo/MONDO_0004553	extrinsic allergic alveolitis	http://purl.obolibrary.org/obo/ECTO_7000101	exposure to bagasse
http://purl.obolibrary.org/obo/MONDO_0019545	systemic monochloroacetate poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	poisoning	http://purl.obolibrary.org/obo/ECTO_0001659	exposure to chloroacetic acid

