mondo_id	term_label	correct_form	misspelled_synonym	anchor
MONDO:0005413	cystic fibrosis associated meconium ileus	cystic fibrosis associated meconium ileus	cystic fibrosis associated meconium ileum	label
MONDO:0005029	essential thrombocythemia	essential thrombocythemia	essential thrombocytemia	label
MONDO:0060589	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	facial palsy, congenitla, with ptosis and velopharyngeal dysfunction	label
MONDO:0013601	gluthathione peroxidase deficiency	gluthathione peroxidase deficiency	glutathione peroxidase deficiency	label
MONDO:0010768	gonadoblastoma	gonadoblastoma	gonad blastoma	label
MONDO:0021022	hereditary hyperekplexia	hereditary hyperekplexia	hereditary hyperexplexia	label
MONDO:0016344	hydranencephaly	hydranencephaly	Hydroanencephaly	label
MONDO:0033547	Li-Ghorbani-Weisz-Hubshman syndrome	Li-Ghorbani-Weisz-Hubshman syndrome	Li-Ghorgani-Weisz-Hubshman syndrome	label
MONDO:0018856	lichen amyloidosis	lichen amyloidosis	lichen amyloidosus	label
MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	lichen sclerosis et atrophicus	label
MONDO:0009530	lipoid proteinosis	lipoid proteinosis	lipid proteinosis	label
MONDO:0005060	liposarcoma	liposarcoma	lip sarcoma	label
MONDO:0004332	lung hilum cancer	lung hilum cancer	lung hilus cancer	label
MONDO:0004499	lung hilum carcinoma	lung hilum carcinoma	lung hilus carcinoma	label
MONDO:0003639	lung hilum neoplasm	lung hilum neoplasm	lung hilus neoplasm	label
MONDO:0004387	luteoma of pregnancy	luteoma of pregnancy	leuteoma of pregnancy	label
MONDO:0010476	neurodegeneration with brain iron accumulation 5	neurodegeneration with brain iron accumulation 5	neurodegeneration with brain iron accululation 5	label
MONDO:0031010	odontochondrodysplasia 2 with hearing loss and diabetes	odontochondrodysplasia 2 with hearing loss and diabetes	ondontochondrodysplasia 2 with hearing loss and diabetes	label
MONDO:0008975	otospondylomegaepiphyseal dysplasia	otospondylomegaepiphyseal dysplasia	otospondylmegaepiphyseal dysplasia	label
MONDO:0700088	paroxysmal nonkinesigenic dyskinesia	paroxysmal nonkinesigenic dyskinesia	Paroxysomal nonkinesigenic dyskinesia	label
MONDO:0001042	patellar tendinitis	patellar tendinitis	patellar tendonitis	label
MONDO:0007564	pilomatrixoma	pilomatrixoma	pilomatricoma	label
MONDO:0015388	polyrrhinia	polyrrhinia	Polyrhinia	label
MONDO:0017416	postpoliomyelitis syndrome	postpoliomyelitis syndrome	postpoliomyelitic syndrome	label
MONDO:0009726	proteosome-associated autoinflammatory syndrome	proteosome-associated autoinflammatory syndrome	proteasome-associated autoinflammatory syndrome	label
MONDO:0006969	sialadenitis	sialadenitis	sialoadenitis	label
MONDO:0005095	spondyloarthropathy	spondyloarthropathy	spondylarthropathy	label
MONDO:0006988	sulfhemoglobinemia	sulfhemoglobinemia	Sulfemoglobinemia	label
MONDO:0010434	synovial sarcoma	synovial sarcoma	Synovialosarcoma	label
MONDO:0004857	tendinitis	tendinitis	tendonitis	label
MONDO:0006469	tibial adamantinoma	tibial adamantinoma	tibia adamantinoma	label
MONDO:0001039	tonsillitis	tonsillitis	tonsilitis	label
MONDO:0019085	vernal keratoconjunctivitis	vernal keratoconjunctivitis	Vernal Keratonconjunctivitis	label
MONDO:0001569	acoustic neuroma	acoustic neurilemoma	acoustic neurilemmoma	synonym
MONDO:0011786	allergic rhinitis	perennial allergic rhinitis	Perenial allergic rhinitis	synonym
MONDO:0015045	alpha-heavy chain disease	Mediterraneanl lymphoma	Mediterranean lymphoma	synonym
MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	Lytigo-Bodig disease	Lytico-Bodig disease	synonym
MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	epidermolytic palmoplantar keratoderma wooly hair and dilated cardiomyopathy	epidermolytic palmoplantar keratoderma woolly hair and dilated cardiomyopathy	synonym
MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	keratoderma with wooly hair type II	keratoderma with woolly hair type II	synonym
MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	palmoplantar keratoderma with left ventricular cardiomyopathy and wooly hair	palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair	synonym
MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	wooly hair - palmoplantar keratoderma - dilated cardiomyopathy	woolly hair - palmoplantar keratoderma - dilated cardiomyopathy	synonym
MONDO:0011581	arrhythmogenic cardiomyopathy with wooly hair and keratoderma	wooly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	woolly hair-palmoplantar hyperkeratosis-dilated cardiomyopathy syndrome	synonym
MONDO:0012506	arrhythmogenic right ventricular dysplasia 11	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and wooly hair	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair	synonym
MONDO:0007158	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	arthrogryposis with oculomotor limitation and electroretinal abnormalities	Arthogryposis with oculomotor limitation and electroretinal abnormalities	synonym
MONDO:0022535	autonomic facial cephalgia	Carotidynia	Carotodynia	synonym
MONDO:0008312	autosomal dominant prognathism	Hapsburg jaw	Habsburg jaw	synonym
MONDO:0020717	autosomal dominant wooly hair	wooly hair, autosomal dominant	woolly hair, autosomal dominant	synonym
MONDO:0007191	Behcet disease	Behcet syndrome	Bechet syndrome	synonym
MONDO:0007339	blepharocheilodontic syndrome	Elschnig syndrome	Elsching syndrome	synonym
MONDO:0024472	boutonneuse fever	Kenyan tick typhus	Kenya tick typhus	synonym
MONDO:0014355	cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with wooly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis	synonym
MONDO:0019165	central precocious puberty	gonadotropin-dependent precocious puberty	gonadotropin-dependant precocious puberty	synonym
MONDO:0015274	chronic beryllium disease	Beryllliosis	berylliosis	synonym
MONDO:0012833	Crouzon syndrome-acanthosis nigricans syndrome	Crouzonodermoskeletal syndrome	Crouzon-dermoskeletal syndrome	synonym
MONDO:0003963	diffuse infiltrative lymphocytosis syndrome	diffuse infiltra. lymph. syndrome	diffuse infiltra. lymph. sydrome	synonym
MONDO:0009297	familial renal glucosuria	Renal Glycosuria	renal glucosuria	synonym
MONDO:0003962	Froelich syndrome	Froelich's syndrome	Froehlich's syndrome	synonym
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary gland somatotropinoma	malignant pituitary gland Somatotrophinoma	synonym
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary somatotropinoma	malignant pituitary Somatotrophinoma	synonym
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of pituitary	malignant Somatotrophinoma of pituitary	synonym
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of pituitary gland	malignant Somatotrophinoma of pituitary gland	synonym
MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of the pituitary gland	malignant Somatotrophinoma of the pituitary gland	synonym
MONDO:0008437	hereditary spastic paraplegia 3A	spastic paraplegia 3a, autosomal dominant	spastic paraplegia 3, autosomal dominant	synonym
MONDO:0012528	hypogonadotropic hypogonadism 4 with or without anosmia	Kallmann syndrome 4	Kallman syndrome 4	synonym
MONDO:0014390	hypotrichosis 13	hypotrichosis with wooly hair	hypotrichosis with woolly hair	synonym
MONDO:0011452	hypotrichosis 7	woolly hair, autosomal recessive 2 with or without hypotrichosis	wooly hair, autosomal recessive 2 with or without hypotrichosis	synonym
MONDO:0008686	isolated familial wooly hair disorder	familial wooly hair (autosomal recessive)	familial woolly hair (autosomal recessive)	synonym
MONDO:0008686	isolated familial wooly hair disorder	familial wooly hair syndrome	familial woolly hair syndrome	synonym
MONDO:0008686	isolated familial wooly hair disorder	hereditary wooly hair (autosomal dominant)	hereditary woolly hair (autosomal dominant)	synonym
MONDO:0008686	isolated familial wooly hair disorder	hereditary wooly hair syndrome	hereditary woolly hair syndrome	synonym
MONDO:0008686	isolated familial wooly hair disorder	wooly hair	woolly hair	synonym
MONDO:0008686	isolated familial wooly hair disorder	wooly hair syndrome	woolly hair syndrome	synonym
MONDO:0008686	isolated familial wooly hair disorder	wooly hair, autosomal dominant	woolly hair, autosomal dominant	synonym
MONDO:0018971	isolated oxycephaly	hypsocephaly	hypsicephaly	synonym
MONDO:0009394	juvenile Paget disease	hyperostosis corticalis deformans juvenilis	hyperostosid corticalis deformans juvenilis	synonym
MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosus	lichen sclerosis	synonym
MONDO:0004332	lung hilum cancer	malignant lung hilus neoplasm	malignant lung hilum neoplasm	synonym
MONDO:0004332	lung hilum cancer	malignant neoplasm of lung hilus	malignant neoplasm of lung hilum	synonym
MONDO:0005834	lymphogranuloma venereum	lymphogranuloma inguinale	lymph granuloma inguinale	synonym
MONDO:0019245	lysosomal lipid storage disorder	lipoid storage disease	lipid storage disease	synonym
MONDO:0009552	mal de Meleda	keratosis palmoplantaris transgrediens of Siemens	keratosis palmoplantaris transgradiens of Siemens	synonym
MONDO:0020541	maligant granulosa cell tumor of ovary	malignant granulosa cell tumour of the ovary	Maligant granulosa cell tumour of the ovary	synonym
MONDO:0017827	malignant peripheral nerve sheath tumor	malignant neurilemoma	malignant neurilemmoma	synonym
MONDO:0009571	Meckel syndrome, type 1	Dysencephalia Splanchnocystica	Dysencephalia splachnocystica	synonym
MONDO:0017575	mitochondrial neurogastrointestinal encephalomyopathy	Mitochondrial Neurogastrointestinal Encephalopathy	mitochondrial Neurogastrointestingal encephalopathy	synonym
MONDO:0001000	mixed mineral dust pneumoconiosis	mineral dust pneumoconiosis	mineral duct pneumoconiosis	synonym
MONDO:0011017	Naxos disease	keratoderma with wooly hair type I	keratoderma with woolly hair type I	synonym
MONDO:0011017	Naxos disease	keratosis palmoplantaris arrythmogenic cardiomyopathy wooly hair	keratosis palmoplantaris arrythmogenic cardiomyopathy woolly hair	synonym
MONDO:0011017	Naxos disease	wooly hair palmoplantar keratoderma cardiac abnormalities	woolly hair palmoplantar keratoderma cardiac abnormalities	synonym
MONDO:0010476	neurodegeneration with brain iron accumulation 5	static encephalopathy Of childhood with neurodegeneration In adulthood	static encephalopathy of childhood with neurdegeneration in adulthood	synonym
MONDO:0008093	nevus, epidermal	nevus sebaceous or wooly hair nevus, somatic	nevus sebaceous or woolly hair nevus, somatic	synonym
MONDO:0010104	non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	multiple none-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	multiple non-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	synonym
MONDO:0007856	palmoplantar keratoderma-esophageal carcinoma syndrome	Howell-Evans syndrome	howel-Evans syndrome	synonym
MONDO:0002470	photosensitive trichothiodystrophy	trichothiodystrophy with congenital ichtyosis	trichothiodystrophy with congenital ichthyosis	synonym
MONDO:0007564	pilomatrixoma	benign pilomatrixoma	benign pilomatricoma	synonym
MONDO:0007564	pilomatrixoma	calcifying Epitherlioma of Malherbe	calcifying epithelioma of Malherbe	synonym
MONDO:0016620	primary hypertrophic osteoarthropathy	hypertropic osteoarthropathy, primary	hypertrophic osteoarthropathy, primary	synonym
MONDO:0010911	prolactin-producing pituitary gland adenoma	lactotroph adenoma	lactotrope adenoma	synonym
MONDO:0004574	pyridoxine deficiency anemia	pyridoxine Deficincy	pyridoxine deficiency	synonym
MONDO:0011970	rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	epilepsy, ROLANDIC, with paroxysmal exercise-induced dystonia and writer'S cramp	epilepsy, rolandic, with paroxysmal exercise-induce dystonia and writer's cramp	synonym
MONDO:0018304	Schnitzler syndrome	chronic urticaria with gammopathy	chronic urticaria with gammapathy	synonym
MONDO:0002546	schwannoma	neurolemmoma	neurilemmoma	synonym
MONDO:0018484	semicircular canal dehiscence syndrome	Minorbs syndrome	Minor's syndrome	synonym
MONDO:0009833	Shwachman-Diamond syndrome	Schwachman-Diamond syndrome	Schwachmann-Diamond syndrome	synonym
MONDO:0011882	skin fragility-woolly hair-palmoplantar keratoderma syndrome	skin fragility woolly hair syndrome	skin fragility wooly hair syndrome	synonym
MONDO:0000485	spasmodic dystonia	adductor spasmodic dysphonia	abductor spasmodic dysphonia	synonym
MONDO:0009669	spinal muscular atrophy, type 1	Werdnig-Hoffmann Disease	Werdnig-Hoffman disease	synonym
MONDO:0010068	spondyloepimetaphyseal dysplasia, sponastrime type	spondylar and nasal changes with triations of the metaphyses (SPONASTRIME) dysplasia	spondylar and nasal changes with striations of the metaphyses (SPONASTRIME) dysplasia	synonym
MONDO:0021783	streptococcal sore throat	Strep throat	Strept throat	synonym
MONDO:0019611	TSH-secreting pituitary adenoma	thyrotroph adenoma	thyrotrope adenoma	synonym
MONDO:0014765	wooly hair, autosomal recessive 3	KRT25 wooly hair (disease)	KRT25 woolly hair (disease)	synonym
MONDO:0014765	wooly hair, autosomal recessive 3	wooly hair (disease) caused by mutation in KRT25	woolly hair (disease) caused by mutation in KRT25	synonym
MONDO:0014765	wooly hair, autosomal recessive 3	wooly hair, autosomal recessive type 3	woolly hair, autosomal recessive type 3	synonym
MONDO:0010207	wooly hair-hypotrichosis-everted lower lip-outstanding ears syndrome	woolly hair hypotrichosis everted lower lip and outstanding ears	wooly hair hypotrichosis everted lower lip and outstanding ears	synonym
MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	keratoderma with wooly hair type IV	keratoderma with woolly hair type IV	synonym
MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	palmoplantar keratoderma and wooly hair	palmoplantar keratoderma and woolly hair	synonym
MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	wooly hair-palmoplantar hyperkeratosis syndrome	woolly hair-palmoplantar hyperkeratosis syndrome	synonym
MONDO:0018892	Wyburn-Mason syndrome	bonnet-Dechaume-Blanc syndrome	bonnet-Decaume-Blanc syndrome	synonym
MONDO:0018821	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	X-linked facial dysmorphism-short stature-choanal atrsia-intellectual disability syndrome limited to females	X-linked facial dysmorphism-short stature-choanal atresia-intellectual disability syndrome limited to females	synonym
