mondo_id	correct_term	proposed_misspelling_synonym
MONDO:0005105	melanoma 	melanomia
MONDO:0005105	melanoma 	melinoma
MONDO:0001627	dementia 	dementiia
MONDO:0001627	dementia 	dimentia
MONDO:0001627	dementia 	dementa
MONDO:0001627	dementia 	demensia
MONDO:0002280	anemia 	anemea
MONDO:0002280	anemia 	anemya
MONDO:0002280	anemia 	anaemea
MONDO:0002280	anemia 	aneamia
MONDO:0005392	scoliosis 	scoleosis
MONDO:0005392	scoliosis 	scholiosis
MONDO:0005392	scoliosis 	scoliois
MONDO:0005392	scoliosis 	skoliosis
MONDO:0011849	psoriatic arthritis 	psoriatic arthritus
MONDO:0011849	psoriatic arthritis 	soriatic arthritis
MONDO:0007661	Tourette syndrome 	tourettes syndrome
MONDO:0007661	Tourette syndrome 	tourrette syndrome
MONDO:0007661	Tourette syndrome 	torettes syndrome
MONDO:0005011	Crohn disease 	chrons disease
MONDO:0005011	Crohn disease 	chron disease
MONDO:0005011	Crohn disease 	crohns desease
MONDO:0005011	Crohn disease 	crohn's desease
MONDO:0005130	celiac disease 	celiacs disease
MONDO:0005130	celiac disease 	cileac disease
MONDO:0005130	celiac disease 	coeliacs disease
MONDO:0005393	gout 	goute
MONDO:0005609	shingles 	shingels
MONDO:0005077	pertussis 	pertusis
MONDO:0005077	pertussis 	pertussus
MONDO:0005077	pertussis 	pertusiss
MONDO:0018660	hemophilia 	hemophelia
MONDO:0018660	hemophilia 	hemofilia
MONDO:0018660	hemophilia 	haemophelia
MONDO:0018660	hemophilia 	hemophillia
MONDO:0005068	myocardial infarction 	myocardial infarcation
MONDO:0005068	myocardial infarction 	myocardial infartion
MONDO:0005068	myocardial infarction 	myocardial infraction
MONDO:0005420	hypothyroidism 	hypthyroidism
MONDO:0005420	hypothyroidism 	hypothroidism
MONDO:0005420	hypothyroidism 	hypothyrodism
MONDO:0004425	hyperthyroidism 	hyperthroidism
MONDO:0004425	hyperthyroidism 	hyperthyrodism
MONDO:0008608	Down syndrome 	downs syndrome
MONDO:0008608	Down syndrome 	down's syndrom
MONDO:0009061	cystic fibrosis 	sistic fibrosis
MONDO:0009061	cystic fibrosis 	cystic fibrossis
MONDO:0005159	prostate cancer 	prostrate cancer
MONDO:0010200	Wilson disease 	wilsons disease
MONDO:0010200	Wilson disease 	wilson's desease
MONDO:0005700	varicella 	varicela
MONDO:0005700	varicella 	varacella
MONDO:0016218	Guillain-Barre syndrome 	guillian-barre syndrome
MONDO:0016218	Guillain-Barre syndrome 	gullian-barre syndrome
MONDO:0016218	Guillain-Barre syndrome 	guillian barre syndrome
MONDO:0016218	Guillain-Barre syndrome 	gullain-barre syndrome
MONDO:0016218	Guillain-Barre syndrome 	guillaine-barre syndrome
MONDO:0016218	Guillain-Barre syndrome 	gillian-barre syndrome
MONDO:0020066	Ehlers-Danlos syndrome 	ehler-danlos syndrome
MONDO:0020066	Ehlers-Danlos syndrome 	elhers-danlos syndrome
MONDO:0020066	Ehlers-Danlos syndrome 	ehlers danlos syndrom
MONDO:0020066	Ehlers-Danlos syndrome 	ehlers-danos syndrome
MONDO:0004976	amyotrophic lateral sclerosis 	amyotropic lateral sclerosis
MONDO:0004976	amyotrophic lateral sclerosis 	amytrophic lateral sclerosis
MONDO:0004976	amyotrophic lateral sclerosis 	amyotrophic lateral sclerosus
MONDO:0011382	sickle cell anemia 	sicle cell anemia
MONDO:0011382	sickle cell anemia 	sickel cell anemia
MONDO:0011382	sickle cell anemia 	sikle cell anemia
MONDO:0012727	Kawasaki disease 	kawaski disease
MONDO:0012727	Kawasaki disease 	kawasaky disease
MONDO:0012727	Kawasaki disease 	kawazaki disease
MONDO:0010030	Sjogren syndrome 	sjogrens syndrome
MONDO:0010030	Sjogren syndrome 	showgren syndrome
MONDO:0010030	Sjogren syndrome 	sjorgens syndrome
MONDO:0010030	Sjogren syndrome 	sjogren's syndrom
MONDO:0010030	Sjogren syndrome 	shogren syndrome
MONDO:0007739	Huntington disease 	huntingtons disease
MONDO:0007739	Huntington disease 	huntingdon disease
MONDO:0007739	Huntington disease 	hutington disease
MONDO:0007739	Huntington disease 	huntinton disease
MONDO:0010679	Duchenne muscular dystrophy 	duchennes muscular dystrophy
MONDO:0010679	Duchenne muscular dystrophy 	duchene muscular dystrophy
MONDO:0010679	Duchenne muscular dystrophy 	duchenne muscular dystropy
MONDO:0010679	Duchenne muscular dystrophy 	duschenne muscular dystrophy
MONDO:0010100	Tay-Sachs disease 	taysachs disease
MONDO:0010100	Tay-Sachs disease 	tay-sach disease
MONDO:0010100	Tay-Sachs disease 	tay-sachs desease
MONDO:0010100	Tay-Sachs disease 	taysachs desease
MONDO:0006497	cerebral palsy 	cerebal palsy
MONDO:0006497	cerebral palsy 	cerebral palsey
MONDO:0006497	cerebral palsy 	cerebral paulsy
MONDO:0006497	cerebral palsy 	celebral palsy
MONDO:0005700	chickenpox 	chiken pox
MONDO:0005700	chickenpox 	chikenpox
MONDO:0004980	eczema 	exczema
MONDO:0004980	eczema 	ekzema
MONDO:0004980	eczema 	eczma
MONDO:0004980	eczema 	exzema
MONDO:0004980	eczema 	eggzema
MONDO:0005609	shingles 	shingels
MONDO:0005609	shingles 	shinges
