category	mondo_id	term_label	suspect_synonym	closest_correct	match	edit
TYPO	MONDO:0012506	arrhythmogenic right ventricular dysplasia 11	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and wooly hair	synonym	edit1
TYPO	MONDO:0012506	arrhythmogenic right ventricular dysplasia 11	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and wooly hair	arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair	synonym	edit1
TYPO	MONDO:0007158	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	Arthogryposis with oculomotor limitation and electroretinal abnormalities	arthrogryposis with oculomotor limitation and electroretinal abnormalities	synonym	edit1
TYPO	MONDO:0007158	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	arthrogryposis with oculomotor limitation and electroretinal abnormalities	Arthogryposis with oculomotor limitation and electroretinal abnormalities	synonym	edit1
TYPO	MONDO:0008830	aspartylglucosaminuria	aspartylglucosaminuria	Aspartylglycosaminuria	synonym	edit1
TYPO	MONDO:0022535	autonomic facial cephalgia	Carotodynia	Carotidynia	synonym	edit1
TYPO	MONDO:0008312	autosomal dominant prognathism	Habsburg jaw	Hapsburg jaw	synonym	edit1
TYPO	MONDO:0008312	autosomal dominant prognathism	Hapsburg jaw	Habsburg jaw	synonym	edit1
TYPO	MONDO:0020717	autosomal dominant wooly hair	woolly hair, autosomal dominant	wooly hair, autosomal dominant	synonym	edit1
TYPO	MONDO:0020717	autosomal dominant wooly hair	wooly hair, autosomal dominant	woolly hair, autosomal dominant	synonym	edit1
TYPO	MONDO:0007191	Behcet disease	Bechet syndrome	Behcet syndrome	synonym	edit1
TYPO	MONDO:0006115	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	blast crises	blast crisis	synonym	edit1
TYPO	MONDO:0006115	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	blast crisis	blast crises	synonym	edit1
TYPO	MONDO:0006115	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	crises, blast	crisis, blast	synonym	edit1
TYPO	MONDO:0006115	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	crisis, blast	crises, blast	synonym	edit1
TYPO	MONDO:0007339	blepharocheilodontic syndrome	blepharo-cheilo-odontic syndrome	blepharo-cheilo-dontic syndrome	synonym	edit1
TYPO	MONDO:0007339	blepharocheilodontic syndrome	Elsching syndrome	Elschnig syndrome	synonym	edit1
TYPO	MONDO:0007339	blepharocheilodontic syndrome	Elschnig syndrome	Elsching syndrome	synonym	edit1
TYPO	MONDO:0022013	Boerhaave syndrome	Boerhaave syndrome	Boerhave syndrome	synonym	edit1
TYPO	MONDO:0100492	Bonnevie-Ullrich syndrome	Bonnevie-Ullrich syndrome	Bonnevie-Ulrich syndrome	synonym	edit1
TYPO	MONDO:0024472	boutonneuse fever	Kenya tick typhus	Kenyan tick typhus	synonym	edit1
TYPO	MONDO:0024472	boutonneuse fever	Kenyan tick typhus	Kenya tick typhus	synonym	edit1
TYPO	MONDO:0008904	camptomelic syndrome, long-limb type	campomelic syndrome long limb type	Camptomelic syndrome long limb type	synonym	edit1
TYPO	MONDO:0007542	Camurati-Engelmann disease	Camurati-Engelmann disease	Camurati-Englemann disease	synonym	edit1
TYPO	MONDO:0014355	cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with wooly hair, keratoderma, and tooth agenesis	synonym	edit1
TYPO	MONDO:0014355	cardiomyopathy, dilated, with wooly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with wooly hair, keratoderma, and tooth agenesis	dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis	synonym	edit1
TYPO	MONDO:0019165	central precocious puberty	gonadotropin-dependant precocious puberty	gonadotropin-dependent precocious puberty	synonym	edit1
TYPO	MONDO:0019165	central precocious puberty	gonadotropin-dependent precocious puberty	gonadotropin-dependant precocious puberty	synonym	edit1
TYPO	MONDO:0004731	central sleep apnea syndrome	apnea, central	Apneas, central	synonym	edit1
TYPO	MONDO:0004731	central sleep apnea syndrome	apnea, central sleep	Apneas, central sleep	synonym	edit1
TYPO	MONDO:0004731	central sleep apnea syndrome	Apneas, central	apnea, central	synonym	edit1
TYPO	MONDO:0004731	central sleep apnea syndrome	Apneas, central sleep	apnea, central sleep	synonym	edit1
TYPO	MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	cerebral arteriopathy with subcortical infaracts and leukoencephalopathy	synonym	edit1
TYPO	MONDO:0043343	Chilaiditi syndrome	Chilaiditi anomaly	Chilaiditis anomaly	synonym	edit1
TYPO	MONDO:0015274	chronic beryllium disease	berylliosis	Beryllliosis	synonym	edit1
TYPO	MONDO:0015274	chronic beryllium disease	Beryllliosis	berylliosis	synonym	edit1
TYPO	MONDO:0044092	collagenous sprue	sprue, collagenous	Sprues, collagenous	synonym	edit1
TYPO	MONDO:0044092	collagenous sprue	Sprues, collagenous	sprue, collagenous	synonym	edit1
TYPO	MONDO:0012833	Crouzon syndrome-acanthosis nigricans syndrome	Crouzon-dermoskeletal syndrome	Crouzonodermoskeletal syndrome	synonym	edit1
TYPO	MONDO:0012833	Crouzon syndrome-acanthosis nigricans syndrome	Crouzonodermoskeletal syndrome	Crouzon-dermoskeletal syndrome	synonym	edit1
TYPO	MONDO:0003963	diffuse infiltrative lymphocytosis syndrome	diffuse infiltra. lymph. sydrome	diffuse infiltra. lymph. syndrome	synonym	edit1
TYPO	MONDO:0003963	diffuse infiltrative lymphocytosis syndrome	diffuse infiltra. lymph. syndrome	diffuse infiltra. lymph. sydrome	synonym	edit1
TYPO	MONDO:0015240	digitotalar dysmorphism	distal arthrogryposis type 1A (sub-type)	distal arthrogryposis type 1B (sub-type)	synonym	edit1
TYPO	MONDO:0015240	digitotalar dysmorphism	distal arthrogryposis type 1B (sub-type)	distal arthrogryposis type 1A (sub-type)	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	acrospiroma, eccrine	acrospiromas, eccrine	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	acrospiromas, eccrine	acrospiroma, eccrine	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	hidradenoma, solid-cystic	Hidradenomas, solid-cystic	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	Hidradenomas, solid-cystic	hidradenoma, solid-cystic	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	Hidradrenoma, clear-cell	Hidradrenomas, clear-cell	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	Hidradrenoma, nodular	Hidradrenomas, nodular	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	Hidradrenomas, clear-cell	Hidradrenoma, clear-cell	synonym	edit1
TYPO	MONDO:0006738	eccrine acrospiroma	Hidradrenomas, nodular	Hidradrenoma, nodular	synonym	edit1
TYPO	MONDO:0016002	Ehlers-Danlos syndrome, kyphoscoliotic type 1	Ehlers-Danlos syndrome type 6 (formerly)	Ehlers-Danlos syndrome type 6A (formerly)	synonym	edit1
TYPO	MONDO:0016002	Ehlers-Danlos syndrome, kyphoscoliotic type 1	Ehlers-Danlos syndrome type 6A (formerly)	Ehlers-Danlos syndrome type 6 (formerly)	synonym	edit1
TYPO	MONDO:0006745	endometrioid stromal sarcoma	stromal sarcoma, endometrial	stromal sarcomas, endometrial	synonym	edit1
TYPO	MONDO:0006745	endometrioid stromal sarcoma	stromal sarcomas, endometrial	stromal sarcoma, endometrial	synonym	edit1
TYPO	MONDO:0025489	enzootic bovine leukosis	lymphoma, bovine	lymphomas, bovine	synonym	edit1
TYPO	MONDO:0025489	enzootic bovine leukosis	lymphomas, bovine	lymphoma, bovine	synonym	edit1
TYPO	MONDO:0025489	enzootic bovine leukosis	lymphosarcoma, bovine	lymphosarcomas, bovine	synonym	edit1
TYPO	MONDO:0025489	enzootic bovine leukosis	lymphosarcomas, bovine	lymphosarcoma, bovine	synonym	edit1
TYPO	MONDO:0007554	epidermolysis bullosa simplex 1B, generalized intermediate	epidermolysis bullosa simplex, Koebner type	epidermolysis bullosa simplex, Kobner type	synonym	edit1
TYPO	MONDO:0005029	essential thrombocythemia	essential thrombocythemia	essential thrombocytemia	synonym	edit1
TYPO	MONDO:0060589	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	facial palsy, congenitla, with ptosis and velopharyngeal dysfunction	synonym	edit1
TYPO	MONDO:0024466	facial paresis, hereditary congenital, 1	Mobius syndrome 2	Moebius syndrome 2	synonym	edit1
TYPO	MONDO:0024466	facial paresis, hereditary congenital, 1	Moebius syndrome 2	Mobius syndrome 2	synonym	edit1
TYPO	MONDO:0011407	facial paresis, hereditary congenital, 2	Mobius syndrome 3	Moebius syndrome 3	synonym	edit1
TYPO	MONDO:0011407	facial paresis, hereditary congenital, 2	Moebius syndrome 3	Mobius syndrome 3	synonym	edit1
TYPO	MONDO:0000995	familial periodic paralysis	familial periodic paralysis	familial periodic paralyses	synonym	edit1
TYPO	MONDO:0000995	familial periodic paralysis	normokalemic periodic paralysis	normokalemic periodic paralyses	synonym	edit1
TYPO	MONDO:0009297	familial renal glucosuria	renal glucosuria	Renal Glycosuria	synonym	edit1
TYPO	MONDO:0003962	Froelich syndrome	Froehlich's syndrome	Froelich's syndrome	synonym	edit1
TYPO	MONDO:0003962	Froelich syndrome	Froelich's syndrome	Froehlich's syndrome	synonym	edit1
TYPO	MONDO:0003962	Froelich syndrome	Frohlich's syndrome	Froehlich's syndrome	synonym	edit1
TYPO	MONDO:0003962	Froelich syndrome	Frolich's syndrome	Froelich's syndrome	synonym	edit1
TYPO	MONDO:0013601	gluthathione peroxidase deficiency	gluthathione peroxidase deficiency	glutathione peroxidase deficiency	synonym	edit1
TYPO	MONDO:0009288	glycogen storage disease Ib	glycogen storage disease Ib	glycogen storage disease Ic	synonym	edit1
TYPO	MONDO:0010768	gonadoblastoma	gonadoblastoma	gonad blastoma	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary gland Somatotrophinoma	malignant pituitary gland somatotropinoma	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary gland somatotropinoma	malignant pituitary gland Somatotrophinoma	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary Somatotrophinoma	malignant pituitary somatotropinoma	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant pituitary somatotropinoma	malignant pituitary Somatotrophinoma	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant Somatotrophinoma of pituitary	malignant somatotropinoma of pituitary	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant Somatotrophinoma of pituitary gland	malignant somatotropinoma of pituitary gland	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant Somatotrophinoma of the pituitary gland	malignant somatotropinoma of the pituitary gland	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of pituitary	malignant Somatotrophinoma of pituitary	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of pituitary gland	malignant Somatotrophinoma of pituitary gland	synonym	edit1
TYPO	MONDO:0003828	growth hormone-producing pituitary gland carcinoma	malignant somatotropinoma of the pituitary gland	malignant Somatotrophinoma of the pituitary gland	synonym	edit1
TYPO	MONDO:0007707	hemangiomas of small intestine	hemangiomas of small intestine	hemangioma of small intestine	synonym	edit1
TYPO	MONDO:0021022	hereditary hyperekplexia	hereditary hyperekplexia	hereditary hyperexplexia	synonym	edit1
TYPO	MONDO:0008437	hereditary spastic paraplegia 3A	spastic paraplegia 3, autosomal dominant	spastic paraplegia 3a, autosomal dominant	synonym	edit1
TYPO	MONDO:0008437	hereditary spastic paraplegia 3A	spastic paraplegia 3a, autosomal dominant	spastic paraplegia 3, autosomal dominant	synonym	edit1
TYPO	MONDO:0043653	herpes labialis	Sore, cold	Sores, cold	synonym	edit1
TYPO	MONDO:0043653	herpes labialis	Sores, cold	Sore, cold	synonym	edit1
TYPO	MONDO:0016344	hydranencephaly	hydranencephaly	Hydroanencephaly	synonym	edit1
TYPO	MONDO:0012528	hypogonadotropic hypogonadism 4 with or without anosmia	Kallman syndrome 4	Kallmann syndrome 4	synonym	edit1
TYPO	MONDO:0012528	hypogonadotropic hypogonadism 4 with or without anosmia	Kallmann syndrome 4	Kallman syndrome 4	synonym	edit1
TYPO	MONDO:0014390	hypotrichosis 13	hypotrichosis with woolly hair	hypotrichosis with wooly hair	synonym	edit1
TYPO	MONDO:0014390	hypotrichosis 13	hypotrichosis with wooly hair	hypotrichosis with woolly hair	synonym	edit1
TYPO	MONDO:0011452	hypotrichosis 7	wooly hair, autosomal recessive 2 with or without hypotrichosis	woolly hair, autosomal recessive 2 with or without hypotrichosis	synonym	edit1
TYPO	MONDO:0019122	idiopathic acute eosinophilic pneumonia	Loeffler syndrome	Loffler syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	familial woolly hair (autosomal recessive)	familial wooly hair (autosomal recessive)	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	familial woolly hair syndrome	familial wooly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	familial wooly hair (autosomal recessive)	familial woolly hair (autosomal recessive)	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	familial wooly hair syndrome	familial woolly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	hereditary woolly hair (autosomal dominant)	hereditary wooly hair (autosomal dominant)	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	hereditary woolly hair syndrome	hereditary wooly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	hereditary wooly hair (autosomal dominant)	hereditary woolly hair (autosomal dominant)	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	hereditary wooly hair syndrome	hereditary woolly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	woolly hair	wooly hair	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	woolly hair syndrome	wooly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	woolly hair, autosomal dominant	wooly hair, autosomal dominant	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	wooly hair	woolly hair	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	wooly hair syndrome	woolly hair syndrome	synonym	edit1
TYPO	MONDO:0008686	isolated familial wooly hair disorder	wooly hair, autosomal dominant	woolly hair, autosomal dominant	synonym	edit1
TYPO	MONDO:0011090	isolated hereditary congenital facial paralysis	Mobius syndrome 2 (formerly)	Moebius syndrome 2 (formerly)	synonym	edit1
TYPO	MONDO:0011090	isolated hereditary congenital facial paralysis	Moebius syndrome 2 (formerly)	Mobius syndrome 2 (formerly)	synonym	edit1
TYPO	MONDO:0018971	isolated oxycephaly	hypsicephaly	hypsocephaly	synonym	edit1
TYPO	MONDO:0018971	isolated oxycephaly	hypsocephaly	hypsicephaly	synonym	edit1
TYPO	MONDO:0009394	juvenile Paget disease	hyperostosid corticalis deformans juvenilis	hyperostosis corticalis deformans juvenilis	synonym	edit1
TYPO	MONDO:0009394	juvenile Paget disease	hyperostosis corticalis deformans juvenilis	hyperostosid corticalis deformans juvenilis	synonym	edit1
TYPO	MONDO:0009697	Lafora disease	epilepsy, progressive myoclonic 2A (Lafora)	epilepsy, progressive myoclonic 2B (Lafora)	synonym	edit1
TYPO	MONDO:0009697	Lafora disease	epilepsy, progressive myoclonic 2B (Lafora)	epilepsy, progressive myoclonic 2A (Lafora)	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Immunoblastic Lymphoma, Large-Cell	Immunoblastic Lymphomas, Large-Cell	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Immunoblastic Lymphomas, Large-Cell	Immunoblastic Lymphoma, Large-Cell	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Immunoblastic Lymphosarcoma, Diffuse	Immunoblastic Lymphosarcomas, Diffuse	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Immunoblastic Lymphosarcomas, Diffuse	Immunoblastic Lymphosarcoma, Diffuse	synonym	edit1
