?cls	?clsLabel	?numSuperCls
<http://purl.obolibrary.org/obo/MONDO_0010830>	"neuronal ceroid lipofuscinosis 8"	2
<http://purl.obolibrary.org/obo/MONDO_0008558>	"autoimmune thrombocytopenic purpura"	3
<http://purl.obolibrary.org/obo/MONDO_0016712>	"classic medulloblastoma"	1
<http://purl.obolibrary.org/obo/MONDO_0023002>	"double Discordia"	1
<http://purl.obolibrary.org/obo/MONDO_0009181>	"epidermolysis bullosa simplex with muscular dystrophy"	6
<http://purl.obolibrary.org/obo/MONDO_0004004>	"motor nerve neuritis"	2
<http://purl.obolibrary.org/obo/MONDO_0009697>	"Lafora disease"	3
<http://purl.obolibrary.org/obo/MONDO_0001215>	"allescheriosis"	1
<http://purl.obolibrary.org/obo/MONDO_0003503>	"fallopian tube squamous cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0024625>	"disorder of lacrimal gland"	1
<http://purl.obolibrary.org/obo/MONDO_0021192>	"odontogenic neoplasm"	3
<http://purl.obolibrary.org/obo/MONDO_0018684>	"idiopathic neonatal atrial flutter"	1
<http://purl.obolibrary.org/obo/MONDO_0010984>	"Usher syndrome type 1D"	1
<http://purl.obolibrary.org/obo/MONDO_0004627>	"duodenitis"	2
<http://purl.obolibrary.org/obo/MONDO_0007065>	"adenosine deaminase, elevated, hemolytic anemia due to"	1
<http://purl.obolibrary.org/obo/MONDO_0018533>	"undifferentiated carcinoma of liver and intrahepatic biliary tract"	2
<http://purl.obolibrary.org/obo/MONDO_0010551>	"Charcot-Marie-Tooth disease X-linked recessive 3"	1
<http://purl.obolibrary.org/obo/MONDO_0054805>	"microcephaly 22, primary, autosomal recessive"	1
<http://purl.obolibrary.org/obo/MONDO_0002658>	"iris cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0016210>	"alternating hemiplegia"	1
<http://purl.obolibrary.org/obo/MONDO_0004435>	"liver fibrosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0009184>	"epidermolysis bullosa with diaphragmatic hernia"	1
<http://purl.obolibrary.org/obo/MONDO_0005545>	"staphylococcus aureus infection"	1
<http://purl.obolibrary.org/obo/MONDO_0017963>	"46,XX disorder of sex development induced by endogenous maternal-derived androgen"	1
<http://purl.obolibrary.org/obo/MONDO_0013915>	"hypogonadotropic hypogonadism 13 with or without anosmia"	1
<http://purl.obolibrary.org/obo/MONDO_0002119>	"ossifying fibroma (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0005776>	"gnathomiasis"	1
<http://purl.obolibrary.org/obo/MONDO_0017429>	"joint formation defects"	1
<http://purl.obolibrary.org/obo/MONDO_0060640>	"neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy"	1
<http://purl.obolibrary.org/obo/MONDO_0004356>	"childhood multilocular cystic kidney neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0014621>	"Brugada syndrome 9"	1
<http://purl.obolibrary.org/obo/MONDO_0013629>	"MRT16"	1
<http://purl.obolibrary.org/obo/MONDO_0024307>	"prothrombin deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0015374>	"primary central nervous system vasculitis"	3
<http://purl.obolibrary.org/obo/MONDO_0001372>	"bladder neck cancer"	1
<http://purl.obolibrary.org/obo/MONDO_0003950>	"nipple carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0015351>	"neuropathy with hearing impairment"	2
<http://purl.obolibrary.org/obo/MONDO_0013338>	"Charcot-Marie-Tooth disease recessive intermediate b"	1
<http://purl.obolibrary.org/obo/MONDO_0016296>	"holoprosencephaly"	5
<http://purl.obolibrary.org/obo/MONDO_0024663>	"primary skin meningioma"	2
<http://purl.obolibrary.org/obo/MONDO_0000173>	"muscular dystrophy-dystroglycanopathy, type C"	1
<http://purl.obolibrary.org/obo/MONDO_0006050>	"pleomorphic breast carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0027676>	"congenital anomalies of kidney and urinary tract type 2"	1
<http://purl.obolibrary.org/obo/MONDO_0011938>	"atrial heart septal defect 2"	1
<http://purl.obolibrary.org/obo/MONDO_0009575>	"thiamine-responsive megaloblastic anemia syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0007933>	"VMD1"	1
<http://purl.obolibrary.org/obo/MONDO_0014278>	"immunodeficiency 18"	1
<http://purl.obolibrary.org/obo/MONDO_0020142>	"metabolic disease with dementia"	2
<http://purl.obolibrary.org/obo/MONDO_0043982>	"cubital tunnel syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0037870>	"valine metabolism disease"	1
<http://purl.obolibrary.org/obo/MONDO_0011727>	"ANON1"	1
<http://purl.obolibrary.org/obo/MONDO_0015578>	"rare mycosis"	2
<http://purl.obolibrary.org/obo/MONDO_0014377>	"epileptic encephalopathy, early infantile, 24"	2
<http://purl.obolibrary.org/obo/MONDO_0010222>	"X-linked Opitz G/BBB syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0010377>	"MYP13"	4
<http://purl.obolibrary.org/obo/MONDO_0005699>	"cervicofacial actinomycosis"	2
<http://purl.obolibrary.org/obo/MONDO_0021242>	"sublingual gland neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0016994>	"microcephalic osteodysplastic primordial dwarfism types I and III"	1
<http://purl.obolibrary.org/obo/MONDO_0004987>	"urinary bladder neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0024296>	"vascular neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0002069>	"female breast axillary tail cancer"	1
<http://purl.obolibrary.org/obo/MONDO_0006121>	"calcifying fibrous tumor"	1
<http://purl.obolibrary.org/obo/MONDO_0010675>	"muscular dystrophy, cardiac type"	1
<http://purl.obolibrary.org/obo/MONDO_0006373>	"pituitary gland adenoma"	2
<http://purl.obolibrary.org/obo/MONDO_0009983>	"retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0020074>	"progressive myoclonic epilepsy"	4
<http://purl.obolibrary.org/obo/MONDO_0012009>	"coronary heart disease, susceptibility to, 2"	2
<http://purl.obolibrary.org/obo/MONDO_0009499>	"Krabbe disease"	8
<http://purl.obolibrary.org/obo/MONDO_0002614>	"bone inflammation disease"	1
<http://purl.obolibrary.org/obo/MONDO_0016361>	"isolated hereditary giant platelet disorder"	1
<http://purl.obolibrary.org/obo/MONDO_0012722>	"Dauwerse-Peters syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0000105>	"anemia, nonspherocytic hemolytic"	1
<http://purl.obolibrary.org/obo/MONDO_0023153>	"tuberculous ascites"	1
<http://purl.obolibrary.org/obo/MONDO_0018978>	"IgG4-related mediastinitis"	3
<http://purl.obolibrary.org/obo/MONDO_0015488>	"predominantly large-vessel vasculitis"	1
<http://purl.obolibrary.org/obo/MONDO_0002429>	"idiopathic interstitial pneumonia"	3
<http://purl.obolibrary.org/obo/MONDO_0012499>	"Buruli ulcer, susceptibility to"	1
<http://purl.obolibrary.org/obo/MONDO_0014401>	"tall stature-scoliosis-macrodactyly of the great toes syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0002916>	"brainstem intraparenchymal clear cell meningioma"	1
<http://purl.obolibrary.org/obo/MONDO_0009143>	"Meier-Gorlin syndrome 1"	1
<http://purl.obolibrary.org/obo/MONDO_0022495>	"arthritis short stature deafness"	1
<http://purl.obolibrary.org/obo/MONDO_0014189>	"age related macular degeneration 13"	2
<http://purl.obolibrary.org/obo/MONDO_0004764>	"fibular collateral ligament bursitis"	1
<http://purl.obolibrary.org/obo/MONDO_0012805>	"childhood onset GLUT1 deficiency syndrome 2"	3
<http://purl.obolibrary.org/obo/MONDO_0008055>	"myotonia congenita, autosomal dominant"	1
<http://purl.obolibrary.org/obo/MONDO_0001878>	"acquired hypertrophic pyloric stenosis"	1
<http://purl.obolibrary.org/obo/MONDO_0013985>	"autosomal recessive nonsyndromic deafness 18B"	1
<http://purl.obolibrary.org/obo/MONDO_0001243>	"disseminated intravascular coagulation"	1
<http://purl.obolibrary.org/obo/MONDO_0014075>	"cataract 39 multiple types"	1
<http://purl.obolibrary.org/obo/MONDO_0010553>	"Charcot-Marie-Tooth peroneal muscular atrophy and Friedreich ataxia, combined"	1
<http://purl.obolibrary.org/obo/MONDO_0010770>	"ubiquitin-activating enzyme, Y-linked"	1
<http://purl.obolibrary.org/obo/MONDO_0016439>	"elastoderma"	1
<http://purl.obolibrary.org/obo/MONDO_0009263>	"gapo syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0016599>	"autosomal dominant secondary polycythemia"	3
<http://purl.obolibrary.org/obo/MONDO_0003120>	"mixed testicular germ cell cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0001334>	"hypertrichosis of eyelid"	3
<http://purl.obolibrary.org/obo/MONDO_0000351>	"disorder of methionine catabolism"	2
<http://purl.obolibrary.org/obo/MONDO_0005442>	"type 1 diabetes nephropathy"	2
<http://purl.obolibrary.org/obo/MONDO_0013550>	"distal myopathy with posterior leg and anterior hand involvement"	1
<http://purl.obolibrary.org/obo/MONDO_0000110>	"bifid nose"	3
<http://purl.obolibrary.org/obo/MONDO_0014227>	"hypopigmentation-punctate palmoplantar keratoderma syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0014603>	"autosomal dominant nonsyndromic deafness 40"	1
<http://purl.obolibrary.org/obo/MONDO_0019987>	"congenital and infantile nephrotic syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0005095>	"spondyloarthropathy"	2
<http://purl.obolibrary.org/obo/MONDO_0024954>	"larva migrans, visceral"	2
<http://purl.obolibrary.org/obo/MONDO_0040922>	"latent early syphilis"	1
<http://purl.obolibrary.org/obo/MONDO_0010045>	"paraplegia-brachydactyly-cone-shaped epiphysis syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0016150>	"qualitative or quantitative defects of integrin alpha-7"	1
<http://purl.obolibrary.org/obo/MONDO_0020425>	"abnormal number of coronary ostia"	1
<http://purl.obolibrary.org/obo/MONDO_0017434>	"syndrome with limb duplication, polydactyly, syndactyly, and/or hyperphalangy"	2
<http://purl.obolibrary.org/obo/MONDO_0001555>	"neonatal thyrotoxicosis"	1
<http://purl.obolibrary.org/obo/MONDO_0004150>	"breast giant fibroadenoma"	1
<http://purl.obolibrary.org/obo/MONDO_0001769>	"acquired tear duct stenosis"	1
<http://purl.obolibrary.org/obo/MONDO_0011823>	"developmental malformations-deafness-dystonia syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0009020>	"macular corneal dystrophy"	2
<http://purl.obolibrary.org/obo/MONDO_0014332>	"hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0003133>	"exudative glomerulonephritis"	1
<http://purl.obolibrary.org/obo/MONDO_0019856>	"primary congenital hypothyroidism without thyroid developmental anomaly"	1
<http://purl.obolibrary.org/obo/MONDO_0005558>	"ovarian disease"	2
<http://purl.obolibrary.org/obo/MONDO_0011963>	"Joubert syndrome 2"	2
<http://purl.obolibrary.org/obo/MONDO_0022998>	"distal arthrogryposis Moore weaver type"	2
<http://purl.obolibrary.org/obo/MONDO_0009759>	"mosaic variegated aneuploidy syndrome 1"	1
<http://purl.obolibrary.org/obo/MONDO_0013923>	"microcephaly 9, primary, autosomal recessive"	1
<http://purl.obolibrary.org/obo/MONDO_0019945>	"solar urticaria"	1
<http://purl.obolibrary.org/obo/MONDO_0020663>	"malignant spindle cell neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0021501>	"benign neoplasm of small intestine"	2
<http://purl.obolibrary.org/obo/MONDO_0022907>	"cutaneous sclerosis"	1
<http://purl.obolibrary.org/obo/MONDO_0006211>	"fibrous hamartoma of infancy"	1
<http://purl.obolibrary.org/obo/MONDO_0020278>	"metabolic disease associated with ocular features"	1
<http://purl.obolibrary.org/obo/MONDO_0010589>	"Aarskog-Scott syndrome, X-linked"	4
<http://purl.obolibrary.org/obo/MONDO_0023472>	"chondrodysplasia situs inversus imperforate anus polydactyly"	1
<http://purl.obolibrary.org/obo/MONDO_0017670>	"autosomal dominant diffuse mutilating palmoplantar keratoderma"	1
<http://purl.obolibrary.org/obo/MONDO_0012532>	"hereditary hemorrhagic telangiectasia type 4"	1
<http://purl.obolibrary.org/obo/MONDO_0015043>	"extramedullary soft tissue plasmacytoma"	1
<http://purl.obolibrary.org/obo/MONDO_0019815>	"accessory tricuspid valve tissue"	1
<http://purl.obolibrary.org/obo/MONDO_0024569>	"OPA8"	1
<http://purl.obolibrary.org/obo/MONDO_0009653>	"mucolipidosis type IV"	6
<http://purl.obolibrary.org/obo/MONDO_0021085>	"gastric neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0002867>	"pancreatic cystadenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0004787>	"cervical mullerian papilloma"	2
<http://purl.obolibrary.org/obo/MONDO_0017270>	"autosomal ichthyosis syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0012491>	"WM2"	1
<http://purl.obolibrary.org/obo/MONDO_0001292>	"autonomic nervous system disease"	1
<http://purl.obolibrary.org/obo/MONDO_0018810>	"lethal hydranencephaly-diaphragmatic hernia syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0007935>	"cystoid macular edema"	2
<http://purl.obolibrary.org/obo/MONDO_0006840>	"lymphangiectasis"	2
<http://purl.obolibrary.org/obo/MONDO_0011962>	"endometrial cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0008043>	"myoclonus-cerebellar ataxia-deafness syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0015552>	"acral dystrophic epidermolysis bullosa"	1
<http://purl.obolibrary.org/obo/MONDO_0013371>	"dilated cardiomyopathy 1U"	1
<http://purl.obolibrary.org/obo/MONDO_0017198>	"osteopetrosis (disease)"	4
<http://purl.obolibrary.org/obo/MONDO_0037872>	"bordetellosis"	1
<http://purl.obolibrary.org/obo/MONDO_0021682>	"viral sexually transmitted disease"	2
<http://purl.obolibrary.org/obo/MONDO_0019923>	"Beckwith-Wiedemann syndrome due to paternal uniparental disomy of chromosome 11"	3
<http://purl.obolibrary.org/obo/MONDO_0040501>	"ehlers-danlos syndrome, arthrochalasia type, 2"	1
<http://purl.obolibrary.org/obo/MONDO_0021316>	"malignant tumor of minor salivary gland"	3
<http://purl.obolibrary.org/obo/MONDO_0001493>	"chronic pulmonary heart disease"	1
<http://purl.obolibrary.org/obo/MONDO_0010689>	"Charcot-Marie-Tooth disease X-linked recessive 4"	1
<http://purl.obolibrary.org/obo/MONDO_0007925>	"chromosome 5q deletion syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0002966>	"splenic manifestation of prolymphocytic leukemia"	2
<http://purl.obolibrary.org/obo/MONDO_0001877>	"infertility due to extratesticular cause"	1
<http://purl.obolibrary.org/obo/MONDO_0002817>	"adrenal gland cancer"	3
<http://purl.obolibrary.org/obo/MONDO_0009037>	"craniosynostosis with anomalies of the cranial base and digits"	1
<http://purl.obolibrary.org/obo/MONDO_0005183>	"ovarian cystadenoma"	4
<http://purl.obolibrary.org/obo/MONDO_0020435>	"atrial septal defect, coronary sinus type"	1
<http://purl.obolibrary.org/obo/MONDO_0003866>	"liver extraskeletal osteosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0022414>	"allain-babin-demarquez syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0005079>	"polyp"	1
<http://purl.obolibrary.org/obo/MONDO_0001831>	"irregular astigmatism"	1
<http://purl.obolibrary.org/obo/MONDO_0011103>	"autosomal dominant nonsyndromic deafness 3A"	1
<http://purl.obolibrary.org/obo/MONDO_0009405>	"cervical hypertrichosis-peripheral neuropathy syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0006872>	"nut allergic reaction"	1
<http://purl.obolibrary.org/obo/MONDO_0007483>	"dyschromatosis symmetrica hereditaria"	2
<http://purl.obolibrary.org/obo/MONDO_0011225>	"severe combined immunodeficiency due to DCLRE1C deficiency"	3
<http://purl.obolibrary.org/obo/MONDO_0024624>	"atrophy of lacrimal gland"	2
<http://purl.obolibrary.org/obo/MONDO_0003554>	"adenosquamous colon carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0060582>	"auditory neuropathy and optic atrophy"	1
<http://purl.obolibrary.org/obo/MONDO_0006468>	"thyroid gland undifferentiated (anaplastic) carcinoma"	3
<http://purl.obolibrary.org/obo/MONDO_0016258>	"uterine corpus carcinofibroma"	1
<http://purl.obolibrary.org/obo/MONDO_0008746>	"oculocutaneous albinism type 2"	1
<http://purl.obolibrary.org/obo/MONDO_0002095>	"vascular cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0003235>	"optic nerve glioma"	2
<http://purl.obolibrary.org/obo/MONDO_0007970>	"melorheostosis"	1
<http://purl.obolibrary.org/obo/MONDO_0012545>	"neutral lipid storage myopathy"	1
<http://purl.obolibrary.org/obo/MONDO_0019167>	"immunoglobulin a vasculitis"	3
<http://purl.obolibrary.org/obo/MONDO_0000934>	"laryngeal leiomyoma"	2
<http://purl.obolibrary.org/obo/MONDO_0006307>	"mixed somatotroph-lactotroph pituitary gland adenoma"	1
<http://purl.obolibrary.org/obo/MONDO_0003657>	"methotrexate-associated lymphoproliferation"	1
<http://purl.obolibrary.org/obo/MONDO_0016613>	"APC-related attenuated familial adenomatous polyposis"	1
<http://purl.obolibrary.org/obo/MONDO_0006636>	"Actinobacillus infectious disease"	1
<http://purl.obolibrary.org/obo/MONDO_0013163>	"nephronophthisis-like nephropathy 1"	1
<http://purl.obolibrary.org/obo/MONDO_0013173>	"intellectual disability, autosomal recessive 13"	1
<http://purl.obolibrary.org/obo/MONDO_0021167>	"myositis"	2
<http://purl.obolibrary.org/obo/MONDO_0019170>	"polyarteritis nodosa"	4
<http://purl.obolibrary.org/obo/MONDO_0013270>	"Rett syndrome, congenital variant"	2
<http://purl.obolibrary.org/obo/MONDO_0015883>	"hidrotic ectodermal dysplasia, Halal type"	1
<http://purl.obolibrary.org/obo/MONDO_0014256>	"retinitis pigmentosa 67"	1
<http://purl.obolibrary.org/obo/MONDO_0013902>	"aortic valve disease 2"	1
<http://purl.obolibrary.org/obo/MONDO_0021131>	"frontal lobe ependymal tumor"	3
<http://purl.obolibrary.org/obo/MONDO_0001835>	"facial paralysis"	2
<http://purl.obolibrary.org/obo/MONDO_0018873>	"anterior cutaneous nerve entrapment syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0017794>	"Xq12-q13.3 duplication syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0000871>	"T-cell childhood acute lymphocytic leukemia"	3
<http://purl.obolibrary.org/obo/MONDO_0002953>	"skin infiltrative basal cell carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0011423>	"autosomal recessive limb-girdle muscular dystrophy type 2E"	3
<http://purl.obolibrary.org/obo/MONDO_0000250>	"osmotic diarrheal disease"	1
<http://purl.obolibrary.org/obo/MONDO_0006650>	"anterior spinal artery syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0011292>	"dermatitis, atopic"	2
<http://purl.obolibrary.org/obo/MONDO_0001260>	"cercarial dermatitis"	4
<http://purl.obolibrary.org/obo/MONDO_0008234>	"multiple endocrine neoplasia type 2A"	1
<http://purl.obolibrary.org/obo/MONDO_0008947>	"bilateral striopallidodentate calcinosis"	3
<http://purl.obolibrary.org/obo/MONDO_0007909>	"familial multiple lipomatosis"	6
<http://purl.obolibrary.org/obo/MONDO_0015977>	"agammaglobulinemia"	3
<http://purl.obolibrary.org/obo/MONDO_0002030>	"chronic cervicitis"	1
<http://purl.obolibrary.org/obo/MONDO_0018433>	"acute myeloid leukemia with t(6;9)(p23;q34)"	1
<http://purl.obolibrary.org/obo/MONDO_0060783>	"classic congenital adrenal hyperplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0013373>	"dilated cardiomyopathy 1V"	1
<http://purl.obolibrary.org/obo/MONDO_0015215>	"non-syndromic diaphragmatic or abdominal wall malformation"	1
<http://purl.obolibrary.org/obo/MONDO_0019027>	"otopalatodigital syndrome"	9
<http://purl.obolibrary.org/obo/MONDO_0018728>	"rare genetic capillary malformation"	2
<http://purl.obolibrary.org/obo/MONDO_0011902>	"Charcot-Marie-Tooth disease type 1F"	1
<http://purl.obolibrary.org/obo/MONDO_0006467>	"thyroid gland squamous cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0009630>	"microphthalmia, isolated, with coloboma 4"	1
<http://purl.obolibrary.org/obo/MONDO_0011773>	"anauxetic dysplasia"	2
<http://purl.obolibrary.org/obo/MONDO_0011376>	"idiopathic ventricular fibrillation, non Brugada type"	2
<http://purl.obolibrary.org/obo/MONDO_0023039>	"eccrine mucinous carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0004127>	"lung occult adenocarcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0007036>	"Achard syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0007975>	"meralgia paraesthetica, familial"	4
<http://purl.obolibrary.org/obo/MONDO_0006005>	"Venezuelan equine encephalitis"	4
<http://purl.obolibrary.org/obo/MONDO_0011487>	"Huntington disease-like 3"	2
<http://purl.obolibrary.org/obo/MONDO_0008747>	"oculocutaneous albinism type 3"	1
<http://purl.obolibrary.org/obo/MONDO_0014099>	"nephrotic syndrome, type 8"	1
<http://purl.obolibrary.org/obo/MONDO_0011548>	"cerebral palsy, ataxic, autosomal recessive"	1
<http://purl.obolibrary.org/obo/MONDO_0024477>	"liver and intrahepatic bile duct neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0019538>	"Gaisbock syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0013264>	"amyotrophic lateral sclerosis type 12"	1
<http://purl.obolibrary.org/obo/MONDO_0020110>	"pulmonary agenesis"	3
<http://purl.obolibrary.org/obo/MONDO_0020467>	"mosaic monosomy X"	1
<http://purl.obolibrary.org/obo/MONDO_0011847>	"migraine without aura"	3
<http://purl.obolibrary.org/obo/MONDO_0004938>	"substance dependence"	1
<http://purl.obolibrary.org/obo/MONDO_0015649>	"micturation-induced seizures"	1
<http://purl.obolibrary.org/obo/MONDO_0020863>	"laryngeal diphtheria"	4
<http://purl.obolibrary.org/obo/MONDO_0010550>	"Charcot-Marie-Tooth disease X-linked recessive 2"	1
<http://purl.obolibrary.org/obo/MONDO_0005276>	"dental caries"	1
<http://purl.obolibrary.org/obo/MONDO_0019261>	"infantile neuronal ceroid lipofuscinosis"	3
<http://purl.obolibrary.org/obo/MONDO_0017426>	"postaxial polydactyly of fingers"	1
<http://purl.obolibrary.org/obo/MONDO_0022871>	"corpus callosum agenesis of blepharophimosis robin type"	2
<http://purl.obolibrary.org/obo/MONDO_0017979>	"autoimmune lymphoproliferative syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0016204>	"idiopathic copper-associated cirrhosis"	1
<http://purl.obolibrary.org/obo/MONDO_0017137>	"onchocerciasis"	4
<http://purl.obolibrary.org/obo/MONDO_0022800>	"collagenopathy type 2 alpha 1"	1
<http://purl.obolibrary.org/obo/MONDO_0016565>	"syndromic genetic obesity"	4
<http://purl.obolibrary.org/obo/MONDO_0060457>	"autoinflammation with arthritis and dyskeratosis"	1
<http://purl.obolibrary.org/obo/MONDO_0021010>	"skin lymphangiosarcoma"	3
<http://purl.obolibrary.org/obo/MONDO_0018628>	"HIV-associated cancer"	4
<http://purl.obolibrary.org/obo/MONDO_0008219>	"pemphigus vulgaris"	1
<http://purl.obolibrary.org/obo/MONDO_0016289>	"malignant germ cell tumor of cervix uteri"	3
<http://purl.obolibrary.org/obo/MONDO_0004745>	"priapism"	2
<http://purl.obolibrary.org/obo/MONDO_0025028>	"vesicular stomatitis"	4
<http://purl.obolibrary.org/obo/MONDO_0003945>	"bone epithelioid hemangioma"	1
