?cls	?cls_label	?textdef_count	?xref_count	?named_superclass_count	?anon_superclass_count	?named_equiv_count	?anon_equiv_count
<http://purl.obolibrary.org/obo/MONDO_0021631>	"brain astrocytoma"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0017864>	"congenital pulmonary veins atresia or stenosis"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0006881>	"orbital cellulitis"	1	10	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0002090>	"eccrine sweat gland neoplasm"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0010826>	"childhood absence epilepsy"	1	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0040700>	"orbital dermoid cyst"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0019423>	"X-linked intellectual disability, Stoll type"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0009074>	"facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0000005>	"alopecia, isolated"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0006215>	"gallbladder adenocarcinoma"	1	4	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0001575>	"chronic gonococcal salpingitis"	1	5	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0016406>	"other metabolic disease with epilepsy"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0003733>	"central nervous system mature teratoma"	1	4	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0017945>	"ABetaL34V amyloidosis"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0002821>	"trabecular follicular adenocarcinoma"	0	2	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0010470>	"Baratela-Scott syndrome"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0000909>	"Bartter disease type 4B"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0003076>	"unilateral retinoblastoma"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0010966>	"achondrogenesis type IB"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0009270>	"genito-palato-cardiac syndrome"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0017500>	"congenital absence of both lower leg and foot, unilateral"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0010583>	"Dyggve-Melchior-Clausen syndrome, X-linked"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0020540>	"ovarian gynandroblastoma"	1	10	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0008849>	"atrophoderma vermiculata"	0	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0002486>	"lobular neoplasia"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0004465>	"periampullary adenocarcinoma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0000078>	"acrocephalopolysyndactyly"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0012507>	"retinal cone dystrophy 4"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0000003>	"obsolete 17-hydroxysteroid dehydrogenase deficiency"	0	1	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0003002>	"dysgerminoma (disease)"	1	6	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0006162>	"colorectal neuroendocrine tumor G1"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0011193>	"cone dystrophy 3"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0010475>	"X-linked central congenital hypothyroidism with late-onset testicular enlargement"	1	6	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0007532>	"Electroencephalographic peculiarity: occipital slow beta waves"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0009695>	"myeloproliferative disease, autosomal recessive"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0015495>	"otomandibular dysplasia associated with monogenic syndromes"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0000178>	"obsolete breasts and/or nipples, aplasia or hypoplasia of"	0	1	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0009361>	"autosomal recessive hydrocephalus due to congenital stenosis of aqueduct of Sylvius"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0009827>	"pachyonychia congenita, autosomal recessive"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0018842>	"primary effusion lymphoma"	1	12	5	0	5	0
<http://purl.obolibrary.org/obo/MONDO_0018774>	"erythrokeratodermia-cardiomyopathy syndrome"	1	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0019977>	"parkinsonism with dementia of Guadeloupe"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0006715>	"coronary stenosis"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0012129>	"leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema"	0	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0018032>	"constitutional neutropenia with extra-hematopoietic manifestations"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0007860>	"focal palmoplantar and gingival keratoderma"	1	7	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0001297>	"cardiac tamponade"	1	9	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0013554>	"psoriasis 13, susceptibility to"	1	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0005720>	"cowpox"	1	7	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0042983>	"neurocutaneous syndrome"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0009456>	"Immunoerythromyeloid hypoplasia"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0008078>	"neurofibromatosis, familial spinal"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0003122>	"striatonigral degeneration"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0008990>	"cleft larynx, posterior"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0004638>	"lymphosarcoma"	1	11	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0016669>	"sickle cell-hemoglobin c disease syndrome"	0	5	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0015303>	"macular amyloidosis"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0013401>	"hereditary spastic paraplegia 51"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0007399>	"craniosynostosis 1"	0	3	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0011650>	"atrioventricular septal defect, susceptibility to, 2"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0008792>	"familial angiolipomatosis"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0006484>	"usual ductal breast hyperplasia"	1	5	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0002607>	"obsolete lymphangioleiomyomatosis"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0004693>	"squamous carcinoma in situ"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0060562>	"encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0004825>	"obsolete encephalitis"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0015592>	"limbic encephalitis with LGI1 antibodies"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0008673>	"acrofacial dysostosis, Weyers type"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0060707>	"Ververi-Brady syndrome"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0002262>	"capillary lymphangioma"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0019626>	"isolated ankyloblepharon filiforme adnatum"	1	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0001108>	"broad ligament malignant neoplasm"	1	6	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0033044>	"Meckel syndrome 13"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0006700>	"choroid cancer"	1	8	3	0	3	1
<http://purl.obolibrary.org/obo/MONDO_0017752>	"defect in V-ATPase"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0012174>	"peripheral cone dystrophy"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0017691>	"erythrocyte galactose epimerase deficiency"	0	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0017571>	"Proteus-like syndrome"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0006230>	"gastric squamous cell carcinoma"	1	14	4	0	4	1
<http://purl.obolibrary.org/obo/MONDO_0008420>	"seborrheic keratosis"	1	11	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0018381>	"osteochondrosis"	1	12	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0015892>	"growth hormone insensitivity syndrome"	1	7	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0009566>	"marfanoid habitus-autosomal recessive intellectual disability syndrome"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0013846>	"peripartum cardiomyopathy, susceptibility to"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0011915>	"MMVP2"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0006370>	"obsolete pineoblastoma"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0004648>	"vascular dementia"	1	9	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0014246>	"episodic pain syndrome, familial, 2"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015863>	"polyembryoma"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0018750>	"class I glucose-6-phosphate dehydrogenase deficiency"	0	1	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0005974>	"strongyloidiasis"	1	17	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0001839>	"obsolete interstitial cystitis"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0012052>	"ALG1-CDG"	1	7	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0015045>	"alpha-heavy chain disease"	1	9	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0000290>	"primary amebic meningoencephalitis"	1	6	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0009330>	"hemangiopericytoma, malignant"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0013885>	"Malan overgrowth syndrome"	1	5	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0023571>	"Kozlowski Rafinski Klicharska syndrome"	0	3	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0016395>	"foveal hypoplasia-presenile cataract syndrome"	0	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0009970>	"renal tubular dysgenesis of genetic origin"	1	3	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0004114>	"urinary bladder small cell neuroendocrine carcinoma"	1	18	4	0	4	1
<http://purl.obolibrary.org/obo/MONDO_0011397>	"autosomal dominant cerebellar ataxia, deafness and narcolepsy"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0008378>	"retinitis pigmentosa 9"	1	6	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0020586>	"factor V deficiency"	1	2	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0017777>	"obsolete rat-bite fever"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0009057>	"cyanosis and hepatic disease"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0006123>	"cardiac rhabdomyoma (disease)"	1	4	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0010123>	"absent thumb-short stature-immunodeficiency syndrome"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0000141>	"mosaic variegated aneuploidy syndrome"	1	10	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0044634>	"retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome"	0	3	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0024475>	"squamous cell intraepithelial neoplasia"	0	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0023521>	"Judge Misch wright syndrome"	0	3	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0019667>	"spondyloepiphyseal dysplasia tarda"	1	4	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0011024>	"dermatitis herpetiformis, familial"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0008298>	"postaxial tetramelic oligodactyly"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0001789>	"neurofibroma of spinal cord"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0009138>	"dysosteosclerosis"	1	8	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0011535>	"split hand-foot malformation 4"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0008539>	"obsolete distal arthrogryposis type 10"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0060564>	"helix syndrome"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0002206>	"sweat gland cancer"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015273>	"complete atrioventricular canal"	1	6	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0016252>	"rare uterine cancer"	1	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0015366>	"autosomal recessive hereditary sensory and autonomic neuropathy"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0016415>	"obsolete immunodeficiency-centromeric instability-facial anomalies syndrome"	0	0	0	0	0	0
<http://purl.obolibrary.org/obo/MONDO_0005661>	"babesiosis"	1	12	4	0	4	1
<http://purl.obolibrary.org/obo/MONDO_0010845>	"macrothrombocytopenia and progressive sensorineural deafness"	0	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0018583>	"human infection by orthopoxvirus"	0	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0007983>	"Schmid metaphyseal chondrodysplasia"	1	7	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0011428>	"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3"	1	4	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0003322>	"epithelial predominant Wilms' tumor"	1	3	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0015300>	"cataract - microcornea syndrome"	1	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0011604>	"spondylo-ocular syndrome"	1	4	3	0	3	0
<http://purl.obolibrary.org/obo/MONDO_0006702>	"chronic inflammatory demyelinating polyradiculoneuropathy"	1	8	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0042490>	"neutropenia, severe congenital, 1, autosomal dominant"	0	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0002944>	"external ear carcinoma"	1	3	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0013103>	"epilepsy, idiopathic generalized, susceptibility to, 10"	1	1	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0019276>	"inherited epidermolysis bullosa"	1	8	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0003473>	"spinal cord ependymoma"	1	4	2	0	2	1
<http://purl.obolibrary.org/obo/MONDO_0008523>	"Blau syndrome"	1	11	4	0	4	0
<http://purl.obolibrary.org/obo/MONDO_0009169>	"endocardial fibroelastosis"	1	13	5	0	5	0
<http://purl.obolibrary.org/obo/MONDO_0020441>	"right superior vena cava connecting to left-sided atrium"	1	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0008472>	"spondyloepiphyseal dysplasia, MacDermot type"	1	5	2	0	2	0
<http://purl.obolibrary.org/obo/MONDO_0007152>	"arrhythmogenic right ventricular dysplasia 1"	1	5	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0019520>	"syndromic lymphedema"	1	2	1	0	1	1
<http://purl.obolibrary.org/obo/MONDO_0019233>	"peroxisomal beta-oxidation disorder"	0	4	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0019282>	"syndromic hair shaft abnormality"	0	2	1	0	1	0
<http://purl.obolibrary.org/obo/MONDO_0024744>	"childhood choroid plexus neoplasm"	1	1	1	0	1	1
