defined_class	defined_class_label	neoplasm	neoplasm_label
http://purl.obolibrary.org/obo/MONDO_0002920	malignant ovarian Brenner tumor	http://purl.obolibrary.org/obo/MONDO_0002370	ovarian Brenner tumor
http://purl.obolibrary.org/obo/MONDO_0002224	malignant ovarian cyst	http://purl.obolibrary.org/obo/MONDO_0003282	ovarian cyst
http://purl.obolibrary.org/obo/MONDO_0024885	malignant ovarian serous tumor	http://purl.obolibrary.org/obo/MONDO_0037255	ovarian serous tumor
http://purl.obolibrary.org/obo/MONDO_0016751	malignant perineurioma	http://purl.obolibrary.org/obo/MONDO_0019404	perineurioma
http://purl.obolibrary.org/obo/MONDO_0003017	malignant peritoneal solitary fibrous tumor	http://purl.obolibrary.org/obo/MONDO_0037737	peritoneal solitary fibrous tumor
http://purl.obolibrary.org/obo/MONDO_0037003	malignant phyllodes tumor	http://purl.obolibrary.org/obo/MONDO_0005078	phyllodes tumor
http://purl.obolibrary.org/obo/MONDO_0000407	malignant pleural solitary fibrous tumor	http://purl.obolibrary.org/obo/MONDO_0021041	pleural solitary fibrous tumor
http://purl.obolibrary.org/obo/MONDO_0018172	malignant sex cord stromal tumor of ovary	http://purl.obolibrary.org/obo/MONDO_0021657	ovarian sex cord-stromal tumor
http://purl.obolibrary.org/obo/MONDO_0020663	malignant spindle cell neoplasm	http://purl.obolibrary.org/obo/MONDO_0020664	spindle cell neoplasm
http://purl.obolibrary.org/obo/MONDO_0003332	malignant struma ovarii	http://purl.obolibrary.org/obo/MONDO_0006980	struma ovarii
http://purl.obolibrary.org/obo/MONDO_0006883	malignant superior sulcus neoplasm	http://purl.obolibrary.org/obo/MONDO_0024813	pulmonary sulcus neoplasm
http://purl.obolibrary.org/obo/MONDO_0003519	malignant syringoma	http://purl.obolibrary.org/obo/MONDO_0002191	syringoma
http://purl.obolibrary.org/obo/MONDO_0002401	malignant tenosynovial giant cell tumor	http://purl.obolibrary.org/obo/MONDO_0002522	tenosynovial giant cell tumor
http://purl.obolibrary.org/obo/MONDO_0003514	malignant teratoma	http://purl.obolibrary.org/obo/MONDO_0002601	teratoma
http://purl.obolibrary.org/obo/MONDO_0003737	malignant testicular Leydig cell tumor	http://purl.obolibrary.org/obo/MONDO_0003124	testicular Leydig cell tumor
http://purl.obolibrary.org/obo/MONDO_0003976	malignant type AB thymoma	http://purl.obolibrary.org/obo/MONDO_0016975	thymoma type AB
http://purl.obolibrary.org/obo/MONDO_0006298	mediastinal malignant germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0021067	mediastinal germ cell tumor
http://purl.obolibrary.org/obo/MONDO_0037743	mediastinal soft tissue cancer	http://purl.obolibrary.org/obo/MONDO_0003512	mediastinal mesenchymal tumor
http://purl.obolibrary.org/obo/MONDO_0024880	metastatic malignant neoplasm	http://purl.obolibrary.org/obo/MONDO_0024883	metastatic neoplasm
http://purl.obolibrary.org/obo/MONDO_0024282	mucinous ovarian cancer	http://purl.obolibrary.org/obo/MONDO_0003756	ovarian mucinous neoplasm
http://purl.obolibrary.org/obo/MONDO_0004682	retromolar area cancer	http://purl.obolibrary.org/obo/MONDO_0037744	neoplasm of retromolar area
http://purl.obolibrary.org/obo/MONDO_0003403	testicular non-seminomatous germ cell cancer	http://purl.obolibrary.org/obo/MONDO_0006447	testicular non-seminomatous germ cell tumor
