defined_class	defined_class_label	disease	disease_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0021101	appendix L-cell glucagon-like peptide-producing neuroendocrine tumor	http://purl.obolibrary.org/obo/MONDO_0004211	L-cell glucagon-like peptide-producing neuroendocrine tumor	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0024501	appendix neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0019496	neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0000473	arterial disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001637	artery
http://purl.obolibrary.org/obo/MONDO_0006816	arthropathy	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint
http://purl.obolibrary.org/obo/MONDO_0003816	articular cartilage disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0010996	articular cartilage of joint
http://purl.obolibrary.org/obo/MONDO_0005476	atrioventricular node disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002352	atrioventricular node
http://purl.obolibrary.org/obo/MONDO_0002409	auditory system disorder	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder	http://purl.obolibrary.org/obo/UBERON_0016490	auditory system
http://purl.obolibrary.org/obo/MONDO_0001292	autonomic nervous system disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002410	autonomic nervous system
http://purl.obolibrary.org/obo/MONDO_0000974	axillary lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0009472	axilla
http://purl.obolibrary.org/obo/MONDO_0005247	bacterial urinary tract infection	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/UBERON_0001008	renal system
http://purl.obolibrary.org/obo/MONDO_0003996	basal ganglia disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0010011	collection of basal ganglia
http://purl.obolibrary.org/obo/MONDO_0044983	benign lipomatous neoplasm	http://purl.obolibrary.org/obo/MONDO_0000654	benign connective and soft tissue neoplasm	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue
http://purl.obolibrary.org/obo/MONDO_0002887	bile duct disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0004868	biliary tract disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001173	biliary tree
http://purl.obolibrary.org/obo/MONDO_0000515	bone chondrosarcoma	http://purl.obolibrary.org/obo/MONDO_0008977	chondrosarcoma	http://purl.obolibrary.org/obo/UBERON_0002481	bone tissue
http://purl.obolibrary.org/obo/MONDO_0005381	bone disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002481	bone tissue
http://purl.obolibrary.org/obo/MONDO_0003225	bone marrow disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
http://purl.obolibrary.org/obo/MONDO_0005560	brain disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0043510	brain injury	http://purl.obolibrary.org/obo/MONDO_0021178	injury	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0003902	brain stem hemangioblastoma	http://purl.obolibrary.org/obo/MONDO_0016748	hemangioblastoma	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/MONDO_0003896	breast capillary hemangioma	http://purl.obolibrary.org/obo/MONDO_0002407	capillary hemangioma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0002657	breast disorder	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003897	breast epithelioid hemangioma	http://purl.obolibrary.org/obo/MONDO_0021169	epithelioid hemangioma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003126	breast hemangioma	http://purl.obolibrary.org/obo/MONDO_0006500	hemangioma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003959	breast large cell neuroendocrine carcinoma	http://purl.obolibrary.org/obo/MONDO_0005057	large cell neuroendocrine carcinoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0000970	breast lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0002485	breast neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0019496	neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0001358	bronchial disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/MONDO_0019963	bronchial endocrine tumor	http://purl.obolibrary.org/obo/MONDO_0019496	neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/MONDO_0001112	bubonic plague	http://purl.obolibrary.org/obo/MONDO_0019095	plague	http://purl.obolibrary.org/obo/UBERON_0006558	lymphatic part of lymphoid system
http://purl.obolibrary.org/obo/MONDO_0001574	capillary disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001982	capillary
http://purl.obolibrary.org/obo/MONDO_0002262	capillary lymphangioma	http://purl.obolibrary.org/obo/MONDO_0002013	lymphangioma	http://purl.obolibrary.org/obo/UBERON_0001982	capillary
http://purl.obolibrary.org/obo/MONDO_0001707	cardiac sarcoidosis	http://purl.obolibrary.org/obo/MONDO_0019338	sarcoidosis	http://purl.obolibrary.org/obo/UBERON_0000948	heart
http://purl.obolibrary.org/obo/MONDO_0000813	cardiac tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/UBERON_0000948	heart
http://purl.obolibrary.org/obo/MONDO_0045001	cardiac ventricle disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
http://purl.obolibrary.org/obo/MONDO_0004995	cardiovascular disorder	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder	http://purl.obolibrary.org/obo/UBERON_0004535	cardiovascular system
http://purl.obolibrary.org/obo/MONDO_0005269	carotid artery disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0005396	carotid artery segment
http://purl.obolibrary.org/obo/MONDO_0021053	carotid body paraganglioma	http://purl.obolibrary.org/obo/MONDO_0000448	paraganglioma	http://purl.obolibrary.org/obo/UBERON_0001629	carotid body
http://purl.obolibrary.org/obo/MONDO_0005693	cauda equina syndrome	http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease	http://purl.obolibrary.org/obo/UBERON_0012337	cauda equina
http://purl.obolibrary.org/obo/MONDO_0003644	cavernous hemangioma of colon	http://purl.obolibrary.org/obo/MONDO_0003155	cavernous hemangioma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0003645	cavernous hemangioma of face	http://purl.obolibrary.org/obo/MONDO_0003155	cavernous hemangioma	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/MONDO_0021281	cavernous hemangioma of retina	http://purl.obolibrary.org/obo/MONDO_0003155	cavernous hemangioma	http://purl.obolibrary.org/obo/UBERON_0000966	retina
http://purl.obolibrary.org/obo/MONDO_0002031	cecal disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/MONDO_0004914	celiac artery stenosis from compression by median arcuate ligament of diaphragm	http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease	http://purl.obolibrary.org/obo/UBERON_0015215	median arcuate ligament
http://purl.obolibrary.org/obo/MONDO_0002602	central nervous system disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0003241	central nervous system hemangioma	http://purl.obolibrary.org/obo/MONDO_0006500	hemangioma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0003943	central nervous system hibernoma	http://purl.obolibrary.org/obo/MONDO_0021168	hibernoma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0024619	central nervous system infectious disorder	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0003844	central nervous system lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0005696	central nervous system tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0003346	central nervous system vasculitis	http://purl.obolibrary.org/obo/MONDO_0018882	vasculitis	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0002427	cerebellar disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/MONDO_0003901	cerebellar hemangioblastoma	http://purl.obolibrary.org/obo/MONDO_0016748	hemangioblastoma	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/MONDO_0044996	cerebral cortex disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex
http://purl.obolibrary.org/obo/MONDO_0003948	cerebral hemangioma	http://purl.obolibrary.org/obo/MONDO_0006500	hemangioma	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/MONDO_0003843	cerebral hemisphere lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0001869	cerebral hemisphere
http://purl.obolibrary.org/obo/MONDO_0005625	cerebral malaria	http://purl.obolibrary.org/obo/MONDO_0005136	malaria	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0019213	cerebral organic aciduria	http://purl.obolibrary.org/obo/MONDO_0000688	inborn organic aciduria	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0001706	cerebral sarcoidosis	http://purl.obolibrary.org/obo/MONDO_0019338	sarcoidosis	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/MONDO_0044343	cervical disc degenerative disorder	http://purl.obolibrary.org/obo/MONDO_0011385	intervertebral disc degenerative disorder	http://purl.obolibrary.org/obo/UBERON_0006072	cervical region of vertebral column
http://purl.obolibrary.org/obo/MONDO_0006142	cervical small cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0000402	small cell carcinoma	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/MONDO_0002256	cervix disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/MONDO_0003933	chest wall bone cancer	http://purl.obolibrary.org/obo/MONDO_0002129	bone cancer	http://purl.obolibrary.org/obo/UBERON_0016435	chest wall
http://purl.obolibrary.org/obo/MONDO_0000971	chest wall lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0016435	chest wall
http://purl.obolibrary.org/obo/MONDO_0006699	choledocholithiasis	http://purl.obolibrary.org/obo/MONDO_0005346	gallstones	http://purl.obolibrary.org/obo/UBERON_0001174	common bile duct
http://purl.obolibrary.org/obo/MONDO_0004085	choroid epithelioid cell melanoma	http://purl.obolibrary.org/obo/MONDO_0002973	epithelioid cell melanoma	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0003913	choroid mixed cell melanoma	http://purl.obolibrary.org/obo/MONDO_0003910	mixed cell uveal melanoma	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0003745	choroid spindle cell melanoma	http://purl.obolibrary.org/obo/MONDO_0006427	spindle cell melanoma	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0002970	ciliary body disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/MONDO_0004086	ciliary body epithelioid cell melanoma	http://purl.obolibrary.org/obo/MONDO_0002973	epithelioid cell melanoma	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/MONDO_0003911	ciliary body mixed cell melanoma	http://purl.obolibrary.org/obo/MONDO_0003910	mixed cell uveal melanoma	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/MONDO_0003746	ciliary body spindle cell melanoma	http://purl.obolibrary.org/obo/MONDO_0006427	spindle cell melanoma	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/MONDO_0003850	clivus chondroid chordoma	http://purl.obolibrary.org/obo/MONDO_0006145	chondroid chordoma	http://purl.obolibrary.org/obo/UBERON_0004108	clivus of occipital bone
http://purl.obolibrary.org/obo/MONDO_0003849	clivus chordoma	http://purl.obolibrary.org/obo/MONDO_0008978	chordoma	http://purl.obolibrary.org/obo/UBERON_0004108	clivus of occipital bone
http://purl.obolibrary.org/obo/MONDO_0003452	cochlear disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001844	cochlea
http://purl.obolibrary.org/obo/MONDO_0002882	colon neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0019496	neuroendocrine neoplasm	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0003978	colon small cell neuroendocrine carcinoma	http://purl.obolibrary.org/obo/MONDO_0000402	small cell carcinoma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0004210	colonic L-cell glucagon-like peptide producing tumor	http://purl.obolibrary.org/obo/MONDO_0004211	L-cell glucagon-like peptide-producing neuroendocrine tumor	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0003409	colonic disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0001093	colonic lymphangioma	http://purl.obolibrary.org/obo/MONDO_0002013	lymphangioma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0003885	colorectal lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
http://purl.obolibrary.org/obo/MONDO_0015381	commissural lip fistula	http://purl.obolibrary.org/obo/MONDO_0015476	cysts and fistulae of the face and oral cavity	http://purl.obolibrary.org/obo/UBERON_1000011	labial commissure
http://purl.obolibrary.org/obo/MONDO_0002886	common bile duct disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001174	common bile duct
http://purl.obolibrary.org/obo/MONDO_0005449	conduction system disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002350	conducting system of heart
http://purl.obolibrary.org/obo/MONDO_0006170	conjunctival disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001811	conjunctiva
http://purl.obolibrary.org/obo/MONDO_0001174	conjunctival vascular disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0010366	conjunctival vasculature
http://purl.obolibrary.org/obo/MONDO_0000942	corneal disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MONDO_0023865	corneal infection	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MONDO_0004577	corneal ulcer	http://purl.obolibrary.org/obo/MONDO_0043839	ulcer disease	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MONDO_0005010	coronary artery disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001621	coronary artery
http://purl.obolibrary.org/obo/MONDO_0003845	corpus callosum lipoma	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/MONDO_0001625	corpus luteum cyst	http://purl.obolibrary.org/obo/MONDO_0003282	ovarian cyst	http://purl.obolibrary.org/obo/UBERON_0002512	corpus luteum
http://purl.obolibrary.org/obo/MONDO_0003569	cranial nerve neuropathy	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0034713	cranial neuron projection bundle
http://purl.obolibrary.org/obo/MONDO_0004186	cranial nodular fasciitis	http://purl.obolibrary.org/obo/MONDO_0004187	nodular fasciitis	http://purl.obolibrary.org/obo/UBERON_0003128	cranium
http://purl.obolibrary.org/obo/MONDO_0004215	cutaneous anthrax	http://purl.obolibrary.org/obo/MONDO_0005119	anthrax infection	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0045038	cutaneous basidiobolomycosis	http://purl.obolibrary.org/obo/MONDO_0000302	basidiobolomycosis	http://purl.obolibrary.org/obo/UBERON_0002416	integumental system
http://purl.obolibrary.org/obo/MONDO_0000879	cutaneous candidiasis	http://purl.obolibrary.org/obo/MONDO_0002026	candidiasis	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0005446	cutaneous leishmaniasis	http://purl.obolibrary.org/obo/MONDO_0011989	leishmaniasis	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma	http://purl.obolibrary.org/obo/MONDO_0005105	melanoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0000254	cutaneous mycosis	http://purl.obolibrary.org/obo/MONDO_0002041	fungal infectious disease	http://purl.obolibrary.org/obo/UBERON_0002416	integumental system
http://purl.obolibrary.org/obo/MONDO_0021948	cutaneous tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0002141	cutaneous undifferentiated pleomorphic sarcoma	http://purl.obolibrary.org/obo/MONDO_0002142	undifferentiated pleomorphic sarcoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0024284	demodicidosis of sebaceous gland	http://purl.obolibrary.org/obo/MONDO_0017280	demodicidosis	http://purl.obolibrary.org/obo/UBERON_0001821	sebaceous gland
http://purl.obolibrary.org/obo/MONDO_0003394	dental pulp disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001754	dental pulp
http://purl.obolibrary.org/obo/MONDO_0002967	dermatophytosis of scalp or beard	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis	http://purl.obolibrary.org/obo/UBERON_0000403	scalp
http://purl.obolibrary.org/obo/MONDO_0021154	dermis disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0002067	dermis
http://purl.obolibrary.org/obo/MONDO_0005728	diaphragm disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm
http://purl.obolibrary.org/obo/MONDO_0015384	digestive duplication cyst of the tongue	http://purl.obolibrary.org/obo/MONDO_0015476	cysts and fistulae of the face and oral cavity	http://purl.obolibrary.org/obo/UBERON_0001723	tongue
http://purl.obolibrary.org/obo/MONDO_0004335	digestive system disorder	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder	http://purl.obolibrary.org/obo/UBERON_0005409	alimentary part of gastrointestinal system
http://purl.obolibrary.org/obo/MONDO_0043424	digestive system infectious disorder	http://purl.obolibrary.org/obo/MONDO_0005550	infectious disease	http://purl.obolibrary.org/obo/UBERON_0005409	alimentary part of gastrointestinal system
http://purl.obolibrary.org/obo/MONDO_0045070	digestive system melanoma	http://purl.obolibrary.org/obo/MONDO_0005105	melanoma	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system
