iri,label,location,location label
,pupil disease,UBERON:0001771,pupil
,retinal disease,UBERON:0000966,retina
,salivary gland disease,UBERON:0001044,saliva-secreting gland
,sebaceous gland disease,UBERON:0001821,sebaceous gland
,sinoatrial node disease,UBERON:0002351,sinoatrial node
,spinal cord disease,UBERON:0002240,spinal cord
,spinal disease,UBERON:0001130,vertebral column
,splenic disease,UBERON:0002106,spleen
,stomach disease,UBERON:0000945,stomach
,submandibular gland disease,UBERON:0001736,submandibular gland
,sweat gland disease,UBERON:0001820,sweat gland
,third cranial nerve disease,UBERON:0001643,oculomotor nerve
,thymus gland disease,UBERON:0002370,thymus
,thyroid gland disease,UBERON:0002046,thyroid gland
,tibial nerve palsy,UBERON:0001323,tibial nerve
,tongue disease,UBERON:0001723,tongue
,tooth disease,UBERON:0001091,calcareous tooth
,tricuspid valve disease,UBERON:0002134,tricuspid valve
,trigeminal nerve disease,UBERON:0001645,trigeminal nerve
,trochlear nerve disease,UBERON:0001644,trochlear nerve
,tympanic membrane disease,UBERON:0002364,tympanic membrane
,upper respiratory tract disease,UBERON:0001557,upper respiratory tract
,urethral disease,UBERON:0000057,urethra
,vein disease,UBERON:0001638,vein
,vestibulocochlear nerve disease,UBERON:0001648,vestibulocochlear nerve
,visual cortex disease,UBERON:0000411,visual cortex
,vitreous disease,UBERON:0001797,vitreous humor
