iri	label	location	location label
DOID:365	bladder disease	UBERON:0001255	urinary bladder
DOID:367	olfactory nerve disease	UBERON:0001579	olfactory nerve
DOID:379	external ear disease	UBERON:0001691	external ear
DOID:3952	adrenal cortex disease	UBERON:0001235	adrenal cortex
DOID:403	mouth disease	UBERON:0000165	mouth
DOID:4079	heart valve disease	UBERON:0000946	cardial valve
DOID:409	liver disease	UBERON:0002107	liver
DOID:4123	nail disease	UBERON:0001705	nail
DOID:4137	common bile duct disease	UBERON:0001174	common bile duct
DOID:4138	bile duct disease	UBERON:0002394	bile duct
DOID:421	hair disease	UBERON:0001037	strand of hair
DOID:4353	ciliary body disease	UBERON:0001775	ciliary body
DOID:439	neuromuscular junction disease	UBERON:0001029	obsolete neuromuscular junction
DOID:47	prostate disease	UBERON:0002367	prostate gland
DOID:48	male reproductive system disease	UBERON:0000079	male reproductive system
DOID:4961	bone marrow disease	UBERON:0002371	bone marrow
DOID:50	thyroid gland disease	UBERON:0002046	thyroid gland
DOID:5100	middle ear disease	UBERON:0001756	middle ear
DOID:53	pituitary gland disease	UBERON:0000007	pituitary gland
DOID:530	eyelid disease	UBERON:0001711	eyelid
DOID:533	thymus gland disease	UBERON:0002370	thymus
DOID:5330	dental pulp disease	UBERON:0001754	dental pulp
DOID:557	kidney disease	UBERON:0002113	kidney
DOID:561	trigeminal nerve disease	UBERON:0001645	trigeminal nerve
DOID:5614	eye disease	UBERON:0000970	eye
DOID:562	third cranial nerve disease	UBERON:0001643	oculomotor nerve
DOID:5679	retinal disease	UBERON:0000966	retina
DOID:5691	visual cortex disease	UBERON:0000411	visual cortex
DOID:574	peripheral nervous system disease	UBERON:0000010	peripheral nervous system
DOID:5749	pulmonary valve disease	UBERON:0002146	pulmonary valve
DOID:5782	tympanic membrane disease	UBERON:0002364	tympanic membrane
DOID:6050	esophageal disease	UBERON:0001043	esophagus
DOID:61	mitral valve disease	UBERON:0002135	mitral valve
DOID:62	aortic valve disease	UBERON:0002137	aortic valve
DOID:6227	articular cartilage disease	UBERON:0010996	articular cartilage of joint
DOID:65	connective tissue disease	UBERON:0002384	connective tissue
DOID:66	muscle tissue disease	UBERON:0002385	muscle tissue
DOID:679	basal ganglia disease	UBERON:0010011	collection of basal ganglia
DOID:732	urethral disease	UBERON:0000057	urethra
DOID:74	hematopoietic system disease	UBERON:0002390	hematopoietic system
DOID:75	lymphatic system disease	UBERON:0006558	lymphatic part of lymphoid system
DOID:76	stomach disease	UBERON:0000945	stomach
DOID:77	gastrointestinal system disease	UBERON:0005409	alimentary part of gastrointestinal system
DOID:780	placenta disease	UBERON:0001987	placenta
DOID:850	lung disease	UBERON:0002048	lung
DOID:866	vein disease	UBERON:0001638	vein
DOID:9098	sebaceous gland disease	UBERON:0001821	sebaceous gland
DOID:9111	cutaneous leishmaniasis	UBERON:0001003	skin epidermis
DOID:9297	lip disease	UBERON:0001833	lip
DOID:936	brain disease	UBERON:0000955	brain
DOID:9500	leukocyte disease	CL:0000738	leukocyte
DOID:9553	adrenal gland disease	UBERON:0002369	adrenal gland
DOID:9720	vitreous disease	UBERON:0001797	vitreous humor
DOID:974	upper respiratory tract disease	UBERON:0001557	upper respiratory tract
DOID:9741	biliary tract disease	UBERON:0001173	biliary tree
DOID:9942	lymph node disease	UBERON:0000029	lymph node
