iri	iri label	location	location label
MONDO:0006346	pancreatic acinar cell carcinoma	CL:0002064	pancreatic acinar cell
MONDO:0005893	pancreatic endocrine carcinoma	UBERON:0000016	endocrine pancreas
MONDO:0012004	parathyroid gland carcinoma	UBERON:0001132	parathyroid gland
MONDO:0006360	penile carcinoma	UBERON:0000989	penis
MONDO:0002113	peritoneal carcinoma	UBERON:0002358	peritoneum
MONDO:0005159	prostate carcinoma	UBERON:0002367	prostate gland
MONDO:0002424	rectosigmoid carcinoma	UBERON:0036214	rectosigmoid junction
MONDO:0005206	renal carcinoma	UBERON:0002113	kidney
MONDO:0001502	retroperitoneum carcinoma	UBERON:0003693	retroperitoneal space
MONDO:0000521	salivary gland carcinoma	UBERON:0001044	saliva-secreting gland
MONDO:0002650	scrotal carcinoma	UBERON:0001300	scrotum
MONDO:0006973	skin appendage carcinoma	UBERON:0000021	cutaneous appendage
MONDO:0002656	skin carcinoma	UBERON:0000014	zone of skin
MONDO:0005522	small intestine carcinoma	UBERON:0002108	small intestine
MONDO:0004358	subglottis carcinoma	UBERON:0036068	subglottis
MONDO:0021070	sublingual gland carcinoma	UBERON:0001832	sublingual gland
MONDO:0005524	sweat gland carcinoma	UBERON:0001820	sweat gland
MONDO:0006451	thymic carcinoma	UBERON:0002370	thymus
MONDO:0015075	thyroid carcinoma (disease)	UBERON:0002046	thyroid gland
MONDO:0003184	trachea carcinoma	UBERON:0003126	trachea
MONDO:0006474	transitional cell carcinoma	CL:0000731	urothelial cell
MONDO:0006481	ureter carcinoma	UBERON:0000056	ureter
MONDO:0005213	uterine carcinoma	UBERON:0000995	uterus
MONDO:0015867	vaginal carcinoma	UBERON:0000996	vagina
MONDO:0006490	vaginal squamous cell carcinoma	CL:1001578	vagina squamous cell
MONDO:0005215	vulvar carcinoma	UBERON:0000997	mammalian vulva
