iri	iri label	disease	disease label	location	location label
MONDO:0002817	adrenal gland cancer	MONDO:0004992	cancer	UBERON:0002369	adrenal gland
MONDO:0005495	adrenal gland disease	MONDO:0000001	disease	UBERON:0002369	adrenal gland
MONDO:0004477	adrenal gland ganglioneuroblastoma	MONDO:0005035	ganglioneuroblastoma (disease)	UBERON:0002369	adrenal gland
MONDO:0006076	adrenal gland neuroblastoma	MONDO:0005072	neuroblastoma	UBERON:0002369	adrenal gland
MONDO:0003606	adrenal medulla cancer	MONDO:0004992	cancer	UBERON:0001236	adrenal medulla
MONDO:0004202	adrenal medulla carcinoma	MONDO:0004993	carcinoma	UBERON:0001236	adrenal medulla
MONDO:0006077	adrenal medullary hyperplasia	MONDO:0005043	hyperplasia	UBERON:0001236	adrenal medulla
MONDO:0002138	allergic contact dermatitis of eyelid	MONDO:0006525	allergic contact dermatitis	UBERON:0001711	eyelid
MONDO:0001752	alveolar periostitis	MONDO:0004553	extrinsic allergic alveolitis	UBERON:0001708	jaw skeleton
MONDO:0002670	ampulla of vater adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0003553	ampulla of vater adenosquamous carcinoma	MONDO:0006074	adenosquamous carcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0000919	ampulla of vater cancer	MONDO:0004992	cancer	UBERON:0004913	hepatopancreatic ampulla
MONDO:0003388	ampulla of vater clear cell adenocarcinoma	MONDO:0005004	clear cell adenocarcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0002736	ampulla of vater mucinous adenocarcinoma	MONDO:0004957	mucinous adenocarcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0000921	ampulla of vater neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0004913	hepatopancreatic ampulla
MONDO:0004117	ampulla of vater small cell carcinoma	MONDO:0000402	small cell carcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0003490	ampulla of vater squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0004913	hepatopancreatic ampulla
MONDO:0002651	anal Paget's disease	MONDO:0002648	mammary Paget's disease	UBERON:0001245	anus
MONDO:0004468	anal canal Paget's disease	MONDO:0002648	mammary Paget's disease	UBERON:0000159	anal canal
MONDO:0002735	anal canal adenocarcinoma (disease)	MONDO:0004970	adenocarcinoma	UBERON:0000159	anal canal
MONDO:0000405	anal canal cancer	MONDO:0004992	cancer	UBERON:0000159	anal canal
MONDO:0007108	anal canal carcinoma	MONDO:0004993	carcinoma	UBERON:0000159	anal canal
MONDO:0004132	anal canal squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0000159	anal canal
MONDO:0003199	anal carcinoma	MONDO:0004993	carcinoma	UBERON:0001245	anus
MONDO:0004707	anal carcinoma in situ	MONDO:0004647	in situ carcinoma	UBERON:0000159	anal canal
MONDO:0002734	anal colloid adenocarcinoma	MONDO:0004957	mucinous adenocarcinoma	UBERON:0001245	anus
MONDO:0002940	anal margin basal cell carcinoma	MONDO:0005341	skin basal cell carcinoma	UBERON:0012336	perianal skin
MONDO:0002941	anal margin carcinoma	MONDO:0004993	carcinoma	UBERON:0012336	perianal skin
MONDO:0001470	anal margin squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0012336	perianal skin
MONDO:0003504	anal neuroendocrine tumor	MONDO:0019496	neuroendocrine tumor	UBERON:0001245	anus
MONDO:0001138	angiodysplasia of intestine	MONDO:0002322	angiodysplasia	UBERON:0000160	intestine
MONDO:0004882	angioid streaks of choroid	MONDO:0011782	angioid streaks	UBERON:0001776	optic choroid
MONDO:0000741	angular cheilitis	MONDO:0002102	cheilitis	UBERON:0018149	angle of oral opening
MONDO:0002997	anterior cranial fossa meningioma	MONDO:0016642	meningioma (disease)	UBERON:0003720	anterior cranial fossa
MONDO:0003182	anterior horn disease	MONDO:0000001	disease	UBERON:0002257	ventral horn of spinal cord
MONDO:0006650	anterior spinal artery syndrome	MONDO:0002254	syndromic disease	UBERON:0005431	anterior spinal artery
MONDO:0002652	anus adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0001245	anus
MONDO:0004130	anus basaloid carcinoma	MONDO:0003486	basaloid squamous cell carcinoma	UBERON:0001245	anus
MONDO:0001879	anus cancer	MONDO:0004992	cancer	UBERON:0001245	anus
MONDO:0002519	anus disease	MONDO:0000001	disease	UBERON:0001245	anus
MONDO:0003292	anus leiomyoma	MONDO:0001572	leiomyoma	UBERON:0001245	anus
MONDO:0003358	anus leiomyosarcoma	MONDO:0005058	leiomyosarcoma	UBERON:0001245	anus
MONDO:0001888	anus lymphoma	MONDO:0005062	lymphoma	UBERON:0001245	anus
MONDO:0002864	anus rhabdomyosarcoma	MONDO:0005212	rhabdomyosarcoma (disease)	UBERON:0001245	anus
MONDO:0002865	anus sarcoma	MONDO:0005089	sarcoma	UBERON:0001245	anus
MONDO:0003023	aorta angiosarcoma	MONDO:0016982	angiosarcoma (disease)	UBERON:0000947	aorta
MONDO:0005561	aortic disease	MONDO:0000001	disease	UBERON:0000947	aorta
MONDO:0003803	aortic valve disease	MONDO:0000001	disease	UBERON:0002137	aortic valve
MONDO:0003214	apocrine adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0008974	apocrine gland
MONDO:0003215	apocrine sweat gland cancer	MONDO:0004992	cancer	UBERON:0000382	apocrine sweat gland
MONDO:0001236	appendiceal neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0001154	vermiform appendix
MONDO:0006087	appendix adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0001154	vermiform appendix
MONDO:0006088	appendix adenoma	MONDO:0004972	adenoma	UBERON:0001154	vermiform appendix
MONDO:0001235	appendix cancer	MONDO:0004992	cancer	UBERON:0001154	vermiform appendix
MONDO:0000526	appendix carcinoid tumor	MONDO:0005369	carcinoid tumor (disease)	UBERON:0001154	vermiform appendix
MONDO:0003196	appendix carcinoma	MONDO:0004993	carcinoma	UBERON:0001154	vermiform appendix
MONDO:0003300	appendix leiomyoma	MONDO:0001572	leiomyoma	UBERON:0001154	vermiform appendix
MONDO:0001237	appendix lymphoma	MONDO:0005062	lymphoma	UBERON:0001154	vermiform appendix
MONDO:0002703	appendix mucinous cystadenocarcinoma	MONDO:0005858	mucinous cystadenocarcinoma	UBERON:0001154	vermiform appendix
MONDO:0000473	artery disease	MONDO:0000001	disease	UBERON:0001637	artery
MONDO:0003816	articular cartilage disease	MONDO:0000001	disease	UBERON:0010996	articular cartilage of joint
MONDO:0004637	aryepiglottic fold cancer	MONDO:0004992	cancer	UBERON:0014385	aryepiglottic fold
MONDO:0002238	ascending colon cancer	MONDO:0004992	cancer	UBERON:0001156	ascending colon
MONDO:0019781	astrocytoma	MONDO:0015917	malignant glioma	CL:0000127	astrocyte
MONDO:0002004	atheroembolism of kidney	MONDO:0005568	cholesterol embolism	UBERON:0002113	kidney
MONDO:0005476	atrioventricular node disease	MONDO:0000001	disease	UBERON:0002352	atrioventricular node
MONDO:0004532	auditory system cancer	MONDO:0004992	cancer	UBERON:0016490	auditory system
MONDO:0002409	auditory system disease	MONDO:0000001	disease	UBERON:0016490	auditory system
MONDO:0000602	autoimmune disease of blood	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0000178	blood
MONDO:0000603	autoimmune disease of cardiovascular system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0004535	cardiovascular system
MONDO:0000568	autoimmune disease of central nervous system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0001017	central nervous system
MONDO:0000569	autoimmune disease of endocrine system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0000949	endocrine system
MONDO:0000586	autoimmune disease of exocrine system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0002330	exocrine system
MONDO:0000588	autoimmune disease of gastrointestinal tract	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0005409	alimentary part of gastrointestinal system
MONDO:0000589	autoimmune disease of musculoskeletal system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0002204	musculoskeletal system
MONDO:0000590	autoimmune disease of peripheral nervous system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0000010	peripheral nervous system
MONDO:0000593	autoimmune disease of skin and connective tissue	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0002199	integument
MONDO:0002977	autoimmune disease of the nervous system	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0001016	nervous system
MONDO:0000601	autoimmune disease of urogenital tract	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0004122	genitourinary system
MONDO:0017841	autoimmune disease with skin involvement	MONDO:0007179	hypersensitivity reaction type II disease	UBERON:0002097	skin of body
MONDO:0001292	autonomic nervous system disease	MONDO:0000001	disease	UBERON:0002410	autonomic nervous system
MONDO:0002366	autonomic nervous system neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0002410	autonomic nervous system
MONDO:0000604	autonomic peripheral neuropathy	MONDO:0005244	peripheral neuropathy	UBERON:0002410	autonomic nervous system
MONDO:0000974	axillary lipoma	MONDO:0005106	lipoma	UBERON:0009472	axilla
MONDO:0003070	axillary lymphadenitis	MONDO:0002052	lymphadenitis (disease)	UBERON:0009472	axilla
MONDO:0004183	axonal neuropathy	MONDO:0005244	peripheral neuropathy	GO:0030424	axon
MONDO:0021114	bartholin gland neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0000460	major vestibular gland
MONDO:0015551	basal epidermolysis bullosa simplex	MONDO:0017610	epidermolysis bullosa simplex	UBERON:0002025	stratum basale of epidermis
MONDO:0006505	basal ganglia cerebrovascular disease	MONDO:0011057	cerebrovascular disorder	UBERON:0010011	collection of basal ganglia
MONDO:0003996	basal ganglia disease	MONDO:0000001	disease	UBERON:0010011	collection of basal ganglia
MONDO:0004091	basaloid squamous cell skin carcinoma	MONDO:0003486	basaloid squamous cell carcinoma	UBERON:0000014	zone of skin
MONDO:0002250	basilar artery insufficiency	MONDO:0002254	syndromic disease	UBERON:0001633	basilar artery
MONDO:0006105	benign conjunctival neoplasm	MONDO:0005165	benign neoplasm	UBERON:0001811	conjunctiva
MONDO:0000385	benign digestive system neoplasm	MONDO:0005165	benign neoplasm	UBERON:0005409	alimentary part of gastrointestinal system
MONDO:0000627	benign endocrine neoplasm	MONDO:0005165	benign neoplasm	UBERON:0002368	endocrine gland
MONDO:0002354	benign laryngeal neoplasm	MONDO:0005165	benign neoplasm	UBERON:0001737	larynx
MONDO:0004432	benign pericardial teratoma	MONDO:0003517	mature teratoma	UBERON:0002407	pericardium
MONDO:0002112	benign peritoneal mesothelioma	MONDO:0002373	benign mesothelioma	UBERON:0002358	peritoneum
MONDO:0006106	benign smooth muscle neoplasm	MONDO:0005165	benign neoplasm	UBERON:0001135	smooth muscle tissue
MONDO:0006107	benign thyroid gland neoplasm	MONDO:0005165	benign neoplasm	UBERON:0002046	thyroid gland
MONDO:0004177	benign urethral neoplasm	MONDO:0005165	benign neoplasm	UBERON:0000057	urethra
MONDO:0004180	benign urinary system neoplasm	MONDO:0005165	benign neoplasm	UBERON:0001008	renal system
MONDO:0000647	benign vaginal neoplasm	MONDO:0000624	female reproductive organ benign neoplasm	UBERON:0000996	vagina
MONDO:0003193	bile duct adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0002394	bile duct
MONDO:0006108	bile duct adenoma	MONDO:0004972	adenoma	UBERON:0002394	bile duct
MONDO:0003059	bile duct cancer	MONDO:0004992	cancer	UBERON:0002394	bile duct
MONDO:0005496	bile duct carcinoma	MONDO:0004993	carcinoma	UBERON:0002394	bile duct
MONDO:0000374	bile duct carcinoma in situ	MONDO:0004647	in situ carcinoma	UBERON:0002394	bile duct
MONDO:0004081	bile duct clear cell adenocarcinoma	MONDO:0005004	clear cell adenocarcinoma	UBERON:0002394	bile duct
MONDO:0002868	bile duct cystadenocarcinoma	MONDO:0005596	cystadenocarcinoma	UBERON:0002394	bile duct
MONDO:0003420	bile duct cystadenoma	MONDO:0002369	cystadenoma	UBERON:0002394	bile duct
MONDO:0002887	bile duct disease	MONDO:0000001	disease	UBERON:0002394	bile duct
MONDO:0002739	bile duct mucinous adenocarcinoma	MONDO:0004957	mucinous adenocarcinoma	UBERON:0002394	bile duct
MONDO:0003089	bile duct mucoepidermoid carcinoma	MONDO:0003036	mucoepidermoid carcinoma	UBERON:0002394	bile duct
MONDO:0003455	bile duct papillary neoplasm	MONDO:0021096	papillary epithelial neoplasm	UBERON:0002394	bile duct
MONDO:0002577	bile duct rhabdomyosarcoma	MONDO:0005212	rhabdomyosarcoma (disease)	UBERON:0002394	bile duct
MONDO:0002862	bile duct sarcoma	MONDO:0005089	sarcoma	UBERON:0002394	bile duct
MONDO:0002664	bile duct signet ring cell carcinoma	MONDO:0005092	signet ring cell carcinoma	UBERON:0002394	bile duct
MONDO:0003060	biliary tract cancer	MONDO:0004992	cancer	UBERON:0001173	biliary tree
MONDO:0004868	biliary tract disease	MONDO:0000001	disease	UBERON:0001173	biliary tree
MONDO:0002751	bladder adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0001255	urinary bladder
MONDO:0000384	bladder benign neoplasm	MONDO:0005165	benign neoplasm	UBERON:0001255	urinary bladder
MONDO:0004986	bladder carcinoma (disease)	MONDO:0004993	carcinoma	UBERON:0001255	urinary bladder
MONDO:0004703	bladder carcinoma in situ	MONDO:0004647	in situ carcinoma	UBERON:0001255	urinary bladder
MONDO:0003386	bladder clear cell adenocarcinoma	MONDO:0005004	clear cell adenocarcinoma	UBERON:0001255	urinary bladder
MONDO:0006026	bladder disease	MONDO:0000001	disease	UBERON:0001255	urinary bladder
MONDO:0001380	bladder dome cancer	MONDO:0004992	cancer	UBERON:0006082	fundus of urinary bladder
MONDO:0001634	bladder leiomyoma	MONDO:0001572	leiomyoma	UBERON:0001255	urinary bladder
MONDO:0001381	bladder lymphoma	MONDO:0005062	lymphoma	UBERON:0001255	urinary bladder
MONDO:0001372	bladder neck cancer	MONDO:0004992	cancer	UBERON:0001258	neck of urinary bladder
MONDO:0004056	bladder papillary urothelial carcinoma	MONDO:0006350	papillary transitional cell carcinoma	UBERON:0001255	urinary bladder
MONDO:0003442	bladder papillary urothelial neoplasm	MONDO:0021096	papillary epithelial neoplasm	UBERON:0004645	urinary bladder urothelium
MONDO:0001374	bladder sarcoma	MONDO:0005089	sarcoma	UBERON:0001255	urinary bladder
MONDO:0003891	bladder signet ring cell adenocarcinoma	MONDO:0005092	signet ring cell carcinoma	UBERON:0001255	urinary bladder
MONDO:0002760	bladder squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0001255	urinary bladder
MONDO:0005611	bladder transitional cell carcinoma	MONDO:0006474	transitional cell carcinoma	UBERON:0001255	urinary bladder
MONDO:0001375	bladder trigone cancer	MONDO:0004992	cancer	UBERON:0001257	trigone of urinary bladder
MONDO:0004987	bladder tumor	MONDO:0005070	neoplasm (disease)	UBERON:0001255	urinary bladder
MONDO:0004331	bladder urachal adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0002068	urachus
MONDO:0002759	bladder verrucous carcinoma	MONDO:0006006	verrucous carcinoma	UBERON:0001255	urinary bladder
MONDO:0021080	blood vessel neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0001981	blood vessel
MONDO:0000513	bone ameloblastoma	MONDO:0017795	ameloblastoma	UBERON:0002481	bone tissue
MONDO:0000631	bone benign neoplasm	MONDO:0005165	benign neoplasm	UBERON:0002481	bone tissue
MONDO:0002129	bone cancer	MONDO:0004992	cancer	UBERON:0004765	skeletal element
MONDO:0002415	bone carcinoma	MONDO:0004993	carcinoma	UBERON:0001474	bone element
MONDO:0000515	bone chondrosarcoma	MONDO:0008977	chondrosarcoma (disease)	UBERON:0002481	bone tissue
MONDO:0005497	bone development disease	MONDO:0000001	disease	GO:0060348	bone development
MONDO:0005381	bone disease	MONDO:0000001	disease	UBERON:0001474	bone element
MONDO:0021138	bone marrow cancer	MONDO:0004992	cancer	UBERON:0002371	bone marrow
MONDO:0003225	bone marrow disease	MONDO:0000001	disease	UBERON:0002371	bone marrow
MONDO:0005374	bone marrow neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0002371	bone marrow
MONDO:0000514	bone squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0002481	bone tissue
MONDO:0006682	brachial plexus neuritis	MONDO:0002122	neuritis	UBERON:0001814	brachial nerve plexus
MONDO:0006683	brachial plexus neuropathy	MONDO:0005244	peripheral neuropathy	UBERON:0001814	brachial nerve plexus
MONDO:0001657	brain cancer	MONDO:0004992	cancer	UBERON:0000955	brain
MONDO:0005560	brain disease	MONDO:0000001	disease	UBERON:0000955	brain
MONDO:0002214	brain germinoma	MONDO:0002598	germinoma (disease)	UBERON:0000955	brain
MONDO:0002501	brain glioblastoma multiforme	MONDO:0002498	glioblastoma multiforme (disease)	UBERON:0000955	brain
MONDO:0005499	brain glioma	MONDO:0015917	malignant glioma	UBERON:0000955	brain
MONDO:0005299	brain ischemia	MONDO:0005053	ischemia	UBERON:0000955	brain
MONDO:0000642	brain meningioma	MONDO:0016642	meningioma (disease)	UBERON:0000955	brain
MONDO:0002544	brain oligodendroglioma	MONDO:0016695	oligodendroglioma	UBERON:0000955	brain
MONDO:0002216	brain sarcoma	MONDO:0005089	sarcoma	UBERON:0000955	brain
MONDO:0003902	brain stem angioblastoma	MONDO:0016748	hemangioblastoma	UBERON:0002298	brainstem
MONDO:0003173	brain stem astrocytic neoplasm	MONDO:0019781	astrocytoma	UBERON:0002298	brainstem
MONDO:0002912	brain stem cancer	MONDO:0004992	cancer	UBERON:0002298	brainstem
MONDO:0002911	brain stem glioma	MONDO:0015917	malignant glioma	UBERON:0002298	brainstem
MONDO:0000517	brain stem medulloblastoma	MONDO:0007959	medulloblastoma	UBERON:0002298	brainstem
MONDO:0004988	breast adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0000310	breast
MONDO:0002058	breast adenoma	MONDO:0004972	adenoma	UBERON:0000310	breast
MONDO:0003024	breast angiosarcoma	MONDO:0016982	angiosarcoma (disease)	UBERON:0000310	breast
MONDO:0004273	breast apocrine adenoma	MONDO:0002804	apocrine adenoma	UBERON:0000310	breast
MONDO:0003934	breast apocrine carcinoma	MONDO:0003214	apocrine adenocarcinoma	UBERON:0000310	breast
MONDO:0000620	breast benign neoplasm	MONDO:0005165	benign neoplasm	UBERON:0000310	breast
MONDO:0007254	breast cancer	MONDO:0004992	cancer	UBERON:0000310	breast
MONDO:0003896	breast capillary hemangioma	MONDO:0002407	capillary hemangioma	UBERON:0000310	breast
MONDO:0004989	breast carcinoma	MONDO:0004993	carcinoma	UBERON:0000310	breast
MONDO:0004658	breast carcinoma in situ	MONDO:0004647	in situ carcinoma	UBERON:0000310	breast
MONDO:0002657	breast disease	MONDO:0000001	disease	UBERON:0000310	breast
MONDO:0003897	breast epithelioid hemangioma	MONDO:0003119	histiocytoid hemangioma	UBERON:0000310	breast
MONDO:0021046	breast fibroepithelial neoplasm	MONDO:0021045	fibroepithelial neoplasm	UBERON:0000310	breast
MONDO:0003728	breast fibrosarcoma	MONDO:0005164	fibrosarcoma (disease)	UBERON:0000310	breast
MONDO:0002487	breast granular cell tumor	MONDO:0006235	granular cell tumor	UBERON:0000310	breast
MONDO:0003126	breast hemangioma	MONDO:0006500	hemangioma	UBERON:0000310	breast
MONDO:0003411	breast hemangiopericytoma	MONDO:0005094	spindle cell tumor	UBERON:0000310	breast
MONDO:0003959	breast large cell neuroendocrine carcinoma	MONDO:0005057	large cell neuroendocrine carcinoma	UBERON:0000310	breast
MONDO:0002057	breast leiomyoma	MONDO:0001572	leiomyoma	UBERON:0000310	breast
MONDO:0003371	breast leiomyosarcoma	MONDO:0005058	leiomyosarcoma	UBERON:0000310	breast
MONDO:0000970	breast lipoma	MONDO:0005106	lipoma	UBERON:0000310	breast
MONDO:0003593	breast liposarcoma	MONDO:0005060	liposarcoma	UBERON:0000310	breast
MONDO:0000552	breast lobular carcinoma	MONDO:0004993	carcinoma	UBERON:0001912	lobule of mammary gland
MONDO:0003661	breast lymphoma	MONDO:0005062	lymphoma	UBERON:0000310	breast
MONDO:0004420	breast malignant eccrine spiradenoma	MONDO:0004412	malignant spiradenoma	UBERON:0000310	breast
MONDO:0002705	breast mucinous cystadenocarcinoma	MONDO:0005858	mucinous cystadenocarcinoma	UBERON:0000310	breast
MONDO:0003087	breast mucoepidermoid carcinoma	MONDO:0003036	mucoepidermoid carcinoma	UBERON:0000310	breast
MONDO:0002483	breast myoepithelial tumor	MONDO:0002380	myoepithelial tumor	UBERON:0000310	breast
MONDO:0021100	breast neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0000310	breast
MONDO:0002485	breast neuroendocrine neoplasm	MONDO:0019496	neuroendocrine tumor	UBERON:0000310	breast
MONDO:0004360	breast osteosarcoma	MONDO:0009807	osteosarcoma (disease)	UBERON:0000310	breast
MONDO:0003532	breast papillary carcinoma	MONDO:0006509	papillary carcinoma	UBERON:0000310	breast
MONDO:0002063	breast papillomatosis	MONDO:0021098	papillomatosis	UBERON:0000310	breast
MONDO:0002859	breast rhabdomyosarcoma	MONDO:0005212	rhabdomyosarcoma (disease)	UBERON:0000310	breast
MONDO:0002490	breast sarcoma	MONDO:0005089	sarcoma	UBERON:0000310	breast
MONDO:0002671	breast signet ring cell adenocarcinoma	MONDO:0005092	signet ring cell carcinoma	UBERON:0000310	breast
MONDO:0001108	broad ligament malignant neoplasm	MONDO:0004992	cancer	UBERON:0012332	broad ligament of uterus
MONDO:0001358	bronchial disease	MONDO:0000001	disease	UBERON:0002185	bronchus
MONDO:0003427	bronchus adenoma	MONDO:0004972	adenoma	UBERON:0002185	bronchus
MONDO:0001672	bronchus cancer	MONDO:0004992	cancer	UBERON:0002185	bronchus
MONDO:0002806	bronchus carcinoma	MONDO:0004993	carcinoma	UBERON:0002185	bronchus
