iri	iri label	location	location label
MONDO:0000920	duodenum cancer	UBERON:0002114	duodenum
MONDO:0005506	eccrine sweat gland cancer	UBERON:0000423	eccrine sweat gland
MONDO:0003687	endocardium cancer	UBERON:0002165	endocardium
MONDO:0011962	endometrial cancer	UBERON:0001295	endometrium
MONDO:0003104	epicardium cancer	UBERON:0002348	epicardium
MONDO:0001016	epididymis cancer	UBERON:0001301	epididymis
MONDO:0004473	epiglottis cancer	UBERON:0000388	epiglottis
MONDO:0007576	esophageal cancer	UBERON:0001043	esophagus
MONDO:0001763	ethmoid sinus cancer	UBERON:0002453	ethmoid sinus
MONDO:0003574	external ear cancer	UBERON:0001691	external ear
MONDO:0002158	fallopian tube cancer	UBERON:0003889	fallopian tube
MONDO:0001416	female reproductive organ cancer	UBERON:0003134	female reproductive organ
MONDO:0004203	female urethral cancer	UBERON:0001334	female urethra
MONDO:0003505	femoral cancer	UBERON:0000981	femur
MONDO:0001756	frontal sinus cancer	UBERON:0001760	frontal sinus
MONDO:0005411	gallbladder cancer	UBERON:0002110	gall bladder
MONDO:0001056	gastric cancer	UBERON:0000945	stomach
MONDO:0001058	gastric fundus cancer	UBERON:0001160	fundus of stomach
MONDO:0005507	gingival cancer	UBERON:0001828	gingiva
MONDO:0001388	glans penis cancer	UBERON:0001299	glans penis
MONDO:0002351	glottis cancer	UBERON:0002486	glottis
MONDO:0004719	hard palate cancer	UBERON:0003216	hard palate
MONDO:0005627	head and neck malignant neoplasia	UBERON:0007811	craniocervical region
MONDO:0001340	heart cancer	UBERON:0000948	heart
MONDO:0002357	hepatic flexure cancer	UBERON:0022277	hepatic flexure of colon
MONDO:0000955	ileum cancer	UBERON:0002116	ileum
MONDO:0000621	immune system cancer	UBERON:0002405	immune system
MONDO:0003278	inner ear cancer	UBERON:0001846	internal ear
MONDO:0000653	integumentary system cancer	UBERON:0002416	integumental system
MONDO:0005814	intestinal cancer	UBERON:0000160	intestine
MONDO:0002658	iris cancer	UBERON:0001769	iris
MONDO:0004792	isthmus cancer	UBERON:0003052	midbrain-hindbrain boundary
MONDO:0002131	jaw cancer	UBERON:0001708	jaw skeleton
MONDO:0006815	jejunal cancer	UBERON:0002115	jejunum
MONDO:0002367	kidney cancer	UBERON:0002113	kidney
MONDO:0001526	labia minora cancer	UBERON:0004014	labium minora
MONDO:0001403	labium majus cancer	UBERON:0004085	labium majora
MONDO:0002464	lacrimal gland cancer	UBERON:0001817	lacrimal gland
MONDO:0003576	large intestine cancer	UBERON:0000059	large intestine
MONDO:0001691	laryngeal cartilage cancer	UBERON:0001739	laryngeal cartilage
MONDO:0002352	larynx cancer	UBERON:0001737	larynx
MONDO:0006834	lip cancer	UBERON:0001833	lip
MONDO:0002691	liver cancer	UBERON:0002107	liver
MONDO:0004713	lower gum cancer	UBERON:0011602	gingiva of lower jaw
MONDO:0004673	lower lip cancer	UBERON:0001835	lower lip
MONDO:0008903	lung cancer	UBERON:0002048	lung
MONDO:0004332	lung hilum cancer	UBERON:0004886	lung hilus
MONDO:0001082	lymph node cancer	UBERON:0000029	lymph node
MONDO:0000612	lymphatic system cancer	UBERON:0006558	lymphatic part of lymphoid system
MONDO:0002811	main bronchus cancer	UBERON:0002182	main bronchus
MONDO:0005836	male reproductive organ cancer	UBERON:0003135	male reproductive organ
MONDO:0004197	male urethral cancer	UBERON:0001333	male urethra
MONDO:0021063	malignant colon neoplasm	UBERON:0001155	colon
MONDO:0003363	malignant dermis tumor	UBERON:0002067	dermis
MONDO:0003277	malignant ear neoplasm	UBERON:0001690	ear
MONDO:0021069	malignant endocrine neoplasm	UBERON:0002368	endocrine gland
MONDO:0002116	malignant exocrine pancreas neoplasm	UBERON:0000017	exocrine pancreas
MONDO:0006290	malignant germ cell tumor	CL:0000586	germ cell
MONDO:0003340	malignant glomus tumor	UBERON:0004739	pronephric glomerulus
MONDO:0006291	malignant jugulotympanic paraganglioma	UBERON:0034972	jugular body
MONDO:0003762	malignant leptomeningeal tumor	UBERON:0000391	leptomeninx
MONDO:0000377	malignant leydig cell tumor	CL:0000178	Leydig cell
MONDO:0002432	malignant neoplasm of acoustic nerve	UBERON:0001648	vestibulocochlear nerve
MONDO:0002434	malignant oculomotor nerve tumor	UBERON:0001643	oculomotor nerve
MONDO:0009831	malignant pancreatic neoplasm	UBERON:0001264	pancreas
MONDO:0006294	malignant pleural neoplasm	UBERON:0000977	pleura
MONDO:0006519	malignant rectal neoplasm	UBERON:0001052	rectum
MONDO:0006295	malignant urinary system neoplasm	UBERON:0001008	renal system
MONDO:0005837	mandibular cancer	UBERON:0001684	mandible
MONDO:0001748	maxillary sinus cancer	UBERON:0001764	maxillary sinus
MONDO:0005843	mediastinal cancer	UBERON:0003728	mediastinum
MONDO:0003275	middle ear cancer	UBERON:0001756	middle ear
MONDO:0005864	muscle cancer	UBERON:0005090	muscle structure
MONDO:0000637	musculoskeletal system cancer	UBERON:0002204	musculoskeletal system
MONDO:0004749	myocardium cancer	UBERON:0002349	myocardium
MONDO:0001128	nasal cavity cancer	UBERON:0001707	nasal cavity
MONDO:0005872	nervous system cancer	UBERON:0001016	nervous system
MONDO:0002597	notochordal cancer	UBERON:0002328	notochord
MONDO:0002236	ocular cancer	UBERON:0000970	eye
MONDO:0005515	oral cavity cancer	UBERON:0000167	oral cavity
MONDO:0002889	orbital cancer	UBERON:0001697	orbit of skull
MONDO:0004608	oropharynx cancer	UBERON:0001729	oropharynx
MONDO:0008170	ovarian cancer	UBERON:0000992	ovary
MONDO:0001350	parametrium malignant neoplasm	UBERON:0010391	parametrium
MONDO:0000380	paranasal sinus cancer	UBERON:0001825	paranasal sinus
MONDO:0001869	paraurethral gland cancer	UBERON:0010145	paraurethral gland
MONDO:0001952	parietal lobe neoplasm	UBERON:0001872	parietal lobe
MONDO:0004700	parotid gland cancer	UBERON:0001831	parotid gland
MONDO:0001325	penile cancer	UBERON:0000989	penis
MONDO:0001322	pericardium cancer	UBERON:0002407	pericardium
MONDO:0021089	peripheral nervous system cancer	UBERON:0000010	peripheral nervous system
MONDO:0002087	peritoneum cancer	UBERON:0002358	peritoneum
MONDO:0005517	pharynx cancer	UBERON:0006562	pharynx
MONDO:0003249	pineal gland cancer	UBERON:0001905	pineal body
MONDO:0002178	placenta cancer	UBERON:0001987	placenta
MONDO:0002972	posterior mediastinum cancer	UBERON:0008822	posterior mediastinum
MONDO:0001653	prepuce cancer	UBERON:0011374	prepuce
MONDO:0008315	prostate cancer	UBERON:0002367	prostate gland
MONDO:0001062	pyloric antrum cancer	UBERON:0001165	pyloric antrum
MONDO:0001061	pylorus cancer	UBERON:0001166	pylorus
MONDO:0002425	rectosigmoid junction cancer	UBERON:0036214	rectosigmoid junction
MONDO:0005519	renal pelvis carcinoma	UBERON:0001224	renal pelvis
MONDO:0002149	reproductive organ cancer	UBERON:0003133	reproductive organ
MONDO:0000376	respiratory system cancer	UBERON:0001004	respiratory system
MONDO:0003072	retinal cancer	UBERON:0000966	retina
MONDO:0004338	retinal cell cancer	CL:0009004	retinal cell
MONDO:0001352	round ligament malignant neoplasm	UBERON:0006589	round ligament of uterus
MONDO:0004669	salivary gland cancer	UBERON:0001044	saliva-secreting gland
MONDO:0021112	scrotum cancer	UBERON:0001300	scrotum
MONDO:0000649	sensory system cancer	UBERON:0001032	sensory system
MONDO:0001464	sigmoid colon cancer	UBERON:0001159	sigmoid colon
MONDO:0002847	skeletal muscle cancer	UBERON:0014895	somatic muscle
MONDO:0002898	skin cancer	UBERON:0000014	zone of skin
MONDO:0002132	skull cancer	UBERON:0003129	skull
MONDO:0000956	small intestine cancer	UBERON:0002108	small intestine
MONDO:0004611	soft palate cancer	UBERON:0001733	soft palate
MONDO:0001654	spermatic cord cancer	UBERON:0005352	spermatic cord
MONDO:0001994	sphenoidal sinus cancer	UBERON:0001724	sphenoidal sinus
MONDO:0003544	spinal cord cancer	UBERON:0002240	spinal cord
MONDO:0004151	spinal meninges cancer	UBERON:0003292	meninx of spinal cord
MONDO:0005966	spleen cancer	UBERON:0002106	spleen
MONDO:0001463	splenic flexure cancer	UBERON:0022276	splenic flexure of colon
MONDO:0003273	sternum cancer	UBERON:0000975	sternum
MONDO:0001293	subglottis cancer	UBERON:0036068	subglottis
MONDO:0004667	sublingual gland cancer	UBERON:0001832	sublingual gland
MONDO:0004724	submandibular gland cancer	UBERON:0001736	submandibular gland
MONDO:0001724	supraglottis cancer	UBERON:0036263
MONDO:0002206	sweat gland cancer	UBERON:0001820	sweat gland
MONDO:0002403	synovium cancer	UBERON:0007616	layer of synovial tissue
MONDO:0002218	temporal lobe neoplasm	UBERON:0001871	temporal lobe
MONDO:0005447	testicular cancer	UBERON:0000473	testis
MONDO:0003766	thalamic cancer	UBERON:0001897	dorsal plus ventral thalamus
MONDO:0003274	thoracic cancer	UBERON:0000915	thoracic segment of trunk
MONDO:0002586	thymus cancer	UBERON:0002370	thymus
MONDO:0002108	thyroid cancer	UBERON:0002046	thyroid gland
MONDO:0004631	tongue cancer	UBERON:0001723	tongue
MONDO:0006998	tonsil cancer	UBERON:0002372	tonsil
MONDO:0004690	tonsillar fossa cancer	UBERON:0035228	tonsillar fossa
MONDO:0001407	tracheal cancer	UBERON:0003126	trachea
MONDO:0002361	transverse colon cancer	UBERON:0001157	transverse colon
MONDO:0004615	upper gum cancer	UBERON:0011601	gingiva of upper jaw
MONDO:0004621	upper lip cancer	UBERON:0001834	upper lip
MONDO:0001378	urachus cancer	UBERON:0002068	urachus
MONDO:0008627	ureter cancer	UBERON:0000056	ureter
MONDO:0001379	ureteric orifice cancer	UBERON:0012303	ureteral orifice
MONDO:0004192	urethra cancer	UBERON:0000057	urethra
MONDO:0001187	urinary bladder cancer	UBERON:0001255	urinary bladder
MONDO:0002715	uterine cancer	UBERON:0000995	uterus
MONDO:0006003	uterine corpus cancer	UBERON:0009853	body of uterus
MONDO:0003612	uterine ligament cancer	UBERON:0036262
MONDO:0002659	uveal cancer	UBERON:0001768	uvea
MONDO:0004624	uvula cancer	UBERON:0001734	palatine uvula
MONDO:0001402	vaginal cancer	UBERON:0000996	vagina
MONDO:0004607	vallecula cancer	UBERON:0013165	epiglottic vallecula
MONDO:0002095	vascular cancer	UBERON:0002012	pulmonary artery
MONDO:0001528	vulva cancer	UBERON:0000997	mammalian vulva
