iri,iri label,v0,v0 label
http://purl.obolibrary.org/obo/MONDO_0005595,laryngeal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001737,larynx
http://purl.obolibrary.org/obo/MONDO_0004394,maxillary sinus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001764,maxillary sinus
http://purl.obolibrary.org/obo/MONDO_0006303,middle ear squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001756,middle ear
http://purl.obolibrary.org/obo/MONDO_0006059,nasal cavity squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001707,nasal cavity
http://purl.obolibrary.org/obo/MONDO_0004958,oral cavity squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000165,mouth
http://purl.obolibrary.org/obo/MONDO_0044704,oropharynx squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001729,oropharynx
http://purl.obolibrary.org/obo/MONDO_0003494,ovarian squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000992,ovary
http://purl.obolibrary.org/obo/MONDO_0044705,paranasal sinus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001825,paranasal sinus
http://purl.obolibrary.org/obo/MONDO_0006358,parotid gland squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001831,parotid gland
http://purl.obolibrary.org/obo/MONDO_0000993,prostate squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002367,prostate gland
http://purl.obolibrary.org/obo/MONDO_0003497,renal pelvis squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001224,renal pelvis
http://purl.obolibrary.org/obo/MONDO_0044740,salivary gland squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001044,saliva-secreting gland
http://purl.obolibrary.org/obo/MONDO_0001651,scrotum squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001300,scrotum
http://purl.obolibrary.org/obo/MONDO_0002529,skin squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin
http://purl.obolibrary.org/obo/MONDO_0001995,sphenoid sinus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001724,sphenoidal sinus
http://purl.obolibrary.org/obo/MONDO_0003500,squamous cell bile duct carcinoma,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct
http://purl.obolibrary.org/obo/MONDO_0006056,squamous cell breast carcinoma,http://purl.obolibrary.org/obo/UBERON_0000310,breast
http://purl.obolibrary.org/obo/MONDO_0021431,squamous cell carcinoma of buccal mucosa,http://purl.obolibrary.org/obo/UBERON_0006956,buccal mucosa
http://purl.obolibrary.org/obo/MONDO_0018513,squamous cell carcinoma of colon,http://purl.obolibrary.org/obo/UBERON_0001155,colon
http://purl.obolibrary.org/obo/MONDO_0021429,squamous cell carcinoma of floor of mouth,http://purl.obolibrary.org/obo/UBERON_0003679,mouth floor
http://purl.obolibrary.org/obo/MONDO_0021427,squamous cell carcinoma of lip,http://purl.obolibrary.org/obo/UBERON_0001833,lip
http://purl.obolibrary.org/obo/MONDO_0018521,squamous cell carcinoma of pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,pancreas
http://purl.obolibrary.org/obo/MONDO_0018352,squamous cell carcinoma of penis,http://purl.obolibrary.org/obo/UBERON_0000989,penis
http://purl.obolibrary.org/obo/MONDO_0018515,squamous cell carcinoma of rectum,http://purl.obolibrary.org/obo/UBERON_0001052,rectum
http://purl.obolibrary.org/obo/MONDO_0016266,squamous cell carcinoma of the corpus uteri,http://purl.obolibrary.org/obo/UBERON_0009853,body of uterus
http://purl.obolibrary.org/obo/MONDO_0018509,squamous cell carcinoma of the small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,small intestine
http://purl.obolibrary.org/obo/MONDO_0005097,squamous cell lung carcinoma,http://purl.obolibrary.org/obo/UBERON_0002048,lung
http://purl.obolibrary.org/obo/MONDO_0004291,subglottis squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0036068,subglottis
http://purl.obolibrary.org/obo/MONDO_0004293,supraglottis squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0036263,supraglottic part of larynx
http://purl.obolibrary.org/obo/MONDO_0003493,thymus squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002370,thymus
http://purl.obolibrary.org/obo/MONDO_0006467,thyroid gland squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002046,thyroid gland
http://purl.obolibrary.org/obo/MONDO_0000500,tongue squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0001723,tongue
http://purl.obolibrary.org/obo/MONDO_0000535,tonsil squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002372,tonsil
http://purl.obolibrary.org/obo/MONDO_0006470,tonsillar squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0002373,palatine tonsil
http://purl.obolibrary.org/obo/MONDO_0001419,trachea squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0003126,trachea
http://purl.obolibrary.org/obo/MONDO_0003502,ureter squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000056,ureter
http://purl.obolibrary.org/obo/MONDO_0002764,urethra squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000057,urethra
http://purl.obolibrary.org/obo/MONDO_0006490,vaginal squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000996,vagina
http://purl.obolibrary.org/obo/MONDO_0024609,vulvar squamous cell carcinoma,http://purl.obolibrary.org/obo/UBERON_0000997,mammalian vulva
