iri,iri label,agent,agent label,disease,disease label
http://purl.obolibrary.org/obo/MONDO_0005491,Chagas cardiomyopathy,http://purl.obolibrary.org/obo/NCBITaxon_5693,Trypanosoma cruzi,http://purl.obolibrary.org/obo/MONDO_0004994,cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0001444,Chagas disease,http://purl.obolibrary.org/obo/NCBITaxon_5693,Trypanosoma cruzi,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006697,Chlamydophila infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_83553,Chlamydophila,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005704,Ciliophora infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_5878,Ciliophora,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000705,Clostridium difficile colitis,http://purl.obolibrary.org/obo/NCBITaxon_1496,Clostridioides difficile,http://purl.obolibrary.org/obo/MONDO_0005292,colitis (disease)
http://purl.obolibrary.org/obo/MONDO_0005708,Colorado tick fever,http://purl.obolibrary.org/obo/NCBITaxon_46839,Colorado tick fever virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005723,Cryptococcal meningitis,http://purl.obolibrary.org/obo/NCBITaxon_5207,Cryptococcus neoformans,http://purl.obolibrary.org/obo/MONDO_0004796,infectious meningitis
http://purl.obolibrary.org/obo/MONDO_0006708,Desulfovibrionaceae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_194924,Desulfovibrionaceae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005730,Dictyocaulus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_29171,Dictyocaulus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005120,Drosophila C virus infection,http://purl.obolibrary.org/obo/NCBITaxon_64279,Drosophila C virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005737,Ebola hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_186536,Ebolavirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005740,Echovirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_33758,Echovirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005745,Enoplea infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_119088,Enoplea,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005121,Enterococcus faecalis infection,http://purl.obolibrary.org/obo/NCBITaxon_1351,Enterococcus faecalis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005111,Epstein-Barr virus infection,http://purl.obolibrary.org/obo/NCBITaxon_10376,Human gammaherpesvirus 4,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006751,Erysipelothrix infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_1647,Erysipelothrix,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006752,Erysipelothrix rhusiopathiae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_1648,Erysipelothrix rhusiopathiae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005762,Filoviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11266,Filoviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005763,Flaviviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11050,Flaviviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006925,Fusobacteriaceae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_203492,Fusobacteriaceae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006765,Fusobacterium infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_848,Fusobacterium,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005109,HIV infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_12721,Human immunodeficiency virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005780,Hantavirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11598,Hantavirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006781,Helicobacter pylori infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_210,Helicobacter pylori,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0017942,Hendra virus infection,http://purl.obolibrary.org/obo/NCBITaxon_63330,Hendra henipavirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005785,Henipavirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_260964,Henipavirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005786,Hepadnaviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_10404,Hepadnaviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005794,Herpesviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_10292,Herpesviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0002099,Histoplasma capsulatum infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_5037,Histoplasma capsulatum,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000981,Histoplasma pericarditis,http://purl.obolibrary.org/obo/NCBITaxon_5036,Histoplasma,http://purl.obolibrary.org/obo/MONDO_0005904,pericarditis (disease)
http://purl.obolibrary.org/obo/MONDO_0030603,Klebsiella infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_570,Klebsiella,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0030602,Klebsiella pneumonia,http://purl.obolibrary.org/obo/NCBITaxon_570,Klebsiella,http://purl.obolibrary.org/obo/MONDO_0005249,pneumonia
http://purl.obolibrary.org/obo/MONDO_0017881,Kyasanur forest disease,http://purl.obolibrary.org/obo/NCBITaxon_33743,Kyasanur forest disease virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006836,Listeria meningitis,http://purl.obolibrary.org/obo/NCBITaxon_1639,Listeria monocytogenes,http://purl.obolibrary.org/obo/MONDO_0004796,infectious meningitis
http://purl.obolibrary.org/obo/MONDO_0019632,Lyme disease,http://purl.obolibrary.org/obo/NCBITaxon_139,Borreliella burgdorferi,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005856,Mononegavirales infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11157,Mononegavirales,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006878,Moraxellaceae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_468,Moraxellaceae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005857,Morbillivirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11229,Morbillivirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0001137,Murray valley encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11079,Murray Valley encephalitis virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0019377,Mycoplasma encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_2104,Mycoplasma pneumoniae,http://purl.obolibrary.org/obo/MONDO_0020067,infectious encephalitis
http://purl.obolibrary.org/obo/MONDO_0005871,Nematoda infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_6231,Nematoda,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0024416,Neorickettsia infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_33993,Neorickettsia,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005876,Nidovirales infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_76804,Nidovirales,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000342,O'nyong'nyong fever,http://purl.obolibrary.org/obo/NCBITaxon_11027,O'nyong-nyong virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000345,Oropouche fever,http://purl.obolibrary.org/obo/NCBITaxon_118655,Oropouche virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0018984,Oroya fever,http://purl.obolibrary.org/obo/NCBITaxon_774,Bartonella bacilliformis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005889,Orthomyxoviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11308,Orthomyxoviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005896,Paramyxoviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11158,Paramyxoviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0025371,Parvoviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_10780,Parvoviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005122,Pectobacterium carotovorum infection,http://purl.obolibrary.org/obo/NCBITaxon_122277,Pectobacterium,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0024412,Peptostreptococcus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_1257,Peptostreptococcus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005909,Pestivirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11095,Pestivirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000276,Powassan encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11083,Powassan virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006929,Proteus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_583,Proteus <enterobacteria>,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005141,Pseudomonas infection,http://purl.obolibrary.org/obo/NCBITaxon_286,Pseudomonas,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0019186,Q fever,http://purl.obolibrary.org/obo/NCBITaxon_777,Coxiella burnetii,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000331,Rickettsia helvetica spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_35789,Rickettsia helvetica,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006927,Rickettsiaceae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_775,Rickettsiaceae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005949,Roseolovirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_40272,Roseolovirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000344,Ross river fever,http://purl.obolibrary.org/obo/NCBITaxon_11029,Ross River virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005194,Rotavirus infection,http://purl.obolibrary.org/obo/NCBITaxon_10912,Rotavirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005950,Salmonella gastroenteritis,http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,http://purl.obolibrary.org/obo/MONDO_0002269,gastroenteritis
http://purl.obolibrary.org/obo/MONDO_0044351,Schistosoma intercalatum infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_6187,Schistosoma intercalatum,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0044344,Schistosoma japonicum infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_6182,Schistosoma japonicum,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0044345,Schistosoma mansoni infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_6183,Schistosoma mansoni,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000773,Timothy grass allergy,http://purl.obolibrary.org/obo/NCBITaxon_15957,Phleum pratense,http://purl.obolibrary.org/obo/MONDO_0005271,allergic disease
http://purl.obolibrary.org/obo/MONDO_0005985,Togaviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11018,Togaviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005986,Torovirus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11155,Torovirus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0007000,Treponema infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_157,Treponema,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0042458,Trichinella spiralis infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_6334,Trichinella spiralis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0030708,Trichomonas cervicitis,http://purl.obolibrary.org/obo/NCBITaxon_5722,Trichomonas vaginalis,http://purl.obolibrary.org/obo/MONDO_0002345,cervicitis (disease)
http://purl.obolibrary.org/obo/MONDO_0030706,Trichomonas cystitis,http://purl.obolibrary.org/obo/NCBITaxon_5722,Trichomonas vaginalis,http://purl.obolibrary.org/obo/MONDO_0006032,cystitis
http://purl.obolibrary.org/obo/MONDO_0030705,Trichomonas prostatitis,http://purl.obolibrary.org/obo/NCBITaxon_5722,Trichomonas vaginalis,http://purl.obolibrary.org/obo/MONDO_0005280,prostatitis (disease)
http://purl.obolibrary.org/obo/MONDO_0030906,Trichomonas tenax infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_43075,Trichomonas tenax,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005993,Trichomonas vaginitis urogenital infection,http://purl.obolibrary.org/obo/NCBITaxon_5722,Trichomonas vaginalis,http://purl.obolibrary.org/obo/MONDO_0021145,disease of genitourinary system
http://purl.obolibrary.org/obo/MONDO_0007007,Ureaplasma urethritis,http://purl.obolibrary.org/obo/NCBITaxon_2129,Ureaplasma,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006005,Venezuelan equine encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11036,Venezuelan equine encephalitis virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0002282,West Nile fever,http://purl.obolibrary.org/obo/NCBITaxon_11082,West Nile virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0019376,West-Nile encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11082,West Nile virus,http://purl.obolibrary.org/obo/MONDO_0020067,infectious encephalitis
http://purl.obolibrary.org/obo/MONDO_0005116,Whipple disease,http://purl.obolibrary.org/obo/NCBITaxon_2039,Tropheryma whipplei,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0018661,Zika virus disease,http://purl.obolibrary.org/obo/NCBITaxon_64320,Zika virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000295,acanthocephaliasis,http://purl.obolibrary.org/obo/NCBITaxon_10232,Acanthocephala,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0043479,adenoviridae infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_10508,Adenoviridae,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005641,aleutian mink disease,http://purl.obolibrary.org/obo/NCBITaxon_28314,Aleutian mink disease virus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0017282,alveolar echinococcosis,http://purl.obolibrary.org/obo/NCBITaxon_6211,Echinococcus multilocularis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0025303,anaplasmosis,http://purl.obolibrary.org/obo/NCBITaxon_768,Anaplasma,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005645,ancylostomiasis,http://purl.obolibrary.org/obo/NCBITaxon_29169,Ancylostoma,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005119,anthrax infection,http://purl.obolibrary.org/obo/NCBITaxon_1392,Bacillus anthracis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000779,apple allergy,http://purl.obolibrary.org/obo/NCBITaxon_3750,Malus domestica,http://purl.obolibrary.org/obo/MONDO_0005271,allergic disease
http://purl.obolibrary.org/obo/MONDO_0000780,apricot allergy,http://purl.obolibrary.org/obo/NCBITaxon_36596,Prunus armeniaca,http://purl.obolibrary.org/obo/MONDO_0005271,allergic disease
http://purl.obolibrary.org/obo/MONDO_0043314,aquarium granuloma,http://purl.obolibrary.org/obo/NCBITaxon_1781,Mycobacterium marinum,http://purl.obolibrary.org/obo/MONDO_0005093,skin disease
http://purl.obolibrary.org/obo/MONDO_0005654,ascariasis,http://purl.obolibrary.org/obo/NCBITaxon_6252,Ascaris lumbricoides,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005655,ascaridiasis,http://purl.obolibrary.org/obo/NCBITaxon_46684,Ascaridia,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005661,babesiosis,http://purl.obolibrary.org/obo/NCBITaxon_5864,Babesia,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000758,bacillary angiomatosis,http://purl.obolibrary.org/obo/NCBITaxon_773,Bartonella,http://purl.obolibrary.org/obo/MONDO_0024461,angiomatosis
http://purl.obolibrary.org/obo/MONDO_0006668,bacterial conjunctivitis,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0002932,conjunctival disease
http://purl.obolibrary.org/obo/MONDO_0006669,bacterial endocarditis (disease),http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0005025,endocarditis (disease)
http://purl.obolibrary.org/obo/MONDO_0002842,bacterial gastritis,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0004966,gastritis (disease)
http://purl.obolibrary.org/obo/MONDO_0005113,bacterial infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0006670,bacterial meningitis,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0004796,infectious meningitis
http://purl.obolibrary.org/obo/MONDO_0004652,bacterial pneumonia,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/MONDO_0005249,pneumonia
http://purl.obolibrary.org/obo/MONDO_0005664,bartonellosis,http://purl.obolibrary.org/obo/NCBITaxon_773,Bartonella,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000302,basidiobolomycosis,http://purl.obolibrary.org/obo/NCBITaxon_4859,Basidiobolus,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0000297,baylisascariasis,http://purl.obolibrary.org/obo/NCBITaxon_6259,Baylisascaris procyonis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0001714,bejel,http://purl.obolibrary.org/obo/NCBITaxon_53436,Treponema pallidum subsp. endemicum,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0005672,blastomycosis,http://purl.obolibrary.org/obo/NCBITaxon_5039,Blastomyces dermatitidis,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0037872,bordetellosis,http://purl.obolibrary.org/obo/NCBITaxon_517,Bordetella,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
