subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_set_id	mapping_set_title	mapping_set_confidence	confidence	comment
mondo:0004648	vascular dementia	skos:exactMatch	icd11:1365258270	Dementia due to cerebrovascular disease	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1365258270 icd10:F01 mondo:0004648
mondo:0004781	acute myocardial infarction	skos:exactMatch	icd10:I21.9	Acute myocardial infarction, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:I21.9 icd11:1334938734 mondo:0004781
mondo:0005027	epilepsy	skos:exactMatch	icd11:1397288146	Epilepsy or seizures	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1397288146 icd10:G40 mondo:0005027
mondo:0005738	echinococcosis	skos:exactMatch	icd10:B67.4	Echinococcus granulosus infection, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005738 icd11:1456802165 icd10:B67.4
mondo:0005738	echinococcosis	skos:exactMatch	icd10:B67.7	Echinococcus multilocularis infection, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005738 icd11:1456802165 icd10:B67.7
mondo:0005738	echinococcosis	skos:exactMatch	icd10:B67.9	Echinococcosis, other and unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005738 icd11:1456802165 icd10:B67.9
mondo:0015517	common variable immunodeficiency	skos:exactMatch	icd10:D83.9	Common variable immunodeficiency, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:D83.9 icd11:1908371517 mondo:0015517
mondo:0018312	histoplasmosis	skos:exactMatch	icd10:B39.2	Pulmonary histoplasmosis capsulati, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0018312 icd11:1553838370 icd10:B39.2
mondo:0019136	Zygomycosis	skos:exactMatch	icd10:B46.9	Zygomycosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:B46.9 icd11:1676389165 mondo:0019136
mondo:0019136	Zygomycosis	skos:exactMatch	icd10:B46.5	Mucormycosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0019136 icd11:1676389165 icd10:B46.5
mondo:0004980	atopic eczema	skos:exactMatch	icd10:L20	Atopic dermatitis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:L20 icd11:215767047 mondo:0004980
mondo:0009061	cystic fibrosis	skos:exactMatch	icd10:E84.9	Cystic fibrosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:E84.9 icd11:514403112 mondo:0009061
mondo:0011429	juvenile idiopathic arthritis	skos:exactMatch	icd10:M08	Juvenile arthritis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M08 icd11:1322678686 mondo:0011429
mondo:0017991	Takayasu arteritis	skos:exactMatch	icd10:M31.4	Aortic arch syndrome [Takayasu]	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M31.4 icd11:1327645131 mondo:0017991
mondo:0019249	mucopolysaccharidosis	skos:exactMatch	icd10:E76.3	Mucopolysaccharidosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:E76.3 icd11:1596128696 mondo:0019249
mondo:0016043	isolated cleft lip	skos:exactMatch	icd10:Q36	Cleft lip	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0016043 icd11:172183323 icd10:Q36
mondo:0004747	cleft lip	skos:exactMatch	icd11:172183323	Cleft lip	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:172183323 icd10:Q36 mondo:0004747
mondo:0005345	hypospadias	skos:exactMatch	icd10:Q54	Hypospadias	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:Q54 icd11:810247271 mondo:0005345
mondo:0006545	erythema multiforme	skos:exactMatch	icd10:L51.9	Erythema multiforme, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:L51.9 icd11:364669853 mondo:0006545
mondo:0011348	non-syndromic polydactyly	skos:exactMatch	icd10:Q69.9	Polydactyly, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:Q69.9 icd11:1534380955 mondo:0011348
mondo:0011348	non-syndromic polydactyly	skos:exactMatch	icd10:Q69	Polydactyly	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:Q69 icd11:1534380955 mondo:0011348
mondo:0021003	polydactyly	skos:exactMatch	icd11:1534380955		semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1534380955 icd10:Q69 mondo:0021003
mondo:0011849	psoriatic arthritis	skos:exactMatch	icd10:L40.5	Arthropathic psoriasis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:L40.5 icd11:868183264 mondo:0011849
mondo:0011849	psoriatic arthritis	skos:exactMatch	icd10:M07	Psoriatic and enteropathic arthropathies	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M07 icd11:868183264 mondo:0011849
mondo:0012105	granulomatosis with polyangiitis	skos:exactMatch	icd10:M31.3	Wegener granulomatosis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M31.3 icd11:1020056159 mondo:0012105
mondo:0015254	schistosomiasis	skos:exactMatch	icd10:B65	Schistosomiasis [bilharziasis]	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0015254 icd11:1194562592 icd10:B65
mondo:0015254	schistosomiasis	skos:exactMatch	icd10:B65.9	Schistosomiasis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0015254 icd11:1194562592 icd10:B65.9
mondo:0015484	cysticercosis	skos:exactMatch	icd10:B69.9	Cysticercosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0015484 icd11:1324863907 icd10:B69.9
mondo:0015484	cysticercosis	skos:exactMatch	icd10:B69.8	Cysticercosis of other sites	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0015484 icd11:1324863907 icd10:B69.8
mondo:0018301	interstitial cystitis	skos:exactMatch	icd10:N30.1	Interstitial cystitis (chronic)	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0018301 icd11:1650709285 icd10:N30.1
mondo:0018906	follicular lymphoma	skos:exactMatch	icd10:C82.9	Follicular lymphoma, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C82.9 icd11:797822185 mondo:0018906
mondo:0019147	myiasis	skos:exactMatch	icd10:B87.9	Myiasis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0019147 icd11:1367149207 icd10:B87.9
mondo:0019147	myiasis	skos:exactMatch	icd10:B87.8	Myiasis of other sites	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0019147 icd11:1367149207 icd10:B87.8
mondo:0019503	anterior segment dysgenesis	skos:exactMatch	icd10:Q13	Congenital malformations of anterior segment of eye	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0019503 icd11:943599144 icd10:Q13
mondo:0001220	hypoparathyroidism	skos:exactMatch	icd10:E20.9	Hypoparathyroidism, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:E20.9 icd11:1708733050 mondo:0001220
mondo:0001516	spinal muscular atrophy	skos:exactMatch	icd10:G12	Spinal muscular atrophy and related syndromes	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:G12 icd11:71074342 mondo:0001516
mondo:0002412	disorder of glycogen metabolism	skos:exactMatch	icd10:E74.0	Glycogen storage disease	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0002412 icd11:1187107383 icd10:E74.0
mondo:0002679	cerebral infarction	skos:exactMatch	icd11:636274910	Cerebral ischaemic stroke	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:636274910 icd10:I63 mondo:0002679
mondo:0003150	male reproductive system disorder	skos:exactMatch	icd11:1392133133	Diseases of the male genital system	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0003150 icd10:N40-N51 icd11:1392133133
mondo:0003757	paraplegia	skos:exactMatch	icd10:G82.2	Paraplegia, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:G82.2 icd11:1212533558 mondo:0003757
mondo:0004652	bacterial pneumonia	skos:exactMatch	icd10:J15	Bacterial pneumonia, not elsewhere classified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:J15 icd11:1323682030 mondo:0004652
mondo:0004966	gastritis	skos:exactMatch	icd10:K29.7	Gastritis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:K29.7 icd11:1871672644 mondo:0004966
mondo:0005002	chronic obstructive pulmonary disease	skos:exactMatch	icd10:J44	Other chronic obstructive pulmonary disease	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005002 icd11:133207228 icd10:J44
mondo:0005011	Crohn disease	skos:exactMatch	icd10:K50	Crohn disease [regional enteritis]	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005011 icd11:1267652425 icd10:K50
mondo:0005083	psoriasis	skos:exactMatch	icd10:L40.9	Psoriasis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:L40.9 icd11:63698555 mondo:0005083
mondo:0005279	pulmonary embolism	skos:exactMatch	icd11:1014964218	Pulmonary thromboembolism	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1014964218 icd10:I26 mondo:0005279
mondo:0005311	atherosclerosis	skos:exactMatch	icd11:109367356	Atherosclerotic chronic arterial occlusive disease	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:109367356 icd10:I70 mondo:0005311
mondo:0005388	primary biliary cholangitis	skos:exactMatch	icd10:K74.3	Primary biliary cirrhosis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:K74.3 icd11:649193479 mondo:0005388
mondo:0005441	otitis media	skos:exactMatch	icd10:H66.9	Otitis media, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005441 icd11:1079654421 icd10:H66.9
mondo:0005672	blastomycosis	skos:exactMatch	icd10:B40.9	Blastomycosis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:B40.9 icd11:1968108845 mondo:0005672
mondo:0005689	cannabis dependence	skos:exactMatch	icd10:F12.2	Mental and behavioural disorders due to use of cannabinoids : dependence syndrome	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005689 icd11:1129015467 icd10:F12.2
mondo:0005920	Plasmodium falciparum malaria	skos:exactMatch	icd11:579583286	Malaria due to Plasmodium falciparum	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005920 icd10:B50 icd11:579583286
mondo:0005921	Plasmodium vivax malaria	skos:exactMatch	icd11:1203794080	Malaria due to Plasmodium vivax	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0005921 icd10:B51 icd11:1203794080
mondo:0005974	strongyloidiasis	skos:exactMatch	icd10:B78.9	Strongyloidiasis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:B78.9 icd11:2088326190 mondo:0005974
mondo:0006019	yaws	skos:exactMatch	icd10:A66.9	Yaws, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:A66.9 icd11:840525023 mondo:0006019
mondo:0006292	malignant mesothelioma	skos:exactMatch	icd10:C45.0	Mesothelioma of pleura	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0006292 icd11:369414280 icd10:C45.0
mondo:0006541	epidermolysis bullosa	skos:exactMatch	icd11:1381715631	Genetically-determined epidermolysis bullosa	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd11:1381715631 icd10:Q81 mondo:0006541
mondo:0006558	pemphigoid gestationis	skos:exactMatch	icd10:O26.4	Herpes gestationis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:O26.4 icd11:1405755890 mondo:0006558
mondo:0006604	rosacea	skos:exactMatch	icd10:L71.9	Rosacea, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0006604 icd11:134161404 icd10:L71.9
mondo:0006670	bacterial meningitis	skos:exactMatch	icd10:G00	Bacterial meningitis, not elsewhere classified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0006670 icd11:684930313 icd10:G00
mondo:0006952	retinopathy of prematurity	skos:exactMatch	icd10:H35.1	Retinopathy of prematurity	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:H35.1 icd11:947283385 mondo:0006952
mondo:0007243	Burkitt lymphoma	skos:exactMatch	icd10:C83.7	Burkitt lymphoma	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C83.7 icd11:2100138081 mondo:0007243
mondo:0007256	hepatocellular carcinoma	skos:exactMatch	icd10:C22.0	Malignant neoplasm: Liver cell carcinoma	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C22.0 icd11:1294035808 mondo:0007256
mondo:0007896	acute monocytic leukemia	skos:exactMatch	icd10:C93.0	Acute monoblastic/monocytic leukaemia	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C93.0 icd11:517546180 mondo:0007896
mondo:0007921	yellow nail syndrome	skos:exactMatch	icd10:L60.5	Yellow nail syndrome	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0007921 icd11:47812081 icd10:L60.5
mondo:0007947	Marfan syndrome	skos:exactMatch	icd10:Q87.4	Marfan syndrome	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0007947 icd11:236564145 icd10:Q87.4
mondo:0008219	pemphigus vulgaris	skos:exactMatch	icd10:L10.0	Pemphigus vulgaris	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0008219 icd11:278358681 icd10:L10.0
mondo:0008889	thromboangiitis obliterans	skos:exactMatch	icd10:I73.1	Thromboangiitis obliterans [Buerger]	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0008889 icd11:1000683110 icd10:I73.1
mondo:0009169	endocardial fibroelastosis	skos:exactMatch	icd10:I42.4	Endocardial fibroelastosis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:I42.4 icd11:1971033419 mondo:0009169
mondo:0009264	gastroschisis	skos:exactMatch	icd10:Q79.3	Gastroschisis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:Q79.3 icd11:551758329 mondo:0009264
mondo:0009688	myasthenia gravis	skos:exactMatch	icd10:G70.0	Myasthenia gravis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0009688 icd11:1270100227 icd10:G70.0
mondo:0009691	mycosis fungoides	skos:exactMatch	icd10:C84.0	Mycosis fungoides	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C84.0 icd11:901411509 mondo:0009691
mondo:0009692	primary myelofibrosis	skos:exactMatch	icd10:D47.4	Osteomyelofibrosis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:D47.4 icd11:336704235 mondo:0009692
mondo:0010674	mucopolysaccharidosis type 2	skos:exactMatch	icd10:E76.1	Mucopolysaccharidosis, type II	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:E76.1 icd11:1056274204 mondo:0010674
mondo:0011908	juvenile myelomonocytic leukemia	skos:exactMatch	icd10:C93.3	Juvenile myelomonocytic leukaemia	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C93.3 icd11:1786015803 mondo:0011908
mondo:0011989	leishmaniasis	skos:exactMatch	icd10:B55.9	Leishmaniasis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:B55.9 icd11:1082373067 mondo:0011989
mondo:0012456	congenital primary aphakia	skos:exactMatch	icd10:Q12.3	Congenital aphakia	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0012456 icd11:885383581 icd10:Q12.3
mondo:0012727	mucocutaneous lymph node syndrome	skos:exactMatch	icd10:M30.3	Mucocutaneous lymph node syndrome [Kawasaki]	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:M30.3 icd11:540285662 mondo:0012727
mondo:0015908	chromomycosis	skos:exactMatch	icd10:B43	Chromomycosis and phaeomycotic abscess	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:B43 icd11:1438584733 mondo:0015908
mondo:0016820	Moyamoya disease	skos:exactMatch	icd10:I67.5	Moyamoya disease	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:I67.5 icd11:369231682 mondo:0016820
mondo:0017373	poliomyelitis	skos:exactMatch	icd10:A80	Acute poliomyelitis	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:A80 icd11:588527933 mondo:0017373
mondo:0017373	poliomyelitis	skos:exactMatch	icd10:A80.9	Acute poliomyelitis, unspecified	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	mondo:0017373 icd11:588527933 icd10:A80.9
mondo:0017858	acute erythroid leukemia	skos:exactMatch	icd10:C94.0	Acute erythroid leukaemia	semapv:MappingChaining	https://w3id.org/sssom/mappings/semra-81fa4432-3329-4e0a-9ef0-c33de11ea6eb	semra	1.0	1.0	icd10:C94.0 icd11:631263622 mondo:0017858
